Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Diversity Spotlight,Postal Code,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Contact Email,Phone Number,Number of Articles,Actively Hiring,Hub Tags,Full Description,Number of Sub-Orgs,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors
Ema,https://www.crunchbase.com/organization/ema-8724,"Artificial Intelligence (AI), Employee Benefits, Software","Mountain View, California, United States",Ema provides AI solutions that enhance productivity across various enterprise roles.,728,"San Francisco Bay Area, Silicon Valley, West Coast",,94041,,Active,2023-01-01,year,,,,,For Profit,https://www.ema.co,,,https://www.linkedin.com/company/ema-unlimited,ask@ema.co,,1,,,"Ema offers a Universal AI employee designed to automate complex workflows and improve productivity within organizations. Utilizing the Generative Workflow Engine, Ema integrates seamlessly with enterprise applications, allowing users to delegate repetitive tasks efficiently. The platform combines multiple AI models to ensure accuracy and security, making it a valuable asset for various business functions such as customer support, HR, and finance.",,,,,,,,,,,,,"Administrative Services, Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",2,"Souvik Sen, Surojit Chatterjee",11-50,2,Early Stage Venture,2024-07-31,36000000,USD,36000000,Series A,36000000,USD,36000000,Series A,61000000,USD,61000000,61000000,USD,61000000,"Accel, Prosus Ventures, Venture Highway, Section 32, Hitachi Ventures",4,17
Eppo,https://www.crunchbase.com/organization/eppo,"A/B Testing, Artificial Intelligence (AI), B2B, Developer Tools, Test and Measurement","San Francisco, California, United States",Eppo provides an AB experimentation and feature management platform to make testing accessible to everyone in any organization.,864,"San Francisco Bay Area, West Coast, Western US",,94107,,Active,2021-01-01,year,,,,,For Profit,https://www.geteppo.com/,https://x.com/get_eppo,,https://www.linkedin.com/company/geteppo/,sales@geteppo.com,,4,,,"Eppo provides an AB experimentation and feature management platform to make testing accessible to everyone in any organization. Its platform enables companies to tie product, AI, and marketing efforts to revenue and growth. The system allows every function in an org to adopt experimentation by easily integrating with cloud services, MarTech tools, AI products, and data warehouses.",,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software",1,Chetan Sharma,51-100,3,Early Stage Venture,2024-08-20,28000000,USD,28000000,Series B,28000000,USD,28000000,Series B,47500000,USD,47500000,47500000,USD,47500000,"Menlo Ventures, Amplify Partners, Icon Ventures, Innovation Endeavors",3,4
Supermicro,https://www.crunchbase.com/organization/super-micro-computer,"Artificial Intelligence (AI), Cloud Computing, Cloud Infrastructure, Embedded Systems, Manufacturing, Software","San Jose, California, United States","Supermicro is a global leader in high-performance, high-efficiency server technology and innovation.",920,"San Francisco Bay Area, Silicon Valley, West Coast",Women Founded,95131,$10B+,Active,1993-01-01,year,2007-03-29,day,,,For Profit,http://www.supermicro.com,http://twitter.com/Supermicro_SMCI,http://www.facebook.com/Supermicro,http://www.linkedin.com/company/supermicro,ir@supermicro.com,408-895-6568,500,,,"Super Micro Computer, Inc. or Supermicro® (NASDAQ: SMCI), a global leader in high-performance, high-efficiency server technology and innovation is a premier provider of end-to-end green computing solutions for HPC, Data Center, Cloud Computing, Enterprise IT, Hadoop/Big Data and Embedded Systems worldwide. Supermicro's advanced server Building Block Solutions® offers a vast array of modular, interoperable components for building energy-efficient, application-optimized, computing solutions. This broad line of products includes servers, blades, GPU systems, workstations, motherboards, chassis, power supplies, storage technologies, networking solutions, server management software and SuperRack® cabinets/accessories. Architecture innovations include Twin Architecture, FatTwin™, SuperServer®, SuperBlade®, MicroCloud, Super Storage Bridge Bay (SBB), Double-Sided Storage®, Battery Backup Power (BBP®) modules, Universal I/O (UIO) and WIO expansion technology all of which deliver unrivaled performance and value. The company's market leadership is based on first-to-market advantages with the most optimized, scalable new technologies coupled with an extraordinarily wide selection of high performance server products offering customers lower TCO. System solutions cover a broad range of applications across world-class data center and cloud services, large scalable server farms, scientific and research supercomputing clusters, businesses with complex computing requirements (such as those in financial services, oil and gas exploration, and media and entertainment companies) industrial applications, medical equipment and digital security and surveillance. Supermicro combines 20 years of advanced engineering experience with efficient production and integration expertise to develop first-to-market green computing solutions. The company is committed to protecting the environment through its ""We Keep IT Green®"" initiative. Founded in 1993 and headquartered in San Jose, California, Supermicro has been profitable every year since its inception. With Operations centers in Silicon Valley, the Netherlands and its Science & Technology Park and Logistics Center in Taiwan, Supermicro is well positioned to further scale its business worldwide.",,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Internet Services, Manufacturing, Science and Engineering, Software",3,"Charles Liang, Sara Liu Liang, Wally Liaw",5001-10000,2,IPO,2024-02-23,1500000000,USD,1500000000,Post-IPO Debt,,,,Series A,,,,1500000000,USD,1500000000,Pioneer Holding Group,,1
EvolutionaryScale,https://www.crunchbase.com/organization/evolutionaryscale,"Artificial Intelligence (AI), Bioinformatics, Biotechnology, Health Care","New York, New York, United States",EvolutionaryScale is a developer of biological artificial intelligence models for therapeutic design.,"1,097","Greater New York Area, East Coast, Northeastern US",,,,Active,2023-01-01,year,,,,,For Profit,https://www.evolutionaryscale.ai,,,https://www.linkedin.com/company/evolutionaryscale/,,,13,,,"EvolutionaryScale is a developer of biological artificial intelligence models for therapeutic design. The business predicts protein structures by combining biological data from DNA sequences, gene expression, and epigenetic states, allowing scientists to use massive language models to create RNA-based medicinal therapies.",,,,,,,,,,,,,"Artificial Intelligence (AI), Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software",,,11-50,1,Seed,2024-06-25,142000000,USD,142000000,Seed,142000000,USD,142000000,Seed,142000000,USD,142000000,142000000,USD,142000000,"Nat Friedman, Daniel Gross, Amazon Web Services, NVentures, Lux Capital",3,5
Black Forest Labs,https://www.crunchbase.com/organization/black-forest-labs-01de,"Artificial Intelligence (AI), Media and Entertainment, Software","Freiburg Im Breisgau, Baden-Wurttemberg, Germany","Black Forest Labs develops advanced generative deep learning models for images and videos, emphasizing broad accessibility and transparency.","1,366","European Union (EU), Europe, Middle East, and Africa (EMEA)",,79098,,Active,2024-01-01,year,,,,,For Profit,https://blackforestlabs.ai,https://x.com/bfl_ml,,,,,1,,,"Black Forest Labs creates advanced generative deep learning models for images and videos. They focus on making these technologies widely accessible and transparent, ensuring that their innovations are easy to use and understand. This approach aims to democratize access to cutting-edge technology and foster greater trust and utility.",,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Media and Entertainment, Science and Engineering, Software",,,11-50,1,Seed,2024-08-01,28000000,EUR,30202193,Seed,28000000,EUR,30202193,Seed,28000000,EUR,30202193,28000000,EUR,30202193,"Andreessen Horowitz, General Catalyst, Garry Tan, Mätch VC, Brendan Iribe",1,8
Strider Technologies,https://www.crunchbase.com/organization/strider-925c,"Artificial Intelligence (AI), Big Data, Cyber Security, Productivity Tools, Software","Salt Lake City, Utah, United States",Strider is a strategic intelligence firm that utilizes artificial intelligence to convert publicly available data into actionable insights.,"1,426",Western US,,84095,$1M to $10M,Active,2019-05-01,month,,,,,For Profit,https://www.striderintel.com,,,https://www.linkedin.com/company/teamstrider,info@striderintel.com,(202) 996-4891,20,,,"Strider is a strategic intelligence firm that utilizes artificial intelligence to convert publicly available data into vital insights. The company helps organizations secure and advance their technology and innovation. Strider focuses on identifying and mitigating risks associated with state-sponsored intellectual property (IP) theft, targeted talent acquisition, and supply chain vulnerabilities.",,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Privacy and Security, Science and Engineering, Software",3,"Eric Levesque, Greg Levesque, Mike Brown",101-250,4,,2024-07-18,40000000,USD,40000000,Venture - Series Unknown,40000000,USD,40000000,Venture - Series Unknown,97000000,USD,97000000,97000000,USD,97000000,"Koch Disruptive Technologies, Valor Equity Partners, DataTribe, One 9 Investments",3,4
Leya,https://www.crunchbase.com/organization/leya-876d,"Artificial Intelligence (AI), Legal, Legal Tech, Software","Stockholm, Stockholms Lan, Sweden",Leya is a legal technology company that develops an artificial intelligence assistant for legal professionals.,"1,484","European Union (EU), Nordic Countries, Scandinavia",,,,Active,2023-01-01,year,,,,,For Profit,https://leya.law,,,https://www.linkedin.com/company/leyalaw,max@leya.law,+46 76 239 25 63,1,,,"Leya is a legal technology company that develops an artificial intelligence assistant for legal professionals. Its platform offers reliable, referenced responses by integrating internal knowledge databases and external laws, cases, and regulations. It integrates with law firms’ documents, playbooks, templates, and external legal sources and assists lawyers with specific tasks related to reviewing, searching, and drafting, such as filling in transaction checklists, creating key terms reports, and writing memos to name a few.",,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Professional Services, Science and Engineering, Software",3,"August Erséus, Max Junestrand, Sigge Labor",11-50,3,Early Stage Venture,2024-07-17,25000000,USD,25000000,Series A,25000000,USD,25000000,Series A,36000000,USD,36000000,36000000,USD,36000000,"Y Combinator, Benchmark, Hummingbird Ventures, Wayfinder Ventures, SV Angel",3,10
Black Semiconductor,https://www.crunchbase.com/organization/black-semiconductor,"Artificial Intelligence (AI), Electronics, Manufacturing, Semiconductor","Aachen, Nordrhein-Westfalen, Germany",Black Semiconductor manufacture microchips with integrated electronic-photonic circuits using graphene technology.,"1,492","European Union (EU), Europe, Middle East, and Africa (EMEA)",,52072,,Active,2019-01-01,year,,,,,For Profit,https://blacksemiconductor.de,https://twitter.com/blacksemicon,,https://www.linkedin.com/company/black-semiconductor,info@blacksemicon.de,+49 (0) 2-419-160-7410,27,,,"Black Semiconductor provides bandwidth bottlenecks, semiconductor concepts, chip fabrication processes, autonomous driving, IoT, quantum computing, and artificial intelligence services.",,,,,,,,,,,,,"Artificial Intelligence (AI), Consumer Electronics, Data and Analytics, Hardware, Manufacturing, Science and Engineering, Software",,,11-50,4,Early Stage Venture,2024-06-12,228700000,EUR,245674380,Grant,25700000,EUR,27607484,Series A,25700000,EUR,27607484,254400000,EUR,273281864,"Vsquared Ventures, TechVision Fund, NRW.BANK, Project A Ventures, Capnamic Ventures",4,12
Abnormal Security,https://www.crunchbase.com/organization/abnormal-security,"Artificial Intelligence (AI), Cyber Security, Email, Information Technology, Network Security","San Francisco, California, United States",Abnormal Security is an email security company that protects enterprises and organizations from targeted email attacks.,"1,653","San Francisco Bay Area, West Coast, Western US",,94107,$100M to $500M,Active,2018-04-01,month,,,,,For Profit,https://www.abnormalsecurity.com,https://twitter.com/AbnormalSec,https://www.facebook.com/Abnormal-Security-114676830085640,https://www.linkedin.com/company/abnormalsecurity,info@abnormalsecurity.com,,98,,Unicorn,"Abnormal Security is an email security company that protects enterprises from targeted email attacks. The platform takes a data science approach to provide everything needed for comprehensive email protection, detection, and response.  Abnormal Behavior Technology (ABX) models the identity of both employees and external senders, profiles relationships, and analyzes email content to stop attacks that lead to account takeover, financial damage, and organizational mistrust. Though one-click, API-based Office 365, and G Suite integration, Abnormal sets up in minutes and does not disrupt email flow.",,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Messaging and Telecommunications, Privacy and Security, Science and Engineering, Software",2,"Evan Reiser, Sanjay Jeyakumar",501-1000,5,Late Stage Venture,2024-08-06,250000000,USD,250000000,Series D,250000000,USD,250000000,Series D,534000000,USD,534000000,534000000,USD,534000000,"Menlo Ventures, Wellington Management, Insight Partners, Greylock, Ballistic Ventures",5,8
Gynger,https://www.crunchbase.com/organization/gynger-io,"Artificial Intelligence (AI), Billing, Finance, Financial Services, FinTech, Information Technology, Lending, Payments, Sales Automation, Software","New York, New York, United States","The first AI-powered payments platform with embedded financing, built for buyers and sellers of technology.","1,857","Greater New York Area, East Coast, Northeastern US",,10011,$1M to $10M,Active,2021-06-01,month,,,,,For Profit,https://www.gynger.io,https://twitter.com/gynger_io,,https://www.linkedin.com/company/gynger,contact@gynger.io,,20,,,Gynger is the first payments platform for technology purchases with embedded financing. We're revolutionizing the way businesses buy and sell technology by providing a seamless tool to instantly unlock flexible payment terms for any tech purchase.,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Information Technology, Payments, Sales and Marketing, Science and Engineering, Software",1,Mark Ghermezian,11-50,4,Early Stage Venture,2024-06-20,100000000,USD,100000000,Debt Financing,20000000,USD,20000000,Series A,31700000,USD,31700000,141700000,USD,141700000,"Gradient Ventures, Quiet Capital, Upper90, Vine Ventures, PayPal Ventures",4,10
Genies,https://www.crunchbase.com/organization/blend-systems,"Apps, Augmented Reality, Blockchain, Generative AI, Internet, Media and Entertainment, Mobile Apps, Social Network","Los Angeles, California, United States",An Avatar Technology Company,"1,885","Greater Los Angeles Area, West Coast, Western US",,90066,$10M to $50M,Active,2011-01-01,year,,,,,For Profit,https://genies.com,https://twitter.com/genies,,https://www.linkedin.com/company/genies-inc/,press@genies.com,(415) 644-5364,46,,Unicorn,"Genies is culture’s leading avatar technology company empowering humans to create their own avatar experiences. To-date, Genies has been widely adopted by cultural tastemakers and has partnerships with Universal Music Group and Warner Music Group as their rosters’ “official avatar.” Genies has recently launched its consumer arm via its AR Developer Kit which allows developers to create interoperable avatar experiences for mobile and hardware AR. Their first avatar experience, Silver Studio, allows users to design and exchange digital fashion. Genies has raised $250M from investors such as  Silver Lake, BOND, NEA, and Bob Iger valuing the company at $1 billion.",,,,3,3,,1,,,,,,"Apps, Artificial Intelligence (AI), Blockchain and Cryptocurrency, Hardware, Internet Services, Media and Entertainment, Mobile, Other, Software",4,"Akash Nigam, Evan Rosenbaum, Jake Adams, Matt Geiger",101-250,12,Late Stage Venture,2022-04-12,150000000,USD,150000000,Series C,150000000,USD,150000000,Series C,266964358,USD,266964358,266964358,USD,266964358,"Silver Lake, Polychain, L Catterton, New Enterprise Associates, Waha Capital",8,73
Blend360,https://www.crunchbase.com/organization/blend360,"Business Intelligence, Data Governance, Data Integration, Data Management, Data Visualization, Database, Information Technology, Intelligent Systems, IT Infrastructure, Professional Services","Columbia, Maryland, United States","Blend is a premier AI services provider, who creates meaningful impact for its clients through the power of data, AI, technology and people","1,940","Greater Baltimore-Maryland Area, East Coast, Southern US",,,$50M to $100M,Active,2016-01-01,year,,,,,For Profit,https://blend360.com/,,,https://www.linkedin.com/company/blend360,adam.mincham@blend360.com,,15,,,"Blend is a premier AI services provider, committed to co-creating meaningful impact for its clients through the power of data science, AI, technology, and people. With a mission to fuel bold visions, Blend tackles significant challenges by seamlessly aligning human expertise with artificial intelligence. The company is dedicated to unlocking value and fostering innovation for its clients by harnessing world-class people and data-driven strategy. We believe that the power of people and AI can have a meaningful impact on your world. For more information, visit www.blend360.com",,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Design, Information Technology, Other, Science and Engineering, Software",2,"Patrick Hennessy, Tim Berry",1001-5000,1,Private Equity,2022-08-09,100000000,USD,100000000,Private Equity,100000000,USD,100000000,Private Equity,100000000,USD,100000000,100000000,USD,100000000,Recognize Partners,1,1
Amity Solutions,https://www.crunchbase.com/organization/amity-solutions,"Artificial Intelligence (AI), Information Technology, Software","Bangkok, Krung Thep, Thailand","Amity Solutions is a software company that offers employee engagement solutions for chatbots, AI platforms, and customers.","2,038","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",,10260,$1M to $10M,Active,2020-01-01,year,,,,,For Profit,https://www.amitysolutions.com,https://twitter.com/amitysolutions_,https://www.facebook.com/amitysolutionshq,https://www.linkedin.com/company/amity-solutions-hq,sales@amitysolutions.com,,9,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",2,"Korawad Chearavanont, Touchapon Kraisingkorn",51-100,1,,2024-07-16,41600000,USD,41600000,Venture - Series Unknown,41600000,USD,41600000,Venture - Series Unknown,41600000,USD,41600000,41600000,USD,41600000,Insight Capital,1,1
Snowflake,https://www.crunchbase.com/organization/snowflake-computing,"Analytics, Artificial Intelligence (AI), Cloud Data Services, Data Management, Enterprise Software, Software","San Mateo, California, United States",Snowflake is a cloud data platform that provides a data warehouse-as-a-service designed for the cloud.,"2,226","San Francisco Bay Area, Silicon Valley, West Coast",,94402,$1B to $10B,Active,2012-01-01,day,2022-08-05,day,,,For Profit,https://www.snowflake.com,http://www.twitter.com/SnowflakeDB,https://www.facebook.com/snowflakedb,https://www.linkedin.com/company/snowflake-computing,info@snowflake.com,(844)766-9355,"1,563",,Exited Unicorn,"Snowflake is a cloud data platform that provides a data warehouse-as-a-service designed for the cloud. The platform is built for the cloud, focusing on instant, secure, governed access to an entire network of data, and is built to enable a variety of data workloads, including a single platform for developing modern data applications. It combines the power of data warehousing, the flexibility of big data platforms, and the elasticity of the cloud at a fraction of the cost of traditional solutions. The company was co-founded by Thierry Cruanes, Marcin Zukowski, Bob Muglia, and Benoit Dageville in 2012 and is headquartered in San Mateo, California.",1,,,8,9,3,2,1,1,,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Science and Engineering, Software",4,"Benoit Dageville, Marcin Zukowski, Mike Speiser, Thierry Cruanes",5001-10000,9,IPO,2022-04-19,621456438,USD,621456438,Post-IPO Equity,621456438,USD,621456438,Post-IPO Equity,2029355548,USD,2029355548,2029355548,USD,2029355548,"Berkshire Hathaway, Sequoia Capital, Sutter Hill Ventures, Dragoneer Investment Group, Employee Stock Option Fund",8,18
True Anomaly,https://www.crunchbase.com/organization/true-anomaly,"Aerospace, Artificial Intelligence (AI), Machinery Manufacturing, Military, Space Travel","Centennial, Colorado, United States","True Anomaly develops space security technologies using AI, software, and spacecraft to enhance global security and sustainability.","2,375","Greater Denver Area, Western US",,80112-3959,,Active,2022-01-01,year,,,,,For Profit,https://www.trueanomaly.space,https://twitter.com/The_TrueAnomaly,,https://www.linkedin.com/company/true-anomaly,info@trueanomaly.space,,50,,,"True Anomaly manufactures space materials to deliver security and sustainability systems and solutions in the space domain. It was founded in 2022 and is headquartered in Denver, Colorado.",,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Government and Military, Information Technology, Manufacturing, Science and Engineering, Software, Transportation",1,Even Rogers,11-50,5,Early Stage Venture,2023-12-12,100000000,USD,100000000,Series B,100000000,USD,100000000,Series B,140619000,USD,140619000,158019000,USD,158019000,"Menlo Ventures, Narya Capital, ACME Capital, Riot Ventures, Eclipse Ventures",3,12
Decagon,https://www.crunchbase.com/organization/decagon-485e,"Artificial Intelligence (AI), Software","San Francisco, California, United States",Decagon creates generative AI for building customer service agents that work much more like humans.,"2,964","San Francisco Bay Area, West Coast, Western US",,94114,,Active,2023-01-01,year,,,,,,https://decagon.ai/,,,https://www.linkedin.com/company/decagon-ai,privacy@decagon.ai.,,,,,Decagon creates generative AI for building customer service agents that work much more like humans and its platform gives customer support team leaders more visibility into their automated customer experience operations,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",2,"Ashwin Sreenivas, Jesse Zhang",11-50,2,Early Stage Venture,2024-06-18,30000000,USD,30000000,Series A,30000000,USD,30000000,Series A,35000000,USD,35000000,35000000,USD,35000000,"Andreessen Horowitz, Accel, Jack Altman, Elad Gil, Frederic Kerrest",2,12
Collov,https://www.crunchbase.com/organization/collov,"Digital Marketing, E-Commerce, Generative AI, Home Decor, Home Renovation, Interior Design","Menlo Park, California, United States",Collov is an AI-powered virtual interior design and shopping platform that offers interior design services.,"2,979","San Francisco Bay Area, Silicon Valley, West Coast",,,$1M to $10M,Active,2021-01-01,year,,,,,For Profit,https://collov.com,https://twitter.com/collov_ai,https://www.facebook.com/collovhome,https://www.linkedin.com/company/flairhomedesign,css@collov.com,,10,,,"Collov uses AI and AR technologies to generate personalised recommendations based on each customer’s specific needs, preferences, and lifestyle. Their designers bring their stylistic vision to life by creating 3D-rendered design images.",,,,,,,,,,,,,"Artificial Intelligence (AI), Commerce and Shopping, Design, Real Estate, Sales and Marketing",3,"Kaicheng Zhou, Nicole Wang, Xiao Zhang",11-50,4,Early Stage Venture,2024-07-01,10000000,USD,10000000,Series A,10000000,USD,10000000,Series A,32000000,USD,32000000,32000000,USD,32000000,"Matrix Partners China, K2VC, MindWorks Capital, Taihill Venture, IMO Ventures",5,12
Stack AV,https://www.crunchbase.com/organization/stack-av,"Artificial Intelligence (AI), Automotive, Autonomous Vehicles, Transportation","Pittsburgh, Pennsylvania, United States",Stack AV operates in the transportation industry that develops advanced autonomous systems.,"3,178","Great Lakes, Northeastern US",,,,Active,2023-01-01,year,,,,,,https://www.stackav.com,,,https://www.linkedin.com/company/stackav,,,19,,,"Stack AV operates in the transportation industry that develops advanced autonomous systems. Stack's autonomous technology integrates state-of-the-art advancements in artificial intelligence, robotics, machine learning, and cloud technologies. This integration empowers us to develop groundbreaking solutions tailored to the evolving demands and obstacles within the trucking industry.",,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software, Transportation",3,"Brett Browning, Bryan Salesky, Peter Rander",101-250,1,,2023-09-07,1000000000,USD,1000000000,Venture - Series Unknown,1000000000,USD,1000000000,Venture - Series Unknown,1000000000,USD,1000000000,1000000000,USD,1000000000,SoftBank,1,1
DEFCON AI,https://www.crunchbase.com/organization/defcon-ai,"Artificial Intelligence (AI), Logistics, Supply Chain Management, Transportation","Mclean, Virginia, United States","DEFCON AI is a transportation, logistics, supply chain, and storage company.","3,290","Washington DC Metro Area, East Coast, Southern US",,,,Active,2022-01-01,year,,,,,,https://www.defconai.com,,,https://www.linkedin.com/company/defcon-ai,,,4,,,"DEFCON AI is a transportation, logistics, supply chain, and storage company. The company is specializing in modeling, simulation, and analysis, aimed at optimizing logistics and mobility decision-making through the use of advanced AI technology.",,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software, Transportation",1,Grant L. Verstandig,11-50,1,Seed,2024-08-20,44000000,USD,44000000,Seed,44000000,USD,44000000,Seed,44000000,USD,44000000,44000000,USD,44000000,"Bessemer Venture Partners, Red Cell Partners, Fifth Growth Fund",1,3
NumGenius Ai,https://www.crunchbase.com/organization/numgenius-ai,"Artificial Intelligence (AI), Financial Services, Information Technology, Internet, Software","Antwerpen, Antwerpen, Belgium",NumGenius Ai is the market leader in low-cost cloud GPU rental.Investors have enabled NumGenius AI to expand rapidly through NumGenius AI.,"3,438","European Union (EU), Europe, Middle East, and Africa (EMEA)",,2000,,Active,2010-03-02,day,,,,,For Profit,https://numgenius-ai.vsisk.com/,https://twitter.com/NumGeniusAi,,https://www.linkedin.com/company/numgenius-ai/,info@numgenius-ai.com,,14,,,"NumGenius Ai is a cloud computing platform that allows anyone to easily access large-scale GPU liquidity for AI/ML workloads. It offers container instances with affordable, powerful GPU, search engine for compute services, and various options and deals for users. You can rent GPUs from NumGenius Ai’s global GPU market, which is the market leader in low-cost cloud GPU rental. The platform provides a powerful search console to find the GPUs you need, and you can use on-demand rentals for convenience and consistent pricing. Alternatively, you can save a further 50% or more with interruptible instances using spot auction-based pricing. NumGenius Ai has an array of providers that offer different levels of security, from hobbyists up to Tier-4 data centers. You can choose the level of security and reliability you need. The platform also offers a command-line interface to search the entire marketplace for offers while utilizing scriptable filters and sort options. You can launch instances quickly right from the CLI and easily automate your deployment. NumGenius Ai also provides real-time automatic benchmarking to help you pick the right GPU server hardware. It predicts hardware performance ranking for typical deep learning tasks and helps automate and standardize the evaluation and ranking of myriad hardware platforms from dozens of data centers and hundreds of providers. NumGenius Ai’s search interface allows for fair comparison from all kinds of providers, from hobbyists to Tier 4 data centers. You can start saving 4-6X today and get set up on a single interface that connects you to a NumGenius marketplace. If you have GPU computing needs and want help deploying it on NumGenius Ai’s cost-effective infrastructure, or just want to chat, you can email them at info@numgenius-ai.com.",,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Information Technology, Internet Services, Science and Engineering, Software",1,Baptiste Poirot,10001+,3,Early Stage Venture,2023-01-03,70000000,USD,70000000,Series A,70000000,USD,70000000,Series A,95000000,USD,95000000,95000000,USD,95000000,,,
Beep,https://www.crunchbase.com/organization/beep-4e16,"Artificial Intelligence (AI), Automotive, Autonomous Vehicles, Information Technology","Orlando, Florida, United States","Beep is an autonomous mobility solution company that delivers transportation utilizing driverless, electric, multi-passenger vehicles.","3,735","East Coast, Southern US",,,$1M to $10M,Active,2019-01-01,day,,,,,For Profit,https://ridebeep.com,https://twitter.com/beepavsolutions,https://www.facebook.com/BeepAVsolutions/,https://www.linkedin.com/company/beepavsolutions/,info@go-beep.com,(800) 640-0316,5,,,"Beep is an autonomous mobility solution company that delivers transportation utilizing driverless, electric, multi-passenger vehicles. It specializes in planning, deploying, and managing advanced autonomous shuttles in both public and private communities seeking to more safely connect people, places, and services in first-mile, last-mile mobility networks within controlled speed areas.  The company aims to enable mobility for all with the services they provide. Beep also leverages the data and learnings from each live deployment to produce vehicle agnostic, edge solutions that are advancing the safety, access, artificial intelligence, and driverless operating capabilities of autonomous platforms thus advancing the use of these new, innovative, environmentally-friendly transportation solutions.",,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software, Transportation",1,Joe Moye,101-250,2,Early Stage Venture,2022-03-22,25000000,USD,25000000,Series A,25000000,USD,25000000,Series A,45000000,USD,45000000,45000000,USD,45000000,"Intel Capital, ABS Capital Partners, TDF Ventures, Blue Lagoon Capital, Hidden Creek Management",1,5
Sentient,https://www.crunchbase.com/organization/sentient-f024,"Artificial Intelligence (AI), Software","Incline Village, Nevada, United States",Sentient is an AI research organization fostering a new Open AGI Economy for AI Builders and Creators.,"3,897",Western US,,,,Active,,,,,,,,https://sentient.foundation/,,,https://www.linkedin.com/company/sentientagi/about/,,,,,,Sentient is an AI research organization fostering a new Open AGI Economy for AI Builders and Creators.,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",,,11-50,1,Seed,2024-07-02,85000000,USD,85000000,Seed,85000000,USD,85000000,Seed,85000000,USD,85000000,85000000,USD,85000000,"HashKey Capital, Framework Ventures, Canonical Crypto, Robot Ventures, Founders Fund",3,25
Genspark AI,https://www.crunchbase.com/organization/genspark-ai,"Artificial Intelligence (AI), Search Engine, Software","Palo Alto, California, United States",Genspark AI operates as an artificial intelligence search company.,"3,998","San Francisco Bay Area, Silicon Valley, West Coast",,,,Active,2023-01-01,year,,,,,For Profit,https://genspark.ai,,,https://www.linkedin.com/company/gensparkai/,,,4,,,Genspark AI operates as an artificial intelligence search company.,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Internet Services, Science and Engineering, Software",,,11-50,1,Seed,2024-06-18,60000000,USD,60000000,Seed,60000000,USD,60000000,Seed,60000000,USD,60000000,60000000,USD,60000000,Lanchi Ventures,1,1
