Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Postal Code,Diversity Spotlight,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Closed Date,Closed Date Precision,Exit Date,Exit Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Contact Email,Phone Number,Number of Articles,Actively Hiring,Full Description,Hub Tags,Number of Sub-Orgs,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),School Type,School Program,School Method,Number of Enrollments,Number of Founders (Alumni),Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors
Topicmarks01,https://www.crunchbase.com/organization/topicmarks,"Analytics, Big Data, Education, Information Technology, Internet, Knowledge Management, Natural Language Processing, Personalization","San Francisco, California, United States",Topicmarks offers a web service that helps information workers analyze and summarize documents on a cloud accordingly.,"1,025,684","San Francisco Bay Area, West Coast, Western US",,,,Closed,1977-08-05,day,,none,2011-12-07,day,For Profit,http://topicmarks.com/,http://twitter.com/topicmarks,,,team@topicmarks.com,415-310-4406,9,,Topicmarks has a web service in beta that helps information workers summarize heaps of cloud documents around their own interests. We produce these summaries through a unique combination of meaning-based algorithms with user behavior and human intent. Try it at: http://topicmarks.com Topicmarks will now plug into major cloud storage providers to be able to summarize the documents people already have. The first two major partnerships are in place. Organizing and summarizing information in the cloud is growing into a $5.5b market by 2015. Topicmarks just won the 6th Founder Showcase with a landslide vote from the audience and the highest marks from the jury.,,,,,,,,,,,,,,,,,,,"Administrative Services, Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Education, Information Technology, Internet Services, Other, Software",3,"Jaromir Dzialo, Karl Dawson, Roland Siebelink",11-50,2,M&A,2011-03-18,150000,USD,150000,Seed,150000,USD,150000,Seed,150000,USD,150000,150000,USD,150000,"Aaron Patzer, Jim Chu",,2
Tide Analytics,https://www.crunchbase.com/organization/tide-analytics,"Analytics, Big Data, Predictive Analytics","Petaling Jaya, Selangor, Malaysia",Tide Analytics provides businesses with analytics and insights that enable them to measure their marketing campaigns’ success.,"1,036,991","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",63000,,$1M to $10M,Active,2014-03-01,day,,,,,For Profit,http://tideanalytics.com,http://twitter.com/TideAnalytics,http://www.facebook.com/tideanalytics,https://www.linkedin.com/company/tide-analytics,hello@tideanalytics.com,,1,,"Physical World Analytics for retailers that tracks customers by their smartphones using a specialised sensor. Allows for businesses to optimise their campaign efforts by providing new forms of measurements, e.g. New Customer, Returning Customers, Customer Retention etc.",,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Software",,,1-10,2,Seed,2014-10-15,,,,Seed,,,,Seed,,,,,,,1337 Ventures,1,1
Loyoo,https://www.crunchbase.com/organization/loyoo,"Computer Vision, Hardware, Machine Learning, Software","Shenzhen, Guangdong, China",Luyou Technology is a high-tech company that specializes in machine learning and computer vision-related hardware and software development.,"1,038,005",Asia-Pacific (APAC),,,,Closed,2015-01-01,year,,none,,,For Profit,http://www.ilooyo.com,,,https://www.linkedin.com/company/%E6%B7%B1%E5%9C%B3%E8%BF%9B%E5%8C%96%E5%8A%A8%E5%8A%9B%E6%95%B0%E7%A0%81%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8/about/,,,,,Luyou Technology is a high-tech company that specializes in machine learning and computer vision-related hardware and software development. The company is committed to developing new-generation intelligent visual perception systems and pattern recognition algorithms for intelligent buildings and smart homes to provide users with all-new intelligent offline service experiences.,,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Software",,,1-10,2,,2015-11-01,,,,Venture - Series Unknown,,,,Venture - Series Unknown,,,,,,,"Microsoft Accelerator, Microsoft Accelerator",,2
Incredible Labs,https://www.crunchbase.com/organization/incredible-labs,"Artificial Intelligence (AI), Mobile, Productivity Tools, Software","San Francisco, California, United States","Incredible Labs, a developer of artificial intelligence, offers Donna, a software solution for time management.","1,039,068","San Francisco Bay Area, West Coast, Western US",94105,,,Closed,2011-01-01,year,2015-12-29,day,2014-01-30,day,For Profit,http://incredible.io,http://twitter.com/incrediblelabs,https://www.facebook.com/incrediblelabs/,,,,24,,"Incredible Labs, Inc. are the creators of a mobile anticipatory assistant named [Donna](http://don.na). The company was founded in 2011 and is based in San Francisco, California.",,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Mobile, Science and Engineering, Software",4,"Arshad Tayyeb, Kevin Cheng, Scott San Filippo, spence murray",1-10,1,M&A,2011-12-22,,,,Seed,,,,Seed,,,,,,,"Khosla Ventures, 500 Global, Webb Investment Network, Hinge Capital, Ashton Kutcher",,5
Think Realtime,https://www.crunchbase.com/organization/think-realtime,"Advertising, Machine Learning, Real Time","Edison, New Jersey, United States",Think Realtime provides media optimization services for retargeted and general display advertising companies.,"1,044,304","Greater New York Area, East Coast, Northeastern US",08837,,,Closed,2009-01-01,year,2013-01-01,year,,,For Profit,http://thinkrealtime.com,http://twitter.com/ThinkRealtime,http://www.facebook.com/pages/Think-Realtime/361339757223108,http://www.linkedin.com/company/2501157,contact@thinkrealtime.com,646-737-4420,,,"Think Realtime LLC has built, and continues to improve, an infinitely scalable, fully automated system that optimizes the purchase of RTB enabled banner inventory to maximize online display advertising effectiveness. The privately-held company, based Edison, NJ with offices in Manhattan Beach, CA. was founded in 2009 by experts in advertising, high-frequency stock trading and machine learning.",,,,,,,,,,,,,,,,,,,"Advertising, Artificial Intelligence (AI), Data and Analytics, Other, Sales and Marketing, Software",3,"Ezra K. Doty, Hassan Malik, Richard Doty",11-50,1,Seed,2011-05-12,200000,USD,200000,Seed,200000,USD,200000,Seed,200000,USD,200000,200000,USD,200000,Trajectory Ventures,,1
Reduce Data,https://www.crunchbase.com/organization/reduce-data,"Advertising, Advertising Platforms, Analytics, Information Technology, Machine Learning","Sunnyvale, California, United States",Data optimized advertising platform,"1,053,984","San Francisco Bay Area, Silicon Valley, West Coast",94087,,$1M to $10M,Active,2012-10-01,day,,,2015-09-15,day,For Profit,http://www.reducedata.com,http://twitter.com/reducedata,http://www.facebook.com/ReduceData,http://www.linkedin.com/company/2770087,asif@reducedata.com,,17,,Reduce Data is a programmatic advertising platform that delivers cross device re-targeting optimized with artificial intelligence. Reduce Data's self service platform and tools have been built with the in house marketer and the ad agencies in mind.,,,,,,,,,,,,,,,,,,,"Advertising, Artificial Intelligence (AI), Data and Analytics, Information Technology, Sales and Marketing, Software",2,"Asif Ali, Darryl Jose",1-10,1,M&A,2013-02-01,500000,USD,500000,Seed,500000,USD,500000,Seed,500000,USD,500000,500000,USD,500000,,,
SmartSpoken,https://www.crunchbase.com/organization/smartspoken,"Artificial Intelligence (AI), Computer, Enterprise Software, Software","Kontich, Antwerpen, Belgium",SmartSpoken bridges the gap between people and technology through natural language processing.,"1,063,348","European Union (EU), Europe, Middle East, and Africa (EMEA)",2550,,Less than $1M,Active,2015-01-01,year,,,,,For Profit,http://www.smartspoken.com/,https://twitter.com/gosmartspoken,,https://www.linkedin.com/company/smartspoken,,,,,SmartSpoken has developed language technology that is making life easier for people planning to buy online. The engine understands natural language queries entered by customers and translates them to computer language to allow systems to give relevant answers. ,,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Consumer Electronics, Data and Analytics, Hardware, Science and Engineering, Software",,,1-10,1,Seed,2015-09-08,,,,Seed,,,,Seed,,,,,,,The CoFoundry,1,1
iAskWeb,https://www.crunchbase.com/organization/iaskweb,"Information Technology, Internet, Natural Language Processing","Waltham, Massachusetts, United States",iAskWeb is an online financial engine that provides its users with integrated searching of specific financial topics.,"1,068,431","Greater Boston Area, East Coast, New England",02451,,$1M to $10M,Closed,1999-01-01,year,2008-03-31,day,,,For Profit,http://www.iaskweb.com/,,,,,,,,"Founded in 1999 and angel-backed by a group of investors in Massachusetts, iAskWeb is an emerging leader in the development of vertical answering engines. The company’s iAsk line of financial engines provides integrated searching of specific financial topics. iAskWeb’s products use its patent-pending natural language technology that sets the highest standards of accuracy and scalability.",,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Software",,,,1,Early Stage Venture,2000-08-02,1600000,USD,1600000,Series A,1600000,USD,1600000,Series A,1600000,USD,1600000,1600000,USD,1600000,"Mahendra Vora, Arthur Gelb, Bill Karlyn, Eugene Feldman",,4
Clicktree,https://www.crunchbase.com/organization/clicktree-labs,"Enterprise Software, Machine Learning","Sunnyvale, California, United States",Virtual API to monetize web traffic,"1,080,679","San Francisco Bay Area, Silicon Valley, West Coast",94085,Women Founded,,Closed,2014-01-01,year,,none,,,For Profit,http://www.clicktreelabs.com,http://twitter.com/clicktree,http://www.facebook.com/clicktree,http://www.linkedin.com/in/sergeyastretsov,team@clicktreelabs.com,,,,"We analyze the traffic logs and apply machine learning algorithms to track web scraping activity. Then we help you understand your web traffic such as who's using your data and the rate at which they are scraping your site. From there we identify potential partners and offer them an API, while blocking unauthorized bot activities on your website.",,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Software",3,"Alison Servis, Sergey Astretsov, Tomasz Bacewicz",1-10,1,Seed,2014-01-29,25000,USD,25000,Seed,25000,USD,25000,Seed,25000,USD,25000,25000,USD,25000,Plug and Play,,1
Devs.LT,https://www.crunchbase.com/organization/devs-lt,"Artificial Intelligence (AI), Human Resources, Machine Learning, SaaS","Vilnius, Vilniaus Apskritis, Lithuania","A platform, that uses AI and machine learning to help companies hire their perfect match from the pool of pre-screened IT-talents worldwide.","1,082,047","European Union (EU), Europe, Middle East, and Africa (EMEA)",LT-03162,,Less than $1M,Active,2015-04-23,day,,,,,For Profit,http://devs.lt,https://twitter.com/Devs_LT,https://www.facebook.com/devs.lt,https://www.linkedin.com/company/devs-lt,a@devs.lt,+37067114039,1,,"Devs.LT is a web-based human resources platform that connects talented developers with worldwide technology companies. The platform uses AI and machine learning-driven technologies to help companies hire employees from a pool of pre-screened IT talents. Devs.LT was launched in 2015 and is operated from Vilnius, Lithuania.",,,,,,,,,,,,,,,,,,,"Administrative Services, Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",2,"Gleb Divov, Sandra Divova",1-10,1,Seed,2015-12-25,,,,Angel,,,,Angel,,,,,,,,,
Bflysoft,https://www.crunchbase.com/organization/bflysoft,"Analytics, Artificial Intelligence (AI), Big Data, Machine Learning","Seoul, Seoul-t'ukpyolsi, South Korea",Bflysoft is an artificial intelligence WIGO and media big data-based monitoring analytics platform.,"1,083,827",Asia-Pacific (APAC),,,,Active,,,,,,,For Profit,http://www.bflysoft.com/,,,,,82.02.3487.0215,,,,,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",,,,1,,2004-01-01,,,,Venture - Series Unknown,,,,Venture - Series Unknown,,,,,,,Shinhan Venture Investment,,1
flyRuby.com,https://www.crunchbase.com/organization/flyruby-com,"Air Transportation, Artificial Intelligence (AI), Business Travel, E-Commerce, Internet of Things, Marketplace, Travel","Pittsburgh, Pennsylvania, United States","flyruby is an online internet market place for private jets that offers its users to search, compare, and pay for air charter online.","1,085,047","Great Lakes, Northeastern US",15219,,Less than $1M,Active,2010-01-01,year,,,,,For Profit,http://www.flyruby.com,http://twitter.com/flyruby,http://www.facebook.com/pages/flyRubycom/154715601233342,http://www.linkedin.com/company/1039053,contact@flyruby.com,18773607829,3,,"flyRuby.com is the first and only online private jet marketplace to search, compare and charter private jets for pleasure or business travel.",,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Internet Services, Science and Engineering, Software, Transportation, Travel and Tourism",1,Michael Leek,1-10,2,Seed,2010-08-01,250000,USD,250000,Angel,250000,USD,250000,Angel,350000,USD,350000,350000,USD,350000,,,
Bueda,https://www.crunchbase.com/organization/bueda,"Advertising, Information Services, Information Technology, Natural Language Processing, Semantic Search, Social Media","Pittsburgh, Pennsylvania, United States",Bueda enabled the creation of smarter applications in markets where information overload created barriers to communication efficiency.,"1,087,525","Great Lakes, Northeastern US",15213,,,Active,2009-01-01,year,,,,,For Profit,http://www.bueda.com,http://twitter.com/bueda,,,contact@bueda.com,,2,,"Bueda works to understand and connect the information.  Leveraging research from Carnegie Mellon University, Buedaâ€™s semantic matching engine enables the creation of smarter applications in markets where information overload creates significant barriers to communication efficiency. Buedaâ€™s first product focuses on providing publishers the ability to access the semantic platform via an API. Buedaâ€™s new product, Five, is a semantic-based social lead generator that facilitates meaningful and engaging conversation around a promotional message. Five uses the semantic API to understand the message being promoted and the users on various social networks that would be most receptive. Fiveâ€™s ability to identify the most relevant and influential people increases the reach of the promoted content through a network effect.",,,,,,,,,,,,,,,,,,,"Advertising, Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Media and Entertainment, Sales and Marketing, Software",2,"Kenji Sagae, Vasco Pedro",1-10,2,Seed,2010-07-01,100000,USD,100000,Pre-Seed,100000,USD,100000,Pre-Seed,125000,USD,125000,125000,USD,125000,"Innovation Works, AlphaLab",1,2
SmartScope,https://www.crunchbase.com/organization/smartscope,"Biotechnology, Health Care, Machine Learning",,SmartScope focused on bringing early stage malaria diagnoses to the masses. ,"1,089,878",,,,,Active,,,,,,,For Profit,https://smartscope.io,https://twitter.com/smart_scope,,,info@smartscope.io,,,,"SmartScope focused on bringing early stage malaria diagnoses to the masses. Last year more than 400,000 people died from malaria, 70% of which were children under the age of five. There are not enough medical experts in the world to diagnose everyone infected. Their solution is an easy to use, smartphone connected microscope adapter, and an app that uses deep learning to diagnose malaria within seconds, speeding up the process of diagnosing malaria many folds. ",,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software",,,,1,,2016-01-01,,,,Non-equity Assistance,,,,,,,,,,,MassChallenge,,1
Sociocast,https://www.crunchbase.com/organization/sociocast,"Analytics, Big Data, Predictive Analytics","New York, New York, United States",Sociocast enables companies to deploy business-impacting predictive analytics.,"1,091,124","Greater New York Area, East Coast, Northeastern US",10012,,$1M to $10M,Closed,2010-01-01,year,2015-01-01,year,2015-03-01,month,For Profit,http://www.sociocast.com,,https://www.facebook.com/Sociocast/,https://www.linkedin.com/company/sociocast-networks/,,,,,"Sociocast makes it easy for companies to quickly deploy, business-impacting predictive analytics. Working across various verticals and platforms, Sociocast has reinvented the way companies can extract insights from rapidly evolving data. The company’s groundbreaking technology allows businesses to access enterprise-grade prediction at a fraction of the cost of existing solutions, while saving time.",,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Software",,,11-50,1,M&A,2011-12-01,1500000,USD,1500000,Seed,1500000,USD,1500000,Seed,1500000,USD,1500000,1500000,USD,1500000,"New York Angels, Detroit Venture Partners, Bobby Yazdani, Joe Zawadzki",1,4
TREPIC,https://www.crunchbase.com/organization/trepic-inc,"Artificial Intelligence (AI), Digital Marketing, Leisure, Tourism, Travel, Virtual Reality","Menlo Park, California, United States",First AI/VR driven social booking platform. Find new trip ideas curated from top travel sources that best match your various interests.,"1,097,973","San Francisco Bay Area, Silicon Valley, West Coast",94025,Women Founded,$1M to $10M,Active,2014-02-15,day,,,,,For Profit,http://www.trepic.co,https://www.twitter.com/trepicepictrips,https://www.facebook.com/trepic.makeyourtripepic,https://www.linkedin.com/company/trepic/about/,john@trepic.co,,,,"TREPIC Inc. is a visually inspiring AI/VR driven online travel agency and data-driven matching marketplace for social influencers and travel brands. TREPIC Inc. was founded by Kimberli Cheung Wright and John Cho in 2014 and is based in Menlo Park, California.",,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Community and Lifestyle, Data and Analytics, Hardware, Sales and Marketing, Science and Engineering, Software, Travel and Tourism",2,"John Cho, Kimberli Wright",1-10,1,Seed,2015-02-01,,,,Seed,,,,Seed,,,,,,,,,
ENBISYS,https://www.crunchbase.com/organization/enbisys,"Apps, Artificial Intelligence (AI), Consulting, Education, Information Technology, Internet, Machine Learning, Real Estate, Software, Web Development","Tomsk, Tomsk, Russian Federation","Enterprise software development, Data Science and Machine Learning, Complex Algorithms","1,102,034","Europe, Middle East, and Africa (EMEA)",634055,,,Active,2006-08-29,day,,,,,For Profit,https://www.enbisys.com/,,,https://www.linkedin.com/company/enbisysteam,e.krasnova@enbisys.com,73822990049,,,"ENBISYS is an IT company established in 2006 headquartered in Tomsk, Russia with a representative office located in the Netherlands. With a strong focus on enterprise software development and IT consulting, we provide services to Clients all over the world.  14+ years in the market 55+ highly skilled software engineers  25 projects completed Ranked one the top B2B Companies in Eastern Europe on Clutch.com (https://clutch.co/profile/enbisys) Ranked in the top-20 fastest growing IT business in Russia in 2020 Developers of own ML product solutions (Plario, Ocuscreen) ENBISYS boasts a strong team of Engineers, Data Scientists and Analysts. Key team members including top management have a track record of academic work. Their competencies in Mathematics, Ontologies and Algorithms allowed us to create our own Machine Learning R&D department back in 2016.",,,,,,,,,,,,,,,,,,,"Apps, Artificial Intelligence (AI), Data and Analytics, Education, Information Technology, Internet Services, Professional Services, Real Estate, Science and Engineering, Software",3,"Andrey Rybak, Dmitry Bubnov, Maxim Usov",51-100,1,Private Equity,2006-08-29,3000000,USD,3000000,Private Equity,3000000,USD,3000000,Private Equity,3000000,USD,3000000,3000000,USD,3000000,,,
Intellectual Investments,https://www.crunchbase.com/organization/intellectual-investments,"Artificial Intelligence (AI), Crowdfunding, Robotics","London, England, United Kingdom",Intellectual Investments will produce high-tech intellectual robots and artificial intelligence for stock market forecasting and the.,"1,103,510","Europe, Middle East, and Africa (EMEA)",EC1V 4PW,,Less than $1M,Active,2012-04-01,day,,,,,For Profit,http://finance-forecast.com/,,http://www.facebook.com/pages/Stock-Market-Forecasts-and-Prognos,,victor@finance-forecast.com,+44 20 3239 3984,,,"Intellectual Investments will produce high-tech intellectual robots and artificial intelligence for stock market forecasting and the development of companies, industry sectors and national economies. The robots will predict the most important tendencies of those developments through statistical data processing and provide short- and long-term information as to when the subjects might expect issues to arise.",,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Hardware, Science and Engineering, Software",,,11-50,1,,2012-12-06,,,,Equity Crowdfunding,,,,Equity Crowdfunding,,,,,,,,,
Ciafo,https://www.crunchbase.com/organization/ciafo,"Artificial Intelligence (AI), Enterprise Software, Mobile, Software, Web Browsers","Bengaluru, Karnataka, India",Ciafo is an Indian technology-driven startup that provides web-based consumer products for its customers.,"1,103,487",Asia-Pacific (APAC),,,Less than $1M,Closed,2010-06-16,day,,none,,,For Profit,http://ciafo.com,,,http://www.linkedin.com/company/ciafo,marketing@ciafo.com,+91-080-41425263,8,,"Ciafo is a software company. It focuses on developing and building consumer software products for the web and mobile platforms.  The company’s flagship product is Frrole, it’s an online local news source that uses Twitter as the underlying data platform and using technology in language processing, artificial intelligence and spam reduction areas. Ciafo was founded by Amarpreet Kalkat, Nishith Sharma, and Abhishek Vaid in 2010; and is headquartered in Bangalore, India.",,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Internet Services, Mobile, Science and Engineering, Software",3,"Abhishek Vaid, Amarpreet Kalkat, Nishith Sharma",1-10,1,Seed,2014-04-22,245000,USD,245000,Angel,245000,USD,245000,Angel,245000,USD,245000,245000,USD,245000,"Rajan Anandan, Manav Garg, Sharad Sharma",,3
Rewardpod,https://www.crunchbase.com/organization/rewardpod,"Advertising, Analytics, Internet, Predictive Analytics","Tel Aviv-yafo, Tel Aviv, Israel",Rewardpod is a Israeli app customer predictive analytics company.,"1,107,680","Europe, Middle East, and Africa (EMEA), Middle East, Middle East and North Africa (MENA)",,,$1M to $10M,Closed,2013-01-01,year,,none,,,For Profit,http://rewardpod.com,,,http://www.linkedin.com/company/rewardpod,,,,,"Rewardpod help app developers improve customer acquisition and monetisation by leveraging Realtime Predictive Analytics. Their technology scores users in realtime by their propensity to spend. They offer social customer acquisition, retargeting and campaign management products through SaaS and through the Rewardpod SDK which can be seamlessly and easily integrated into any app. The company was founded in 2013 and has offices in Israel and London.",,,,,,,,,,,,,,,,,,,"Advertising, Artificial Intelligence (AI), Data and Analytics, Internet Services, Sales and Marketing, Software",1,Ehud Zaguri,1-10,1,,2014-06-23,1000000,USD,1000000,Venture - Series Unknown,1000000,USD,1000000,Venture - Series Unknown,1000000,USD,1000000,1000000,USD,1000000,,,
Chromance,https://www.crunchbase.com/organization/chromance,"Analytics, Artificial Intelligence (AI), Biometrics, Genetics, Software","San Francisco, California, United States",Chromance is a software platform based on genetics extracted from a facial image,"1,112,067","San Francisco Bay Area, West Coast, Western US",,,,Closed,2014-01-01,year,,none,,,For Profit,http://chromance.info/,,,,,,1,,"Chromance is a software platform based on genetics extracted from a facial image. Our software is able to identify small groups of compatible individuals using their key genetic traits. Our technology can be applied to improve the understanding of compatibility tests (creating more effective teams, improve online dating, make your ads more personal, etc.)",,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software",1,Giambattista Selvaggi,1-10,1,Seed,2014-01-06,,,,Seed,,,,Seed,,,,,,,,,
Volatix,https://www.crunchbase.com/organization/volatix,"Analytics, Clean Energy, Cloud Computing, Predictive Analytics","Dallas, Texas, United States",Energy Analytics Technology Developer,"1,112,292","Dallas/Fort Worth Metroplex, Southern US",75252,,Less than $1M,Active,2014-03-01,day,,,,,For Profit,http://www.volatix.com,http://twitter.com/Volatix,http://www.facebook.com/volatix,http://www.linkedin.com/company/volatix,info@volatix.com,214-296-9596,,,Volatix is a Dallas-based startup focused on creating cloud-based energy analytics technology for the world's quickly changing energy industries.,,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Energy, Internet Services, Software, Sustainability",,,1-10,1,Seed,2014-06-01,,,,Pre-Seed,,,,Pre-Seed,,,,,,,Cerium Technology Ventures,,1
StorySense Computing,https://www.crunchbase.com/organization/storysense-computing,"Artificial Intelligence (AI), Parenting, Software","Taipei, T'ai-pei, Taiwan","Artificial Intelligence, Storytelling","1,121,267",Asia-Pacific (APAC),106,,,Closed,2009-01-01,year,,none,2015-04-17,day,For Profit,http://www.storysensecomputing.com,http://twitter.com/StorySenseInc,,https://www.linkedin.com/company/storysense-computing-inc-/,contact@storysensecomputing.com,+886227056253,,,"StorySense helps users digest massive information from the web, simplify their cumbersome processes, and create extremely enjoyable user experience.  Specialized at artificial intelligence, StorySense aims to make “grandma-friendly computers”, building applications with linguistic analysis and story understanding capabilities. In November 2010, StorySense launched the first mobile application WhatsTheNumber, reinventing a new search experience on yellowpage that people can find their needs and directions in just 3 steps: Search, dial ,and talk. As a global service, WhatsTheNumber integrates information from over 100 countries, and users are mainly from: Taiwan, China, Saudi Arabia, United Arab Emirates, United States, Lebanon, Japan, Turkey, Hong Kong, Canada, France, Thailand, Germany, Inida, Malaysia, Russia, Spain, United Kingdom, Israel, Italy, Australia, Singapore, Mexico, Brazil, Vietnam, Philippines…etc.",,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Community and Lifestyle, Data and Analytics, Science and Engineering, Software",3,"Dan Huang, Edward Shen, Victor Lin",11-50,2,M&A,2013-06-01,,,,Seed,,,,Seed,,,,,,,"MIT Media Lab, Darwin Venture Management",,2
DRI Corporation,https://www.crunchbase.com/organization/dri-corporation,"Information Services, Information Technology, Intelligent Systems, Security, Transportation","Dallas, Texas, United States",DRI Corporation is a digital communications provider serving the global public and private mass transportation and transit security market.,"1,127,989","Dallas/Fort Worth Metroplex, Southern US",,,,Closed,1983-01-01,year,,none,,,For Profit,http://www.digrec.com/,,,https://www.linkedin.com/company/dricorporation,,,,,"Headquartered in Dallas, TX, DRI Corporation (NASD: TBUS) is a digital communications provider serving the global public and private mass transportation and transit security market. These markets primarily include bus systems, rail cars and rental cars. DRI manufactures and sells electronic destination sign systems, voice announcement systems, passenger information systems, automatic vehicle location/monitoring systems, and video-based intelligence systems. DRI sells its products, both directly and through transportation vehicle manufacturers, to end-users such as federal, state and local transportation departments and municipalities. Founded in 1983 in North Carolina, DRI is publicly traded on the NASDAQ under the ticker symbol ""TBUS"".",,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Privacy and Security, Science and Engineering, Transportation",,,51-100,1,,2008-06-30,5000000,USD,5000000,Debt Financing,,,,,,,,5000000,USD,5000000,BHC Interim Funding,,1
Obvious Engineering,https://www.crunchbase.com/organization/obvious-engineering,"Computer Vision, Machine Learning, Mobile, Product Design, Software","London, England, United Kingdom",Obvious Engineering is a research & development-driven software company with a focus on consumer products.,"1,130,725","Europe, Middle East, and Africa (EMEA)",n15qj,,Less than $1M,Closed,2013-01-01,year,2018-11-06,day,,,For Profit,http://obviousengine.com,http://twitter.com/obviousvision,,,info@obviousengine.com,442032862035,10,,"Obvious Engineering is an R&D-driven computer vision technology company with a consumer device & product focus. We are developing fundamental technology that enables smart consumer devices to understand and connect with the world  that they see.   We are working to power digital content that is responsive to physical objects and space, adding a digital interface to the physical world. We see this as a natural evolution of how we live our daily lives.",,1,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Design, Hardware, Mobile, Software",6,"Andrew McPhee, Ebony Charlton, Ebony Charlton, Mike Evans, Mike Evans, Sam Hare",1-10,2,Seed,2015-02-01,,,,Seed,,,,Seed,650000,USD,650000,650000,USD,650000,"Kima Ventures, EC1 Capital, Antipodean Adventures",,3
xaitment,https://www.crunchbase.com/organization/x-aitment,"Artificial Intelligence (AI), Gamification, Gaming, Machine Learning, Software, Video Games","Quierschied, Saarland, Germany",xaitment develops and sells artificial intelligence (AI) software for video games and simulation developers.,"1,137,188","European Union (EU), Europe, Middle East, and Africa (EMEA)",66287,,Less than $1M,Active,2004-01-01,year,,,,,For Profit,http://www.xaitment.com,http://twitter.com/xaitTicker,https://www.facebook.com/xaitment/,https://www.linkedin.com/company/xaitment-gmbh/,,49 6897 600 80 0,,,"xaitment develops and sells artificial intelligence (AI) software for video games and simulation developers. It offers xaitMap, an AI SDK that provides automatic navigational mesh generation, as well as pathfinding and local steering for single and crowd movement; xaitControl, an AI SDK that offers character behavior modeling; xaitKnow, an AI SDK that allows to develope knowledge modeling for the game world and to manage the knowledge within that world; and xaitThink, an AI SDK that allows to develop high-level behavior modeling for a game.  xaitment also provides services, such as help desk support, onsite support, and SDK updates, as well as creates project specific features. It serves game studios, defense/simulation, middleware partners, technology partners, and academic partners.  Andreas Gerber founded xaitment in 2004, with its headquarters in Quierschied in Germany. It has additional offices in the United States, Germany, England, China, Korea, and Japan.",,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Gaming, Science and Engineering, Software",1,Andreas Gerber,11-50,2,,2010-08-31,3040000,USD,3040000,Venture - Series Unknown,3040000,USD,3040000,Venture - Series Unknown,6670000,USD,6670000,6670000,USD,6670000,"Saarländische Wagnisfinanzierungsgesellschaft, Triangle Venture Capital Group",1,2
