Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Postal Code,Diversity Spotlight,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Phone Number,Contact Email,Number of Articles,Hub Tags,Full Description,Number of Sub-Orgs,Actively Hiring,Investment Stage,Investor Type,Number of Portfolio Organizations,Number of Investments,Number of Exits (IPO),Number of Exits,Number of Diversity Investments,Number of Lead Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Funding Type,Last Equity Funding Type,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors
Baibao Caipiao,https://www.crunchbase.com/organization/baibao-caipiao,"Analytics, Database, Predictive Analytics","Beijing, Beijing, China",Baibao Caipiao is a lottery data analysis and forecasting service provider.,"180,783",Asia-Pacific (APAC),,,,Active,2014-03-03,day,,,,,For Profit,http://www.baibaocp.com/,,,https://www.linkedin.com/company/百宝彩-北京-信息技术有限公司,010-53647662,,,,"Baibao Caipiao provides chinese lottery market, lottery institutions, lottery outlets, information and data services, technology development, and solution implementation of solution applications.",,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Software",1,Yiqi Chen,11-50,1,Early Stage Venture,2014-11-01,10000000,CNY,1634523,10000000,CNY,1634523,Series A,Series A,10000000,CNY,1634523,10000000,CNY,1634523,ShenZhen Grand Electronics,1,1
Natero,https://www.crunchbase.com/organization/natero,"Analytics, Artificial Intelligence (AI), Big Data, Machine Learning, SaaS","Mountain View, California, United States","Natero harnesses your data to predict, analyze and drive customer behavior.","180,871","San Francisco Bay Area, Silicon Valley, West Coast",94040,Women Founded,$1M to $10M,Active,2012-05-01,day,2019-05-21,day,,,For Profit,https://www.natero.com,https://twitter.com/NateroEngine,,https://www.linkedin.com/company/natero,(650)727-0770,info@natero.com,16,,Natero is the only customer success platform to merge machine learning for predicting behavior and big data analytics for deep customer insights. This next generation solution helps SaaS customer success teams maximize customer lifetime.,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",3,"Craig Soules, Garth Goodson, Tanya Shastri",11-50,2,M&A,2014-04-07,3334176,USD,3334176,3334176,USD,3334176,Series A,Series A,3334176,USD,3334176,3334176,USD,3334176,"Andreessen Horowitz, Y Combinator, Salesforce Ventures, Merus Capital",1,4
conversationHEALTH,https://www.crunchbase.com/organization/conversationhealth,"Artificial Intelligence (AI), Health Care, Information Technology, Pharmaceutical, Robotics","Toronto, Ontario, Canada",Empowering Pharmaceutical Companies to Optimally Engage Customers with Conversational AI-Driven Virtual Agents,"180,906",Great Lakes,,,$10M to $50M,Active,2017-01-01,year,2024-01-08,day,,,For Profit,http://www.conversationhealth.com/,,,https://www.linkedin.com/company/emojihealth/,,jseaner@conversationhealth.com,3,,"conversationHEALTH enables the world’s health care and life sciences companies to create AI-driven virtual experiences that exceed customer expectations. Our privacy-safe system of engagement utilizes medically-trained natural language understanding, contextual artificial intelligence and supervised generative AI to create near-human highly-personalized interactions. Purpose-built by industry for industry, the conversationHEALTH platform can be deployed for medical communications, commercial operations and patient support to enable greater accessibility, improved responsiveness and better outcomes. As the partner of choice for 100 global brands to power 1 billion conversations, we’re transforming the way the pharmaceutical industry engages with physicians, patients and consumers.",,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Health Care, Information Technology, Science and Engineering, Software",2,"Alexandra Philp Reeves, John Reeves",101-250,1,M&A,2016-01-01,,,,,,,Pre-Seed,Pre-Seed,,,,,,,NEXT Canada,,1
Email Copilot,https://www.crunchbase.com/organization/embarke,"Big Data, Business Intelligence, Email, Predictive Analytics","New York, New York, United States",Wonder if your marketing or transactional emails are getting to the inbox? We tell you in real-time and show you how to fix any issues.,"181,601","Greater New York Area, East Coast, Northeastern US",10016,,,Closed,2011-04-29,day,2016-11-28,day,2016-11-28,day,For Profit,http://www.emailcopilot.com,http://twitter.com/emailcopilot,http://www.facebook.com/emailcopilot,https://www.linkedin.com/company/embarke,866-362-4577,,3,,"Embarke increases engagement and revenue for marketers with 15 minutes of integration and a simple click of a button.  We automatically deliver messages when each individual user is most likely to engage, and with content they actually care about. This optimization is automatic (set-it-and-forget-it), and has resulted in 5%-20% increases in opens and clicks.",,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Messaging and Telecommunications, Software",2,"Al Bsharah, Bryan Hall",1-10,3,M&A,2015-04-28,250000,USD,250000,1250000,USD,1250000,Debt Financing,Seed,1520000,USD,1520000,1270000,USD,1270000,"Techstars, Microsoft for Startups, Social Leverage, Right Side Capital Management, Promus Ventures",2,8
Decisive,https://www.crunchbase.com/organization/decisive,"Analytics, Content, Predictive Analytics, Social Media","New York, New York, United States","Decisive is the easiest way for brands to measure, understand, and benchmark the impact of their social content.","182,727","Greater New York Area, East Coast, Northeastern US",10013,Black Founded,$1M to $10M,Closed,2012-01-01,year,,,2018-03-01,day,For Profit,http://decisive.is,http://twitter.com/trydecisive,,http://www.linkedin.com/company/decisive,,contact@decisive.is,14,,"Decisive is a social content analytics platform that helps brands measure, understand, and benchmark the impact of their social content. Every brand that wants to reach consumers must become a content company. With Decisive, it’s now easy for brands to quickly understand how their content is performing across major social media platforms with one content score, understand how their audience is feeling about their content, and benchmark their content against their competitors’ content.",,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Internet Services, Media and Entertainment, Software",2,"David Dundas, Ryan Witt",1-10,1,Seed,2015-07-06,120000,USD,120000,120000,USD,120000,Pre-Seed,Pre-Seed,120000,USD,120000,120000,USD,120000,"Techstars, Right Side Capital Management, Disney Accelerator",2,3
"Go Factory, Inc.",https://www.crunchbase.com/organization/go-factory-inc,"Cloud Computing, Predictive Analytics","San Francisco, California, United States",GOFACTORY provides an Industrial IoT service that drives intelligent action when uptime is essential.,"182,926","San Francisco Bay Area, West Coast, Western US",,,,Closed,2011-04-11,day,2016-06-21,day,2019-04-02,day,For Profit,http://www.go-factory.com,,,,(415) 481-3672,,,,"GOFACTORY industrial IoT solutions connect machines, sensors, systems and people to drive insight and intelligent action. Rather than taking hours to diagnose a problem, The GOFACTORY cloud service, connected assets, and mobile application work together to maximize asset life and optimize service time. GOFACTORY analyzes data from all these inputs in real-time, and then arms the right people with the right information to solve critical issues quickly.  GOFACTORY also seamlessly manages predictive maintenance to improve efficiency and service levels.Solutions are currently being developed in renewable energy, cell towers, supply chain and logistics, oil and gas and general field service, fleet management, and asset management.  GOFACTORY was founded in 2011 and is headquartered in San Francisco, California.",,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Internet Services, Software",3,"Bryan Hughes, Jeff Weitzman, Marcus Colombano",1-10,1,M&A,2015-05-19,2000000,USD,2000000,2000000,USD,2000000,Seed,Seed,2000000,USD,2000000,2000000,USD,2000000,Visionnaire Ventures,1,1
Inkiru,https://www.crunchbase.com/organization/inkiru,"Artificial Intelligence (AI), Big Data, Mobile, Mobile Payments, Payments","Palo Alto, California, United States",Inkiru is a predictive intelligence platform that offers active learning system that uses real-time predictive intelligence and big data.,"183,625","San Francisco Bay Area, Silicon Valley, West Coast",94301,Women Founded,,Closed,2011-01-01,year,2013-06-01,month,2017-01-31,day,For Profit,http://www.Inkiru.com,http://twitter.com/Inkiru101,https://www.facebook.com/real.time.predictive.intelligence/,,+1 650-323-3400,admin@inkiru.com,5,,"The Inkiru Predictive Intelligence™ platform transforms customer interactions, enabling retail businesses to reduce fraud, improve customer segmentation and targeting, and increase profit. Inkiru’s platform is an active learning system that utilizes live algorithms and data augmentation, bringing real-time predictive analytics to transactional big data challenges.",,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Mobile, Payments, Science and Engineering, Software",2,"Alok Bhanot, Jaya Kolhatkar",11-50,1,M&A,2012-11-04,,,,,,,Seed,Seed,,,,,,,Harrison Metal,1,1
"SOFIA Labs, LLC",https://www.crunchbase.com/organization/sofia-2,"Artificial Intelligence (AI), Corporate Training, Education","New York, New York, United States",Artificial Intelligence Supporting Human Imagination,"183,735","Greater New York Area, East Coast, Northeastern US",10013,,,Closed,2015-01-01,year,,,,none,For Profit,http://www.conceptassistant.com,,,,,,1,,"SOFIA's Landscape EXplorer (LEX) will be a cloud-based SaaS, providing a 24/7 personal trainer to boost one's actionable metaskills: (1) portable (not attached to a job), (2) universal (applicable to any cognitive challenge), (3) critical (economically essential - STEM, Biz, Finance etc.) The LEX SaaS can serve individuals (B2C), private corporations (B2B STEM, Education, MBA etc., and economic policy (B2G STEM boosters) Learning meta-skills is done by exploring 10 types of cognitive challenges (from real-world situations), under the guidance of an AI-driven avatar. During exploration, the avatar raises systematic questions for planning, problem-solving, explaining etc. endowing the user with sound reasoning practices in the context of real-world challenges. This real-world challenge grounding, differentiates LEX from test SaaS (SAT, GRE, LSAT, MCAT etc), solution SaaS (Wolfram Mathematica, MatLab, AXIOM etc), and brain trainers (Lumosity, Games).",,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Education, Science and Engineering, Software",3,"Edouard Siregar, Fabio Serenelli, Jevgenij Werner",501-1000,1,Seed,2015-07-29,500000,USD,500000,500000,USD,500000,Seed,Seed,500000,USD,500000,500000,USD,500000,,,
Webaroo,https://www.crunchbase.com/organization/webaroo-2,"Artificial Intelligence (AI), B2C, Developer APIs, Messaging, Mobile, Mobile Apps, SMS, Social Media, Software","Fremont, California, United States",Webaroo is a messaging and mobile apps platform.,"183,979","San Francisco Bay Area, Silicon Valley, West Coast",94538,,$10M to $50M,Active,2004-06-01,day,,,,,For Profit,http://www.webaroo.com,http://twitter.com/WebarooInc,http://www.facebook.com/Webaroo,http://www.linkedin.com/company/webaroo,14257093139,marketing@webaroo.com,30,,"Webaroo's cloud messaging platform, Gupshup enables users to communicate and share their short messages, privately with friends, or publicly with all from any mobile device. Webaroo's cloud messaging platform, and its cloud communication APIs and services support over 4 billion mobile interactions per month and are being used by over 81 Million users, 550 brands and 30,000 businesses to interact, engage and communicate using any mobile device.",,,,,,,,,,,,,,"Apps, Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Media and Entertainment, Messaging and Telecommunications, Mobile, Other, Science and Engineering, Software",1,Beerud Sheth,101-250,1,Early Stage Venture,2008-10-13,,,,,,,Series A,Series A,,,,,,,Helion Venture Partners,,1
Infaimon SL,https://www.crunchbase.com/organization/infaimon-sl,"Artificial Intelligence (AI), Computer Vision, Image Recognition, Industrial Automation","Barcelona, Catalonia, Spain",Infaimon SL specializes in marketing of systems and products of artificial vision and image analysis.,"183,995","European Union (EU), Europe, Middle East, and Africa (EMEA)",08017,,$1M to $10M,Active,1994-01-01,year,2019-05-22,day,,,For Profit,https://www.infaimon.com/es/,https://twitter.com/infaimon,https://www.facebook.com/infaimon,https://www.linkedin.com/company/infaimon,+34 93 252 57 57 ,,2,,"Infaimon SL specializes in marketing of systems and products of artificial vision and image analysis. The company advises its clients to find the best artificial vision solution for its application. INFAIMON has offices in Spain, Portugal, Mexico and Brazil. ",,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Manufacturing, Science and Engineering, Software",1,Salvador Giro,51-100,1,M&A,2015-07-01,50000,EUR,55246,,,,Grant,,50000,EUR,55246,,,,EASME - EU Executive Agency for SMEs,,1
Automated Insights,https://www.crunchbase.com/organization/automated-insights,"Artificial Intelligence (AI), Big Data, Business Intelligence, Content, Generative AI, Natural Language Processing, Software","Durham, North Carolina, United States",Automated Insights is a provider of content automation services.,"184,256","Research Triangle, East Coast, Southern US",27701,,$10M to $50M,Active,2007-06-01,day,2015-02-12,day,,,For Profit,http://www.automatedinsights.com,http://twitter.com/AInsights,http://www.facebook.com/Automated-Insights/231503343563646,http://www.linkedin.com/company/2708220,(919)973-3622,pr@automatedinsights.com,581,,"Automated Insights is a provider of content automation services. It is the creator of Wordsmith, the world’s first public natural language generation template engine. Wordsmith allows users to generate human-sounding narratives from data, making it easy to produce millions of personalized reports, articles, and narratives in the time it takes to write just one. The Wordsmith platform helps companies in data-driven industries, including financial services, e-commerce, real estate, business intelligence, media, and many others, achieve content scale, efficiency, and personalization. More than 200 customers, including Allstate, The Associated Press, Edmunds.com, the Orlando Magic, and Yahoo! use Wordsmith to generate more than 1.5 billion pieces of content per year.",,,,,1,1,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Media and Entertainment, Science and Engineering, Software",1,Robbie Allen,51-100,4,M&A,2014-06-30,5500000,USD,5500000,5500000,USD,5500000,Series B,Series B,10800000,USD,10800000,10800000,USD,10800000,"BoxGroup, OCA Ventures, Samsung NEXT, IDEA Fund Partners, Osage Venture Partners",4,11
Sciling,https://www.crunchbase.com/organization/sciling,"Artificial Intelligence (AI), Computer Vision, Information Technology, Machine Learning, Natural Language Processing, Software","Valencia, Comunidad Valenciana, Spain",At Sciling we develop scientific solutions for human challenges. We solve problems levering AI.,"184,303","European Union (EU), Europe, Middle East, and Africa (EMEA)",46012,,Less than $1M,Active,2014-01-01,year,,,,,For Profit,http://sciling.com,http://twitter.com/scilingai,https://www.facebook.com/scilingai/,https://www.linkedin.com/company/scilingai/,+34960067330,hello@sciling.com,,,"At Sciling we solve problems levering AI. Our goal is to reach value for our clients. We focus on the end goal, while at the same time staying lean to ensure that whatever we develop yields business value. Many AI projects end up in a drawer because of lack of alignment with business strategy. We put special emphasis on the strategy phase. In addition, an AI project is very different from an IT project, given that every AI project has an important R&D component. Half of our technical team have a PhD, because we have realized that experience is key to success in AI. As a company, we build on 7 years of lessons learned building and deploying AI solutions.",,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Science and Engineering, Software",2,"Germán Sanchis-Trilles, Vicent Alabau",11-50,1,,2015-07-01,50000,EUR,55246,,,,Grant,,50000,EUR,55246,,,,EASME - EU Executive Agency for SMEs,,1
SynchroNext,https://www.crunchbase.com/organization/synchronext,"Artificial Intelligence (AI), Lifestyle, Semantic Web","Nice, Provence-Alpes-Cote d'Azur, France","SynchroNext is a start up working on the research, development and production of algorithms based on the physics of information.","184,476","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,Less than $1M,Active,2013-04-01,month,,,,,For Profit,http://www.synchronext.com,https://twitter.com/synchronext,https://www.facebook.com/synchronext,https://www.linkedin.com/company/synchronext,33497201204,contact@synchronext.com,1,,"SynchroNext is a start up working on the research, development and production of algorithms based on the physics of information.",,,,,,,,,,,,,,"Artificial Intelligence (AI), Community and Lifestyle, Data and Analytics, Internet Services, Science and Engineering, Software",2,"Felix Eliott Kudelka, Olivier Ricard",1-10,1,Seed,2015-10-06,440000,EUR,495784,440000,EUR,495784,Seed,Seed,440000,EUR,495784,440000,EUR,495784,Starquest Capital,,1
Loop AI Group Cognitive Computing,https://www.crunchbase.com/organization/loop-ai-labs,"Analytics, Artificial Intelligence (AI), Big Data, Machine Learning, Natural Language Processing, Personalization, Software","New York, New York, United States",Unsupervised Cognitive Computing Platform (HPC Appliance or Embedded),"184,627","Greater New York Area, East Coast, Northeastern US",10013,,$1M to $10M,Active,2012-01-01,year,,,,,For Profit,http://www.loop.ai,http://twitter.com/LoopAILabs,http://www.facebook.com/LoopAILabs,http://www.linkedin.com/company/loop-ai-labs,,,75,,"Loop AI Group originates in Silicon Valley. It is a leading provider in the cognitive software industry with operations in Europe, Asia and the US. The flagship product, Loop Q, leverages unsupervised cognitive computing to automate even challenging human processes in large enterprises. Loop AI Group’s mission is to provide Smart companies with Artificial Human Capacity, characterized by real time, continuous, and autonomous learning. By embedding Loop AI Group’s human capacity cognitive technology, organizations can understand and utilize for automation all their unstructured information, including humans’ workflow activity data. Loop Q helps, therefore, augment workforce productivity and automate repetitive processes previously managed by humans. Typically, the already existing enterprise legacy systems are quickly retrofitted with Loop Q human capacity Cognitive Robots.",,,,,,,,,,,,,,"Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Science and Engineering, Software",1,Gianmauro Calafiore,11-50,1,Seed,2014-04-10,,,,,,,Seed,Seed,,,,,,,Lorenzo Barbantini Scanni,,1
Briquz Tech,https://www.crunchbase.com/organization/briquz-tech,"Artificial Intelligence (AI), Information Services, Machine Learning, Music","Shanghai, Shanghai, China",Briquz Tech is an AI music service provider company.,"184,735",Asia-Pacific (APAC),,,,Active,2014-08-28,day,,,,,For Profit,http://www.bz-inc.com/,,,,,contact@bz-inc.com,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Media and Entertainment, Music and Audio, Science and Engineering, Software",2,"Jiawei Huang, Zhiping Yin",11-50,1,Seed,2015-07-01,3000000,CNY,485283,3000000,CNY,485283,Angel,Angel,3000000,CNY,485283,3000000,CNY,485283,"Frees Fund, IDG Capital",,2
Clikma,https://www.crunchbase.com/organization/clikma,"Artificial Intelligence (AI), E-Learning, Human Resources, Information Technology, Software","Valparaiso, Valparaiso, Chile",Clikma is a customized learning management solution (LMS) for large businesses.,"185,449",Latin America,2241521,,,Active,2013-10-17,day,,,,,For Profit,https://www.clikma.com,,https://www.facebook.com/clikmalms,https://www.linkedin.com/company/clikma-lms/,(678)800-4028,mohit.srivastava@clikma.com,,,"Clikma LMS is a comprehensive learning management system for large businesses. Built on Google Cloud Platform’s technology stack, Clikma LMS uses a modular approach to build customized learning solutions for its clients. Since its market launch in Chile in 2020, Clikma has added several marquee brands in retail, banking, mining, logistics and manufacturing sectors to its portfolio of customers. Clikma leverages Google’s generative AI technology and its chatbot to build AI products to enhance its LMS. ClikSearch is an enterprise search tool powered by semantic search capability that additionally gives recommendations by extracting the meaning from the data. ClikBot is a virtual agent that can analyze large amount of data and have conversations about the content with the end users.",,,,,,,,,,,,,,"Administrative Services, Artificial Intelligence (AI), Data and Analytics, Education, Information Technology, Science and Engineering, Software",1,Mohit Srivastava,11-50,2,Seed,2014-12-11,100000,USD,100000,100000,USD,100000,Seed,Seed,130000,USD,130000,130000,USD,130000,"Start-Up Chile, CORFO",,2
DemandTec,https://www.crunchbase.com/organization/demandtec,"Analytics, Marketing Automation, Predictive Analytics, Retail Technology, SaaS, Software","San Carlos, California, United States","DemandTec is an optimization app for retailers and companies providing cloud-based price, promotion and merchandizing analytics.","185,517","San Francisco Bay Area, Silicon Valley, West Coast",94070,,$50M to $100M,Active,1999-12-01,day,2007-08-09,day,,,For Profit,http://www.demandtec.com,https://www.twitter.com/demandtec_pr,http://www.facebook.com/demandtec,http://www.linkedin.com/company/ibm-demandtec-solutions,(650)645-7100,dtinfo@us.ibm.com,51,,"DemandTec (NASDAQ:DMAN) connects more than 340 retailers and consumer products companies, providing common tools to transact, interact, and collaborate on core merchandising and marketing activities. DemandTec's services enable customers to achieve their sales volume, revenue, shopper loyalty, and profitability objectives. DemandTec customers have collaborated on nearly four million trade deals. DemandTec software and analytical services utilize a science-based platform to model and understand consumer behavior. DemandTec customers include leading retailers and consumer products companies such as Ahold USA, Best Buy, ConAgra Foods, Delhaize America, General Mills, H-E-B Grocery Co., The Home Depot, Hormel Foods, Monoprix, PETCO, Safeway, Sara Lee, Target, Walmart, and WH Smith.",,,,,,,,,,,,,,"Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Hardware, Sales and Marketing, Software",1,Michael Neal,10001+,1,M&A,2007-08-09,6000000,USD,6000000,,,,Debt Financing,,6000000,USD,6000000,,,,"Altos Ventures, Black River Asset Management, Crosspoint Venture Partners",,3
Profit Street,https://www.crunchbase.com/organization/profit-street,"Business Intelligence, Consulting, Predictive Analytics, SaaS","Phoenix, Arizona, United States","Profit Street offers a solution-centric, SaaS profitability enrichment program for small and medium businesses.","185,586","Greater Phoenix Area, Western US",85029,,Less than $1M,Closed,2013-10-13,day,,,2017-12-31,day,For Profit,http://www.profitstreet.com,,,https://www.linkedin.com/company/3777150,+1 (888) 930-5655,,,,"Profit Street offers a solution-centric, SaaS profitability enrichment program for small and medium businesses. The company’s service portfolio also includes budgeting and financial analysis, cash flow forecasting, payroll analysis and productivity measurement, advanced industry and business metric analysis, alert code monitoring, employee development, and community interaction.  Profit Street was founded by Scott Stickel and Markus Stickel in October 2013 and is based in Phoenix, Arizona.",,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Professional Services, Software",2,"Markus Stickel, Scott Stickel",11-50,1,Seed,2015-01-08,370000,USD,370000,370000,USD,370000,Seed,Seed,370000,USD,370000,370000,USD,370000,,,
Camio,https://www.crunchbase.com/organization/camio,"Machine Learning, SaaS, Security, Software, Video","San Mateo, California, United States",The real-time video search engine that powers cost-effective remote video monitoring.,"185,707","San Francisco Bay Area, Silicon Valley, West Coast",94401,,$1M to $10M,Active,2013-01-01,year,,,,,For Profit,https://camio.com,https://twitter.com/camio,https://www.facebook.com/CamioCam,https://www.linkedin.com/company/camiolog,(415) 236-0100,info@camio.com,13,,Camio is the search engine behind cost-effective video surveillance. It connects any camera to state-of-the-art Machine Learning to power modern video monitoring solutions with the efficiency and flexibility advantages of hybrid edge/cloud SaaS.,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Media and Entertainment, Privacy and Security, Software, Video",3,"Carter Maslan, Jan Jannink, Luca de Alfaro",11-50,2,,2016-01-01,,,,,,,Venture - Series Unknown,Venture - Series Unknown,1600000,USD,1600000,1600000,USD,1600000,"BoxGroup, Greylock, Floodgate, Freestyle Capital, LDV Capital",1,9
CloudRadigm Pte Ltd,https://www.crunchbase.com/organization/cloudradigm-pte-ltd,"Analytics, Artificial Intelligence (AI), Big Data, Machine Learning, Predictive Analytics","Singapore, Central Region, Singapore",Empowering App Developers with Artificial Intelligence driven Big Data Analytics technology that is easy to adopt and use,"185,759","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",,,,Active,2013-01-01,year,,,,,For Profit,,,,,,sales@cloudradigm.com,,,"The company focuses on the development of an AI-driven Big Data Analytics Engine and its eco-system that any App Developer could easily adopt for different applications, even without any prior machine-learning knowledge but yet able to achieve what only a team of experienced senior data scientists could deliver.  Our patent-pending technology is the result of our in-house research, integrating a set of  customised highly advanced AI algorithms which serves as the core of our ScorpioAI Engine, where it performs self-modelling, selection and orchestration of algorithms in problem-solving. It's self-learning and reinforcement learning abilities further ensures that it delivers fast and superior performance. The beauty of it also lies in it being light-weight and not requiring massive and fast computing resources, as it runs even on an ordinary laptop. On the other hand, it is designed for scalability and when deployed with the right infrastructure resources, it serves an enterprise environment or SaaS platform equally well.",,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",1,Kent Lee,1-10,3,Seed,2015-04-08,250000,USD,250000,250000,USD,250000,Seed,Seed,1000000,USD,1000000,1000000,USD,1000000,,,
alva,https://www.crunchbase.com/organization/alva-2,"Analytics, Artificial Intelligence (AI), Business Intelligence, Machine Learning, Reputation","London, England, United Kingdom","alva provides Stakeholder Intelligence for Corporate Affairs, Communications, Sustainability and Risk professionals across the Global 2000.","186,991","Europe, Middle East, and Africa (EMEA)",SE1 0LH,,$1M to $10M,Active,2010-03-01,day,,,,,For Profit,http://www.alva-group.com/en/,https://twitter.com/alvareputation,https://www.facebook.com/alva.reputation.analysis/,https://www.linkedin.com/company/alva_858801,+442037359780,info@alva-group.com,8,,"alva provides Stakeholder Intelligence for Corporate Affairs, Communications, Sustainability and Risk professionals across the Global 2000.  We analyse millions of alternative data, including media, regulator, investor, government, public and NGO sources to help our clients better understand and connect with their Stakeholders alva combines AI technology with Sector Analysts to provide a fully integrated intelligence solution to Global 2000 companies covering their media, reputation and ESG profiles.",,Yes,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",3,"Alastair Pickering, Alberto Lopez, Richard Fleming",11-50,2,,2015-03-31,2500000,GBP,3706960,2500000,GBP,3706960,Venture - Series Unknown,Venture - Series Unknown,3175000,GBP,4674415,3175000,GBP,4674415,"Grafton Capital, Cass Entrepreneurship Fund, Cass Business School, Andrew Vickerman, Charles Lewington",1,5
Plixi,https://www.crunchbase.com/organization/plixi,"Advertising, Machine Learning, Social Media Management, Social Media Marketing, Software","San Diego, California, United States","Plixi is the leading Instagram growth service allowing users to grow their audience organically, using patented audience growth technology.","187,210","Greater San Diego Area, West Coast, Western US",,,$1M to $10M,Active,2009-03-18,day,2011-01-27,day,,,For Profit,https://plixi.com,https://www.twitter.com/PlixiGrowth,,https://www.linkedin.com/company/plixi-inc.,,support@plixi.com,29,,"Plixi is leading Instagram growth service helping brands, influencers and agencies grow their Instagram audience organically. It uses AI and automation tools that will make growing your account easier than ever. Plixi developed their growth engine by training ML & deep learning models on 120M+ data points. Their secret sauce is a combination of paid advertising, nano-interactions, niche data clusters and real-human activity. Plixi attracts more real Instagram users interested in your account and converts them to followers.",,,,,,,,,,,,,,"Advertising, Artificial Intelligence (AI), Data and Analytics, Internet Services, Sales and Marketing, Software",2,"Andre Haug, Rodney Rumford",11-50,1,M&A,2010-03-30,2600000,USD,2600000,2600000,USD,2600000,Series A,Series A,2600000,USD,2600000,2600000,USD,2600000,"Qualcomm, Canaan Partners, Anthem Venture Partners, Kodak Alaris",1,4
MYCHOPCHOP,https://www.crunchbase.com/organization/mychopchop,"Apps, Artificial Intelligence (AI), Cooking","London, England, United Kingdom",Dynamic learning and task management app for cooking backed by artificial intelligence,"187,400","Europe, Middle East, and Africa (EMEA)",,,,Active,2014-12-15,day,,,,,For Profit,http://www.mychopchop.com/,https://twitter.com/chopchopit,https://www.facebook.com/chopchopit,,+4402031767060,team@mychopchop.com,,,"At CHOPCHOP, their mission is to make cooking as easy, fun, and stress-free as it should be. Start by browsing through delicious dishes curated for your home cooked meal. Select your favourites and get ready to cook! Their algorithm will calculate the optimal cooking sequence for your meal and guide you through the entire process, step by step.",,,,,,,,,,,,,,"Apps, Artificial Intelligence (AI), Data and Analytics, Food and Beverage, Science and Engineering, Software",1,JinA Bae,,3,,2015-11-02,,,,,,,Non-equity Assistance,,175000,EUR,193244,,,,"Pitch@Palace, Imperial Create Lab, EuropeanPioneers",,3
chatShopper,https://www.crunchbase.com/organization/chatshopper,"Artificial Intelligence (AI), E-Commerce, Fashion, Image Recognition, Machine Learning, Messaging, Natural Language Processing, Shopping","Berlin, Berlin, Germany",chatShopper is an AI-powered conversational fashion engine.,"187,762","European Union (EU), Europe, Middle East, and Africa (EMEA)",10115,,$1M to $10M,Active,2015-12-01,day,,,,,For Profit,http://www.chatshopper.com/,https://twitter.com/ChatShopper,https://www.facebook.com/chatShopper,https://www.linkedin.com/company/10015627,+49 178 / 18 18 111,hello@chatshopper.com,20,,"chatShopper provides natural language understanding and image recognition they want to make fashion search conversational, easy and delightful. They're one of the first conversational commerce player and they'll help to change the future of mobile commerce. Their vision is to make every product available through messaging and they use bots (chatbots, voice assistants) and existing channels to enable instant and scalable 1-to-1 communication.",,,,,,,,,,,,,,"Artificial Intelligence (AI), Clothing and Apparel, Commerce and Shopping, Data and Analytics, Design, Information Technology, Internet Services, Messaging and Telecommunications, Science and Engineering, Software",2,"Antonia Ermacora, Matthias Nannt",1-10,1,Seed,2016-01-01,375000,EUR,407183,375000,EUR,407183,Seed,Seed,375000,EUR,407183,375000,EUR,407183,VentureVilla Accelerator,,1
