Organization Name,Organization Name URL,Full Description,Industries,Headquarters Location,Description,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Exit Date,Exit Date Precision,Trademarks Registered,Monthly Visits,Active Tech Count,Total Products Active,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Downloads Last 30 Days,Most Popular Patent Class,Most Popular Trademark Class,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Number of Funding Rounds,Last Funding Date,Headquarters Regions,Estimated Revenue Range,Top 5 Investors,Most Recent Valuation Range,Date of Most Recent Valuation,Patents Granted,IPO Status,Postal Code,Founded Date,Founded Date Precision,Company Type,Website,LinkedIn,Number of Exits,Number of Exits (IPO),Industry Groups,Number of Founders,Founders,Number of Employees,Funding Status,Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,CB Rank (Organization),CB Rank (Company)
Deepnote,https://www.crunchbase.com/organization/deepnote,"Deepnote is building the best data science notebook for teams. In the notebook, users can connect their data, explore, and analyze it with real-time collaboration and version control. Users can easily share project links with team collaborators, or with end-users to present polished assets. All of this is done through a powerful, browser-based UI that runs in the cloud. We built Deepnote because data scientists don't work alone.","Analytics, Artificial Intelligence (AI), Big Data, Business Intelligence, Cloud Data Services, Data Visualization, Machine Learning, PaaS","San Francisco, California, United States","Deepnote is a collaborative data science notebook for teams that is shareable, Jupyter-compatible, and runs in the cloud.",23800000,USD,23800000,,,,"248,011",60,,23800000,USD,23800000,,,,20000000,USD,20000000,3,2022-01-31,"San Francisco Bay Area, West Coast, Western US",$1M to $10M,"Y Combinator, Daniel Gross, Accel, Dig Ventures, Index Ventures",,,,Private,94105,2019-01-01,year,For Profit,https://www.deepnote.com/,https://www.linkedin.com/company/deepnote/,,,"Artificial Intelligence (AI), Data and Analytics, Design, Information Technology, Internet Services, Science and Engineering, Software",4,"Filip Stollár, Jakub Jurovych, Jan Matas, Jirka Lhotka",51-100,Early Stage Venture,Series A,20000000,USD,20000000,Series A,2,19,,,"2,603","2,601"
Thoughtful AI,https://www.crunchbase.com/organization/thoughtful-automation,"We are Thoughtful AI – pioneering a new approach to automation for all healthcare providers! Our Fully-Human Capable AI Agents operate within your existing RCM tech stack to accomplish key tasks currently performed by human employees. The Thoughtful AI platform utilizes state-of-the-art technology, including Robotic Process Automation, Optical Character Recognition, Natural Language Processing, and Large Language Models.",Artificial Intelligence (AI),"Austin, Texas, United States",AI-powered Healthcare Automation,28325000,USD,28325000,,,3,,12,,28325000,USD,28325000,,,Scientific and technological services,12500000,USD,12500000,4,2024-04-19,Southern US,,Drive Capital,,,0,Private,78701,2020-01-01,month,For Profit,http://www.thoughtful.ai,https://www.linkedin.com/company/thoughtful-ai,,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",2,"Alex Zekoff, Dan Parsons",11-50,Early Stage Venture,Series A,12500000,USD,12500000,Series A,1,1,,,"2,643","2,641"
Zowie,https://www.crunchbase.com/organization/zowie-inc,"Zowie’s AI-powered ecommerce customer service suite offers everything you need to deliver fast, personalized, and effective experiences. Revolutionize your online support with powerful AI that allows brands to unlock the power of conversation while keeping them in full control over customer interactions. Save money. Make Money. Wow your customers with Zowie.","Artificial Intelligence (AI), Software","Dover, Delaware, United States","Zowie’s AI-powered ecommerce customer service suite offers everything you need to deliver fast, personalized, and effective experiences.",19620000,USD,19620000,,,1,"8,521",36,6,19620000,USD,19620000,,,Scientific and electric apparatus and instruments,14000000,USD,14000000,3,2022-05-24,"East Coast, Southern US",$1M to $10M,"Gradient Ventures, 10x Founders, Inovo VC, Jack Altman, Tiger Global Management",,,0,Private,19901,2019-01-01,day,For Profit,https://zowie.ai,https://www.linkedin.com/company/zowieai,,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",2,"Maja Schaefer, Matt Ciolek",51-100,Early Stage Venture,Series A,14000000,USD,14000000,Series A,4,6,,,"2,692","2,690"
Beautiful.AI,https://www.crunchbase.com/organization/beautiful-ai,"The Beautiful.AI team has spent decades working on presentations—writing them, designing them, and building software to make them. During that time, we’ve watched way too many people bang their heads against the wall trying to turn ideas into visual presentations. And so we decided to do something about it. We believe that the only way to guarantee good presentation design is to build the intelligence of a designer directly into the tool. Thus, Beautiful.AI suggests ways to visualize your ideas and makes it incredibly easy to customize the design. It knows what’s on your slide, what you might add later, and how to adjust the layout when you do. (And we’d like to think it has pretty good taste, too). We are constantly working to make Beautiful.AI  better—adding more templates and design options, improving our recommendations, and making it even easier for you to do beautiful work. Whatever it takes to help you inspire more people, close more deals, win more pitches, and get more sleep.","Artificial Intelligence (AI), Machine Learning, Software","San Francisco, California, United States",Creating software that understands the rules of great design and allows anyone to build stunningly beautiful visual documents with ease.,16000000,USD,16000000,,,2,"1,339,397",68,35,16000000,USD,16000000,5,,Scientific and technological services,11000000,USD,11000000,2,2018-05-15,"San Francisco Bay Area, West Coast, Western US",$1M to $10M,"Trinity Ventures, First Round Capital, Shasta Ventures",$50M to $100M,2018-05-15,0,Private,94110,2015-10-01,day,For Profit,https://www.beautiful.ai,https://www.linkedin.com/company/beautiful-ai/,,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",1,Mitch Grasso,11-50,Early Stage Venture,Series B,11000000,USD,11000000,Series B,3,3,,,"2,705","2,703"
Aim Security,https://www.crunchbase.com/organization/aim-security,"Aim Security specializes in providing comprehensive security solutions for enterprises adopting generative artificial intelligence (AI). The company's platform is designed to address the unique security challenges posed by AI, including data exposure, supply chain vulnerabilities, and malicious outputs.","Artificial Intelligence (AI), Cyber Security, Network Security, Security","Tel Aviv, Tel Aviv, Israel",Aim Security is a GenAI security platform that aids enterprises in securing their transformation and increasing business productivity.,28000000,USD,28000000,,,,"3,420",2,,28000000,USD,28000000,,,,18000000,USD,18000000,3,2024-06-17,"Europe, Middle East, and Africa (EMEA), Middle East",,"Operator Partners, YL Ventures, AWS Startup Loft Accelerator, Canaan Partners, StoneMill Ventures",,,,Private,,2023-01-01,month,For Profit,https://www.aim.security,https://www.linkedin.com/company/aimsecurity,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Privacy and Security, Science and Engineering, Software",2,"Adir G., Matan Getz",11-50,Early Stage Venture,Series A,18000000,USD,18000000,Series A,3,6,,,"2,720","2,718"
Extropic AI,https://www.crunchbase.com/organization/extropic-ai,,Artificial Intelligence (AI),"Austin, Texas, United States","Extropic AI is a hardware startup that is building a chip optimized to run large language models, or LLMs.",14100000,USD,14100000,,,,"55,747",9,,14100000,USD,14100000,,,,14100000,USD,14100000,1,2023-12-04,Southern US,,"Kindred Ventures, Scott Belsky, Arash Ferdowsi, Amjad Masad, OSS Capital L.P.",,,,Private,78757,2022-01-01,year,For Profit,https://www.extropic.ai/,https://www.linkedin.com/company/extropic-ai/about/,,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",2,"Guillaume Verdon, Trevor McCourt",11-50,Seed,Seed,14100000,USD,14100000,Seed,1,17,,,"2,727","2,725"
Tastewise,https://www.crunchbase.com/organization/tastewise,"Tastewise is a generative AI MarTech solution for food & beverage (vertical SaaS), trusted by top global food brands like PepsiCo, KraftHeinz, Nestle, Mars, Givaudan & many more. The food & beverage industry is slow to adapt and with no path to efficiency in fast-moving consumer world. Today's industry is fragmented, suffering from high friction, labour intensive professional services, and wasted resources. Tastewise is the change catalyst for those who create the future of food, with AI-driven technology that enables the food industry to execute at unprecedented speed and scale; with one vertical enterprise-grade AI platform, we redefine execution from 12 months to 8 hours. Our platform includes deep research & marketing execution workflows to power every food decision and action with the latest in AI.","Analytics, Artificial Intelligence (AI), Big Data, Consumer Goods, Food and Beverage, Marketing, Predictive Analytics, Restaurants, Retail","Tel Aviv, Tel Aviv, Israel","Tastewise is the data-driven execution platform the food & beverage industry uses to innovate faster, market better & grow sales.",21600000,USD,21600000,,,1,"27,628",6,,21600000,USD,21600000,,,Scientific and electric apparatus and instruments,17000000,USD,17000000,3,2022-03-02,"Europe, Middle East, and Africa (EMEA), Middle East",$10M to $50M,"PeakBridge, Disruptive, Disruptive AI Venture Capital, PICO Venture Partners",,,0,Private,,2018-01-01,day,For Profit,https://www.tastewise.io,https://www.linkedin.com/company/tastewise/,,,"Artificial Intelligence (AI), Commerce and Shopping, Consumer Goods, Data and Analytics, Food and Beverage, Sales and Marketing, Science and Engineering, Software",2,"Alon Chen, Eyal Gaon",51-100,Early Stage Venture,Series A,17000000,USD,17000000,Series A,2,4,,,"2,730","2,728"
Matic,https://www.crunchbase.com/organization/matic-b8e0,Matic is a technology startup that provides AI-powered indoor robots.,"Artificial Intelligence (AI), Machinery Manufacturing, Robotics","Mountain View, California, United States",Matic is a technology startup that provides AI-powered indoor robots.,29600000,USD,29600000,,,0,"13,319",11,6,29600000,USD,29600000,,"Furniture,Domestic Articles Or Appliances; Coffee Mills; Spice Mills",,24000000,USD,24000000,2,2023-11-02,"San Francisco Bay Area, Silicon Valley, West Coast",,"Nat Friedman, Daniel Gross, Jack Dorsey, Adam D’Angelo, Patrick Collison",,,4,Private,94043,2017-01-01,year,For Profit,https://maticrobots.com,https://www.linkedin.com/company/maticrobots,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Manufacturing, Science and Engineering, Software",2,"Mehul Nariyawala, Navneet Dalal",101-250,Early Stage Venture,Series A,24000000,USD,24000000,Series A,1,14,,,"2,741","2,739"
Sixfold AI,https://www.crunchbase.com/organization/sixfold-ai,"Sixfold AI is a generative artificial intelligence tool developed and educated to handle the most difficult problems in the insurance industry. The company aids insurance underwriters in enhancing accuracy, optimizing capacity, boosting traceability, and enhancing their overall quality of work life. Underwriting, traditionally a time-consuming and artisanal process, often compels insurers to prioritize submissions, leading to missed opportunities.","Artificial Intelligence (AI), Generative AI, InsurTech, Productivity Tools","New York, New York, United States",Sixfold AI is an insurtech startup that leverages generative AI to improve insurance underwriting processes.,21500000,USD,21500000,,,,527,1,,21500000,USD,21500000,,,,15000000,USD,15000000,2,2024-06-05,"Greater New York Area, East Coast, Northeastern US",,"Scale Venture Partners, Bessemer Venture Partners, Salesforce Ventures, Crystal Venture Partners",,,,Private,10128,2023-01-01,year,For Profit,https://www.sixfold.ai,https://www.linkedin.com/company/sixfold-ai,,,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Science and Engineering, Software",3,"Alex Schmelkin, Brian Moseley, Jane Tran",11-50,Early Stage Venture,Series A,15000000,USD,15000000,Series A,2,4,,,"2,802","2,800"
Activeloop,https://www.crunchbase.com/organization/snark-ai,"Deep Lake is a Database for AI powered by a unique storage format optimized for deep-learning and Large Language Model (LLM) based applications (http://github.com/activeloopai/deeplake; 8K+ stars). It simplifies the deployment of enterprise-grade LLM-based products by offering storage for all data types (embeddings, audio, text, videos, images, pdfs, annotations, etc.), querying and vector search, data streaming while training models at scale, data versioning and lineage for all workloads, and integrations with popular tools such as LangChain, LlamaIndex, Weights & Biases, and many more. Deep Lake works with data of any size, it is serverless, and it enables you to store all of your data in once place. Deep Lake is used by Bayer Radiology, Flagship Pioneering, Matterport, ZERO Systems, and others. Try out Deep Lake today via app.activeloop.ai Activeloop's founding team is from Princeton, Stanford, Google, and Tesla, and is backed by Y Combinator.","Artificial Intelligence (AI), GPU, Machine Learning, Software, Training","Mountain View, California, United States",Activeloop empowers enterprises to organize complex unstructured data and retrieve knowledge with AI,19600000,USD,19600000,,,,"81,503",64,,19600000,USD,19600000,,,,11000000,USD,11000000,5,2024-03-26,"San Francisco Bay Area, Silicon Valley, West Coast",$1M to $10M,"Alumni Ventures, DVC, Y Combinator, Zeno Partners, Dispersion Capital",,,,Private,94041,2018-01-01,year,For Profit,https://activeloop.ai,https://www.linkedin.com/company/activeloop,,,"Artificial Intelligence (AI), Data and Analytics, Education, Hardware, Science and Engineering, Software",3,"Davit Buniatyan, Jason Ge, Sergiy Popovych",11-50,Early Stage Venture,Series A,11000000,USD,11000000,Series A,4,19,,,"2,809","2,807"
Pearl,https://www.crunchbase.com/organization/pearl-080d,"Pearl is a computer vision company focusing on solving challenging problems in the dental industry. It also recognizes dozens of dental pathologies and natural anatomy, allowing practitioners, and existing restorations to assess robust data across their practice, spend more time with patients, and prescribe better treatment options. The company also built a suite of solutions to automate tasks in dental laboratories.","Artificial Intelligence (AI), Dental, Health Care, Software","West Hollywood, California, United States","Pearl develops AI tools for dental professionals to analyze X-rays, enhance diagnostic accuracy, and optimize practice operations.",11000000,USD,11000000,,,,"36,642",37,,11000000,USD,11000000,,,,,,,2,2024-05-07,"Greater Los Angeles Area, West Coast, Western US",$1M to $10M,"Irving Investors, Craft Ventures, Bossanova Investimentos, Dental Innovation Alliance",,,,Private,90069,2019-04-30,day,For Profit,https://hellopearl.com,https://www.linkedin.com/company/hellopearl,,,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",3,"Cambron Carter, Kyle Stanley, Ophir Tanz",11-50,,Venture - Series Unknown,,,,Venture - Series Unknown,2,4,,,"2,823","2,821"
Cloudphysician,https://www.crunchbase.com/organization/cloudphysician,"Cloudphysician is a leading provider of Smart-ICU services, leveraging their cloud-based platform to revolutionize critical care. Their integration of advanced technologies such as AI, IoT, and predictive analytics allows for the delivery of exceptional patient care. By combining medical expertise with cutting-edge innovation, Cloudphysician is reshaping the landscape of critical care, ultimately saving lives and bringing about a transformation in the healthcare industry.","Artificial Intelligence (AI), Emergency Medicine, Health Care, Internet of Things, Medical","Bangalore, Karnataka, India",Cloudphysician is a healthcare technology company that leverages cloud-based solutions to provide critical care services.,1177000000,INR,14520857,,,0,983,17,,1177000000,INR,14520857,7,,,877000000,INR,10510030,4,2024-06-25,Asia-Pacific (APAC),$10M to $50M,"Google for Startups, Elevar Equity, Peak XV Partners, CIE IIIT Hyderabad, Panthera Peak Ventures",,,3,Private,560032,2017-01-01,year,For Profit,https://cloudphysician.net,https://www.linkedin.com/company/cloudphysician,,,"Artificial Intelligence (AI), Data and Analytics, Health Care, Internet Services, Science and Engineering, Software",3,"Dhruv Joshi, Dhruv Sud, Dileep Raman",251-500,Early Stage Venture,Series A,877000000,INR,10510030,Series A,4,5,,,"2,828","2,826"
Alembic,https://www.crunchbase.com/organization/alembic-6007,"Alembic’s software predicts revenue and ROI from marketing, applying AI and mathematics developed during the pandemic to identify causes, treatments, and mortality in disparate data and populations. Based on the results, Alembic analyzes and evaluates unstructured and complex data to predict marketing ROI and future revenue. Alembic is proud to have Fortune 200 and top brands as customers, including NVIDIA, Texas A&M, and North Sails.","Big Data, Business Intelligence, Marketing, Predictive Analytics, SaaS","San Francisco, California, United States",Alembic is a MarTech startup that develops digital marketing tools and provides insights to help companies' marketing teams.,26821229,USD,26821229,,,1,570,66,19,26821229,USD,26821229,,,Scientific and technological services,15971229,USD,15971229,6,2024-02-15,"San Francisco Bay Area, West Coast, Western US",$1M to $10M,"Ridge Ventures, KB Partners, VITALIZE Venture Capital, IrishAngels, WndrCo",,,0,Private,94107,2018-11-01,day,For Profit,https://getalembic.com,https://www.linkedin.com/company/getalembic,,,"Artificial Intelligence (AI), Data and Analytics, Sales and Marketing, Software",2,"John Adams, Tomas Puig",11-50,Early Stage Venture,Series A,15971229,USD,15971229,Series A,3,10,1,Made Acquisitions,"2,851","2,849"
Arkestro,https://www.crunchbase.com/organization/bid-ops,"Arkestro is a predictive procurement software for businesses to boost savings and supply chain performance by pre-embedding preferred outcomes in any system or process. With Arkestro, businesses can orchestrate their activities across systems using instant forecasts and real-time collaboration. Predict and win 2–5x faster savings and never get stuck waiting for a KPI report again.","Analytics, Predictive Analytics, Procurement, Productivity Tools, Software","San Francisco, California, United States",Arkestro is a predictive procurement software for businesses to boost savings and supply chain performance.,27950000,USD,27950000,,,,"1,322",70,23,27750000,USD,27750000,,,,26000000,USD,26000000,5,2022-06-14,"San Francisco Bay Area, West Coast, Western US",Less than $1M,"Correlation Ventures, Koch Disruptive Technologies, Cervin Ventures, Construct Capital, Illuminate Ventures",,,,Private,94110,2017-01-01,year,For Profit,https://arkestro.com,https://www.linkedin.com/company/arkestro,,,"Artificial Intelligence (AI), Data and Analytics, Software, Transportation",3,"Christian Ries, Edmund Zagorin, Rob DeSantis",51-100,Early Stage Venture,Series A,26000000,USD,26000000,Series A,7,14,,,"2,852","2,850"
Rogo,https://www.crunchbase.com/organization/rogo,"Rogo is an AI-powered research & data analysis platform built by ex-bankers and investors. The company was founded in 2021 and is based in New York, New York.","Analytics, Business Intelligence, Data Visualization, Information Technology, Natural Language Processing, Software","New York, New York, United States",A personal research analyst for every banker and investor,10500000,USD,10500000,,,,"9,409",24,,10500000,USD,10500000,,,,7000000,USD,7000000,3,2024-02-16,"Greater New York Area, East Coast, Northeastern US",,"Company Ventures, ScOp Venture Capital, FinTech Sandbox, BoxGroup, AlleyCorp",,,,Private,,2021-01-01,year,For Profit,https://www.rogodata.com,https://www.linkedin.com/company/rogodata/,,,"Artificial Intelligence (AI), Data and Analytics, Design, Information Technology, Software",2,"Gabriel Stengel, John Willett",11-50,Seed,Seed,7000000,USD,7000000,Seed,2,5,,,"2,889","2,887"
Anysphere,https://www.crunchbase.com/organization/anysphere,Anysphere is a company that builds Artificial Intelligence tools and assistants to help humans.,"Artificial Intelligence (AI), Machine Learning, Product Design, Software Engineering","Buffalo, New York, United States",Anysphere is a company that builds Artificial Intelligence tools and assistants to help humans.,8400000,USD,8400000,,,,"5,883",6,,8400000,USD,8400000,,,,8000000,USD,8000000,2,2023-10-11,"Great Lakes, East Coast, Northeastern US",$1M to $10M,"OpenAI Startup Fund, Nat Friedman, Arash Ferdowsi, Heroic Ventures, Alameda Research",,,,Private,14221,2022-01-06,day,For Profit,https://anysphere.co,,,,"Artificial Intelligence (AI), Data and Analytics, Design, Science and Engineering, Software",4,"Aman Sanger, Arvid Lunnemark, Michael Truell, Sualeh Asif",1-10,Seed,Seed,8000000,USD,8000000,Seed,1,5,,,"2,934","2,931"
Connectly.ai,https://www.crunchbase.com/organization/connectly,"Connectly.ai is a conversational commerce company focused on simplifying how small and medium-sized businesses harness their customer messages - across WhatsApp, SMS, Facebook and Instagram Messenger - to transform connections into revenue. Our WhatsApp business solution drives sales for message-first SMBs by running all stages of the customer support and marketing funnel, enabling campaign activation and retargeting, and removing the friction from message-driven sales by treating customers like people, not tickets.","Information Technology, Internet, Machine Learning, Messaging","Redwood City, California, United States",Connectly is the leader in conversational AI. Connectly’s platform automates how businesses communicate with their customers,17250000,USD,17250000,,,,"4,400",52,,17250000,USD,17250000,,,,7850000,USD,7850000,4,2023-09-21,"San Francisco Bay Area, Silicon Valley, West Coast",$1M to $10M,"Unusual Ventures, Canary, Marathon Venture Capital, Global Founders Capital, Saurabh Gupta",,,,Private,94063,2021-01-01,month,For Profit,https://www.connectly.ai,https://www.linkedin.com/company/connectly-ai,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Messaging and Telecommunications, Software",2,"Stefanos Loukakos, Yandong Liu",11-50,Early Stage Venture,Series A,7850000,USD,7850000,Series A,3,7,,,"2,942","2,939"
Aporia,https://www.crunchbase.com/organization/aporia-technologies-ltd,"Aporia is the leading AI Control Platform, trusted by both emerging tech startups and established Fortune 500 companies to guarantee the privacy, security, and reliability of AI applications. With Aporia, organizations gain robust guardrails for AI, effectively mitigating hallucinations, data leakage, and prompt attacks in real time. At the heart of the guardrails detection engine lies Aporia Labs, a team comprised of AI and cybersecurity specialists. This team is dedicated to continuously researching and developing cutting-edge methods for identifying and mitigating hallucinations and prompt attacks, ensuring the protection of your brand's reputation and the trust of your users.","Analytics, Application Performance Management, Big Data, Cloud Data Services, Cloud Infrastructure, Data Visualization, Generative AI, Information Technology, Privacy, Security","San Jose, California, United States",The AI Control Platform,30000000,USD,30000000,,,,"44,278",1,,30000000,USD,30000000,,,,25000000,USD,25000000,2,2022-02-23,"San Francisco Bay Area, Silicon Valley, West Coast",$1M to $10M,"Vertex Ventures, TLV Partners, Tiger Global Management, Tal Ventures, Samsung NEXT",,,,Private,95110,2019-09-01,day,For Profit,http://www.aporia.com,https://www.linkedin.com/company/aporiaai,,,"Artificial Intelligence (AI), Data and Analytics, Design, Hardware, Information Technology, Internet Services, Privacy and Security, Software",2,"Alon Gubkin, Liran Hason",51-100,Early Stage Venture,Series A,25000000,USD,25000000,Series A,3,8,,,"2,966","2,963"
Nomic AI,https://www.crunchbase.com/organization/nomic-ai,Nomic AI engages in improving both the explainability and accessibilty of AI.,"Artificial Intelligence (AI), Information Technology","New York, New York, United States",Nomic AI engages in improving both the explainability and accessibilty of AI.,17000000,USD,17000000,,,,"29,067",19,,17000000,USD,17000000,,,,17000000,USD,17000000,1,2023-07-13,"Greater New York Area, East Coast, Northeastern US",$1M to $10M,"Contrary, Clément Delangue, Amjad Masad, Story Ventures, Factorial Capital",,,,Private,,2022-01-01,year,For Profit,http://nomic.ai/,https://www.linkedin.com/company/nomic-ai/about/,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",2,"Andriy Mulyar, Brandon Duderstadt",1-10,Early Stage Venture,Series A,17000000,USD,17000000,Series A,1,11,,,"2,973","2,970"
Posh AI,https://www.crunchbase.com/organization/posh-700e,"Posh develops a conversational AI platform for the banking industry. Its platform creates AI assistants that help frontline staff and customer interactions. Purpose-built for financial services, Posh’s AI spans voice, digital, and knowledge channels, offering conversational customer service, 24/7 self-service, and increased employee efficiency.","Artificial Intelligence (AI), Banking, Customer Service, FinTech, Productivity Tools","Boston, Massachusetts, United States",Posh develops a conversational AI platform for the banking industry.,72500000,USD,72500000,,,,"5,141",,11,72500000,USD,72500000,,,,45000000,USD,45000000,2,2024-06-12,"Greater Boston Area, East Coast, New England",$10M to $50M,"Human Capital, Canapi Ventures, JAM FINTOP, Curql, TruStage Ventures",,,,Private,02111,2018-01-01,year,For Profit,https://www.posh.ai,https://www.linkedin.com/company/poshai,,,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Lending and Investments, Other, Professional Services, Science and Engineering, Software",2,"Karan Kashyap, Matt McEachern",51-100,,Venture - Series Unknown,45000000,USD,45000000,Venture - Series Unknown,2,6,,,"2,978","2,975"
Bynder,https://www.crunchbase.com/organization/bynder,"Bynder is award-winning digital asset management platform (DAM) that allows brands to easily create, find and use content, such as documents, graphics and videos. More than 1.7 million brand managers, marketers and creatives use Bynder’s brand portals every day to collaborate globally, produce, review and approve new marketing collateral, and circulate company content at the click of a button. Brands using Bynder go to market faster and achieve end-to-end brand consistency across all channels and regions, with simplified collaboration across the organization. Founded in 2013 by Chris Hall, Bynder is established globally with headquarters in Amsterdam and offices across the Netherlands, UK, US, Spain, Australia and UAE.","Artificial Intelligence (AI), Asset Management, Brand Marketing, Digital Marketing, Document Management, File Sharing, Marketing Automation, SaaS","Amsterdam, Noord-Holland, The Netherlands",Bynder is a provider of a digital asset management (DAM) platform designed to offer a smart way to find and share creative files.,22200000,USD,22200000,2022-12-20,day,6,"259,701",86,75,22200000,USD,22200000,,,Scientific and technological services,22200000,USD,22200000,2,2016-08-11,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$100M to $500M,"Insight Partners, CNBB Venture Partners",,,0,Private,1017 MB,2013-01-01,month,For Profit,https://www.bynder.com,https://linkedin.com/company/bynder,,,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Information Technology, Sales and Marketing, Science and Engineering, Software",2,"Chris Hall, Roland Keijzer",501-1000,M&A,Series A,22200000,USD,22200000,Series A,1,2,5,"Made Acquisitions, Was Acquired","2,989","2,986"
Spekit,https://www.crunchbase.com/organization/spekit-inc,"Spekit is the leading AI-powered, just-in-time enablement platform, purpose-built to transform how sales reps operate. The platform centralizes and automatically surfaces the answers, content, and training sales reps need to thrive in any tool or workflow, boosting productivity, efficiency, and impact.  Unlike traditional solutions that treat sales enablement as an event or destination, Spekit is designed around how sales teams work today, seamlessly connecting into their daily workflows to deliver the right playbooks, case studies, process guidance, coaching, and more without taking them away from wherever they’re selling.  Headquartered in Denver, Spekit helps thousands of companies across industries, including Southwest, Invesco, Zoom, Ibotta, and more, to scale their revenue teams faster with enablement in the flow of work™.","Artificial Intelligence (AI), Content Marketing, CRM, Enterprise Software, Generative AI, Knowledge Management, SaaS, Sales Enablement, Training","Denver, Colorado, United States","Real-time, personalized AI-driven sales enablement.",60614997,USD,60614997,,,3,"5,480",42,14,60614997,USD,60614997,,Computing; Calculating,Scientific and technological services,45000000,USD,45000000,5,2022-01-19,"Greater Denver Area, Western US",$10M to $50M,"Bonfire Ventures, GTMfund, Matchstick Ventures, Operator Collective, Renegade Partners",,,0,Private,80205,2018-02-01,month,For Profit,https://www.spekit.com,https://www.linkedin.com/company/spekit/,,,"Administrative Services, Artificial Intelligence (AI), Data and Analytics, Education, Information Technology, Other, Sales and Marketing, Science and Engineering, Software",2,"Melanie Fellay, Zari Zahra",101-250,Early Stage Venture,Series B,45000000,USD,45000000,Series B,6,9,,,"2,998","2,995"
Tier IV,https://www.crunchbase.com/organization/tier-iv,"Tier IV is a federated academic startup embracing research and development of intelligent vehicles. Founded in December 2015, Tier IV has led the development of open-source software for self-driving technology, also known as Autoware, and applied it for the proof of concept of last-mile driverless mobility and logistics. Tier IV aspires to achieve “Democratization of Intelligent Vehicles”, where any individuals and organizations can contribute to a grander vision of future intelligent vehicles, leading to a better society in which all the people receive new spatio-temporal values.","Automotive, Autonomous Vehicles, Open Source, Robotic Process Automation (RPA), Software","Tokyo, Tokyo, Japan",Tier IV creates technology-enabled driving software for the automotive industry that develops intelligent vehicles.,450623961,USD,450623961,,,6,"81,472",43,,450623961,USD,450623961,,,Scientific and electric apparatus and instruments,8500000000,JPY,53948730,9,2024-06-16,Asia-Pacific (APAC),$10M to $50M,"Mitsubishi Corporation, JAFCO, KDDI, Bridgestone Corporation, Yamaha Motor",,,0,Private,140-0001,2015-12-01,day,For Profit,https://tier4.jp/,https://www.linkedin.com/company/tier-iv-inc/,,,"Artificial Intelligence (AI), Software, Transportation",1,Shinpei Kato,101-250,Early Stage Venture,Series B,8500000000,JPY,53948730,Series B,5,14,,,"3,010","3,007"
Iris.ai,https://www.crunchbase.com/organization/iris-ai,"Iris.ai provides an AI science assistant that helps R&D departments navigate and find research text content. The company's RSpace solution provides smart search and a wide range of smart filters, reading list analysis, auto-generated summaries, autonomous extraction, and data systematization. Its AI platform allows clients from corporate R&D departments to university researchers to unlock the latest scientific insights beyond human capabilities alone.","Artificial Intelligence (AI), Assistive Technology, Information Technology, Machine Learning, Product Research","Oslo, Oslo, Norway",Iris.ai provides an AI science assistant that helps R&D departments navigate and find research text content.,28601964,USD,28601964,,,,"32,186",31,18,24516055,USD,24516055,,,,7640000,EUR,8263783,11,2024-05-29,"Nordic Countries, Scandinavia, Europe, Middle East, and Africa (EMEA)",$10M to $50M,"Founders Factory, European Innovation Council, Farvatn Venture, EIC Accelerator, EASME - EU Executive Agency for SMEs",,,,Private,1368,2015-01-01,year,For Profit,https://iris.ai,http://linkedin.com/company/Iris-ai,,,"Artificial Intelligence (AI), Data and Analytics, Design, Health Care, Information Technology, Science and Engineering, Software",4,"Anita Schjøll Abildgaard, Jacobo Elosua, Maria Ritola, Victor Botev",11-50,Early Stage Venture,Series A,7640000,EUR,8263783,Series A,2,11,,,"3,017","3,014"
