Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company)
Kinara,https://www.crunchbase.com/organization/deep-vision-c7a3,"Artificial Intelligence (AI), Semiconductor, Software","Los Altos, California, United States",Kinara’s game-changing AI solutions revolutionize what people and businesses can achieve.,"3,918"
ClosedLoop,https://www.crunchbase.com/organization/closedloop-ai,"Artificial Intelligence (AI), Health Care, Machine Learning","Austin, Texas, United States","ClosedLoop is healthcare's data science platform, helping healthcare organizations use AI / ML to improve outcomes and reduce costs.","3,943"
Qwiet,https://www.crunchbase.com/organization/shiftleft,"Artificial Intelligence (AI), Cloud Security, Cyber Security, Developer Tools, Security, Software","San Jose, California, United States",Qwiet is an IT firm that developes an AI -powered AppSec platform.,"3,948"
Karma,https://www.crunchbase.com/organization/shoptagr,"Apps, Artificial Intelligence (AI), E-Commerce, Fashion, Online Portals, Retail, Software","Tel Aviv, Tel Aviv, Israel",Karma is the next generation shopping assistant that helps millions of people shop better.,"3,952"
Fetcher,https://www.crunchbase.com/organization/scout-technologies,"Artificial Intelligence (AI), Employment, Human Resources, Recruiting","New York, New York, United States",Fetcher provides an AI-powered sourcing platform designed to automate the recruitment process.,"3,958"
Profluent Bio,https://www.crunchbase.com/organization/profluent-bio,"Artificial Intelligence (AI), Biotechnology","Berkeley, California, United States",Decoding the language of life with AI,"3,970"
Zid زد,https://www.crunchbase.com/organization/zid,"E-Commerce, Internet, Predictive Analytics, Retail","Riyadh, Ar Riyad, Saudi Arabia",Building Modern Retail. Zid is an eRetail enablement company that enables any retailer to move from traditional retail to modern retail.,"3,978"
Theta Lake,https://www.crunchbase.com/organization/theta-lake,"Compliance, Cyber Security, Natural Language Processing, Video Advertising, Video Chat, Video Conferencing","Santa Barbara, California, United States","Theta Lake is a collaboration tool for the workplace with archive connectors, compliant archiving, ML-based security, and data protection.","3,999"
ALICE Technologies,https://www.crunchbase.com/organization/alice-technologies,"Artificial Intelligence (AI), Construction, Innovation Management, Real Estate","Menlo Park, California, United States","Alice Technologies develops construction-engineering software for general contractors, subcontractors, and real estate developers.","4,001"
Hyphen,https://www.crunchbase.com/organization/usehyphen,"Artificial Intelligence (AI), Industrial Automation, Machine Learning, Restaurants, Robotics, Software","San Jose, California, United States",Hyphen automates culinary operations for the restaurant and foodservice industry.,"4,007"
NeuReality,https://www.crunchbase.com/organization/neureality,"Artificial Intelligence (AI), Machine Learning, Software","Caesarea, Hefa, Israel",NeuReality is a semiconductor start-up that designs AI-as-a-service infrastructure.,"4,017"
Zippin,https://www.crunchbase.com/organization/zippin,"Artificial Intelligence (AI), Computer, Retail Technology, Shopping, Software","San Francisco, California, United States",Zippin is the next generation of checkout-free technology enabling retailers to quickly deploy frictionless shopping in their stores. ,"4,021"
Orbem,https://www.crunchbase.com/organization/orbem-ff8b,"Artificial Intelligence (AI), Information Technology, Sensor","Munich, Bayern, Germany",Orbem is a sensor-based AI breeding monitoring system.,"4,092"
Callsign,https://www.crunchbase.com/organization/callsign,"Artificial Intelligence (AI), Biometrics, Cyber Security, FinTech, Fraud Detection, Identity Management, Machine Learning, Network Security, Privacy, Software","London, England, United Kingdom",Delivering digital trust through simple secure customer interactions,"4,110"
Brightflag,https://www.crunchbase.com/organization/legal-shine,"Artificial Intelligence (AI), Enterprise Software, Legal, Legal Tech, SaaS, Software","Dublin, Dublin, Ireland",Brightflag is the AI-powered legal spend management and matter management platform for corporate legal teams.,"4,122"
Reco,https://www.crunchbase.com/organization/reco-67bb,"Artificial Intelligence (AI), Cyber Security, Generative AI, SaaS, Software","San Francisco, California, United States","Reco is an identity-first SaaS security solution that provides full visibility into every app, identity, and action to protect against risk.","4,128"
StudySmarter,https://www.crunchbase.com/organization/studysmarter,"Artificial Intelligence (AI), EdTech, Education","München, Bayern, Germany",StudySmarter is an EdTech company that develops an intelligent and content-agnostic platform for lifelong learning.,"4,130"
CarePredict,https://www.crunchbase.com/organization/carepredict,"Artificial Intelligence (AI), Elder Care, Fitness, Health Care","Plantation, Florida, United States",CarePredict develops an AI-driven digital health platform for senior care.,"4,137"
Gongye Technology,https://www.crunchbase.com/organization/gongye-technology,"Artificial Intelligence (AI), Big Data, Machine Learning, Machinery Manufacturing, Manufacturing, Recycling, Robotics, Waste Management","Dongguang, Guangdong, China",Gongye Technology makes use of AI and big data to manufacture intelligent equipment for solid waste sorting and recycling.,"4,240"
DigitalOwl,https://www.crunchbase.com/organization/digitalowl,"Insurance, InsurTech, Internet, Life Insurance, Marketing, Natural Language Processing, Software","New York, New York, United States",DigitalOwl is an InsurTech platform using AI to empower insurance professionals to transform complex medical data into actionable insights.,"4,244"
Wrtn Technologies,https://www.crunchbase.com/organization/wrtn-technologies,"Artificial Intelligence (AI), Content, Machine Learning, Natural Language Processing","Seoul, Seoul-t'ukpyolsi, South Korea",Wrtn Technologies develops an AI and NLP-based writing assistant to enhance creativity and productivity.,"4,313"
LANDR,https://www.crunchbase.com/organization/mixgenius,"Audio, Content Creators, Generative AI, Music, Music Education, Musical Instruments, Software Engineering","Montréal, Quebec, Canada","LANDR is a platform where music makers can create, master, and distribute their music","4,360"
Winnow,https://www.crunchbase.com/organization/winnow-solutions,"Analytics, Artificial Intelligence (AI), Computer Vision, Software, Waste Management","London, England, United Kingdom",Winnow creates AI tools designed to supply data for enhancing kitchen production processes and reducing food waste.,"4,470"
Sift Healthcare,https://www.crunchbase.com/organization/sift-medical-data,"Artificial Intelligence (AI), FinTech, Health Care, Information Services, InsurTech, Predictive Analytics, Software","Milwaukee, Wisconsin, United States",Sift Healthcare is a data mining and predictive analytics technology.,"4,479"
CollegeVine,https://www.crunchbase.com/organization/collegevine,"Artificial Intelligence (AI), College Recruiting, EdTech, Education, Higher Education, Professional Networking, Recruiting","Boston, Massachusetts, United States","CollegeVine is an AI company that leverages its vast student network, data, and AI agents to transform student recruitment.","4,558"
Kyndi,https://www.crunchbase.com/organization/kyndi,"Analytics, Artificial Intelligence (AI), Machine Learning, Natural Language Processing, SaaS, Software","San Mateo, California, United States","Kyndi's Natural Language Search solution helps organizations find answers in unstructured, text-based data at unmatched speed and precision.","4,581"
Koa Health,https://www.crunchbase.com/organization/koa-health,"Health Care, Medical, Medical Device, Mental Health, Natural Language Processing","Barcelona, Catalonia, Spain",Koa Health is a digital mental healthcare provider that offers mental health solutions for various common mental disorders.,"4,599"
Nextbillion.ai,https://www.crunchbase.com/organization/nextbillion-ai,"Artificial Intelligence (AI), Data Management, Location Based Services, Machine Learning, Mapping Services","Singapore, Central Region, Singapore",Nextbillion.ai develops AI-powered hyperlocal solutions for business mapping and data management.,"4,635"
BlueOcean,https://www.crunchbase.com/organization/blueocean-ai,"Apps, Artificial Intelligence (AI), Brand Marketing, Information Technology, Machine Learning, SaaS, Software","Oakland, California, United States",BlueOcean is an always-on brand intelligence platform delivering data and insights that drive actions and outcomes.,"4,643"
Traydstream,https://www.crunchbase.com/organization/traydstream-limited,"Artificial Intelligence (AI), Cloud Data Services, Document Management, Finance, Financial Services, FinTech, Machine Learning, SaaS, Software, Trading Platform","London, England, United Kingdom","Traydstream automates the most critical aspects of converting, checking and managing trade finance documents.","4,649"
Shiru,https://www.crunchbase.com/organization/shiru,"Artificial Intelligence (AI), Nutrition, Plant-Based Foods","Oakland, California, United States",Shiru is a new company that’s launching from the latest batch of Y Combinator-backed startups.,"4,651"
Carro,https://www.crunchbase.com/organization/carro-b3cf,"Artificial Intelligence (AI), Consumer Goods, E-Commerce, E-Commerce Platforms, Machine Learning, Marketplace, SaaS","Irvine, California, United States","Carrois a collaborative commerce platform that links Shopify to the entire eCommerce landscape, establishing a cross-store sales channel.","4,656"
iMerit,https://www.crunchbase.com/organization/imerit,"Analytics, Artificial Intelligence (AI), Computer Vision, Crowdsourcing, Customer Service, Data Collection and Labeling, Image Recognition, Machine Learning, Natural Language Processing","San Jose, California, United States",iMerit provides AI data solutions across computer vision and natural language processing for AI developers.,"4,657"
Envisagenics,https://www.crunchbase.com/organization/envisagenics-inc,"Artificial Intelligence (AI), Bioinformatics, Biotechnology, Machine Learning, Therapeutics","New York, New York, United States",Envisagenics reduce the complexity of biomedical data to accelerate the development of innovative therapeutic solutions.,"4,672"
Affectiva,https://www.crunchbase.com/organization/affectiva,"Artificial Intelligence (AI), Autonomous Vehicles, Digital Marketing, Fleet Management, Human Computer Interaction, Machine Learning, Market Research, Ride Sharing, Software","Boston, Massachusetts, United States",Affectiva is a developer of an emotion-recognition software designed to analyze subtle facial and vocal expressions.,"4,674"
MangoBoost,https://www.crunchbase.com/organization/mangoboost,"Artificial Intelligence (AI), Cloud Infrastructure, Data Center, Developer Platform, Information Technology, IT Infrastructure, Semiconductor, Software","Bellevue, Washington, United States","MangoBoost is a DPU and AI infrastructure provider specialized in developing full-stack, advanced server accelerator solutions.","4,747"
Emerge,https://www.crunchbase.com/organization/emerge-io,"Artificial Intelligence (AI), Augmented Reality, Consumer Electronics, Media and Entertainment, Social, Virtual Reality","Los Angeles, California, United States",Emerge is a consumer technology company building a multi-sensory communication platform to bridge distance and time.,"4,762"
Lean Technologies,https://www.crunchbase.com/organization/lean,"Financial Services, FinTech, Information Technology, Predictive Analytics","Riyadh, Ar Riyad, Saudi Arabia",Lean Technologies is a FinTech startup that develops a platform to provide access to consumer financial data.,"4,806"
Antidote Health,https://www.crunchbase.com/organization/med-beyond,"Artificial Intelligence (AI), Health Care, mHealth, Wellness","New York, New York, United States",Antidote Health offers an AI-based health platform that helps people receive proper medical treatment.,"4,817"
Drishti,https://www.crunchbase.com/organization/drishti-5269,"Analytics, Artificial Intelligence (AI), Computer Vision, Machine Learning, Software","Mountain View, California, United States",Drishti is a provider of AI-powered video analytics technology that gives visibility and insights for manual assembly line improvement.,"4,860"
LoopMe,https://www.crunchbase.com/organization/loopme,"Advertising, Advertising Platforms, Analytics, Artificial Intelligence (AI), Machine Learning","London, England, United Kingdom","LoopMe is focused on brand advertising, using AI, attribution, and analytics to deliver measurable outcomes.","4,871"
Vespa.ai,https://www.crunchbase.com/organization/vespa-ai,"Artificial Intelligence (AI), Information Technology, Search Engine","Trondheim, Sor-Trondelag, Norway",Vespa.ai is a fully featured search engine and vector database.,"4,955"
Aether Bio,https://www.crunchbase.com/organization/aether-bio,"Artificial Intelligence (AI), Machine Learning, Medical","Menlo Park, California, United States",Aether Bio is a developer of machine learning technology used to re-purpose enzymes in order to create a new compound.,"4,956"
Healx,https://www.crunchbase.com/organization/healx,"Artificial Intelligence (AI), Biopharma, Biotechnology, Health Care, Medical","Cambridge, Cambridgeshire, United Kingdom","Healx is an AI-powered, patient-inspired technology company, pioneering the next generation of drug discovery for rare diseases.","4,958"
Neural Concept,https://www.crunchbase.com/organization/neural-concept,"Computer, Industrial Automation, Machine Learning, Software","Lausanne, Vaud, Switzerland",Neural Concept revolutionizes industrial engineering design with AI Deep Learning algorithms,"4,962"
InDebted,https://www.crunchbase.com/organization/indebted,"Debt Collections, Finance, Financial Services, FinTech, Machine Learning, Software","North Sydney, New South Wales, Australia",InDebted provides a debt collection software that allows customers to effectively manage the repayment of their overdue accounts.,"4,983"
BoostUp.ai,https://www.crunchbase.com/organization/boostup-ai-sales-intelligence,"Accounting, Analytics, Artificial Intelligence (AI), Finance, Information Technology, Machine Learning, Predictive Analytics, Sales, Sales Automation, Software","Santa Clara, California, United States",BoostUp helps companies achieve predictability and scaleable growth through accurate forecasting.,"5,032"
Anodot,https://www.crunchbase.com/organization/anodot,"Analytics, Artificial Intelligence (AI), Big Data, Business Intelligence, Cloud Management, Machine Learning","Ra'anana, HaMerkaz, Israel",Anodot’s Business Monitoring platform uses machine learning to constantly analyze and correlate critical business metrics.,"5,037"
Spartan Radar,https://www.crunchbase.com/organization/spartan-radar,"Automotive, Industrial Automation, Machine Learning, Software","Los Alamitos, California, United States",Spartan Software is about seeing more by removing unneeded artifacts from a sensor scan while extracting the most important data,"5,045"
BrightHire,https://www.crunchbase.com/organization/brighthire,"Artificial Intelligence (AI), Human Resources, Recruiting, Software","New York, New York, United States",BrightHire develops a performance optimization technology for recruiting teams.,"5,049"
Validere,https://www.crunchbase.com/organization/validere-technologies,"Artificial Intelligence (AI), Energy, Internet of Things, Oil and Gas, Software","Calgary, Alberta, Canada",Validere is on a mission to better human prosperity by making the energy supply chain efficient and sustainable.,"5,057"
Gridmatic,https://www.crunchbase.com/organization/gridmatic,"Artificial Intelligence (AI), Clean Energy, Energy","Cupertino, California, United States",Gridmatic is an AI-enabled power marketer that accelerates the ascent of clean energy.,"5,155"
Infermedica,https://www.crunchbase.com/organization/infermedica,"Artificial Intelligence (AI), Health Care, Health Insurance, Hospital, Machine Learning, mHealth, Personal Health, Predictive Analytics","Wroclaw, Dolnoslaskie, Poland",Infermedica is a leading digital health company specialized in AI-powered solutions for preliminary diagnosis and patient triage.,"5,162"
Volopay,https://www.crunchbase.com/organization/volopay,"Artificial Intelligence (AI), Finance, FinTech, Real Time, Software, Web Development","Midview City, Central Region, Singapore",Volopay simplifies business spending using corporate cards and automated payables.,"5,202"
LeaseLock,https://www.crunchbase.com/organization/leaselock,"Artificial Intelligence (AI), FinTech, InsurTech, PropTech, Real Estate","Marina Del Rey, California, United States",LeaseLock is an insurance technology company that leverages artificial intelligence to eliminate security deposits.,"5,204"
Archipelago,https://www.crunchbase.com/organization/archipelago-analytics,"Artificial Intelligence (AI), Machine Learning, Risk Management, Software","San Francisco, California, United States",Archipelago uses AI to digitize risk for large owners of commercial property to increase their resiliency and lower their cost of risk.,"5,225"
Gideon,https://www.crunchbase.com/organization/GideonRobotics,"Artificial Intelligence (AI), Autonomous Vehicles, Consumer Applications, Internet of Things, Machine Learning, Mobile Apps, Robotics, Smart Building, Smart Home, Software","Zagreb, Grad Zagreb, Croatia",Gideon Brothers solves industrial problems with autonomous mobile robots powered by AI & Visual Perception.,"5,228"
Algo,https://www.crunchbase.com/organization/algomus-inc,"Analytics, Artificial Intelligence (AI), Augmented Reality, Big Data, Business Intelligence, Computer Vision, Enterprise Software, Machine Learning, Natural Language Processing, Supply Chain Management","Canton, Michigan, United States",Enterprise AI powered Supply Chain Planning platform delivered by a Virtual Business Analyst named Algo.,"5,237"
Alyce,https://www.crunchbase.com/organization/alyce-co,"Advertising, Artificial Intelligence (AI), Machine Learning, SaaS, Software","Boston, Massachusetts, United States",Alyce is an AI-powered Personal Experience Platform empowers marketers and sellers to build bonds with their prospects & customers at scale.,"5,245"
Course5 Intelligence,https://www.crunchbase.com/organization/course5i,"Analytics, Artificial Intelligence (AI), Big Data","Mumbai, Maharashtra, India",Course5 is a data analytics and insights company focused on helping organizations drive digital transformation using AI.,"5,258"
Hi Marley,https://www.crunchbase.com/organization/marley,"Artificial Intelligence (AI), Insurance, InsurTech, Internet of Things, Messaging","Boston, Massachusetts, United States",Hi Marley is a developer of an artificially intelligent-based SMS texting platform designed to bridge the conversation.,"5,260"
Optimal Dynamics,https://www.crunchbase.com/organization/optimal-dynamics,"Artificial Intelligence (AI), Logistics, Machine Learning, SaaS, Software, Supply Chain Management, Transportation","New York, New York, United States",Optimal Dynamics is a SaaS company that uses artificial intelligence and machine learning to disrupt the logistics industry.,"5,292"
Synthetaic,https://www.crunchbase.com/organization/synthetaic,"Artificial Intelligence (AI), Big Data, Data Collection and Labeling, Generative AI, Information Technology, Machine Learning","Delafield, Wisconsin, United States",Synthetaic is a company that grows large and high-quality datasets sufficient for machine learning.,"5,298"
German Bionic,https://www.crunchbase.com/organization/german-bionic-systems,"Artificial Intelligence (AI), Industrial Automation, Public Safety, Robotics, Wearables","Augsburg, Bayern, Germany",German Bionic develops smart exoskeleton technology that people can wear to augment their physical abilities.,"5,328"
Tenderd,https://www.crunchbase.com/organization/tenderd,"Analytics, Artificial Intelligence (AI), Construction, Fleet Management","Dubai, Dubai, United Arab Emirates","Tenderd offers an AI-powered platform to digitally transform heavy equipment operations, enhancing efficiency and data analytics.","5,329"
Pagos Solutions,https://www.crunchbase.com/organization/pagos-solutions,"Artificial Intelligence (AI), Financial Services, FinTech, Payments","Wilmington, Delaware, United States",Pagos Solutions is a payment intelligence infrastructure startup.,"5,379"
VEDA Data Solutions,https://www.crunchbase.com/organization/veda-data-solutions,"Artificial Intelligence (AI), Health Care, Machine Learning, Predictive Analytics","Madison, Wisconsin, United States",VEDA is an AI and machine learning platform to save healthcare and administrative costs.,"5,414"
Jahez International Company,https://www.crunchbase.com/organization/jahez,"Artificial Intelligence (AI), E-Commerce, Food and Beverage, Food Delivery, Information Technology, Logistics, Service Industry","Riyadh, Ar Riyad, Saudi Arabia",Jahez mobile application is a food delivery platform that serves end users with meal orders from restaurants.,"5,428"
Merantix,https://www.crunchbase.com/organization/merantix,"Artificial Intelligence (AI), Big Data, Health Diagnostics, Machine Learning, Predictive Analytics, Software","Berlin, Berlin, Germany","Merantix is the world's first AI venture studio - ideating, building and scaling AI ventures.","5,430"
Covetool,https://www.crunchbase.com/organization/cove-tool,"Energy, Enterprise Software, Machine Learning, Renewable Energy, SaaS, Software","Atlanta, Georgia, United States",Covetool is a B2B SaaS company that helps make buildings energy efficient while saving on construction cost.,"5,450"
Nabla Bio,https://www.crunchbase.com/organization/nabla-bio,"Biopharma, Biotechnology, Machine Learning","Boston, Massachusetts, United States",Nabla Bio is an autoverse platform of proprietary biologically informed machine learning that co-develops antibody drugs.,"5,466"
Microblink,https://www.crunchbase.com/organization/microblink,"Artificial Intelligence (AI), Computer Vision, Developer Tools, Identity Management, Image Recognition, Machine Learning","New York, New York, United States",Artificial intelligence platform that leverages computer vision and machine learning to bring the benefits of AI to every person on earth.,"5,481"
Touchcast,https://www.crunchbase.com/organization/touchcast,"Artificial Intelligence (AI), Collaboration, Information and Communications Technology (ICT), Knowledge Management, Video","New York, New York, United States",We're building the complete stack for the Internet's next act. Welcome to the Generative Web.,"5,500"
Modyfi,https://www.crunchbase.com/organization/modyfi,"Artificial Intelligence (AI), Photo Editing, Productivity Tools, Software","Los Angeles, California, United States","Modyfi is an image editor that provides designers with AI-native design, tools, and real-time collaboration.","5,515"
Fuel50,https://www.crunchbase.com/organization/fuel50,"Artificial Intelligence (AI), Career Planning, Cloud Computing, Employee Benefits, Employment, Human Resources, Marketplace, Recruiting, SaaS, Training","Laguna Niguel, California, United States",Fuel50 is the AI-powered Talent Marketplace that delivers internal talent mobility and workforce reskilling.,"5,531"
Sentera,https://www.crunchbase.com/organization/sentera,"Agriculture, AgTech, Analytics, Artificial Intelligence (AI), Farming, Machine Learning, Robotics, Software","Saint Paul, Minnesota, United States",Analytics and machine learning insights for digital agriculture.,"5,531"
Mursion,https://www.crunchbase.com/organization/mursion,"Artificial Intelligence (AI), Augmented Reality, Corporate Training, Human Resources, Virtual Reality","San Francisco, California, United States",Mursion provides immersive simulated practice for essential skills in the workplace powered by humans and assisted by AI.,"5,548"
Sea Machines Robotics,https://www.crunchbase.com/organization/sea-machines-robotics,"Artificial Intelligence (AI), Autonomous Vehicles, Marine Transportation, Navigation, Robotics","Boston, Massachusetts, United States",Sea Machines Robotics builds autonomous control and navigation systems for the commercial marine and boating industries.,"5,574"
One Model,https://www.crunchbase.com/organization/onemodel,"Analytics, Artificial Intelligence (AI), Business Intelligence, Data Governance, Data Visualization, Enterprise Software, Generative AI, Human Resources, Predictive Analytics, SaaS","Austin, Texas, United States","One Model, a talent analytics accelerator, enables HR departments to measure the productivity and efficiency of their workforce.","5,582"
Selector,https://www.crunchbase.com/organization/selector-software,"Analytics, Artificial Intelligence (AI), Data Visualization, Infrastructure, Machine Learning, Software","Santa Clara, California, United States",Selector is a software company that provides AIOps platform for operational intelligence.,"5,582"
Jirav,https://www.crunchbase.com/organization/jirav,"Accounting, Analytics, Artificial Intelligence (AI), B2B, Finance, Financial Services, Information Technology, Predictive Analytics, SaaS","Austin, Texas, United States","B2B Financial Modeling, FP&A, and Predictive Analytics","5,590"
retrain.ai,https://www.crunchbase.com/organization/retrain-ai,"Artificial Intelligence (AI), Developer APIs, Human Resources, Machine Learning, SaaS, Software","New York, New York, United States","retrain.ai is a responsible AI-driven Talent Intelligence Platform powering organizations to find, develop, upskill and reskill talent.","5,594"
Ripjar,https://www.crunchbase.com/organization/ripjar,"Analytics, Artificial Intelligence (AI), Cyber Security, Data Visualization, Natural Language Processing, Predictive Analytics, Software","Cheltenham, Gloucestershire, United Kingdom",Ripjar is a data intelligence company that transforms global institutions ability to manage strategic risks.,"5,610"
Edgecortix,https://www.crunchbase.com/organization/edgecortix,"Artificial Intelligence (AI), Hardware, Internet of Things, Machine Learning, Semiconductor, Software","Tokyo, Tokyo, Japan","Semiconductor design company headquartered in Japan, that develops accelerators for AI and machine learning.","5,634"
Empatica,https://www.crunchbase.com/organization/empatica,"Artificial Intelligence (AI), Biotechnology, Health Care, Machine Learning, Wearables","Cambridge, Massachusetts, United States",Empatica is an affective computing company focused on human data analytics.,"5,638"
Channel Talk,https://www.crunchbase.com/organization/channel-corp,"Artificial Intelligence (AI), Call Center, Chatbot, CRM, Customer Service, E-Commerce Platforms, Information Technology, SaaS, Software, Unified Communications","New York, New York, United States",Channel Talk is an all-in-one AI messenger designed to help you provide VIP-level customer service.,"5,641"
AI Rudder,https://www.crunchbase.com/organization/ai-rudder,"Artificial Intelligence (AI), B2C, Call Center, Machine Learning, Software, Virtual Assistant","Singapore, Central Region, Singapore",AI Rudder is an AI startup that develops AI-powered voice solutions to improve B2C communications.,"5,646"
Plotlogic,https://www.crunchbase.com/organization/plotlogic,"Analytics, Artificial Intelligence (AI), Mining, Mining Technology","Red Hill, Queensland, Australia",Plotlogic utilizes an AI and sensor-driven platform to enhance yield in the critical mineral industry.,"5,669"
Robocorp,https://www.crunchbase.com/organization/robocorp,"Cloud Infrastructure, Information Technology, Open Source, Robotic Process Automation (RPA), SaaS, Software","San Francisco, California, United States",Robocorp is a cloud platform for robotic process automation (RPA) and open source RPA tools.,"5,693"
ODAIA,https://www.crunchbase.com/organization/odaia,"Artificial Intelligence (AI), Biotechnology, Machine Learning, Software","Toronto, Ontario, Canada",ODAIA is driving next-generation customer engagement with the leading AI-fueled Customer Data Platform for the Life Sciences industry.,"5,702"
CybelAngel,https://www.crunchbase.com/organization/cybelangel,"Analytics, Artificial Intelligence (AI), Cyber Security, Enterprise Software, Information Technology, Internet, Real Time, Risk Management, Security, Software","Paris, Ile-de-France, France",CybelAngel is a digital risk management platform that provides enterprises with actionable threat intelligence.,"5,712"
Yurts Technologies Inc,https://www.crunchbase.com/organization/yurts-technologies-inc,"Artificial Intelligence (AI), Software","San Francisco, California, United States","A secure, deployable, full-stack platform for LLMs","5,715"
Duality Technologies,https://www.crunchbase.com/organization/duality,"Artificial Intelligence (AI), Cyber Security, Software","Hoboken, New Jersey, United States",Duality empowers organizations to extract business value from sensitive data by enabling secure data collaborations within their ecosystem.,"5,729"
Third Wave Automation,https://www.crunchbase.com/organization/third-wave-automation,"Artificial Intelligence (AI), Industrial Automation, Machine Learning, Robotics","Union City, California, United States",Third Wave Automation provides cloud robotics and machine learning technology to material handling automation.,"5,757"
Streetbees,https://www.crunchbase.com/organization/streetbees,"Analytics, Artificial Intelligence (AI), Machine Learning, Market Research, Natural Language Processing, Predictive Analytics","London, England, United Kingdom",Streetbees is a human intelligence platform that collects and analyzes offline consumer behavior.,"5,763"
SigTuple,https://www.crunchbase.com/organization/sigtuple,"Analytics, Artificial Intelligence (AI), Big Data, Health Care, Machine Learning, Software","Bangalore, Karnataka, India",SigTuple builds intelligent solutions for medical diagnosis using state of the art machine learning techniques.,"5,803"
Aizon,https://www.crunchbase.com/organization/aizon,"Analytics, Artificial Intelligence (AI), Big Data, Biotechnology, Information Services, Internet of Things, Machine Learning, Pharmaceutical, SaaS, Software","San Francisco, California, United States",Aizon is a cloud-based SaaS platform that helps optimize industrial processes in biotech and pharma.,"5,806"
Arturo,https://www.crunchbase.com/organization/arturo-inc,"Artificial Intelligence (AI), InsurTech, Machine Learning, Predictive Analytics, Property Management","Denver, Colorado, United States",Arturo is a deep learning enterprise platform that focuses on delivering accurate measurement and predictive data.,"5,811"
Promaxo,https://www.crunchbase.com/organization/promaxo,"Health Care, Health Diagnostics, Machine Learning, Medical Device, Therapeutics","Oakland, California, United States",Promaxo is commercializing customer-centric MRI systems and robotic guidance tools for live diagnosis and treatment in a physician's office.,"5,823"
Yieldmo,https://www.crunchbase.com/organization/yieldmo,"Ad Network, Advertising, Advertising Platforms, Analytics, Internet, Marketing, Mobile Advertising, Native Advertising, Predictive Analytics, Video Advertising","Nashua, New Hampshire, United States",Yieldmo is a digital advertising technology company that increases the value of advertising inventory for buyers and sellers.,"5,855"
IUNU,https://www.crunchbase.com/organization/iunu,"Agriculture, Artificial Intelligence (AI), Computer, Industrial, Renewable Energy","Seattle, Washington, United States","IUNU is an industrial computer vision company that connects plants, facilities, and people through a single interface.","5,878"
Inhabitr,https://www.crunchbase.com/organization/inhabitr,"Artificial Intelligence (AI), Commercial Real Estate, Furniture, Generative AI, Interior Design, Internet, Real Estate","Milpitas, California, United States",Inhabitr is an AI powered end-to-end furnishing solution for commercial real estate.,"5,915"
Catalyte,https://www.crunchbase.com/organization/catalyst-devworks,"Artificial Intelligence (AI), Enterprise Software, Human Resources","Baltimore, Maryland, United States","Catalyte is an AI-driven company that discovers high-potential talent, develops them, and deploys them directly into client organizations.","5,921"
TailorMed,https://www.crunchbase.com/organization/tailormed-dde4,"Financial Services, FinTech, Fitness, Health Care, Machine Learning, Wellness","Tel Aviv, Tel Aviv, Israel",Reinventing financial navigation,"5,991"
Silent Eight,https://www.crunchbase.com/organization/silent-eight-search,"Artificial Intelligence (AI), Compliance, Financial Services, FinTech, Machine Learning","Singapore, Central Region, Singapore",Silent Eight is a technology company leveraging AI to create custom compliance models for the world's leading financial institutions.,"6,021"
Whisper,https://www.crunchbase.com/organization/whisper-3,"Artificial Intelligence (AI), Health Care, Medical Device, Wellness","San Francisco, California, United States","Whisper develops AI-enabled, updateable hearing aids for people with hearing loss.","6,057"
Imubit,https://www.crunchbase.com/organization/imubit,"Artificial Intelligence (AI), Chemical Engineering, Machine Learning, Oil and Gas","Houston, Texas, United States",AI process optimization platform for process manufacturing,"6,125"
Spectrum Labs,https://www.crunchbase.com/organization/spectrum-5,"Artificial Intelligence (AI), Big Data, Enterprise Software, Gaming, Internet, Machine Learning, Software","San Francisco, California, United States",Spectrum Labs is a technology company that helps build a safer internet through AI content moderation.,"6,143"
Baffle,https://www.crunchbase.com/organization/baffle,"Analytics, Artificial Intelligence (AI), Cloud Security, Cyber Security, Enterprise Applications, Machine Learning, Privacy, SaaS, Security, Software","Santa Clara, California, United States",Baffle protects data in the cloud by securing the data analytics pipeline for modern enterprises without any code changes or disruption.,"6,147"
Elemental Machines,https://www.crunchbase.com/organization/elemental-machines,"Artificial Intelligence (AI), Biotechnology, Internet of Things, Machine Learning","Cambridge, Massachusetts, United States","Elemental Machines delivers data-driven insights that improves R&D, laboratory operations, and manufacturing outcomes.","6,172"
Inkbit,https://www.crunchbase.com/organization/inkbit,"3D Printing, 3D Technology, Machine Learning, Manufacturing, Software","Medford, Massachusetts, United States",Inkbit creats a next-generation additive manufacturing platform that combines 3D printing with machine vision.,"6,174"
MachineMetrics,https://www.crunchbase.com/organization/machinemetrics,"Analytics, Industrial Automation, Internet, Manufacturing, Predictive Analytics, SaaS, Software","Northampton, Massachusetts, United States",MachineMetrics is an Industrial IoT analytics and machine monitoring platform that empowers customers through real-time data.,"6,176"
Rizzle,https://www.crunchbase.com/organization/rizzle-short-videos,"Advertising, Artificial Intelligence (AI), Internet","San Jose, California, United States","Short Videos, AI-Based Camera, Short Series","6,200"
