Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Postal Code,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,LinkedIn,Twitter,Hub Tags,Full Description,Investor Type,Investment Stage,Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Last Funding Date,Funding Status,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Investors,Number of Lead Investors,Number of Acquisitions,Acquisition Status,Growth Category,Last Leadership Hiring Date,Last Layoff Mention Date,Trend Score (7 Days),Trend Score (30 Days),Trend Score (90 Days),Similar Companies
AppsFlyer,https://www.crunchbase.com/organization/appsflyer,"Advertising, Advertising Platforms, Analytics, App Marketing, Business Intelligence, Digital Marketing, Mobile Advertising, Predictive Analytics, Software","San Francisco, California, United States","The world’s top brands use AppsFlyer to build great products, create exceptional experiences, and preserve customer privacy.",167,"San Francisco Bay Area, West Coast, Western US",94105,$1M to $10M,Active,2011-04-01,day,,,,,For Profit,http://www.appsflyer.com,http://www.linkedin.com/company/2233984,http://twitter.com/appsflyer,Unicorn,"AppsFlyer helps brands make good choices for their business and their customers with its advanced measurement, data analytics, deep linking, engagement, fraud protection, data clean room and privacy-preserving technologies. Built on the idea that brands can increase customer privacy while providing exceptional experiences, AppsFlyer empowers thousands of creators and 10,000+ technology partners to create better, more meaningful customer relationships. To learn more, visit www.appsflyer.com.",,,"Advertising, Artificial Intelligence (AI), Data and Analytics, Sales and Marketing, Software",2,"Oren Kaniel, Reshef Mann",1001-5000,6,2020-11-24,,,,,Venture - Series Unknown,Venture - Series Unknown,,,,293100000,USD,293100000,293100000,USD,293100000,"Eight Roads Ventures, Goldman Sachs, DTCP, Microsoft Accelerator, Magma Venture Partners",12,5,3,Made Acquisitions,Growing,2021-06-16,,1.3,2.2,7.4,7
Affinity,https://www.crunchbase.com/organization/affinity-inc,"Analytics, Artificial Intelligence (AI), Business Development, Business Intelligence, Contact Management, CRM, Enterprise Software, Lead Generation","San Francisco, California, United States",Affinity is a relationship intelligence platform built to expand and evolve the traditional CRM. ,180,"San Francisco Bay Area, West Coast, Western US",,$1M to $10M,Active,2014-01-01,year,,,,,For Profit,https://affinity.co/,https://www.linkedin.com/company/project-affinity/,https://twitter.com/affinity,Emerging Unicorn,"Affinity is a relationship intelligence platform built to expand and evolve the traditional CRM. Affinity instantly surfaces all of your team's data and shows you who is best suited to make the crucial introductions you need to close your next big deal. Using AI and natural language processing, Affinity helps your team curate and grow its network by unlocking introductions to decision makers and auto-populating your pipeline to increase deal flow. -- Leverage your network: Map out your team's relationship graph to most effectively source the next big deal --  VCs, level up your portfolio: Ally with your portfolio companies and discover how you can introduce them to key prospects and help them raise their next round -- Startups, get the intro: Map out your team's relationship graph. Discover the entire rolodex of prospects your investors and advisors are connected to and unearth valuable introductions -- Reduce complexity: Get rid of spreadsheets for contact management and receive instant updates related to your pipeline as your team works -- Effectively manage pipeline: Keep track of meetings, manage follow-ups, and receive instant updates related to your pipeline as your team works It's time to adopt a CRM that makes your job easier and maximizes your team and investor's most valuable asset - their networks. Affinity has raised $13.5MM led by 8VC (Joe Lonsdale: Palantir, Addepar, OpenGov), Sway Ventures, Pear Ventures, Great Oaks Venture Capital & Western Technology Investment.",,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Professional Services, Sales and Marketing, Science and Engineering, Software",3,"Drew Oetting, Ray Zhou, Shubham Goel",101-250,5,2021-09-09,Late Stage Venture,80000000,USD,80000000,Series C,Series C,80000000,USD,80000000,120000000,USD,120000000,120000000,USD,120000000,"Pear VC, La Famiglia, MassMutual Ventures, Western Technology Investment, Sway Ventures",17,5,1,Made Acquisitions,,2022-07-01,,-0.3,-0.6,7.8,21
Traceable,https://www.crunchbase.com/organization/traceable,"Artificial Intelligence (AI), Cyber Security, Fraud Detection, Network Security, SaaS, Software","San Francisco, California, United States",Traceable is an API security company that helps to mitigate risks and optimize the value derived from their APIs for customers.,182,"San Francisco Bay Area, West Coast, Western US",94105,$1M to $10M,Active,2018-01-01,year,,,,,For Profit,https://www.traceable.ai,https://www.linkedin.com/company/traceable-ai,https://twitter.com/traceableai,,"Traceable is an API Security company that helps organizations achieve API protection in a cloud-first, API-driven world. With an API Data Lake at the core of the platform, Traceable is the only intelligent and context-aware solution that powers complete API security – security posture management, threat protection, and threat management across the entire Software Development Lifecycle – enabling organizations to minimize risk and maximize the value that APIs bring to their customers.",,,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Information Technology, Payments, Privacy and Security, Science and Engineering, Software",2,"Jyoti Bansal, Sanjay Nagaraj",101-250,3,2024-05-01,Early Stage Venture,30000000,USD,30000000,Series B,Series B,30000000,USD,30000000,110000000,USD,110000000,110000000,USD,110000000,"BIG Labs, Unusual Ventures, Citi Ventures, Sorenson Capital, Geodesic Capital",8,3,,,Growing,,,-0.3,-0.1,8.5,9
C3 AI,https://www.crunchbase.com/organization/c3,"Artificial Intelligence (AI), Enterprise Software, Machine Learning, SaaS, Software","Redwood City, California, United States",C3 AI is a provider of Enterprise AI software for accelerating digital transformation.,191,"San Francisco Bay Area, Silicon Valley, West Coast",94063,$100M to $500M,Active,2009-01-01,day,2021-06-04,day,,,For Profit,https://c3.ai,https://www.linkedin.com/company/c3-ai,https://twitter.com/C3_AI,Exited Unicorn,"C3 AI (NYSE:AI) is a provider of Enterprise AI software for accelerating digital transformation. C3 AI delivers a family of fully integrated products: C3 AI® Suite, an end-to-end platform for developing, deploying, and operating large-scale AI applications; C3 AI Applications, a portfolio of industry-specific SaaS AI applications; C3 AI CRM, a suite of industry-specific CRM applications designed for AI and machine learning; and C3 AI Ex Machina, a no-code AI solution to apply data science to everyday business problems. The core of the C3 AI offering is an open, model-driven AI architecture that dramatically simplifies data science and application development. Learn more at: www.c3.ai",,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",2,"Patricia House, Thomas Siebel",1001-5000,7,2020-07-14,IPO,,,,Grant,Series F,105868587,USD,105868587,228478587,USD,228478587,228478587,USD,228478587,"Sutter Hill Ventures, Jacobs, The Rise Fund, Breyer Capital, TPG Growth",10,3,1,Made Acquisitions,Growing,2024-02-28,2023-11-20,-0.1,-0.2,-0.5,5
Exabeam,https://www.crunchbase.com/organization/exabeam,"Analytics, Artificial Intelligence (AI), Big Data, Cloud Security, Cyber Security, Machine Learning, Software","Foster City, California, United States",Exabeam is a global cybersecurity leader that delivers AI-driven security operations. Learn more at www.exabeam.com.,194,"San Francisco Bay Area, Silicon Valley, West Coast",94404,$100M to $500M,Active,2013-01-01,year,,,,,For Profit,http://www.exabeam.com,https://www.linkedin.com/company/exabeam,http://twitter.com/exabeam,Unicorn,"Exabeam is a global cybersecurity leader that delivers AI-driven security operations. The company was the first to put AI and machine learning in its products to deliver behavioral analytics on top of security information and event management (SIEM). Today, the Exabeam Security Operations Platform includes cloud-scale security log management and SIEM, powerful behavioral analytics, and automated threat detection, investigation and response (TDIR). Its cloud-native product portfolio helps organizations detect threats, defend against cyberattacks, and defeat adversaries. Exabeam learns normal behavior and automatically detects risky or suspicious activity so security teams can take action for faster, more complete response and repeatable security outcomes.   Detect. Defend. Defeat.™ Learn how at www.exabeam.com.",,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Privacy and Security, Science and Engineering, Software",3,"Domingo Mihovilovic, Nir Polak, Sylvain Gil",501-1000,8,2021-12-05,,1000000,USD,1000000,Venture - Series Unknown,Venture - Series Unknown,1000000,USD,1000000,391000000,USD,391000000,391000000,USD,391000000,"Acrew Capital, Lightspeed Venture Partners, Owl Rock Capital, Icon Ventures, Cisco Investments",15,6,2,Made Acquisitions,Growing,2023-06-20,2023-10-27,-0.2,5.3,8.1,8
G42,https://www.crunchbase.com/organization/group-42,"Artificial Intelligence (AI), Cloud Computing, Information Services, Information Technology, Machine Learning","Abu Dhabi, Abu Dhabi, United Arab Emirates",G42 is an artificial intelligence (AI) and cloud computing company that provides solutions in various industries.,195,"Europe, Middle East, and Africa (EMEA), Gulf Cooperation Council (GCC), Middle East",,,Active,2018-01-01,year,,,,,For Profit,https://www.g42.ai,https://www.linkedin.com/company/g42ai,https://twitter.com/g42ai,Unicorn,"G42 is an artificial intelligence (AI) and cloud computing company that provides solutions in various industries. G42’s platforms and industry solutions harness the latest scientific research and apply it in responsible ways.  G42 is driving change in the region and beyond, joining forces with nations, corporations, and individuals to create the infrastructure for tomorrow’s world – with technology that goes beyond to give its partners the edge. From molecular medicine to space travel and everything in between, G42 realizes exponential possibilities, today.","Corporate Venture Capital, Private Equity Firm","Early Stage Venture, Late Stage Venture, Secondary Market, Seed","Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Science and Engineering, Software",,,10001+,3,2024-04-15,,1500000000,USD,1500000000,Corporate Round,Corporate Round,1500000000,USD,1500000000,2300000000,USD,2300000000,2300000000,USD,2300000000,"Silver Lake, Microsoft, Mubadala",3,3,1,Made Acquisitions,Growing,2023-10-08,,-1,-2.7,8.2,8
Rad AI,https://www.crunchbase.com/organization/radai,"Artificial Intelligence (AI), Enterprise Software, Health Care, Medical","San Francisco, California, United States","Rad AI develops software that uses AI to automate radiology report writing, aiming to enhance accuracy and reduce radiologist burnout.",197,"San Francisco Bay Area, West Coast, Western US",94104,$1M to $10M,Active,2018-01-01,year,,,,,For Profit,https://www.radai.com,https://www.linkedin.com/company/radai,https://twitter.com/radai,,"Rad AI develops an artificial intelligence automated report generation platform to automate repetitive tasks for radiologists. Its platform integrates with existing workflow, automating repetitive tasks, and enabling radiologists to improve radiology workflow that maximizes efficiency and accuracy while reducing burnout for radiologists and improving patient care.",,,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",2,"Doktor Gurson, Jeff Chang",51-100,3,2024-05-07,Early Stage Venture,50000000,USD,50000000,Series B,Series B,50000000,USD,50000000,83000000,USD,83000000,83000000,USD,83000000,"Gradient Ventures, Fifty Years, Artis Ventures (AV), City Light Capital, Kickstart",19,4,,,,,,-0.3,-0.7,9,9
d-Matrix,https://www.crunchbase.com/organization/d-matrix,"Artificial Intelligence (AI), Cloud Infrastructure, Data Center, Semiconductor","Santa Clara, California, United States",D-Matrix is a computing platform that targets artificial intelligence inferencing workloads in the datacenter.,201,"San Francisco Bay Area, Silicon Valley, West Coast",,$10M to $50M,Active,2019-01-01,year,,,,,For Profit,https://www.d-matrix.ai,https://www.linkedin.com/company/d-matrix,https://twitter.com/dMatrix_AI,,D-Matrix is a computing platform that targets artificial intelligence inferencing workloads in the datacenter. Its mission is to build and deploy the world’s first brain-inspired AI compute engine for a broad class of inferencing workloads in the multi-billion dollar cloud and infrastructure edge markets.,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Internet Services, Science and Engineering, Software",2,"Sid Sheth, Sudeep Bhoja",11-50,3,2023-09-06,Early Stage Venture,110000000,USD,110000000,Series B,Series B,110000000,USD,110000000,154000000,USD,154000000,154000000,USD,154000000,"Mirae Asset, SK Hynix, Playground Global, Amino Capital, TSVC",21,5,,,Growing,,,-0.1,-0.3,7.9,7
Neo4j,https://www.crunchbase.com/organization/neo-technology,"Analytics, Business Information Systems, Data Visualization, Database, Machine Learning","San Mateo, California, United States","Neo4j is the leader in graph technology. We help global brands to reveal and predict how people, processes & systems are interrelated.",209,"San Francisco Bay Area, Silicon Valley, West Coast",94401,$100M to $500M,Active,2007-01-01,year,,,,,For Profit,https://www.neo4j.com/,https://www.linkedin.com/company/neo4j,http://twitter.com/neo4j,Unicorn,"Neo4j provides a graph database platform that enables organizations to unlock the business value of connections. It gives developers and data scientists the tools to quickly build today’s intelligent applications and machine learning workflows. The p[latform is available as a fully managed cloud service or self-hosted. The company was founded in 2007 and is headquartered in San Mateo, California.",,,"Artificial Intelligence (AI), Data and Analytics, Design, Information Technology, Software",3,"Emil Eifrem, Johan Svensson, Peter Neubauer",501-1000,10,2021-11-09,Late Stage Venture,66000000,USD,66000000,Series F,Series F,66000000,USD,66000000,581100000,USD,581100000,755100000,USD,755100000,"Eurazeo, Creandum, Inovia Capital, Eight Roads Ventures, Dawn Capital",17,12,1,Made Acquisitions,Growing,2023-04-04,,0.3,2.5,5.1,10
Pixis,https://www.crunchbase.com/organization/pixis-ai,"Artificial Intelligence (AI), Brand Marketing, Cloud Computing, Digital Marketing, Machine Learning","Chicago, Illinois, United States",Pixis provides a codeless AI infrastructure platform for brands to monitor and orchestrate their marketing campaigns.,210,"Greater Chicago Area, Great Lakes, Midwestern US",60061,$50M to $100M,Active,2020-01-20,day,,,,,For Profit,https://pixis.ai,https://www.linkedin.com/company/pixisai,https://twitter.com/Pixis_AI,,"Pixis provides a codeless AI infrastructure platform for brands to monitor and orchestrate their marketing campaigns. It also offers proprietary AI models that are deployed across an ecosystem of products and plugins to help businesses scale data-driven marketing. The company's AI technology is also developed for growth marketing and has a rich product suite that includes targeting, in-flight performance optimization, and generative AI capabilities.",,,"Artificial Intelligence (AI), Data and Analytics, Internet Services, Sales and Marketing, Science and Engineering, Software",3,"Harikrishna Valiyath, Shubham A Mishra, Vrushali Prasade",251-500,5,2023-09-14,Late Stage Venture,85000000,USD,85000000,Series C,Series C,85000000,USD,85000000,209000000,USD,209000000,209000000,USD,209000000,"Celesta Capital, PremjiInvest, Chiratae Ventures, Pi Ventures, Chiratae Ventures",11,5,1,Made Acquisitions,,2022-01-28,,-0.3,-0.9,8.3,12
Eko Health,https://www.crunchbase.com/organization/eko-health,"Artificial Intelligence (AI), Health Care, Health Diagnostics, Machine Learning, Medical Device, mHealth, Software","Emeryville, California, United States",Eko Health is a digital health company providing digital stethoscopes and an AI detection platform for diagnosing heart and lung diseases.,212,"San Francisco Bay Area, West Coast, Western US",94608,$1M to $10M,Active,2013-01-01,year,,,,,For Profit,https://ekohealth.com,https://www.linkedin.com/company/eko-health,https://twitter.com/Eko_Health,,"Eko Health is a leading digital health company advancing how healthcare professionals detect and monitor heart and lung disease with its portfolio of digital stethoscopes, patient and provider software, and AI-powered analysis. Its FDA-cleared platform is used by hundreds of thousands of healthcare professionals worldwide, allowing them to detect earlier and with higher accuracy, diagnose with more confidence, manage treatment effectively, and ultimately give their patients the best care possible. Eko Health is headquartered in Emeryville, California, with over $125 million in funding from Highland Capital Partners, Questa Capital, Artis Ventures, DigiTx Partners, NTTVC, Morningside Technology Ventures Limited, Mayo Clinic, Sutter Health, and others. For more information visit www.ekohealth.com.  Eko exists to ensure all patients have access to early heart and lung disease detection that improves and extends their lives.",,,"Artificial Intelligence (AI), Data and Analytics, Health Care, Mobile, Science and Engineering, Software",3,"Connor Landgraf, Jason Bellet, Tyler Crouch",101-250,11,2024-06-05,Late Stage Venture,41000000,USD,41000000,Series D,Series D,41000000,USD,41000000,163800000,USD,163800000,169200000,USD,169200000,"Mayo Clinic, National Institutes of Health, Sutter Health, Dreamit Ventures, Artis Ventures (AV)",27,7,,,Growing,,,7.7,6.6,9.2,12
Imbue,https://www.crunchbase.com/organization/generally-intelligent,"Artificial Intelligence (AI), Generative AI, Machine Learning, Robotics","San Francisco, California, United States",Imbue is a research lab that trains foundational models to develop AI agents.,213,"San Francisco Bay Area, West Coast, Western US",,$1M to $10M,Active,2021-01-01,year,,,,,For Profit,https://imbue.com,https://www.linkedin.com/company/imbue-ai,https://twitter.com/genintelligent,Unicorn,Imbue is an independent research lab that trains foundational models to develop AI agents that can code. The company's AI models are optimized to perform well on its internal benchmarks for reasoning.,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software",2,"Josh Albrecht, Kanjun Qiu",11-50,5,2023-10-19,Early Stage Venture,12000000,USD,12000000,Series B,Series B,12000000,USD,12000000,232000000,USD,232000000,232000000,USD,232000000,"NVIDIA, Eric Schmidt, Amazon Alexa Fund, Arash Ferdowsi, Y Combinator",11,1,,,,,,0,-0.1,8.5,9
Lemonade,https://www.crunchbase.com/organization/lemonade,"Artificial Intelligence (AI), Financial Services, Insurance, InsurTech","New York, New York, United States",Lemonade is a digital insurance company that uses artificial intelligence and behavioral economics.,218,"Greater New York Area, East Coast, Northeastern US",10013,$100M to $500M,Active,2015-01-01,year,2021-01-15,day,,,For Profit,https://www.lemonade.com,https://www.linkedin.com/company/lemonade-inc-,https://www.twitter.com/lemonade_inc,Exited Unicorn,"Lemonade operates as a full-stack insurance company powered by AI and behavioral economics and driven by social good. It is a licensed insurance carrier, offering homeowners and renters insurance. Lemonade replaces brokers and bureaucracy with bots and machine learning, delivering zero paperwork and instant everything.  The company uses artificial intelligence and behavioral economics to set rates for the homes and renters it insures.  Lemonade was founded in Tel Aviv, Israel, in 2015 and is headquartered in New York, NY, United States.",,,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Science and Engineering, Software",3,"Daniel Schreiber, Shai Wininger, Thomas Zawacki",1001-5000,9,2023-07-02,IPO,150000000,USD,150000000,Post-IPO Equity,Post-IPO Equity,150000000,USD,150000000,617000000,USD,617000000,618500000,USD,618500000,"SoftBank, Allianz, Thrive Capital, OurCrowd, General Catalyst",23,6,1,Made Acquisitions,,2021-11-19,2023-05-16,0.1,1,-0.6,5
Yellow.ai,https://www.crunchbase.com/organization/yellow-messenger,"Artificial Intelligence (AI), Customer Service, Enterprise Software, Information Technology, Software","San Mateo, California, United States","Yellow.ai is a conversational AI platform, enabling enterprises to unlock business potential at scale.",232,"San Francisco Bay Area, Silicon Valley, West Coast",94402,$100M to $500M,Active,2016-01-22,day,,,,,For Profit,https://yellow.ai,https://www.linkedin.com/company/yellowdotai,https://twitter.com/yellowdotai,,"Yellow.ai is a conversational AI platform, enabling enterprises to unlock business potential at scale. The platform is trusted across 85+ countries by 1000+ enterprises, including Domino’s, Sephora, Hyundai, MG Motors, Biogen International, Edelweiss Broking, Siemens Limited, Food Panda, Zalora, Zenyum, JD.ID, Carrefour, Kuwait Food Company (Americana), Choithrams, Amouage Oman, Arabian Radio Network,  Bharat Petroleum, Waste Connections US and Tata. Powered by Dynamic AI agents for enterprises, the company aims to deliver human-like interactions that boost customer satisfaction and increase employee engagement at scale, through its no-code/low-code platform. Recognised by Frost & Sullivan, Forrester, Gartner, IDC, and G2 as a leader, the company has raised more than $102M from blue-chip investors and has offices across six countries.",,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Other, Professional Services, Science and Engineering, Software",3,"Jaya Kishore Reddy Gollareddy, Raghu Ravinutala, Rashid Khan",501-1000,5,2021-08-04,Late Stage Venture,78150000,USD,78150000,Series C,Series C,78150000,USD,78150000,102150000,USD,102150000,102150000,USD,102150000,"Titan Capital, Lightspeed Venture Partners, WestBridge Capital, Lightspeed India Partners, Salesforce Ventures",7,5,,,Growing,2023-07-27,2023-03-01,0,0.9,6.8,10
ASAPP,https://www.crunchbase.com/organization/asapp,"Artificial Intelligence (AI), CRM, Customer Service, Enterprise Software, Sales Automation","New York, New York, United States",Breakthroughs are born out of research and ASAPP is advancing AI to drive greater human productivity and automating the world's workflows,240,"Greater New York Area, East Coast, Northeastern US",10007,Less than $1M,Active,2014-01-01,year,,,,,For Profit,http://www.asapp.com,https://www.linkedin.com/company/asappco,https://twitter.com/asapp,Unicorn,"ASAPP AI Native® products, driven by advances in fundamental AI research, make organizations highly productive and effective by augmenting human activity and automating the world’s workflows. The ASAPP Customer Experience Performance (CXP) platform provides Contact Center customer care and sales agents with a platform to know the right thing to say and the right action to take, in real-time.  The ASAPP machine learning models are continuously learning and predicting from every customer interaction, effectively turning every agent into the best agent without the need for manual programming or extensive training. Many of the world’s largest companies in telecom, financial services, and travel use the solution. The company has offices in New York, Silicon Valley, London and Buenos Aires.",,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Other, Professional Services, Sales and Marketing, Science and Engineering, Software",2,"Gustavo Sapoznik, Marcus Westin",251-500,4,2021-05-19,Late Stage Venture,120000000,USD,120000000,Series C,Series C,120000000,USD,120000000,380000000,USD,380000000,380000000,USD,380000000,"Fidelity, Emergence, Dragoneer Investment Group, March Capital, Telstra Ventures",17,2,,,,,,-0.1,0.2,8.8,1
Amperity,https://www.crunchbase.com/organization/amperity,"Analytics, Artificial Intelligence (AI), Big Data, Data Management, Marketing, SaaS","Seattle, Washington, United States",Amperity is an Intelligent Customer Data Platform that empowers global consumer brands by unlocking all their customer data.,256,"Greater Seattle Area, West Coast, Western US",98104,$1M to $10M,Active,2016-01-01,year,,,,,For Profit,https://amperity.com,https://www.linkedin.com/company/amperity,https://twitter.com/amperity,Unicorn,"Amperity’s mission is to help people use data to serve the customer. They are revolutionizing the way companies connect, identify, and understand their customers by leveraging artificial intelligence to deliver a truly comprehensive and actionable Customer 360. This view improves marketing performance, fuels accurate customer insights, and enables world-class customer experiences. With Amperity, technical teams are freed from endless integration and data management, and business teams have direct access to the comprehensive data they need to build long-term customer loyalty and drive growth. Amperity serves many of the world’s most loved brands.",,,"Artificial Intelligence (AI), Data and Analytics, Sales and Marketing, Science and Engineering, Software",2,"Derek Slager, Kabir Shahani",251-500,6,2021-07-13,Late Stage Venture,100000000,USD,100000000,Series D,Series D,100000000,USD,100000000,187000000,USD,187000000,187000000,USD,187000000,"Madrona, Goldman Sachs, Hyde Park Venture Partners, Founders' Co-op, Tiger Global Management",18,3,1,Made Acquisitions,Growing,2020-12-17,2024-01-25,1.2,3.6,7.8,8
Sierra,https://www.crunchbase.com/organization/sierra-1124,"Artificial Intelligence (AI), Enterprise Software, SaaS","San Francisco, California, United States",Sierra is an AI startup that tackles essential business challenges by leveraging Enterprise AI solutions.,257,"San Francisco Bay Area, West Coast, Western US",,,Active,2023-01-01,year,,,,,,https://sierra.ai,https://www.linkedin.com/company/sierra,https://twitter.com/sierraplatform,,"Sierra is an AI startup that tackles essential business challenges by leveraging Enterprise AI solutions. The company aims to integrate practical AI solutions into established business workflows seamlessly. Its conversational AI agents help companies streamline interactions, resolve issues efficiently, and deliver personalized support.",,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",2,"Bret Taylor, Clay Bavor",11-50,1,2024-02-13,,110000000,USD,110000000,Venture - Series Unknown,Venture - Series Unknown,110000000,USD,110000000,110000000,USD,110000000,110000000,USD,110000000,"Sequoia Capital, Conviction Partners, Benchmark",3,2,,,,,,0.3,2.4,-0.4,10
Celestial AI,https://www.crunchbase.com/organization/inorganic-intelligence,"Artificial Intelligence (AI), Data Center, Machine Learning, Semiconductor, Software","Santa Clara, California, United States",Celestial AI develops an optical interconnect technology platform for data center and AI computing solutions.,266,"San Francisco Bay Area, Silicon Valley, West Coast",95054,$10M to $50M,Active,2020-01-01,year,,,,,For Profit,https://www.celestial.ai,https://www.linkedin.com/company/celestial-ai,https://twitter.com/CelestialAIinc,,"Celestial AI is a machine learning accelerator company developing an optical interconnect technology platform for data centers and AI solutions. It utilizes the advantages of photonics, mixed-signal ASICs, and advanced packaging to offer a sustainable improvement in computing performance that helps clients deliver superior AI acceleration hardware and software alternatives. The company's Photonic FabricTM provides the foundational technology for optically scalable, disaggregated data center computing and memory to unleash advancements in AI with sustainable and profitable business models.",,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Science and Engineering, Software",3,"David Lazovsky, Michelle Tomasko, Preet Virk",101-250,5,2024-03-27,Late Stage Venture,175000000,USD,175000000,Series C,Series C,175000000,USD,175000000,338874997,USD,338874997,338874997,USD,338874997,"Koch Disruptive Technologies, IAG Capital Partners, The Engine, M Ventures, Xora Innovation",15,5,,,Growing,2024-06-06,,-0.4,-3.3,8.7,7
Overjet,https://www.crunchbase.com/organization/overjet,"Artificial Intelligence (AI), Dental, Electronic Health Record (EHR), Health Diagnostics, Software","Cambridge, Massachusetts, United States",Overjet is an AI-powered dental technology company that provides algorithms to analyze dental images and deliver diagnoses.,267,"Greater Boston Area, East Coast, New England",,$10M to $50M,Active,2018-01-01,year,,,,,For Profit,https://www.overjet.ai,https://www.linkedin.com/company/overjet,https://twitter.com/overjetdental,Emerging Unicorn,"Overjet is a software company that develops a platform designed to reduce costs and improve the quality of dental care. It uses artificial intelligence and analyzes dental data to determine what treatments are necessary for the patient, enabling patients to get improved dental care. Its computer vision and machine learning algorithms empower dental providers and payers to deliver patient care.",,,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",3,"Alexander Jelicich, Deepak Ramaswamy, Wardah Inam",101-250,5,2024-03-05,Late Stage Venture,53200000,USD,53200000,Series C,Series C,53200000,USD,53200000,130550000,USD,130550000,130550000,USD,130550000,"General Catalyst, Crosslink Capital, March Capital, The E14 Fund, Insight Partners",10,4,1,Made Acquisitions,,2022-01-10,,0.1,-0.7,7.5,10
Ideogram,https://www.crunchbase.com/organization/ideogram,"Artificial Intelligence (AI), Generative AI, Information Technology, Internet","Toronto, Ontario, Canada",Ideogram is an artificial intelligence startup that provides generative text-to-image technology.,268,Great Lakes,,$1M to $10M,Active,2022-01-01,year,,,,,For Profit,https://ideogram.ai,https://www.linkedin.com/company/ideogram-ai,,,Ideogram is an artificial intelligence startup that provides generative text-to-image technology.,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Science and Engineering, Software",,,1-10,2,2024-02-28,Early Stage Venture,80000000,CAD,58919534,Series A,Series A,80000000,CAD,58919534,102300000,CAD,75376856,102300000,CAD,75376856,"Pear VC, Andreessen Horowitz, AIX Ventures, Sarah Guo, Tom Preston-Werner",11,2,,,Growing,,,-0.2,-0.9,-1,10
Rockset,https://www.crunchbase.com/organization/rockset,"Analytics, Artificial Intelligence (AI), Information Services, Information Technology, Software","San Mateo, California, United States",Rockset is a real-time indexing database that enables companies to build data applications for the cloud.,272,"San Francisco Bay Area, Silicon Valley, West Coast",94402,$1M to $10M,Active,2016-01-01,year,,,,,For Profit,https://rockset.com,https://www.linkedin.com/company/rocksetcloud,https://twitter.com/RocksetCloud,,"Rockset is a developer of a serverless search and analytics engine platform that enables the creation of apps without the use of pipelines or data preparation. The platform of the company acts directly on raw data, plugs them in, and continuously syncs new data from data sources without the requirement for a fixed scheme using familiar SQL, allowing clients to access programming language without any data preparation. Index your vector data, text, geospatial and JSON data for the most efficient hybrid search and real-time analytics at any scale.",,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",2,"Dhruba Borthakur, Venkat Venkataramani",51-100,6,2023-08-29,Early Stage Venture,44000000,USD,44000000,Series B,Series B,44000000,USD,44000000,110500000,USD,110500000,117500000,USD,117500000,"Sequoia Capital, K5 Global, Icon Ventures, Glynn Capital Management, Four Rivers Group",6,3,,,Growing,,,0,-0.1,7.9,9
