Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Number of Funding Rounds,Funding Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Organization Revenue Range,Organization Website,Organization Location,Lead Investors,Investor Names,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Grant - Sadako Technologies,https://www.crunchbase.com/funding_round/sadako-technologies-grant--febb0705,Sadako Technologies,https://www.crunchbase.com/organization/sadako-technologies,Grant,1260124,EUR,1357043,2017-02-01,,,,,No,Sadako Technologies is a startup specializing in robotics and computer vision for waste recovery.,"Artificial Intelligence (AI), Industrial Engineering, Mechanical Engineering, Robotics",,4,Seed,2025124,EUR,2231936,$1M to $10M,http://www.sadako.es,"Barcelona, Catalonia, Spain, Europe",EASME - EU Executive Agency for SMEs,EASME - EU Executive Agency for SMEs,1,,"492,991"
Seed Round - Presentr,https://www.crunchbase.com/funding_round/t3-interactive-seed--4d6ab853,Presentr,https://www.crunchbase.com/organization/t3-interactive,Seed,1200000,USD,1200000,2017-01-01,Seed,,,,Yes,AI coaching platform for communication skills helping to build a world of more confident speakers,"Artificial Intelligence (AI), Corporate Training, E-Learning, EdTech, Education, Enterprise Software, SaaS, Software",Women Founded,5,Seed,1790000,USD,1790000,$1M to $10M,http://www.presentr.me,"New York, New York, United States, North America",,,,,"493,122"
Pre Seed Round - Bold Metrics,https://www.crunchbase.com/funding_round/fashion-metric-pre-seed--b8ac953f,Bold Metrics,https://www.crunchbase.com/organization/fashion-metric,Pre-Seed,814548,USD,814548,2017-01-31,Seed,,,,Yes,Bold Metrics is a SaaS solution for retailers that reduces product returns and inform better design practices.,"Artificial Intelligence (AI), Enterprise Applications, Enterprise Software, Machine Learning, SaaS","Women Founded, Women Led",6,Early Stage Venture,12752893,USD,12752893,$1M to $10M,http://www.boldmetrics.com,"San Francisco, California, United States, North America",,"Mark Cuban, Right Side Capital Management, Techstars",3,1,"493,788"
Seed Round - Valossa,https://www.crunchbase.com/funding_round/valossa-seed--4ac9b58f,Valossa,https://www.crunchbase.com/organization/valossa,Seed,2000000,USD,2000000,2017-09-06,Seed,,,,Yes,Valossa provides video recognition and content intelligence software platform for businesses working with video.,"Analytics, Computer Vision, Content Discovery, Digital Media, Facial Recognition, Natural Language Processing, SaaS, Search Engine, Software",,2,Seed,2650000,USD,2650000,,https://www.valossa.com,"Oulu, Oulu, Finland, Europe",01Ventures,"01Ventures, Jari Ovaskainen, Reaktor Ventures",3,1,"340,944"
Angel Round - TranslateGo,https://www.crunchbase.com/funding_round/translatego-angel--b1a1d11d,TranslateGo,https://www.crunchbase.com/organization/translatego,Angel,3000000,CNY,450525,2017-08-23,Seed,,,,Yes,"TranslateGo provides AI translation service for users in different fields with big data, AI, and mobile interconnection technologies.","Artificial Intelligence (AI), Big Data, Software, Translation Service",,1,Seed,3000000,CNY,450525,,http://www.fanyigou.net,"Hangzhou, Zhejiang, China, Asia",Haibang Capital,Haibang Capital,1,,"438,558"
Debt Financing - Camino Financial,https://www.crunchbase.com/funding_round/camino-financial-debt-financing--424488b4,Camino Financial,https://www.crunchbase.com/organization/camino-financial,Debt Financing,800000,USD,800000,2017-07-15,,,,,No,Camino Financial is an online finance company that offers business loans and wealth-building solutions to help small businesses grow.,"Artificial Intelligence (AI), Commercial Lending, Credit, Financial Services, FinTech, Small and Medium Businesses","Hispanic / Latine Founded, Hispanic / Latine Led",12,Early Stage Venture,170350000,USD,170350000,$1M to $10M,http://www.caminofinancial.com/,"Los Angeles, California, United States, North America",,,,,"494,563"
Seed Round - Pinscreen,https://www.crunchbase.com/funding_round/pinscreen-seed--03dcf465,Pinscreen,https://www.crunchbase.com/organization/pinscreen,Seed,2000000,USD,2000000,2017-08-29,Seed,,,,Yes,"We build the most advanced Gen-AI technology for VFX and interactive experiences, including visual dubbing, face swaps, and deepfakes.","Artificial Intelligence (AI), Consumer Applications, Information Technology, Media and Entertainment, Mobile Apps, Photo Editing, Software, Video Games, Virtual Reality",Women Founded,5,Seed,5800000,USD,5800000,$1M to $10M,http://www.pinscreen.com,"Los Angeles, California, United States, North America",SBVA,"Colopl Next, Lux Capital, SBVA",3,1,"341,609"
Venture Round - Lagniappe Labs,https://www.crunchbase.com/funding_round/lagniappe-labs-series-unknown--09431592,Lagniappe Labs,https://www.crunchbase.com/organization/lagniappe-labs,Venture - Series Unknown,1652301,USD,1652301,2017-11-06,,,,,Yes,"Lagniappe Labs analyzes U.S. venture backed financings, and provides analytics surrounding the share price performance and valuations.","Analytics, Financial Services, Predictive Analytics, Software",,2,Seed,2186357,USD,2186357,$1M to $10M,https://primeunicornindex.com,"Shreveport, Louisiana, United States, North America",,,,,"578,229"
Seed Round - Saleswhale,https://www.crunchbase.com/funding_round/saleswhale-seed--31f11aaf,Saleswhale,https://www.crunchbase.com/organization/saleswhale,Seed,1200000,USD,1200000,2017-04-10,Seed,,,,Yes,Saleswhale develops an AI-driven conversational marketing platform.,"Artificial Intelligence (AI), Assistive Technology, Marketing Automation, SaaS, Sales Automation",,4,M&A,6620000,USD,6620000,$1M to $10M,http://saleswhale.com,"Singapore, Central Region, Singapore, Asia",STRIVE,"Bowei Lee, Juha Paananen, Monk’s Hill Ventures, Pieter Walraven, Royston Tay, STRIVE, Wavemaker Partners",7,,"431,461"
Seed Round - boodleAI,https://www.crunchbase.com/funding_round/boodleai-seed--3a0a8cfe,boodleAI,https://www.crunchbase.com/organization/boodleai,Seed,2000000,USD,2000000,2017-04-01,Seed,,,,Yes,"boodleAI began building BoodleBox in July 2023 to unite people, knowledge, and Generative AI together in one platform.","Artificial Intelligence (AI), Software",,3,Seed,8500000,USD,8500000,$1M to $10M,http://boodlebox.ai,"Mclean, Virginia, United States, North America",,,,,"431,904"
Series A - Perx Technologies,https://www.crunchbase.com/funding_round/perx-series-a--d779e810,Perx Technologies,https://www.crunchbase.com/organization/perx,Series A,2000000,SGD,1434411,2017-03-27,Early Stage Venture,,,,Yes,"Perx Technologies is the world’s first self-service, intelligent, and intuitive loyalty management and customer engagement platform","Analytics, Artificial Intelligence (AI), Gamification, Loyalty Programs, Machine Learning, Marketing, Marketing Automation, Mobile, Predictive Analytics, SaaS",,7,Early Stage Venture,16689099,USD,16689099,$10M to $50M,https://www.perxtech.com,"Singapore, Central Region, Singapore, Asia",,,,,"431,980"
Seed Round - Otherwise,https://www.crunchbase.com/funding_round/otherwise-seed--82a23c3c,Otherwise,https://www.crunchbase.com/organization/otherwise,Seed,1600000,EUR,1706241,2017-03-31,Seed,,,,Yes,Otherwise is France's first collaborative (peer-to-peer) insurance broker.,"Insurance, Machine Learning, Peer to Peer",,3,Seed,1600000,EUR,1706241,$1M to $10M,https://otherwise.fr/,"Paris, Ile-de-France, France, Europe","360 Capital, Bpifrance","360 Capital, Bpifrance",2,,"432,023"
Debt Financing - Gamaya,https://www.crunchbase.com/funding_round/gamaya-debt-financing--80249b3d,Gamaya,https://www.crunchbase.com/organization/gamaya,Debt Financing,500000,CHF,491698,2017-01-10,,,,,No,"Gamaya improves efficiency & sustainability of farming by offering compelling agronomy solutions, enabled by hyperspectral imaging and AI.","AgTech, Artificial Intelligence (AI), Robotics",,8,Early Stage Venture,20040000,CHF,20239952,$1M to $10M,https://gamaya.com,"Vaud, Geneve, Switzerland, Europe",Foundation for Technological Innovation (FIT),Foundation for Technological Innovation (FIT),1,,"432,042"
Angel Round - JOSEAI,https://www.crunchbase.com/funding_round/joseai-angel--d1c4504e,JOSEAI,https://www.crunchbase.com/organization/joseai,Angel,3400000,CNY,512415,2017-11-03,Seed,,,,Yes,JOSEAI provides artificial intelligence and IoT services for education.,"Artificial Intelligence (AI), Education, Internet of Things",,1,Seed,3400000,CNY,512415,,http://www.jiushengai.com,"Shenzhen, Guangdong, China, Asia",,Xiansou Technology,1,,"432,272"
Grant - Quibim,https://www.crunchbase.com/funding_round/quibim-grant--a2bb0d5a,Quibim,https://www.crunchbase.com/organization/quibim,Grant,1254225,EUR,1487750,2017-09-01,,,,,No,"Quibim, a company with its headquarters in Valencia, Spain, is a global leader in whole-body medical imaging analysis.","Artificial Intelligence (AI), Biotechnology, Clinical Trials, Health Care, Health Diagnostics, Hospital, Pharmaceutical",,12,Seed,17013425,EUR,19586338,$10M to $50M,https://www.quibim.com,"Valencia, Comunidad Valenciana, Spain, Europe",EASME - EU Executive Agency for SMEs,EASME - EU Executive Agency for SMEs,1,,"432,774"
Venture Round - GroupSolver,https://www.crunchbase.com/funding_round/groupsolver-inc-series-unknown--c6295d3f,GroupSolver,https://www.crunchbase.com/organization/groupsolver-inc,Venture - Series Unknown,1000000,USD,1000000,2017-09-28,,,,,Yes,GroupSolver is an online consumer research platform that provides real-time qualitative and quantitative insights.,"Analytics, Artificial Intelligence (AI), Consulting, Crowdsourcing, Machine Learning, Market Research, Marketing, Natural Language Processing",,8,,7281497,USD,7281497,$1M to $10M,https://groupsolver.com,"San Diego, California, United States, North America",Tech Coast Angels,Tech Coast Angels,1,1,"432,904"
Pre Seed Round - ForwardLane,https://www.crunchbase.com/funding_round/forwardlane-pre-seed--33bd73ee,ForwardLane,https://www.crunchbase.com/organization/forwardlane,Pre-Seed,1400000,USD,1400000,2017-01-22,Seed,,,,Yes,ForwardLane is the essential insights platform used by financial professionals for personalized conversations,"Artificial Intelligence (AI), Asset Management, Finance, Financial Services, FinTech, Machine Learning, Natural Language Processing, PaaS, Wealth Management",,7,Seed,8125000,USD,8125000,$1M to $10M,http://www.forwardlane.com,"New York, New York, United States, North America",,"Chris Adelsbach, Techstars, Thomson Reuters",3,2,"432,939"
Debt Financing - 42Maru,https://www.crunchbase.com/funding_round/42maru-debt-financing--43b7333e,42Maru,https://www.crunchbase.com/organization/42maru,Debt Financing,1200000,USD,1200000,2017-12-27,,,,,No,"42Maru builds a Question Answering platform that finds a Single, Specific, Correct Answer based on Deep Learning","Artificial Intelligence (AI), Internet of Things, Knowledge Management, Machine Learning, Mobile Devices, Robotics, Smart Home",,10,,11077104,USD,11077104,$1M to $10M,http://www.42maru.ai/,"Seocho, Seoul-t'ukpyolsi, South Korea, Asia",,"Dayli Partners, Spring Camp",2,,"433,470"
Seed Round - Qopius,https://www.crunchbase.com/funding_round/qopius-seed--a01d924c,Qopius,https://www.crunchbase.com/organization/qopius,Seed,1750000,EUR,2007818,2017-07-17,Seed,,,,Yes,"Qopius digitizes shelves to help retailers measure shelf performance, increase productivity and reduce out-of-stock scenarios.","Artificial Intelligence (AI), Computer Vision, Fast-Moving Consumer Goods, Image Recognition, Internet of Things, Retail Technology, Robotics, Software",,2,M&A,1750000,EUR,2007818,$1M to $10M,https://www.qopius.com/,"Paris, Ile-de-France, France, Europe",,"360 Capital, Bpifrance",2,,"431,827"
Seed Round - GliaCloud,https://www.crunchbase.com/funding_round/gliacloud-seed--d64a4e0c,GliaCloud,https://www.crunchbase.com/organization/gliacloud,Seed,500000,USD,500000,2017-08-15,Seed,,,,Yes,GliaStudio is an AI-powered video creation platform for content automation.,"Artificial Intelligence (AI), Digital Media, Marketing, Software, Video, Video Editing",,5,Early Stage Venture,2490000,USD,2490000,$1M to $10M,http://gliacloud.com/,"Taipei, T'ai-pei, Taiwan, Asia",,,,,"623,589"
Convertible Note - Tickets Cloud,https://www.crunchbase.com/funding_round/tickets-cloud-convertible-note--8713ece7,Tickets Cloud,https://www.crunchbase.com/organization/tickets-cloud,Convertible Note,500000,USD,500000,2017-06-01,,4300000,USD,4300000,No,"Tickets Cloud is an information technology company that provides IT management, artificial intelligence, and consulting services.","Analytics, Artificial Intelligence (AI), B2B, Events, Information Technology, IT Management, SaaS, Ticketing",,8,Seed,1503000,USD,1503000,Less than $1M,https://ticketscloud.org/,"Moscow, Moscow City, Russian Federation, Europe",,,,,"272,100"
Seed Round - Digital Agriculture Services,https://www.crunchbase.com/funding_round/digital-agriculture-services-seed--78916114,Digital Agriculture Services,https://www.crunchbase.com/organization/digital-agriculture-services,Seed,2000000,AUD,1543392,2017-12-22,Seed,,,,Yes,Digital Agriculture Services is an AI company that provides rural intelligence platform for businesses and governments.,"Agriculture, AgTech, Artificial Intelligence (AI), Information Technology, Machine Learning",,6,,9575000,AUD,6721853,$1M to $10M,http://www.digitalagricultureservice.com,"Melbourne, Victoria, Australia, Oceania",CSIRO,CSIRO,1,,"272,427"
Angel Round - UGOHOUSU,https://www.crunchbase.com/funding_round/ugohousu-angel--71390282,UGOHOUSU,https://www.crunchbase.com/organization/ugohousu,Angel,5000000,CNY,750876,2017-10-01,Seed,,,,Yes,UGOHOUS is a technical service for the retail industry that uses artificial intelligence.,"Artificial Intelligence (AI), Machine Learning, Retail",,1,Seed,5000000,CNY,750876,,http://www.ugohouse.com/,"Haidian, Beijing, China, Asia",,,,,"415,066"
Grant - Alchemie Solutions,https://www.crunchbase.com/funding_round/alchemie-games-grant--63dc4170,Alchemie Solutions,https://www.crunchbase.com/organization/alchemie-games,Grant,707000,USD,707000,2017-03-09,,,,,No,Alchemie is building next generation assessment technology.,"E-Learning, Education, Higher Education, Machine Learning, Mobile",Women Founded,11,,2356927,USD,2356927,Less than $1M,http://alchem.ie,"Troy, Michigan, United States, North America",National Science Foundation,National Science Foundation,1,,"415,517"
Venture Round - Echo AI,https://www.crunchbase.com/funding_round/pathlight-series-unknown--c2a45374,Echo AI,https://www.crunchbase.com/organization/pathlight,Venture - Series Unknown,1100000,USD,1100000,2017-03-01,,,,,Yes,The first generative AI-native Conversation Intelligence platform that turns customers feedback into insights.,"Artificial Intelligence (AI), Customer Service, Enterprise Software, Generative AI, Internet, Natural Language Processing, Software",,6,Early Stage Venture,34200000,USD,34200000,Less than $1M,https://www.echoai.com/,"Palo Alto, California, United States, North America",,,,,"323,791"
Seed Round - Seez ApS,https://www.crunchbase.com/funding_round/seez-seed--cd791b51,Seez ApS,https://www.crunchbase.com/organization/seez,Seed,1800000,USD,1800000,2017-06-01,Seed,,,,Yes,Seez is a full online buying platform for dealers to sell their cars fully online.,"Artificial Intelligence (AI), Automotive, E-Commerce, Machine Learning, Search Engine",,5,,13800000,USD,13800000,$1M to $10M,https://www.seez.co/,"Copenhagen, Hovedstaden, Denmark, Europe",,"B&Y, Phoenician VC, Wamda Capital",3,,"452,181"
Seed Round - DeepBrain AI,https://www.crunchbase.com/funding_round/moneybrain-seed--ecd37b07,DeepBrain AI,https://www.crunchbase.com/organization/moneybrain,Seed,1750000,USD,1750000,2017-08-11,Seed,,,,Yes,DEEPBRAIN AI provides conversational AI avatars and AI video generator.,"Artificial Intelligence (AI), Content Creators, Generative AI, Machine Learning, Software, Video, Video Editing, Web Apps",,3,Early Stage Venture,52000000,USD,52000000,$1M to $10M,https://www.deepbrain.io/,"Palo Alto, California, United States, North America",,"Donghoon Investment, L&S Venture Capital",2,,"324,109"
Venture Round - FineTune,https://www.crunchbase.com/funding_round/academic-merit-series-unknown--51ec91ba,FineTune,https://www.crunchbase.com/organization/academic-merit,Venture - Series Unknown,600000,USD,600000,2017-05-04,,,,,Yes,Educational Technology Company solving the challenge of qualitative assessment at scale for all verticals of the learning continuum.,"Artificial Intelligence (AI), Document Preparation, EdTech, Education, Skill Assessment, Software, Training",,8,M&A,2925000,USD,2925000,$1M to $10M,http://finetunelearning.com,"Boston, Massachusetts, United States, North America",,,,,"324,270"
Seed Round - Alpharank,https://www.crunchbase.com/funding_round/alpharank-2-seed--a71d07db,Alpharank,https://www.crunchbase.com/organization/alpharank-2,Seed,2006341,USD,2006341,2017-11-29,Seed,,,,Yes,Alpharank is a bank technology company that develops a behavioral commerce platform.,"Banking, Information Technology, Predictive Analytics, Software",,4,Seed,2006341,USD,2006341,$1M to $10M,http://www.alpharank.io,"Redwood City, California, United States, North America",Hummer Winblad Venture Partners,Hummer Winblad Venture Partners,1,1,"130,777"
Seed Round - SocialDice,https://www.crunchbase.com/funding_round/socialdice-seed--56b83657,SocialDice,https://www.crunchbase.com/organization/socialdice,Seed,600000,USD,600000,2017-07-30,Seed,,,,Yes,"SocialDice is an innovative hiring solution that makes hiring easy, smart and fun tailored for SMEs in the Middle East & North Africa.","Artificial Intelligence (AI), Human Resources, Recruiting, SaaS, Social Recruiting",,5,Early Stage Venture,800000,USD,800000,$1M to $10M,https://socialdice.net,"Dubai, Dubai, United Arab Emirates, Asia",,"500 Global, Ibtikar Fund, Oasis500, Raed Ventures, Sadara Ventures, Zahi Khouri",6,1,"325,395"
Seed Round - Wikaya,https://www.crunchbase.com/funding_round/wikaya-seed--47dbdee1,Wikaya,https://www.crunchbase.com/organization/wikaya,Seed,500000,USD,500000,2017-03-01,Seed,,,,Yes,AI platform for prevention of chronic diseases.,"Artificial Intelligence (AI), Clinical Trials, Health Care",,1,Seed,500000,USD,500000,Less than $1M,http://www.wikayamed.com,"New York, New York, United States, North America",,,,,"118,889"
Debt Financing - Camino Financial,https://www.crunchbase.com/funding_round/camino-financial-debt-financing--cd26100b,Camino Financial,https://www.crunchbase.com/organization/camino-financial,Debt Financing,800000,USD,800000,2017-03-15,,,,,No,Camino Financial is an online finance company that offers business loans and wealth-building solutions to help small businesses grow.,"Artificial Intelligence (AI), Commercial Lending, Credit, Financial Services, FinTech, Small and Medium Businesses","Hispanic / Latine Founded, Hispanic / Latine Led",12,Early Stage Venture,170350000,USD,170350000,$1M to $10M,http://www.caminofinancial.com/,"Los Angeles, California, United States, North America",,,,,"589,244"
Pre Seed Round - Rally,https://www.crunchbase.com/funding_round/rally-bus-pre-seed--f8ea4920,Rally,https://www.crunchbase.com/organization/rally-bus,Pre-Seed,500000,USD,500000,2017-04-05,Seed,,,,Yes,Rally is Mass Mobility as a Service: technology and model innovations for the business of buses.,"Artificial Intelligence (AI), Collaborative Consumption, Events, Logistics, Music Venues, Sports, Transportation",Women Founded,11,,6450000,USD,6450000,$1M to $10M,https://rally.co,"New York, New York, United States, North America",Studio VC,Studio VC,1,,"325,910"
Seed Round - Astralink,https://www.crunchbase.com/funding_round/astralink-seed--267f6d2b,Astralink,https://www.crunchbase.com/organization/astralink,Seed,1000000,USD,1000000,2017-03-23,Seed,,,,Yes,Augmented Reality Platform for Construction Sites,"3D Technology, Artificial Intelligence (AI), Augmented Reality, Computer Vision, Construction, Enterprise Software, Machine Learning, Mobile",,2,Seed,1000000,USD,1000000,$1M to $10M,http://www.astralink.io,"Tel Aviv, Tel Aviv, Israel, Asia",,,,,"294,499"
Pre Seed Round - StopFakeFood,https://www.crunchbase.com/funding_round/stopfakefood-pre-seed--56a76848,StopFakeFood,https://www.crunchbase.com/organization/stopfakefood,Pre-Seed,1000000,USD,1000000,2017-08-31,Seed,7000000,USD,7000000,Yes,Food integrity and product authenticity solutions using AI and Spectrometry,"Analytics, Artificial Intelligence (AI), Blockchain, Information Technology, Machine Learning, Software Engineering",,2,Seed,1000000,USD,1000000,,https://www.stopfakefood.com/,"Zug, Zug, Switzerland, Europe",Augustas Alesiunas,Augustas Alesiunas,1,,"590,196"
Seed Round - WeProov,https://www.crunchbase.com/funding_round/weproov-seed--a0805967,WeProov,https://www.crunchbase.com/organization/weproov,Seed,1000000,EUR,1141859,2017-07-12,Seed,,,,Yes,WeProov Fleet is a damage and claim management platform leveraged by AI for fleet managers,"Artificial Intelligence (AI), Automotive, Fleet Management, Machine Learning, Software",,2,Seed,1120000,EUR,1278337,$1M to $10M,https://www.weproov.com,"Paris, Ile-de-France, France, Europe",,"Bpifrance, CarStudio",2,,"152,826"
Seed Round - Weedguide,https://www.crunchbase.com/funding_round/weedguide-seed--738dc3f9,Weedguide,https://www.crunchbase.com/organization/weedguide,Seed,1700000,USD,1700000,2017-10-10,Seed,,,,Yes,Artificial Intelligence Driven Vertical Search Engine Platform for Cannabis,"Artificial Intelligence (AI), Cannabis, Machine Learning, Search Engine, Vertical Search",,1,Seed,1700000,USD,1700000,,https://www.weedguide.com/,"San Diego, California, United States, North America",,,,,"368,242"
Venture Round - Match2One,https://www.crunchbase.com/funding_round/match2one-2-series-unknown--b5f6e618,Match2One,https://www.crunchbase.com/organization/match2one-2,Venture - Series Unknown,20000000,SEK,2468063,2017-10-16,,,,,Yes,Match2One is a programmatic advertising platform.,"Advertising, Advertising Platforms, Digital Media, Machine Learning, Service Industry",,7,M&A,6405510,USD,6405510,$1M to $10M,http://www.match2one.com/,"Stockholm, Stockholms Lan, Sweden, Europe",,,,,"573,250"
Seed Round - Sturfee,https://www.crunchbase.com/funding_round/sturfee-seed--8bba9f72,Sturfee,https://www.crunchbase.com/organization/sturfee,Seed,2000000,USD,2000000,2017-12-01,Seed,,,,Yes,Building Largest Spatial Content Delivery Platform to overlay Digital Contents directly over Physical Environments and Products.,"Artificial Intelligence (AI), Augmented Reality, Computer Vision, Machine Learning, Mobile, Robotics, Software",Women Founded,6,Early Stage Venture,3995000,USD,3995000,Less than $1M,https://www.sturfee.com,"Santa Clara, California, United States, North America",SIG China (SIG Asia Investments),"Asahi Media Lab Ventures, SIG China (SIG Asia Investments), Youku Global Media Fund",3,,"222,979"
Venture Round - Datmo,https://www.crunchbase.com/funding_round/datmo-series-unknown--eec1fc7b,Datmo,https://www.crunchbase.com/organization/datmo,Venture - Series Unknown,1165000,USD,1165000,2017-07-31,,,,,Yes,"Datmo enables continuous delivery of data science. Deploy, Experiment and optimize without leaving your familiar workflows.","Artificial Intelligence (AI), Big Data, Data Visualization, Machine Learning",,1,M&A,1165000,USD,1165000,Less than $1M,https://www.datmo.com,"Palo Alto, California, United States, North America",,"AngelList, CSC Upshot, Deep Fork Capital, Matt Johnson, Pear VC",5,1,"638,873"
Pre Seed Round - Vital,https://www.crunchbase.com/funding_round/vital-6fc2-pre-seed--32bf7aad,Vital,https://www.crunchbase.com/organization/vital-6fc2,Pre-Seed,1000000,USD,1000000,2017-02-20,Seed,,,,Yes,AI-Powered digital experiences for the most vital points in care.,"Artificial Intelligence (AI), Health Care, Productivity Tools",,4,Early Stage Venture,45900000,USD,45900000,,https://vital.io,"Atlanta, Georgia, United States, North America",Aaron Patzer,Aaron Patzer,1,,"224,574"
Convertible Note - Cappasity,https://www.crunchbase.com/funding_round/cappasity-inc-convertible-note--8531a43a,Cappasity,https://www.crunchbase.com/organization/cappasity-inc,Convertible Note,800000,USD,800000,2017-08-12,,,,,No,"Cappasity is a cloud-based platform that lets online stores easily create and deliver 3D, AR and NFT shopping experiences","3D Technology, Analytics, Augmented Reality, B2B, E-Commerce Platforms, Fashion, Machine Learning, Retail Technology, Shopping, Virtual Reality","Women Founded, Women Led",8,,7450000,USD,7450000,$10M to $50M,https://www.cappasity.com,"Santa Clara, California, United States, North America",,,,,"639,330"
Seed Round - vHive,https://www.crunchbase.com/funding_round/vhive-seed--08c34c00,vHive,https://www.crunchbase.com/organization/vhive,Seed,2000000,USD,2000000,2017-04-12,Seed,,,,Yes,vHive provides a cloud-based software platform that enables enterprises to digitize and analyze assets using autonomous drone hives.,"Aerospace, Artificial Intelligence (AI), Drone Management, Enterprise, Information Technology, Machine Learning, SaaS, Software, Telecommunications",,4,Private Equity,36500000,USD,36500000,$1M to $10M,http://www.vhive.ai,"Herzliya, Tel Aviv, Israel, Asia",StageOne Ventures,StageOne Ventures,1,1,"627,185"
Seed Round - Lirhot Systems,https://www.crunchbase.com/funding_round/lirhot-systems-ltd-seed--ecbb1b19,Lirhot Systems,https://www.crunchbase.com/organization/lirhot-systems-ltd,Seed,2000000,USD,2000000,2017-10-01,Seed,,,,Yes,Lirhot is a computer hardware company that provides software platform for robots.,"Aerospace, Artificial Intelligence (AI), Automotive, Satellite Communication",,1,Seed,2000000,USD,2000000,,http://www.lirhot.com,"Rehovot, HaMerkaz, Israel, Asia",RDC - Rafael Development Corporation,RDC - Rafael Development Corporation,1,,"441,991"
Angel Round - YYD ROBO,https://www.crunchbase.com/funding_round/yyd-robo-angel--ec6c46bb,YYD ROBO,https://www.crunchbase.com/organization/yyd-robo,Angel,3000000,CNY,453248,2017-12-11,Seed,,,,Yes,YYD ROBO provides artificial intelligence and big data solutions.,"Artificial Intelligence (AI), Big Data, Cloud Computing, Machine Learning, Software",,1,Seed,3000000,CNY,453248,,https://www.yydrobo.com/,"Xixiang, Guangdong, China, Asia",,"Dazi Dingcheng Ziben, Seekdource",2,,"628,085"
Venture Round - Whalebone,https://www.crunchbase.com/funding_round/whalebone-series-unknown--3e6e33f6,Whalebone,https://www.crunchbase.com/organization/whalebone,Venture - Series Unknown,5000000,SEK,622552,2017-09-13,,,,,Yes,Whalebone is developing technology to amplify and humanize virtual events.,"Analytics, Artificial Intelligence (AI), Big Data, Events, Machine Learning, Sensor",,3,M&A,30000000,SEK,3368492,Less than $1M,https://www.whalebone.com,"Stockholm, Stockholms Lan, Sweden, Europe",,,,,"226,166"
Pre Seed Round - eClear,https://www.crunchbase.com/funding_round/eclear-pre-seed--191287c6,eClear,https://www.crunchbase.com/organization/eclear,Pre-Seed,500000,EUR,560642,2017-06-01,Seed,5000000,EUR,5606425,Yes,"eClear uses AI for VAT and customs compliance, providing seamless cross-border solutions.","Accounting, Artificial Intelligence (AI), Financial Services, Payments, Tax Preparation",,7,Early Stage Venture,43000000,EUR,46299748,$1M to $10M,https://eclear.com,"Berlin, Berlin, Germany, Europe",,,,,"226,234"
Seed Round - Giant Otter Technologies,https://www.crunchbase.com/funding_round/giant-otter-technologies-seed--cc55a348,Giant Otter Technologies,https://www.crunchbase.com/organization/giant-otter-technologies,Seed,700000,USD,700000,2017-03-31,Seed,,,,Yes,Giant Otter Technologies is a conversation authoring company that builds bots bottom-up from call recordings and live chat transcripts.,"Artificial Intelligence (AI), Enterprise Software, Information Technology, Messaging, Software",,4,M&A,1865984,USD,1865984,Less than $1M,http://www.giantotter.com/,"Somerville, Massachusetts, United States, North America",,"Betaworks Ventures, DG Lab, TCG",3,,"226,465"
Series A - xenodata lab,https://www.crunchbase.com/funding_round/xenodata-lab-series-a--05a4959a,xenodata lab,https://www.crunchbase.com/organization/xenodata-lab,Series A,250000000,JPY,2246492,2017-11-22,Early Stage Venture,,,,Yes,xenodata lab is a developing an AI-powered finance data analytics leveraging Natural Language Processing (NLP).,"Artificial Intelligence (AI), Finance, Financial Services, FinTech, Machine Learning",,7,,1330000000,JPY,11618327,$1M to $10M,http://www.xenodata-lab.com/,"Tokyo, Tokyo, Japan, Asia",,"DBJ Capital, Kabu.com Securities, Mitsubishi UFJ, Mizuho Capital, Okasan Securities, SMBC Venture Capital, Teikoku Databank, Tokai Tokyo Financial Holdings",8,,"343,393"
Pre Seed Round - WrkSpot,https://www.crunchbase.com/funding_round/wrkspot-pre-seed--02262525,WrkSpot,https://www.crunchbase.com/organization/wrkspot,Pre-Seed,1000000,USD,1000000,2017-06-30,Seed,,,,Yes,"The only complete, integrated, AI and IoT-based, SaaS platform for hotel back-office operations","Artificial Intelligence (AI), Hospitality, Internet, SaaS",,5,Seed,8600000,USD,8600000,$1M to $10M,https://www.wrkspot.com/,"Arcadia, California, United States, North America",,,,,"576,967"
Seed Round - MindMatter,https://www.crunchbase.com/funding_round/mindmatter-seed--d728c49e,MindMatter,https://www.crunchbase.com/organization/mindmatter,Seed,500000,USD,500000,2017-07-28,Seed,,,,Yes,Creators of Next-generation Strategy Software,"Artificial Intelligence (AI), Enterprise Software, Machine Learning, Management Consulting, Software",,1,M&A,500000,USD,500000,Less than $1M,http://www.mindmatter.com,"Melbourne, Victoria, Australia, Oceania",,,,,"344,117"
