Organization Name,Organization Name URL,Full Description,Industries,Headquarters Location,Description,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Exit Date,Exit Date Precision,Trademarks Registered,Monthly Visits,Active Tech Count,Total Products Active,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Downloads Last 30 Days,Most Popular Patent Class,Most Popular Trademark Class,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Number of Funding Rounds,Last Funding Date,Headquarters Regions,Estimated Revenue Range,Top 5 Investors,Most Recent Valuation Range,Date of Most Recent Valuation,Patents Granted,IPO Status,Postal Code,Founded Date,Founded Date Precision,Company Type,Website,LinkedIn,Number of Exits,Number of Exits (IPO),Industry Groups,Number of Founders,Founders,Number of Employees,Funding Status,Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,CB Rank (Organization),CB Rank (Company),Hub Tags,Number of Sub-Orgs,Diversity Spotlight (US Headquarters Only),Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Diversity Investments,Number of Lead Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks)
Profet AI,https://www.crunchbase.com/organization/profet-ai,"Founded in Taiwan, Profet AI is an manufacturing AI software Company, provides an end-to-end No-code AutoML platform that empowers industry domain/IT experts to rapidly build high-quality prediction models and deploy manufacturing AI applications to solve their everyday production and digital transformation challenges. Profet AI's AutoML and AILM, the world first manufacturing AI lifecycle management platform, is widely adopted by world's leading customers across several industries, including the world's largest EMS, Semi-OSAT, PCB, IC design House, display panel and materials solution providers. We leverage industry leading companies' successful cases to benefit our customers to implement AI within one week.","Artificial Intelligence (AI), Machine Learning, Manufacturing, Software","Taipei, T'ai-pei, Taiwan",Profet AI is a software solution company that offers AI and machine learning automation solutions designed for manufacturing companies.,5600000,USD,5600000,,,,663,7,,5600000,USD,5600000,,,,5600000,USD,5600000,2,2023-01-04,Asia-Pacific (APAC),,"Darwin Venture Management, AUO, Hive Ventures, Harbinger Ventures, Jensen-Capital Management",,,,Private,,2018-01-01,year,For Profit,https://www.profetai.com/en,https://www.linkedin.com/company/profetai/,,,"Artificial Intelligence (AI), Data and Analytics, Manufacturing, Science and Engineering, Software",,,51-100,Early Stage Venture,Series A,5600000,USD,5600000,Series A,1,6,,,"41,970","41,832",,,,,,,,,,,,
Deep Bio,https://www.crunchbase.com/organization/deepbio,Deep Bio is a medical AI startup that aims to revolutionize cancer diagnosis. Deep Bio combines cutting-edge AI algorithms with digital pathology to empower pathologists and streamline existing workflows.,"Artificial Intelligence (AI), Biotechnology, Health Diagnostics, Medical, Software","Seoul, Seoul-t'ukpyolsi, South Korea","Deep Bio aims to utilize deep learning to realize unmet medical needs around the world, starting with the field of pathology.",5600000,USD,5600000,,,3,864,11,,5600000,USD,5600000,,,Scientific and electric apparatus and instruments,,,,2,2020-03-09,Asia-Pacific (APAC),$1M to $10M,"Shinhan Venture Investment, Hyundai Investment Partners, Daesung Private Equity, Sejong Venture Partners, Dt& Investment",,,38,Private,,2015-10-08,day,For Profit,http://www.deepbio.co.kr,https://www.linkedin.com/company/deepbio-inc./,,,"Artificial Intelligence (AI), Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software",1,Sun Woo Kim,11-50,Early Stage Venture,Series B,,,,Series B,,6,,,"53,000","52,786",,,,,,,,,,,,
User1st,https://www.crunchbase.com/organization/user1st,User1st offer a developer tool that enables developers to render their websites and mobile apps inclusive in the code 10% of the time without regression. Using our tool any developer can turn the code inclusive without any need for thorough knowledge and understanding of the WCAG guidelines. The tool can be simply embedded into the CI/CD processes,"Artificial Intelligence (AI), Data Visualization, Developer Tools, Internet, Mobile Apps, SaaS, Software, UX Design, Web Development","Washington, District of Columbia, United States",User1st provides a spearheading developers toolkit for in-code digital accessibility and personalized digital experience,5600000,USD,5600000,,,1,"3,540",34,19,4300000,USD,4300000,,,Scientific and technological services,2850000,USD,2850000,3,2019-03-15,"Washington DC Metro Area, Southern US",$1M to $10M,"500 Global, Israel Innovation Authority, Cornerstone Venture Partners, Nissim Bar-El",$10M to $50M,2016-08-25,0,Private,20004,2012-01-01,year,For Profit,https://www.user1st.com,https://www.linkedin.com/company/user1st,,,"Apps, Artificial Intelligence (AI), Data and Analytics, Design, Information Technology, Internet Services, Mobile, Science and Engineering, Software",2,"Amihai Miron, Yossi Fessler",1-10,Seed,Seed,2850000,USD,2850000,Seed,3,4,,,"54,492","54,265",,,,,,,,,,,,
BinaryVR,https://www.crunchbase.com/organization/binaryvr,"BinaryVR aims for seamless interaction between AI and people’s daily lives in the computer vision field. While straddling the line between R&D and product build, BinaryVR is on the front of the cutting-edge technology keeping their core value in constant evolution. Founded in 2015, the company is headquartered in Burlingame, California, United States.","3D Technology, Artificial Intelligence (AI), Augmented Reality, Facial Recognition, Machine Learning, Virtual Reality","Burlingame, California, United States",BinaryVR develops facial expression tracking technology for AR/VR.,5600000,USD,5600000,,,0,,1,19,4900000,USD,4900000,,Computing; Calculating,,4500000,USD,4500000,4,2018-07-24,"San Francisco Bay Area, West Coast, Western US",Less than $1M,"Alumni Ventures, Boost VC, Kakao Ventures, Atinum Partners, KT investment",$10M to $50M,2018-07-26,2,Private,94010,2015-01-01,year,For Profit,https://www.binaryvr.com,https://www.linkedin.com/company/binaryvr-inc-,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software",3,"Jihun Yu, Jungwoon Park, Kenneth Ryu",1-10,Early Stage Venture,Series A,4500000,USD,4500000,Series A,,6,,,"84,850","84,364",,,,,,,,,,,,
N Toggle,https://www.crunchbase.com/organization/n-toggle,nToggle delivers heightened efficiency and transparency for buyers and sellers amidst the rapid rise of programmatic advertising.  nToggle's proprietary algorithm-driven software platform helps supply and demand partners manage the ever expanding bid stream.  nToggle's big data platform “toggles” real time bidding requests across all digital media utilizing the latest analytical and machine learning techniques to optimally match supply and demand.,"Machine Learning, SaaS, Software","Boston, Massachusetts, United States",NToggle is a proprietary algorithm-driven software platform that offers efficiency and transparency in programmatic advertising.,5600000,USD,5600000,2017-07-17,day,,,5,19,5600000,USD,5600000,,,,5600000,USD,5600000,1,2015-02-03,"Greater Boston Area, East Coast, New England",$1M to $10M,"Bessemer Venture Partners, Sigma Prime Ventures, Asher Delug",,,,Private,02114,2014-09-17,day,For Profit,,https://www.linkedin.com/company/ntoggle-inc,,,"Artificial Intelligence (AI), Data and Analytics, Software",3,"Adam Soroca, Ben Gordon, Shrikanth Mysore",11-50,M&A,Series A,5600000,USD,5600000,Series A,2,3,,Was Acquired,"104,772","104,040",,,,,,,,,,,,
Aditazz,https://www.crunchbase.com/organization/aditazz,"Aditazz designs and delivers next-generation healthcare facilities by integrating new design, technology and manufacturing techniques. Based in Silicon Valley, the company brings together experts and innovations from the worlds of semiconductor design, computer science, architecture, systems and structural engineering, modular manufacturing and assembly, and healthcare planning and operations. It has created a new generation of tools and technologies that results in dramatic increases in building construction speed, flexibility, predictability, cost-savings and ultimately improved healthcare - all while maintaining the highest degree of aesthetic and functional elegance. Aditazz received funding from Artiman Ventures and is a winner of Kaiser Permanente's 2012 'Small Hospital, Big Idea' design competition.","Big Data, Manufacturing, Predictive Analytics, Social Impact","Santa Clara, California, United States","Aditazz designs and delivers next-generation healthcare facilities by integrating new design, technology and manufacturing techniques.",5600000,USD,5600000,,,1,,8,17,5600000,USD,5600000,,Computing; Calculating,Scientific and electric apparatus and instruments,,,,2,2016-10-12,"San Francisco Bay Area, Silicon Valley, West Coast",$10M to $50M,"Artiman Ventures, RNT Capital",,,23,Private,94066,2010-01-01,year,For Profit,http://www.aditazz.com,http://www.linkedin.com/company/1786155,,,"Artificial Intelligence (AI), Data and Analytics, Manufacturing, Other, Social Impact, Software",2,"Deepak Aatresh, Zigmund Rubel",51-100,Early Stage Venture,Series B,,,,Series B,2,2,,,"226,597","221,845",,,,,,,,,,,,
Akin,https://www.crunchbase.com/organization/akin-fff7,"aKin has a proprietary Generative AI able to handle complex tasks, with a growing suite of applications. Founders previous company was acquired by IBM, company before went Public. Growing revenue & broad application across Space, Health, Government and managing the home; and embodiments ranging from ambient AI to robots to probabilistic inference to GenAI chatbots  aKin is a Public Benefit Corporation. Our mission is the responsible co-evolution of AI and humanity. As a social impact company we focus on environmental and wellbeing optimization","Artificial Intelligence (AI), Generative AI, Machine Learning, Space Travel","Haymarket, New South Wales, Australia","Proprietary Generative AI with growing applications across Space, Health, Government, Home Caregiving",5595891,USD,5595891,,,,368,22,14,4103825,USD,4103825,,,,100000,USD,100000,4,2022-06-20,"Asia-Pacific (APAC), Australasia",$1M to $10M,"CP Ventures, Chris Sang, Reinventure, LG Nova, Australian Government",,,,Private,2007,2018-01-01,year,For Profit,https://www.akin.com/,https://www.linkedin.com/company/akin-assisitive-technology,,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software, Transportation",2,"Liesl Yearsley, Travis Giggy",51-100,Seed,Grant,3353825,USD,3353825,Seed,1,6,,,"27,781","27,711",,,,,,,,,,,,
Chaikin Analytics,https://www.crunchbase.com/organization/chaikin-analytics,"After more than forty years on Wall Street, stock market expert Marc Chaikin founded Chaikin Analytics, LLC in 2009 to deliver to deliver proven, institutional-quality stock analysis to professional money managers and self-directed investors.","Analytics, Financial Services, Predictive Analytics, Service Industry, Trading Platform","Philadelphia, Pennsylvania, United States","Chaikin Analytics delivers proven, institutional-quality stock analysis to professional money managers and self-directed investors.",5595000,USD,5595000,,,,"945,495",63,29,4750000,USD,4750000,,,,475000,USD,475000,7,2015-08-19,"Greater Philadelphia Area, Great Lakes, Northeastern US",$1M to $10M,,,,,Private,19147,2009-09-01,day,For Profit,http://www.chaikinanalytics.com,http://www.linkedin.com/company/chaikin-analytics-llc,,,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Lending and Investments, Other, Software",1,Marc Chaikin,11-50,,Venture - Series Unknown,475000,USD,475000,Venture - Series Unknown,,,,,"42,900","42,755",,,,,,,,,,,,
Sentispec,https://www.crunchbase.com/organization/sentispec,Sentispec rethinks the relationship between man and machine in supply chains using Computer vision AI. Focus is to optimise manual processes in supply chains whilst improving transparency and sustainability. This drives industry shaping competitive advantage and profit margin improvements.,"Artificial Intelligence (AI), Computer Vision, Logistics","Vejle, Syddanmark, Denmark",Intelligent computer vision for business automation.,5594445,USD,5594445,,,4,"2,282",7,,5094445,USD,5094445,,,Scientific and electric apparatus and instruments,27500000,DKK,3962778,3,2023-05-30,"European Union (EU), Nordic Countries, Scandinavia",$1M to $10M,"People Ventures, Founderment Ventures",,,0,Private,7120,2020-04-28,day,For Profit,https://www.sentispec.com,https://www.linkedin.com/company/sentispec/,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software, Transportation",1,Andreas Claudi,11-50,Seed,Seed,27500000,DKK,3962778,Seed,,2,,,"25,801","25,738",,,,,,,,,,,,
Toolbox OS,https://www.crunchbase.com/organization/toolbox-os,Toolbox OS is a white-label operating system that helps clients by adding SaaS to increase revenue and valuation. The company leverages artificial intelligence and business intelligence to automate business transactions.,"Artificial Intelligence (AI), Business Intelligence, Information Technology, Operating Systems, SaaS","Saint George, Utah, United States",Toolbox OS is a white-label operating system that helps clients by adding SaaS to increase revenue and valuation.,5591840,USD,5591840,,,,,27,9,5591840,USD,5591840,,,,5120000,USD,5120000,3,2021-12-02,Western US,$1M to $10M,,,,,Private,84790,2005-01-01,year,For Profit,https://toolboxos.com,https://www.linkedin.com/company/toolbox-os,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Platforms, Science and Engineering, Software",1,Gaydon Leavitt,11-50,,Venture - Series Unknown,5120000,USD,5120000,Venture - Series Unknown,,,,,"74,220","73,839",,,,,,,,,,,,
Ysance,https://www.crunchbase.com/organization/ysance,"Ysance provides SaaS AI and marketing solutions for retailers. Ysance enables marketing teams to recognize and qualify an unprecedented share of their anonymous digital audience and engage them in meaningful personalized interactions, across all online advertising, web, mobile, in-store and email activation channels. Benefits include optimized media strategies, superior web and mobile conversions, online-to-offline omni-commerce strategies that demonstrably grow in-store revenue, and turbocharged email campaign performance.","Artificial Intelligence (AI), Big Data, CRM, Digital Marketing, Machine Learning, SaaS, Software","Paris, Ile-de-France, France",Ysance provides SaaS AI and marketing solutions for retailers around the world.,5000000,EUR,5588453,2021-01-14,day,6,,23,,5000000,EUR,5588453,,,Scientific and electric apparatus and instruments,,,,2,2019-01-01,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$1M to $10M,"Creadev, Pleiade Venture",,,0,Private,75002,2005-01-01,month,For Profit,http://www.ysance.com/en,https://www.linkedin.com/company/125060?goback=.fcs_MDYS_ysance_false_*2_*2_*2_*2_*2_*2_*2_*2_*2_*2_*2_*2&trk=ncsrch_hits,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Sales and Marketing, Science and Engineering, Software",2,"Laurent Letourmy, Romain Chaumais",101-250,M&A,Seed,,,,Seed,1,2,1,"Made Acquisitions, Was Acquired","59,139","58,875",,,,,,,,,,,,
Zerum Research and Technology,https://www.crunchbase.com/organization/zerum-research-and-technology,"Zerum Research and Technology creates innovative products that enable organizations to explore and understand data in motion using Artificial Intelligence and Big Data, providing real-time visibility and understanding.","Artificial Intelligence (AI), Big Data, Cyber Security, Information Technology","Sunnyvale, California, United States",Zerum Research and Technology is a provider of information technology and services.,5587991,USD,5587991,,,,134,8,,5587991,USD,5587991,,,,5587991,USD,5587991,1,2015-05-01,"San Francisco Bay Area, Silicon Valley, West Coast",$1M to $10M,"Quassar Capital, Goldman Sachs, Oil and Natural Gas Corporation, Forest Oil Corporation, Capital Trust",,,,Private,94086,2000-04-03,day,For Profit,https://www.zerum.com,https://www.linkedin.com/company/zerum-it,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Privacy and Security, Science and Engineering, Software",,,51-100,Private Equity,Private Equity,5587991,USD,5587991,Private Equity,1,5,,,"124,697","123,623",,,,,,,,,,,,
VAPAR,https://www.crunchbase.com/organization/vapar,"VAPAR is a developer of an engineering software intended for pipe asset management. The company's software speeds up the repair and maintenance of water pipes by automating pipe fault detection and infrastructure mapping using AI and GIS integration, saving clients time and money in repair and maintenance work.","Artificial Intelligence (AI), Information Technology, Machine Learning, Robotics, Software","Sydney, New South Wales, Australia",VAPAR is a developer of an engineering software intended for pipe asset management.,5572820,USD,5572820,,,2,750,6,,8200000,AUD,5547820,,Testing,Scientific and technological services,5000000,AUD,3285250,4,2024-01-22,"Asia-Pacific (APAC), Australasia",$1M to $10M,"Autodesk, Startmate, Halma, Access Ventures, PureTerra Ventures",,,1,Private,2000,2018-01-01,year,For Profit,https://vapar.co/,https://www.linkedin.com/company/vapar/,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Science and Engineering, Software",2,"Amanda Siqueira, Michelle Aguilar",11-50,Early Stage Venture,Series A,5000000,AUD,3285250,Series A,3,10,,,"38,124","38,005",,,,,,,,,,,,
Codio,https://www.crunchbase.com/organization/codio,"Codio is the evidence-based learning platform for computer science & tech skills education, enabling educators to teach more effectively whilst measurably impacting student outcomes through a combination of texts & learning tools including highly immersive hands-on virtual labs, and AI-enhanced support. Codio's platform is a unique combination of previously disparate and disjointed technologies, including cloud containers for virtual hands-on labs, interactive texts, assessment engines and auto-grading, and advanced AI-driven learning support and analytics. Codio addresses three core markets for education: i) schools and higher education institutions, ii) boot camps and career tech skills training partners, and iii) course content MOOC platforms.","Analytics, Artificial Intelligence (AI), E-Learning, EdTech, Education, IaaS, Software","Cambridge, Massachusetts, United States",The evidence-based learning platform for computer science & tech skills education.,3535182,GBP,5569000,,,,"484,416",48,34,3535182,GBP,5569000,0,,,395000,GBP,574247,8,2016-06-07,"Greater Boston Area, East Coast, New England",$1M to $10M,,,,,Private,02142,2014-01-01,year,For Profit,http://www.codio.com,https://www.linkedin.com/company/codio/,,,"Artificial Intelligence (AI), Data and Analytics, Education, Science and Engineering, Software",2,"Freddy May, Phillip Snalune",11-50,Seed,Angel,395000,GBP,574247,Angel,,,,,"48,323","48,152",,,,,,,,,,,,
Ripik.AI,https://www.crunchbase.com/organization/ripik-ai,Ripik.AI is developing an AI platform to boost manufacturing competitiveness .Ripik.ai help shop-floor managers and plant teams make better decisions by providing them with an AI-ML-based platform where they can run analytics and receive recommendations.,"Artificial Intelligence (AI), Consumer Applications","Gurgaon, Haryana, India",Ripik.AI create artificial intelligence applications for industrial businesses.,5550000,USD,5550000,,,,197,7,,5550000,USD,5550000,,,,5300000,USD,5300000,3,2022-12-05,Asia-Pacific (APAC),,"Titan Capital, Accel, Accel Atoms",,,,Private,122002,2021-01-01,year,For Profit,https://ripik.ai,https://www.linkedin.com/company/ripik-ai,,,"Apps, Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",,,51-100,Seed,Seed,5300000,USD,5300000,Seed,2,3,,,"140,338","138,975",,,,,,,,,,,,
Perfitt,https://www.crunchbase.com/organization/perfitt,Perfitt renovates the dynamics of footwear shopping for everyone. We enable a zero-concern shoe purchases on online by providing a personalized perfect size recommendation. Perfitt’s easy-to-use solution is powered by deep learning and image processing technology.,"E-Commerce, Image Recognition, Machine Learning, Retail Technology, Shoes","Seoul, Seoul-t'ukpyolsi, South Korea","Shoe Size Recommendation Solution, B2B Solution, Retail Technology",6650000000,KRW,5546523,,,2,,24,,6650000000,KRW,5546523,"2,680",Footwear,Scientific and electric apparatus and instruments,4000000000,KRW,3143639,5,2022-04-28,Asia-Pacific (APAC),$1M to $10M,"TIPS Program, Capstone Partners, SparkLabs Accelerator, Shinhan Capital, Sunbo Angel Partners",,,3,Private,,2015-09-01,month,For Profit,https://perfitt.io,https://www.linkedin.com/company/holzack-inc/,,,"Artificial Intelligence (AI), Clothing and Apparel, Commerce and Shopping, Consumer Goods, Data and Analytics, Hardware, Software",1,Steena Sunyong Lee,11-50,Early Stage Venture,Series A,4000000000,KRW,3143639,Series A,1,8,,,"26,491","26,426",,,,,,,,,,,,
Mindlogic,https://www.crunchbase.com/organization/mindlogic,,"Artificial Intelligence (AI), Chatbot","Seoul, Seoul-t'ukpyolsi, South Korea",Virtual soulmate AI chatbot,5538305,USD,5538305,,,3,,6,,5538305,USD,5538305,"1,724",,Scientific and electric apparatus and instruments,7000000000,KRW,5224836,4,2024-03-25,Asia-Pacific (APAC),,"Strong Ventures, Primer Sazze Partners, TIPS Program, Tekton Ventures, DSC Investment",,,4,Private,,2019-01-01,month,For Profit,https://mindlogic.ai,https://www.linkedin.com/company/mindlogic-ai,,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",2,"Kim Jin-wook, Kim Yong-woo",11-50,Early Stage Venture,Series B,7000000000,KRW,5224836,Series B,1,7,,,"71,751","71,391",,,,,,,,,,,,
Mojo,https://www.crunchbase.com/organization/mojofertility,"For everyone who wants to expand their family-building potential, Mojo offers an online fertility care platform helping humans to test, understand and improve their fertility. Unlike current fertility care systems, which are only accessible by the privileged few at high costs and inferior effectiveness, the Mojo platform is accessible to everyone and powered by AI to ensure an unmatched level of effectiveness, scientific standard, and convenience at remarkable pricing.","Artificial Intelligence (AI), Fertility, Health Care, Health Diagnostics, Machine Learning, Robotics, Wellness","Lyon, Rhone-Alpes, France",Mojo enables people to manage their fertility proactively to expand their family-building potential.,5000000,EUR,5536749,,,0,"46,056",6,,5000000,EUR,5536749,,Medical Or Veterinary Science; Hygiene,,5000000,EUR,5536749,3,2019-11-18,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,"HAX, Inventure, SOSV, Privilège Ventures, Hampus Jakobsson",,,2,Private,,2017-02-17,day,For Profit,https://mymojo.ai,https://www.linkedin.com/company/my-mojo,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Health Care, Science and Engineering, Software",4,"Daniel Thomas, Fanny Chesa, Mohamed TAHA, Tobias Boecker",11-50,Seed,Seed,5000000,EUR,5536749,Seed,3,9,,,"49,308","49,131",,,,,,,,,,,,
Chata.ai,https://www.crunchbase.com/organization/chata-ai,"Chata provides an in-the-moment decision intelligence solution to enterprises and their users. Through our AI, enterprises can eliminate reporting and analytical learning curves for users, and get fast, painless implementation and adoption. When every user has direct access to detailed information from their data warehouse there is less demand on the IT & data analyst teams and more data-driven decision-making across the entire organization. Learn more at www.chata.ai.","Analytics, Artificial Intelligence (AI), Business Intelligence, Information Technology, Machine Learning, Natural Language Processing, SaaS, Software","Calgary, Alberta, Canada",Chata.ai builds an API-first solution that empowers non-technical business users with easy-to-use self-service analytics.,7400000,CAD,5527708,,,3,430,47,15,7400000,CAD,5527708,,,Scientific and technological services,4500000,CAD,3302437,4,2019-01-01,,$1M to $10M,"Bluesky Equities, Aventrock Ventures, InterGen Capital, L-SPARK, Prairie Merchant Corporation",,,1,Private,T2P 2Z1,2016-01-01,year,For Profit,https://chata.ai/,https://www.linkedin.com/company/chata.ai/,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",1,Kelly Cherniwchan,11-50,Seed,Seed,4500000,CAD,3302437,Seed,,5,,,"35,173","35,069",,,,,,,,,,,,
Volan Technology,https://www.crunchbase.com/organization/volan-technology,"Volan Technology is an early stage real-time people positioning platform that produces powerful new workforce optimization and safety SaaS data insights. The Volan Positioning System (VPS) is a new micro-location technology and a machine learning data engine that identify operational inefficiencies and undiscovered labor cost savings at scale with accuracy, low cost of deployment, and privacy-protected data.","Analytics, Artificial Intelligence (AI), Machine Learning, Physical Security, SaaS, Software","Hoboken, New Jersey, United States",Volan is a people-positioning SaaS analytics platform that companies use to reduce labor cost and increase safety and productivity.,5525000,USD,5525000,,,0,,49,,5500000,USD,5500000,,,,1000000,USD,1000000,5,2022-12-31,"Greater New York Area, East Coast, Northeastern US",$1M to $10M,"Keiretsu Capital, non sibi ventures, Lee Prize for Innovation and Entrepreneurship",,,2,Private,07030,2018-12-01,day,For Profit,http://www.volantechnology.com,https://www.linkedin.com/company/volan-technology/,,,"Administrative Services, Artificial Intelligence (AI), Data and Analytics, Privacy and Security, Science and Engineering, Software",4,"James Wood, Marbo Tse, Michael Bettua, Tim Chinowsky",1-10,Seed,Seed,1000000,USD,1000000,Seed,1,3,,,"65,325","65,009",,,,,,,,,,,,
Presagen,https://www.crunchbase.com/organization/presagen,"Presagen is an AI healthcare company that is changing the way clinics, patients, and medical data from around the world are connected through AI. Its decentralized data-centric AI platform, The Social Network for Healthcare, connects clinics and patients globally, and enables collaboration and data sharing to create scalable AI healthcare products that are affordable and accessible for all. The decentralized network democratizes the creation of AI products, promotes collaboration through incentives, and protects data privacy and ownership. With a focus on improving Women’s Health outcomes globally, Presagen’s first product, Life Whisperer, is being used by IVF clinics globally to improve pregnancy outcomes for couples struggling with fertility. With a vision of creating the largest network of clinics, patients, and medical data from around the world, Presagen is driving the future of AI Enhanced Healthcare. See Presagen.com and LifeWhisperer.com for more information.","Artificial Intelligence (AI), Big Data, Health Care, Information Technology, Machine Learning, Medical","Adelaide, South Australia, Australia","Presagen is The Social Network for Healthcare, connecting clinics, patients and medical data from around the world through AI.",5521950,USD,5521950,,,,,30,12,4440000,USD,4440000,,,,2240000,USD,2240000,3,2021-08-01,"Asia-Pacific (APAC), Australasia",$1M to $10M,"Morgan Stanley, 3Lines, Jungle Capital",,,,Private,5000,2016-12-05,day,For Profit,https://www.presagen.com/,https://www.linkedin.com/company/presagen,,,"Artificial Intelligence (AI), Data and Analytics, Health Care, Information Technology, Science and Engineering, Software",3,"Don Perugini, Jonathan Hall, Michelle Perugini",11-50,Seed,Seed,2240000,USD,2240000,Seed,1,3,,,"49,710","49,527",,1,,,,,,,,,,
CityBldr,https://www.crunchbase.com/organization/rebls,"CityBldr is a real estate platform providing market rents, commercial real estate, machine learning, artificial intelligence, data science, residential real estate, real estate development, housing, and city planning services.","Artificial Intelligence (AI), Information Services, Information Technology, Real Estate","Bellevue, Washington, United States",CityBldr is a real estate firm that offers commercial real estate analysis and acquisitions.,5519000,USD,5519000,,,2,754,47,14,5519000,USD,5519000,,Computing; Calculating,Scientific and technological services,4300000,USD,4300000,4,2018-08-29,"Greater Seattle Area, West Coast, Western US",$1M to $10M,"FJ Labs, Abenteuer Ventures, Gary Rubens",,,3,Private,98004,2016-01-01,year,For Profit,https://citybldr.com,https://www.linkedin.com/company/citybldr,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Real Estate, Science and Engineering, Software",1,Bryan Copley,11-50,Seed,Seed,4300000,USD,4300000,Seed,,3,,,"31,399","31,316",,,,Private Equity Firm,,1,1,,,,,
AZothBio,https://www.crunchbase.com/organization/azothbio,,"Apps, Artificial Intelligence (AI), Pharmaceutical","Hanam, Kyonggi-do, South Korea",AZothBio is an artificial intelligence-based drug delivery system platform and new drug candidate discovery service.,6000000000,KRW,5517901,,,0,,,,6000000000,KRW,5517901,,Organic Chemistry,,6000000000,KRW,5517901,1,2020-12-10,Asia-Pacific (APAC),,"DB Financial Investment, Emford Equity Partners",,,4,Private,12925,,,For Profit,http://www.azothbio.com,,,,"Apps, Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",1,Jaemin Shin,,Early Stage Venture,Series A,6000000000,KRW,5517901,Series A,,2,,,"48,553","48,383",,,,,,,,,,,,
Playlist Media,https://www.crunchbase.com/organization/playlist-ea04,"Playlist, already a top iOS app, is uniting people, music, and messaging. Their fully licensed, ad-supported music streaming platform generates 10 times the user engagement of Pandora. On mobile, people spend more time listening to music than any other application and the message most frequently. Playlist combines music and messaging for unprecedented engagement. On Playlist, people listen together at the exact same time and chat while they listen, follow one other, collaborate on playlists, and share their favorite songs. Playlist pioneered social music. Playlist is a proven platform for artists and influencers to connect live with fans, hold virtual concerts, and release new music to millions of listeners at the same time. Our community describes Playlist as Spotify plus Instagram and now Tinder, given our introduction of Music Match which connects people with similar music tastes. Three years in the making, Playlist’s patent-pending technology includes synchronized streaming, machine learning-based social recommendations, collaborative playlists, large-scale group chat, behavior-based music programming, and Music Match algorithms. The company is now working on blockchain. Founders, Karen Katz, and Steve Petersen are Stanford engineers and serial entrepreneurs with 2 IPOs, a $300M exit, 36 patents, and over 10 years’ experience each in digital music. They’ve raised over $60M in VC funding across multiple start-ups and built ad-supported, consumer-facing platforms with tens of millions of users, including one of the fastest-growing streaming music services in U.S. history. Their experience also includes developing the software and chip inside the iPod, which revolutionized digital music and mobile listening. As operators, they’ve recruited and managed tech teams of over 75 engineers and generated nearly $100M in digital ad revenues. As innovators, they’ve worked at Bell Labs, architected platforms for social networking, location-based services, cloud-based media; and applied advanced analytics, machine learning, and big data for recommendations.","Analytics, Internet, Machine Learning, Messaging, Mobile, Music, Music Streaming, Social Media, Social Network, Software","San Francisco, California, United States","Playlist is a fully licensed, ad-supported music streaming service that generates 10 times the user engagement of Pandora and Spotify.",5515032,USD,5515032,,,,142,,11,5000000,USD,5000000,,,,5000000,USD,5000000,3,2019-03-16,"San Francisco Bay Area, West Coast, Western US",$1M to $10M,"Amino Capital, Tech Coast Angels, Primitive Ventures, GW Ventures, DTC Capital",,,,Private,94117,2013-01-01,year,For Profit,https://www.playlist.com/,https://www.linkedin.com/company/playlistmedia/,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Media and Entertainment, Messaging and Telecommunications, Mobile, Music and Audio, Software",2,"Karen Katz, Steve Petersen",11-50,,Venture - Series Unknown,5000000,USD,5000000,Venture - Series Unknown,,5,,,"59,437","59,165",,,"Women Founded, Women Led",,,,,,,,,
