Organization Name,Organization Name URL,Full Description,Industries,Headquarters Location,Description,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Exit Date,Exit Date Precision,Trademarks Registered,Monthly Visits,Active Tech Count,Total Products Active,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Downloads Last 30 Days,Most Popular Patent Class,Most Popular Trademark Class,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Number of Funding Rounds,Last Funding Date,Headquarters Regions,Estimated Revenue Range,Top 5 Investors,Most Recent Valuation Range,Date of Most Recent Valuation,Patents Granted,IPO Status,Postal Code,Founded Date,Founded Date Precision,Company Type,Website,LinkedIn,Number of Exits,Number of Exits (IPO),Industry Groups,Number of Founders,Founders,Number of Employees,Funding Status,Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,CB Rank (Organization),CB Rank (Company),Hub Tags,Number of Sub-Orgs,Diversity Spotlight (US Headquarters Only),Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Diversity Investments,Number of Lead Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks)
Laws of Motion,https://www.crunchbase.com/organization/laws-of-motion,"Laws of Motion is an online clothing retail platform that redefines size and shapes inclusivity. It uses data science to create perfect-fitting women's clothing at scale, enabling women to get the desired dress without being worried about their figure.","Apparel, Artificial Intelligence (AI), Consumer, Fashion, Manufacturing","New York, New York, United States",AI technology company that engineers proprietary apparel sizing technologies backed by zero-waste manufacturing.,6500000,USD,6500000,,,,,2,,6500000,USD,6500000,,,,5000000,USD,5000000,2,2024-05-15,"Greater New York Area, East Coast, Northeastern US",Less than $1M,"Corazon Capital, Sequoia Scout, Leadout Capital, John Howard, Eva Lorenzotti",,,,Private,,2017-01-01,year,For Profit,https://www.lawsofmotion.ai/,https://www.linkedin.com/company/laws-of-motion/,,,"Artificial Intelligence (AI), Clothing and Apparel, Data and Analytics, Design, Manufacturing, Other, Science and Engineering, Software",1,Carly Bigi,1-10,Seed,Seed,5000000,USD,5000000,Seed,1,5,,,"14,570","14,548",,,Women Founded,,,,,,,,,
Kuva Space,https://www.crunchbase.com/organization/kuva-space,"Kuva Space improves life on Earth by using the world's most extensive hyperspectral satellite constellation and artificial intelligence. The company's GREEN DATA® platform will address some of the world's most important concerns, including climate change, disaster response, food demand, and safety and security.","Analytics, Artificial Intelligence (AI), Satellite Communication","Espoo, Southern Finland, Finland",Smarter data for a stronger planet,23300000,EUR,25546648,,,3,238,26,,23300000,EUR,25546648,,,Scientific and electric apparatus and instruments,16600000,EUR,17622081,4,2023-11-02,"European Union (EU), Nordic Countries, Scandinavia",$1M to $10M,"VTT Technical Research Centre of Finland, Business Finland, European Space Agency, Voima Ventures, Earth Venture Capital",,,0,Private,02150,2016-01-01,year,For Profit,https://kuvaspace.com,https://www.linkedin.com/company/kuva-space/,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software",2,"Janne Kuhno, Tuomas Tikka",1-10,Early Stage Venture,Series A,16600000,EUR,17622081,Series A,3,7,,,"14,603","14,581",,,,,,,,,,,,
Defog,https://www.crunchbase.com/organization/defog,Defog integrates into your app and allows your users to query data in seconds using natural language. Defog are powered by large language models that can search and visualise both structured and unstructured data (such as SQL databases or Data Warehouses) (like text in call transcripts).,"Artificial Intelligence (AI), Developer Tools, Information Technology, Machine Learning","San Francisco, California, United States",Defog is a natural language data query platform that allows users to ask free-form data questions through large language models.,2700000,USD,2700000,,,,"5,038",4,,2700000,USD,2700000,,,,2200000,USD,2200000,2,2023-11-22,"San Francisco Bay Area, West Coast, Western US",,"Y Combinator, Davidovs Venture Collective, Script Capital, Dharmesh Shah, Hike Ventures",,,,Private,,2023-01-01,year,For Profit,https://defog.ai,https://www.linkedin.com/company/defog-ai,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",2,"Medha Basu, Rishabh Srivastava",1-10,Seed,Seed,2200000,USD,2200000,Seed,2,7,,,"14,663","14,641",,,Women Founded,,,,,,,,,
Yaydoo,https://www.crunchbase.com/organization/yaydoo,"Yaydoo is a procurement platform that combines cloud-based procure-to-pay software and AI tools for automated vendor management.  It helps companies bring automation to their purchasing process and supply chain with a platform that integrates hundreds of vendor catalogs allowing companies to search and compare through thousands of products and services, many of them with pre-negotiated discounts, and a virtual procurement assistant that streamlines communication between requesters and vendors. Its customers have full visibility and control of their process using mobile apps to simplify purchase requests, approval workflows, goods receipt tracking, and invoice approval via automated 3-way-match. Yaydoo allows every company to simplify their procurement process with an affordable, easy-to-use, and automated tool to streamline repetitive tasks like updating vendor catalogs, comparing proposals, approving purchase requests, forecasting demand, tracking deliveries and managing budgets.","Artificial Intelligence (AI), B2B, Enterprise Software, Office Administration, Procurement, SaaS, Software","Mexico City, Distrito Federal, Mexico",Yaydoo is a procurement platform that streamlines business purchasing using a cloud-based e-procurement software and AI.,20400000,USD,20400000,2022-08-03,day,,"2,863",62,30,20400000,USD,20400000,,,,20400000,USD,20400000,4,2021-08-02,Latin America,$10M to $50M,"Alchemist Accelerator, monashees, L'ATTITUDE Ventures, LEAP Global Partners, SOFTBANK Latin America Ventures",,,,Private,,2016-01-01,year,For Profit,https://yaydoo.com/,https://www.linkedin.com/company/yaydoo/,,,"Administrative Services, Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software, Transportation",3,"Guillermo Treviño, Roberto Flores Riveroll, Sergio Almaguer",51-100,M&A,Series A,20400000,USD,20400000,Series A,4,7,1,"Made Acquisitions, Was Acquired","14,671","14,649",,,,,,,,,,,,
HealthMatch,https://www.crunchbase.com/organization/healthmatch,"HealthMatch is a medical technology company that applies machine learning and artificial intelligence to clinical data to save lives. We aim to dramatically accelerate patient recruitment to clinical trials, and progress life-saving cures onto the market faster than existing practices allow. For clinicians and patients, there is a real struggle to identify and find appropriate trials, particularly where the criteria relating to each trial is inconsistently articulated. HealthMatch encodes qualifying questions relating to each patients condition. The platform matches responses to its trial dataset, and confirms only the correct-match trials for that patient — thereby streamlining the identification of suitable trials and facilitating a patient’s application to those trials. With Ai and software at the core, HealthMatch delivers a radically simple product to match patients with drug trials, backed by an execution approach to data that is deceptively complex to achieve and replicate. In doing so, HealthMatch is dramatically changing an industry that has essentially not moved beyond telephones and excel spreadsheets.","Biotechnology, Health Care, Machine Learning, Medical, Pharmaceutical","Surry Hills, New South Wales, Australia",HealthMatch connects patients with revolutionary drugs and cures.,27529861,USD,27529861,,,,"1,419,244",67,38,27529861,USD,27529861,,,,10000000,AUD,6893119,5,2022-09-12,"Asia-Pacific (APAC), Australasia",$50M to $100M,"January Capital, Folklore Ventures, Square Peg Capital, Brandon Carp, Anton Borzov",,,,Private,2010,2017-01-01,month,For Profit,https://healthmatch.io,https://www.linkedin.com/company/healthmatchptyltd/,,,"Artificial Intelligence (AI), Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software",2,"Arran Schlosberg, Manuri Gunawardena",11-50,Late Stage Venture,Series C,10000000,AUD,6893119,Series C,2,7,,,"14,679","14,657",,,,,,,,,,,,
Distyl AI,https://www.crunchbase.com/organization/distyl-ai,"Distyl AI works with organisations to increase their AI readiness and develop integrated AI-based solutions that are specific to their unique data, workflows, and workforce requirements.","Artificial Intelligence (AI), Software","San Francisco, California, United States",Distyl AI works with organisations to increase their AI readiness and develop comprehensive AI-based solutions.,7000000,USD,7000000,,,,190,2,,7000000,USD,7000000,,,,7000000,USD,7000000,1,2023-04-13,"San Francisco Bay Area, West Coast, Western US",$1M to $10M,"Nat Friedman, Dell Technologies Capital, Coatue, Firsthand Alliance, Brad Gerstner",,,,Private,,2022-01-01,year,For Profit,https://distyl.ai/,https://www.linkedin.com/company/distylai/,,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",2,"Arjun Prakash, Derek Ho",1-10,Seed,Seed,7000000,USD,7000000,Seed,2,6,,,"14,687","14,665",,,,,,,,,,,,
Axyon AI,https://www.crunchbase.com/organization/axyon-ai-srl,Axyon AI leverages the most recent advancements in deep learning to create bespoke business applications for capital markets and asset management. The fintech has two core products. SynFinance brings AI-powered analytics and prediction to loans syndication. IRIS provides asset managers with customised prediction feeds to improve their performance strategies. Axyon AI has partnerships with Refinitiv/Thomson Reuters and IBM.,"Artificial Intelligence (AI), Asset Management, Banking, Finance, Financial Services, FinTech, Hedge Funds, Machine Learning","Modena, Emilia-Romagna, Italy",Axyon AI leverages the most recent advancements in deep learning to create bespoke business applications for asset management and trading.,5521429,EUR,5897746,,,4,443,16,19,3600000,EUR,3973319,,,Insurance; financial affairs,2300000,EUR,2497237,7,2024-01-23,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$1M to $10M,"UniCredit, ING Group, CDP Venture Capital, Montage Ventures, ING Ventures",,,0,Private,,2016-11-01,month,For Profit,https://axyon.ai/,https://www.linkedin.com/company/axyon-ai/,,,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Lending and Investments, Science and Engineering, Software",3,"Daniele Grassi, Giacomo Barigazzi, Jacopo Credi",11-50,,Venture - Series Unknown,2300000,EUR,2497237,Venture - Series Unknown,5,10,,,"14,687","14,665",,,,,,,,,,,,
InpharmD,https://www.crunchbase.com/organization/inpharmd,"Clinical pharmacists working at different hospitals are looking up the same answers to the same clinical questions every day.  InpharmD is a centralized service that eliminates this redundant work.We’ve been bootstrapping since 2018, and in the past month, closed our 8th health system, to put us over $1M ARR (300% YoY growth).","Artificial Intelligence (AI), Health Care, Machine Learning, Mobile Apps, Natural Language Processing","Atlanta, Georgia, United States","Doctors submit questions, we provide curated, evidence- based answers",6050000,USD,6050000,,,,"14,115",14,,6050000,USD,6050000,2,,,6050000,USD,6050000,3,2023-12-07,"Greater Atlanta Area, East Coast, Southern US",$1M to $10M,"Asymmetry Ventures, Y Combinator, Atlanta Ventures, 645 Ventures, ELC",,,,Private,30324,2018-01-01,year,For Profit,https://www.inpharmd.com/,https://www.linkedin.com/company/inpharmd/,,,"Apps, Artificial Intelligence (AI), Data and Analytics, Health Care, Mobile, Science and Engineering, Software",2,"Ashish Advani, Tulasee Rao Chintha",11-50,Seed,Seed,6050000,USD,6050000,Seed,1,11,,,"14,692","14,670",,,,,,,,,,,,
Arena Club,https://www.crunchbase.com/organization/arena-club,"Arena Club sells its real, physical cards In a hybrid of the online- and physical- world.","Internet, Machine Learning, Sports","Los Angeles, California, United States","Arena Club sells its real, physical cards In a hybrid of the online- and physical- world.",10000000,USD,10000000,,,,"19,306",17,,10000000,USD,10000000,,,,10000000,USD,10000000,1,2022-09-09,"Greater Los Angeles Area, West Coast, Western US",,"M13, BAM Ventures, Lightspeed Venture Partners, Defy.vc",,,,Private,,2021-01-01,year,For Profit,https://arenaclub.com,https://www.linkedin.com/company/goarenaclub,,,"Artificial Intelligence (AI), Data and Analytics, Internet Services, Software, Sports",2,"Brian Lee, Jesse Glass",11-50,Early Stage Venture,Series A,10000000,USD,10000000,Series A,,4,,,"14,698","14,676",,,,,,,,,,,,
Aether Biomedical,https://www.crunchbase.com/organization/aether-biomedical,"Aether Biomedical is a medical robotics startup focused on AI based biomedical signal processing for development of rehabilitation robotics devices. Zeus, developed by Aether Biomedical, is a multi action bionic limb filling the gap of low cost - high efficacy bionic limbs.","Artificial Intelligence (AI), Biotechnology, Electronics, Health Care, Information Technology, Medical, Medical Device, Robotics","Poznan, Wielkopolskie, Poland",Aether Biomedical is a rehabiliation robotics startup focused on building bionic limbs for upper limb amputees,11283322,USD,11283322,,,1,245,5,12,10438500,USD,10438500,,Medical Or Veterinary Science; Hygiene,Medical apparatus and instruments,5800000,USD,5800000,9,2023-11-12,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$1M to $10M,"Brinc, Joyance Partners, J2 Ventures, Story Ventures, Sunfish Partners",,,3,Private,61-871,2018-01-01,year,For Profit,https://www.aetherbiomedical.com,https://www.linkedin.com/company/aether-biomedical/?viewAsMember=true,,,"Artificial Intelligence (AI), Biotechnology, Consumer Electronics, Data and Analytics, Hardware, Health Care, Information Technology, Science and Engineering, Software",2,"Dhruv Agrawal, Faith Jiwakhan",11-50,Early Stage Venture,Series A,5800000,USD,5800000,Series A,8,12,,,"14,703","14,681",,,,,,,,,,,,
Glyphic AI,https://www.crunchbase.com/organization/glyphic-ai,,"Artificial Intelligence (AI), Sales, Sales Automation","London, England, United Kingdom","Building powerful, intuitive products that help elite revenue teams sell more effectively",4300000,GBP,5448473,,,,"16,570",10,,4300000,GBP,5448473,,,,4300000,GBP,5448473,2,2023-06-14,"Europe, Middle East, and Africa (EMEA)",$1M to $10M,"Point72 Ventures, Creator Fund, Dhyan VC, Mehdi Ghissassi, Rushin Shah",,,,Private,SE1 7ND,2022-01-01,year,For Profit,https://www.glyphic.ai,https://www.linkedin.com/company/glyphic-ai/,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Sales and Marketing, Science and Engineering, Software",,,1-10,Seed,Pre-Seed,4300000,GBP,5448473,Pre-Seed,1,5,,,"14,717","14,695",,,,,,,,,,,,
Simple,https://www.crunchbase.com/organization/simple-57a3,"Simple is an AI coach that adapts to a user’s needs, helping them reach their weight loss and health goals.","Apps, Artificial Intelligence (AI), Fitness, Health Care, Mobile Apps, Nutrition, Wellness","Limasol, Limassol, Cyprus",Simple is a digital health company that offers AI coaching for long-term weight loss and healthy living,4100000,EUR,4964702,,,,"275,105",52,16,4100000,EUR,4964702,"71,428",,,4100000,EUR,4964702,4,2020-12-08,"Europe, Middle East, and Africa (EMEA), European Union (EU), Middle East",,"Target Global, s16vc",,,,Private,,2018-01-01,year,For Profit,https://simple.life,https://www.linkedin.com/company/simpleappofficial/,,,"Apps, Artificial Intelligence (AI), Data and Analytics, Food and Beverage, Health Care, Mobile, Science and Engineering, Software, Sports",2,"Alex Ilinskiy, Mike Prytkov",101-250,Early Stage Venture,Series A,4100000,EUR,4964702,Series A,1,2,,,"14,730","14,708",,,,,,,,,,,,
TurinTech AI,https://www.crunchbase.com/organization/turintech,"Unlock the full potential of your code and data with GenAI. TurinTech AI is the leader in automated code optimisation for machine learning and data-heavy applications. We utilise our proprietary optimisation algorithms and LLMs to speed up the time-to-production for your ML projects and applications, cutting computational costs and minimising carbon emissions. Learn more at https://turintech.ai/","Artificial Intelligence (AI), DevOps, Generative AI, Information Technology, Machine Learning, SaaS","London, England, United Kingdom",Code Optimisation Platform,4000000,GBP,5533387,,,,"2,495",13,,4000000,GBP,5533387,,,,,,,3,2023-05-09,"Europe, Middle East, and Africa (EMEA)",$1M to $10M,"IQ Capital, Intel Ignite, Speedinvest",,,,Private,EC2Y 9AW,2018-01-01,year,For Profit,https://turintech.ai/,https://www.linkedin.com/company/turintechai/,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",4,"Artemis AI, Fan Wu, Leslie Kanthan, Michail Basios",11-50,Seed,Non-equity Assistance,3000000,GBP,4246795,Seed,3,3,,,"14,739","14,717",,,,,,,,,,,,
WorkGenius,https://www.crunchbase.com/organization/mylittlejob-gmbh,"WorkGenius is a digital workforce solution leveraging AI to adapt to current labor trends and power the future of work. The WorkGenius platform matches enterprises with on-demand teams from a network of 350,000 vetted professionals (“Geniuses”) within minutes. The platform’s technology handles the selection and verification of expert freelancers, project results, IP transfers, invoicing, and delivery to reduce overhead -- enabling organizations to accomplish their digital projects in record speed and costs at scale. Geniuses are based in the United States and Europe and provide services across multiple categories including content creation, graphic design, copywriting, translations, data transformation, research, and more. Founded in 2012, WorkGenius is trusted by 5,000+ businesses, such as Unilever, Expedia, Foot Locker, eBay, Mashable, LinkedIn. Offices are located in Hamburg, Germany and New York City. For more information, visit www.workgenius.com.","Artificial Intelligence (AI), Freelance, Machine Learning, Payments, Recruiting","New York, New York, United States","WorkGenius is a digital workforce solution that uses AI to match and manage a network of 350,000 vetted professionals.",23096045,USD,23096045,,,,"58,236",15,27,23096045,USD,23096045,,,,,,,5,2022-05-15,"Greater New York Area, East Coast, Northeastern US",$10M to $50M,"VentureOut, Oliver Heine, Axel Sven Springer, John Jahr",,,,Private,10018,2011-05-01,day,For Profit,https://www.workgenius.com,https://www.linkedin.com/company/workgenius-us/,,,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Payments, Professional Services, Science and Engineering, Software",2,"Daniel Barke, Marlon Rosenzweig",101-250,,Non-equity Assistance,7000000,USD,7000000,Venture - Series Unknown,,4,3,Made Acquisitions,"14,748","14,726",,,,,,,,,,,,
Orbita,https://www.crunchbase.com/organization/orbita,"Orbita is a digital platform for voice and chatbot virtual assistant solutions in healthcare that powers omnichannel virtual assistants, bots, and other conversational experiences that improve patient engagement, reduce costs of care, and improve outcomes.","Artificial Intelligence (AI), Health Care, Information Technology, Life Science, Machine Learning, Software","Boston, Massachusetts, United States",Orbita provides software to improve patient engagement in digital healthcare through voice-first and conversational AI solutions.,16451317,USD,16451317,,,3,164,34,29,16451317,USD,16451317,,,Scientific and technological services,9000000,USD,9000000,4,2020-05-27,"Greater Boston Area, East Coast, New England",$1M to $10M,"Cultivation Capital, Newark Venture Partners, HealthX Ventures, MassChallenge, Philips Health Technology Ventures",$10M to $50M,2020-05-28,0,Private,02111,2015-04-02,day,For Profit,http://www.orbita.ai,https://www.linkedin.com/company/orbitahealth/,,,"Artificial Intelligence (AI), Biotechnology, Data and Analytics, Health Care, Information Technology, Science and Engineering, Software",4,"Alpesh Patel, Bill Cava, Nate Treloar, William Rogers",11-50,Early Stage Venture,Series A,9000000,USD,9000000,Series A,2,5,1,Made Acquisitions,"14,752","14,730",,,"South Asian Founded, South Asian Led, Women Led",,,,,,,,,
Danti,https://www.crunchbase.com/organization/danti-97f2,Danti is a search engine that focuses on allowing both novice and expert users to ask basic inquiries and discover the vast amount of information being generated throughout the world.,"Artificial Intelligence (AI), Drone Management, Geospatial, Information Technology, Internet","Atlanta, Georgia, United States",Search engine for all of Earth's data,7825000,USD,7825000,,,,,11,,7750000,USD,7750000,,,,5000000,USD,5000000,3,2024-05-02,"Greater Atlanta Area, East Coast, Southern US",$1M to $10M,"Shield Capital, Tech Square Ventures, Overline, Humba Ventures, Space.VC",,,,Private,,2023-02-01,month,For Profit,https://danti.ai,https://www.linkedin.com/company/dantiai,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Internet Services, Navigation and Mapping, Science and Engineering, Software",1,Jesse Kallman,11-50,Seed,Seed,5000000,USD,5000000,Seed,3,14,,,"14,753","14,731",,,,,,,,,,,,
CitrusX,https://www.crunchbase.com/organization/citrusx,,"Artificial Intelligence (AI), Machine Learning, Risk Management, Software","Tel Aviv, Tel Aviv, Israel",Citrusx is a trusted end-to-end platform for AI transparency and explainability helping organizations develop confidence in their models.,4500000,USD,4500000,,,,,3,,4500000,USD,4500000,,,,4500000,USD,4500000,1,2023-12-11,"Europe, Middle East, and Africa (EMEA), Middle East",,Awz Ventures,,,,Private,,2021-01-01,year,For Profit,https://citrusx.ai/,https://www.linkedin.com/company/citrusx/,,,"Artificial Intelligence (AI), Data and Analytics, Professional Services, Science and Engineering, Software",,,11-50,Seed,Seed,4500000,USD,4500000,Seed,1,1,,,"14,770","14,748",,,,,,,,,,,,
Lantern,https://www.crunchbase.com/organization/lantern-1438,,"Artificial Intelligence (AI), Marketing, Software","San Francisco, California, United States",Lantern is a customer engagement automation platform to optimize upsell opportunities.,6800000,USD,6800000,,,,66,41,,6800000,USD,6800000,,,,6800000,USD,6800000,1,2023-07-12,"San Francisco Bay Area, West Coast, Western US",$1M to $10M,"Siqi Chen, 8-Bit Capital, Moxxie Ventures, Immad Akhund, 8VC",,,,Private,,2021-01-01,year,For Profit,https://www.withlantern.com,https://www.linkedin.com/company/withlantern,,,"Artificial Intelligence (AI), Data and Analytics, Sales and Marketing, Science and Engineering, Software",1,David Bromberg,1-10,Seed,Seed,6800000,USD,6800000,Seed,2,13,,,"14,774","14,752",,,,,,,,,,,,
Kriptos,https://www.crunchbase.com/organization/kriptos,"At Kriptos (www.kriptos.io), we provide a powerful solution for businesses to manage and locate sensitive information by classifying unstructured data such as Word, Excel, PowerPoint, and PDF documents. Our cutting-edge Artificial Intelligence technology accurately analyzes, classifies, and labels the information, helping companies to improve their cybersecurity posture and meet regulatory standards like ISO27001, PCI, GDPR, NIST, HIPAA, SOC2, and more. Our solution scans your data and analyzes over 1000 variables per document to determine its sensitivity. It also assigns visual labels (Confidential, Restricted, Internal Use, or Public) for easy alignment with your cybersecurity policies. Our technology integrates with DLP, CASB, and encryption tools to enhance your security posture.  With Kriptos, you can: Optimize cybersecurity tools, budgeting, and strategies (Kriptos is compatible with more than 25 DLP/CASB brands) Optimize cybersecurity policies (Generate culture and good information management through visual sensitivity labels per document). Identify users and critical areas of your company (Generate contingency, audit, and training plans).","Analytics, Artificial Intelligence (AI), Cyber Security, Enterprise Software, Machine Learning, SaaS, Software","Miami, Florida, United States",Locate critical information automatically through AI data classification.,6820000,USD,6820000,,,,,27,,6630000,USD,6630000,,,,,,,13,2024-02-15,"Greater Miami Area, East Coast, Southern US",Less than $1M,"Techstars, SixThirty, Wayra, Google for Startups, eMerge Americas",,,,Private,33027,2018-03-01,day,For Profit,https://www.kriptos.io/,https://www.linkedin.com/company/kriptos/,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Privacy and Security, Science and Engineering, Software",2,"Alfonso Villalba, Christian Torres",11-50,Seed,Non-equity Assistance,1750000,USD,1750000,Seed,5,17,,,"14,780","14,758",,,"Hispanic / Latine Founded, Hispanic / Latine Led",,,,,,,,,
Regology,https://www.crunchbase.com/organization/regology,"Regology provides a world-class regulatory intelligence platform that enables organizations to quickly identify all applicable legal content, monitor incoming changes, and easily map them to risks and controls using the most advanced artificial intelligence.","Artificial Intelligence (AI), Compliance, Information Services, Information Technology, Machine Learning, Publishing, SaaS","Palo Alto, California, United States",Regology provides a world-class regulatory intelligence platform for regulatory change management and compliance.,8000000,USD,8000000,,,2,"2,032",30,,8000000,USD,8000000,,,Legal services,8000000,USD,8000000,2,2021-08-19,"San Francisco Bay Area, Silicon Valley, West Coast",$1M to $10M,"Y Combinator, ACME Capital, VentureSouq, GMO, Taver Capital Partners",,,0,Private,94306,2017-01-01,year,For Profit,https://www.regology.com/,https://www.linkedin.com/company/regology/,,,"Artificial Intelligence (AI), Content and Publishing, Data and Analytics, Information Technology, Media and Entertainment, Professional Services, Science and Engineering, Software",3,"Mukund Goenka, Paul Bruin, Pavan Bayyapu",11-50,Early Stage Venture,Series A,8000000,USD,8000000,Series A,1,6,,,"14,783","14,761",,,,,,,,,,,,
NumberEight,https://www.crunchbase.com/organization/numbereight,NumberEight develops on-device mobile AI software to enable content providers to deliver hyper-personalized experiences in real-time using mobile sensors.,"Audio, Gaming, Machine Learning, Media and Entertainment, Mobile Advertising, Personalization, Real Time, SaaS, Sensor, Software","London, England, United Kingdom",On-device AI software to predict user context using mobile sensors,4451000,GBP,5673975,,,0,145,24,8,4451000,GBP,5673975,,Electric Communication Technique,,2100000,GBP,2683655,4,2024-01-11,"Europe, Middle East, and Africa (EMEA)",$1M to $10M,"Ascension, Nauta Capital, 7percent Ventures, Ascension Ventures, AI Seed",,,4,Private,SE1 0LH,2018-11-29,day,For Profit,https://www.numbereight.ai,https://www.linkedin.com/company/numbereight,,,"Advertising, Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Gaming, Hardware, Media and Entertainment, Music and Audio, Other, Sales and Marketing, Software",2,"Abhishek Sen, Chris Watts",11-50,Seed,Seed,2100000,GBP,2683655,Seed,2,15,,,"14,813","14,791",,,,,,,,,,,,
Continuity,https://www.crunchbase.com/organization/continuity-9359,"Continuity’s SaaS platform uses Open Data and AI to detect insurance contracts that are either outdated or invalid across four product lines including Professional Indemnity, Commercial Property, Construction Workers Insurance, and Directors & Officers Liability.","Artificial Intelligence (AI), SaaS","Paris, Ile-de-France, France","Continuity, uses AI to help insurances improve underwriting for SME’s.",15000000,EUR,16508608,,,,,15,,15000000,EUR,16508608,,,,10000000,EUR,10885361,2,2024-06-06,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$1M to $10M,"Bpifrance, Elaia, Kamet, 115K",,,,Private,75010,2019-01-01,year,For Profit,https://www.continuity-tech.ai/,https://www.linkedin.com/company/continuity-tech/,,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",3,"Antoine Sinton, Benoit Pastorelli, Pierre Beauhaire",11-50,Early Stage Venture,Series A,10000000,EUR,10885361,Series A,2,4,,,"14,814","14,792",,,,,,,,,,,,
OffWorld,https://www.crunchbase.com/organization/offworld,"OffWorld is developing a new generation of smart, rugged, modular robots built on a proprietary universal AI-powered platform enabling multi-robot swarm behaviors and collective intelligence. OffWorld’s unique solution addresses mission-critical use cases in extreme unstructured environments. This enables customers in the mining and infrastructure sectors to significantly improve productivity, cost efficiency, and the health and safety of their employees while lowering their carbon footprint. In addition, the company is adapting its universal robotics platform for applications in the space sector.","Artificial Intelligence (AI), Industrial Automation, Mining Technology, Robotics, Space Travel","Altadena, California, United States","OffWorld is developing AI-powered rugged robots for heavy industrial jobs in the mining, infrastructure, and space sectors.",4252433,USD,4252433,,,0,"6,956",14,10,4000000,USD,4000000,,Hand Tools; Portable Power-Driven Tools; Manipulators,,252433,USD,252433,2,2022-02-24,"Greater Los Angeles Area, West Coast, Western US",$1M to $10M,"National Science Foundation, Starbridge Venture Capital",,,7,Private,91001,2016-01-01,month,For Profit,http://www.offworld.ai/,https://www.linkedin.com/company/offworld/,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Manufacturing, Natural Resources, Science and Engineering, Software, Transportation",7,"Dr. Alicia Kavelaars, Dr. James Jason Murray, Dr. Norbert Frischauf, Erika Ilves, Jim Keravala, Joshua Izenberg, Mark Nall",51-100,Seed,Grant,4000000,USD,4000000,Seed,2,2,,,"14,815","14,793",,,Women Founded,,,,,,,,,
Netacea,https://www.crunchbase.com/organization/netacea,"Netacea takes a smarter approach to bot management. Intent Analytics powered by machine learning quickly and accurately distinguishes bots from humans to protect websites, mobile apps, and APIs from automated threats while prioritizing genuine users. Actionable intelligence with data-rich visualizations empowers you to make informed decisions about your traffic.  Netacea's approach offers incredible speed, accuracy, and transparency, solving the growing problem of credential stuffing and account takeover at scale. The technology is designed to complement existing controls such as WAF rulesets, rate limiting, and threat databases to provide a deep analysis of all website visitors, actionable intelligence, and real-time threat. Netacea continuously monitors the web traffic to pinpoint the difference in automated bot activity vs genuine visitors, keeping ahead of evolving bot threats. Choose to automatically block, redirect or challenge automated attacks in real-time, or receive alerts notifying the potential threats.","Analytics, Artificial Intelligence (AI), Cyber Security, Information Technology, Internet, Machine Learning, Network Security, SaaS, Security","Manchester, Manchester, United Kingdom",Netacea is a bot management using Intent Analytics powered by machine learning- a sophisticated approach for sophisticated threats.,9000000,GBP,12186568,,,15,"5,786",23,78,9000000,GBP,12186568,,Electric Communication Technique,Scientific and technological services,9000000,GBP,12186568,1,2022-02-15,"Europe, Middle East, and Africa (EMEA)",$10M to $50M,"Mercia Asset Management, Marcin Kleczynski, Alex Eckelberry, Gerhard Watzinger, John Viega",,,2,Private,M3 4AP,2018-07-01,month,For Profit,https://www.netacea.com/,https://www.linkedin.com/company/netacea/,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Privacy and Security, Science and Engineering, Software",2,"Andy Still, Jeremy Gidlow",51-100,Early Stage Venture,Series A,9000000,GBP,12186568,Series A,,6,,,"14,824","14,802",,,,,,,,,,,,
