"Province";"Technology";"Relatedness.Density";"Complexity";"RCA";"CPC";"X.Label..CPC.";"Relatedness.Density..CPC.";"RCA..CPC."
"North Brabant";"Electrical machinery, apparatus, energy";42,89;54,55;2,57;"H01F";"magnets; inductances; transformers; selection of m";28,23;1,35
"North Brabant";"Electrical machinery, apparatus, energy";42,89;54,55;2,57;"H01G";"capacitors; capacitors, rectifiers, detectors, swi";20,16;0,73
"North Brabant";"Electrical machinery, apparatus, energy";42,89;54,55;2,57;"H01H";"electric switches; relays; selectors; emergency pr";36,15;0,6
"North Brabant";"Electrical machinery, apparatus, energy";42,89;54,55;2,57;"H01J";"electric discharge tubes or discharge lamps";53,5;4,38
"North Brabant";"Electrical machinery, apparatus, energy";42,89;54,55;2,57;"H01K";"electric incandescent lamps";78,29;12,72
"North Brabant";"Electrical machinery, apparatus, energy";42,89;54,55;2,57;"H01M";"processes or means, e.g. batteries, for the direct";10,75;0,25
"North Brabant";"Electrical machinery, apparatus, energy";42,89;54,55;2,57;"H01R";"electrically-conductive connections; structural as";28,09;1,46
"North Brabant";"Electrical machinery, apparatus, energy";42,89;54,55;2,57;"H01T";"spark gaps; overvoltage arresters using spark gaps";10,88;0,15
"North Brabant";"Electrical machinery, apparatus, energy";42,89;54,55;2,57;"H02B";"boards, substations, or switching arrangements for";22,11;0,29
"North Brabant";"Electrical machinery, apparatus, energy";42,89;54,55;2,57;"H02G";"installation of electric cables or lines, or of co";29,4;0,48
"North Brabant";"Electrical machinery, apparatus, energy";42,89;54,55;2,57;"H02H";"emergency protective circuit arrangements";35,93;0,46
"North Brabant";"Electrical machinery, apparatus, energy";42,89;54,55;2,57;"H02J";"circuit arrangements or systems for supplying or d";27,44;1,35
"North Brabant";"Electrical machinery, apparatus, energy";42,89;54,55;2,57;"H02K";"dynamo-electric machines";16,55;0,21
"North Brabant";"Electrical machinery, apparatus, energy";42,89;54,55;2,57;"H02M";"apparatus for conversion between ac and ac, betwee";47,55;1,35
"North Brabant";"Electrical machinery, apparatus, energy";42,89;54,55;2,57;"H02N";"electric machines not otherwise provided for";34,86;1,99
"North Brabant";"Electrical machinery, apparatus, energy";42,89;54,55;2,57;"H02P";"control or regulation of electric motors, electric";29,3;0,16
"North Brabant";"Electrical machinery, apparatus, energy";42,89;54,55;2,57;"H05B";"electric heating; electric lighting not otherwise ";35,24;7,01
"North Brabant";"Electrical machinery, apparatus, energy";42,89;54,55;2,57;"H05F";"static electricity; naturally-occurring electricit";29,59;0
"Zeeland";"Electrical machinery, apparatus, energy";24,61;54,55;0,24;"F21K";"light sources not otherwise provided for";61,05;1,82
"Zeeland";"Electrical machinery, apparatus, energy";24,61;54,55;0,24;"F21L";"lighting devices or systems thereof, being portabl";52,8;0
"Zeeland";"Electrical machinery, apparatus, energy";24,61;54,55;0,24;"F21S";"non-portable lighting devices or systems thereof ";54,82;0
"Zeeland";"Electrical machinery, apparatus, energy";24,61;54,55;0,24;"F21V";"functional features or details of lighting devices";42,44;1,04
"Zeeland";"Electrical machinery, apparatus, energy";24,61;54,55;0,24;"F21W";"indexing scheme associated with subclasses f21l, f";49,54;0
"Zeeland";"Electrical machinery, apparatus, energy";24,61;54,55;0,24;"F21Y";"indexing scheme associated with subclasses f21l, f";47,19;1,37
"Zeeland";"Electrical machinery, apparatus, energy";24,61;54,55;0,24;"H01C";"resistors";16,14;0
"Zeeland";"Electrical machinery, apparatus, energy";24,61;54,55;0,24;"H01F";"magnets; inductances; transformers; selection of m";12,89;0
"Zeeland";"Electrical machinery, apparatus, energy";24,61;54,55;0,24;"H01G";"capacitors; capacitors, rectifiers, detectors, swi";19,3;0
"Zeeland";"Electrical machinery, apparatus, energy";24,61;54,55;0,24;"H01H";"electric switches; relays; selectors; emergency pr";7,8;0
"Zeeland";"Electrical machinery, apparatus, energy";24,61;54,55;0,24;"H01J";"electric discharge tubes or discharge lamps";15,69;0
"Zeeland";"Electrical machinery, apparatus, energy";24,61;54,55;0,24;"H01K";"electric incandescent lamps";26,71;0
"Zeeland";"Electrical machinery, apparatus, energy";24,61;54,55;0,24;"H01M";"processes or means, e.g. batteries, for the direct";11,65;0
"Zeeland";"Electrical machinery, apparatus, energy";24,61;54,55;0,24;"H01R";"electrically-conductive connections; structural as";16,42;0
"Zeeland";"Electrical machinery, apparatus, energy";24,61;54,55;0,24;"H01T";"spark gaps; overvoltage arresters using spark gaps";5,65;0
"Zeeland";"Electrical machinery, apparatus, energy";24,61;54,55;0,24;"H02B";"boards, substations, or switching arrangements for";7,16;0
"Zeeland";"Electrical machinery, apparatus, energy";24,61;54,55;0,24;"H02G";"installation of electric cables or lines, or of co";16,1;0,65
"Zeeland";"Electrical machinery, apparatus, energy";24,61;54,55;0,24;"H02H";"emergency protective circuit arrangements";4,51;0
"Zeeland";"Electrical machinery, apparatus, energy";24,61;54,55;0,24;"H02J";"circuit arrangements or systems for supplying or d";5,99;0
"Zeeland";"Electrical machinery, apparatus, energy";24,61;54,55;0,24;"H02K";"dynamo-electric machines";17,05;0,31
"Zeeland";"Electrical machinery, apparatus, energy";24,61;54,55;0,24;"H02M";"apparatus for conversion between ac and ac, betwee";5,03;0
"Zeeland";"Electrical machinery, apparatus, energy";24,61;54,55;0,24;"H02N";"electric machines not otherwise provided for";13,4;4,23
"Zeeland";"Electrical machinery, apparatus, energy";24,61;54,55;0,24;"H02P";"control or regulation of electric motors, electric";9,35;0
"Zeeland";"Electrical machinery, apparatus, energy";24,61;54,55;0,24;"H05B";"electric heating; electric lighting not otherwise ";25,66;0,32
"Zeeland";"Electrical machinery, apparatus, energy";24,61;54,55;0,24;"H05F";"static electricity; naturally-occurring electricit";28,29;0
"Limburg";"Engines, pumps, turbines";21,68;45,45;0,45;"F01B";"machines or engines, in general or of positive-dis";20,03;1,11
"Limburg";"Engines, pumps, turbines";21,68;45,45;0,45;"F01C";"rotary-piston or oscillating-piston machines or en";7,2;0
"Limburg";"Engines, pumps, turbines";21,68;45,45;0,45;"F01D";"non-positive-displacement machines or engines, e.g";14,33;0,12
"Limburg";"Engines, pumps, turbines";21,68;45,45;0,45;"F01K";"steam engine plants; steam accumulators; engine pl";9,24;0,14
"Limburg";"Engines, pumps, turbines";21,68;45,45;0,45;"F01L";"cyclically operating valves for machines or engine";10,84;0
"Limburg";"Engines, pumps, turbines";21,68;45,45;0,45;"F01M";"lubricating of machines or engines in general; lub";9,76;0,39
"Limburg";"Engines, pumps, turbines";21,68;45,45;0,45;"F01P";"cooling of machines or engines in general; cooling";6,55;0
"Limburg";"Engines, pumps, turbines";21,68;45,45;0,45;"F02B";"internal-combustion piston engines; combustion eng";11,48;0,8
"Limburg";"Engines, pumps, turbines";21,68;45,45;0,45;"F02C";"gas-turbine plants; air intakes for jet-propulsion";17,49;0,91
"Limburg";"Engines, pumps, turbines";21,68;45,45;0,45;"F02D";"controlling combustion engines";3,33;0,68
"Limburg";"Engines, pumps, turbines";21,68;45,45;0,45;"F02F";"cylinders, pistons, or casings for combustion engi";8,22;0,39
"Limburg";"Engines, pumps, turbines";21,68;45,45;0,45;"F02G";"hot-gas or combustion-product positive-displacemen";14,92;0
"Limburg";"Engines, pumps, turbines";21,68;45,45;0,45;"F02K";"jet-propulsion plants";5,88;0
"Limburg";"Engines, pumps, turbines";21,68;45,45;0,45;"F02M";"supplying combustion engines in general with combu";12,91;0,32
"Limburg";"Engines, pumps, turbines";21,68;45,45;0,45;"F02N";"starting of combustion engines; starting aids for ";4,43;0,32
"Limburg";"Engines, pumps, turbines";21,68;45,45;0,45;"F02P";"ignition, other than compression ignition, for int";18,1;0,66
"Limburg";"Engines, pumps, turbines";21,68;45,45;0,45;"F03B";"machines or engines for liquids";12,32;0,54
"Limburg";"Engines, pumps, turbines";21,68;45,45;0,45;"F03C";"positive-displacement engines driven by liquids";19,98;1,68
"Limburg";"Engines, pumps, turbines";21,68;45,45;0,45;"F03D";"wind motors";9,61;0,5
"Limburg";"Engines, pumps, turbines";21,68;45,45;0,45;"F03G";"spring, weight, inertia, or like motors; mechanica";10,18;0,51
"Limburg";"Engines, pumps, turbines";21,68;45,45;0,45;"F03H";"producing a reactive propulsive thrust, not otherw";14,75;0
"Limburg";"Engines, pumps, turbines";21,68;45,45;0,45;"F04B";"positive-displacement machines for liquids; pumps ";20,19;0,21
"Limburg";"Engines, pumps, turbines";21,68;45,45;0,45;"F04C";"rotary-piston, or oscillating-piston, positive-dis";14,27;0,56
"Limburg";"Engines, pumps, turbines";21,68;45,45;0,45;"F04D";"non-positive-displacement pumps";7,43;0,15
"Limburg";"Engines, pumps, turbines";21,68;45,45;0,45;"F04F";"pumping of fluid by direct contact of another flui";26,63;0
"Limburg";"Engines, pumps, turbines";21,68;45,45;0,45;"F23R";"generating combustion products of high pressure or";55,61;3,43
"Limburg";"Engines, pumps, turbines";21,68;45,45;0,45;"G21B";"fusion reactors";5,2;0
"Limburg";"Engines, pumps, turbines";21,68;45,45;0,45;"G21C";"nuclear reactors ";10,89;0
"Limburg";"Engines, pumps, turbines";21,68;45,45;0,45;"G21D";"nuclear power plant";1,96;0
"Limburg";"Engines, pumps, turbines";21,68;45,45;0,45;"G21F";"protection against x-radiation, gamma radiation, c";16,09;0
"Limburg";"Engines, pumps, turbines";21,68;45,45;0,45;"G21G";"conversion of chemical elements; radioactive sourc";24,66;0
"Limburg";"Engines, pumps, turbines";21,68;45,45;0,45;"G21K";"techniques for handling particles or ionising‘_rad";52,36;1,09
"North Brabant";"Engines, pumps, turbines";31,22;45,45;0,27;"F01B";"machines or engines, in general or of positive-dis";4,03;0
"North Brabant";"Engines, pumps, turbines";31,22;45,45;0,27;"F01C";"rotary-piston or oscillating-piston machines or en";59,63;0,24
"North Brabant";"Engines, pumps, turbines";31,22;45,45;0,27;"F01D";"non-positive-displacement machines or engines, e.g";3,61;0,08
"North Brabant";"Engines, pumps, turbines";31,22;45,45;0,27;"F01K";"steam engine plants; steam accumulators; engine pl";4,85;0,18
"North Brabant";"Engines, pumps, turbines";31,22;45,45;0,27;"F01L";"cyclically operating valves for machines or engine";6,26;0,05
"North Brabant";"Engines, pumps, turbines";31,22;45,45;0,27;"F01M";"lubricating of machines or engines in general; lub";5,24;0,08
"North Brabant";"Engines, pumps, turbines";31,22;45,45;0,27;"F01P";"cooling of machines or engines in general; cooling";3,27;0,15
"North Brabant";"Engines, pumps, turbines";31,22;45,45;0,27;"F02B";"internal-combustion piston engines; combustion eng";2,13;0,16
"North Brabant";"Engines, pumps, turbines";31,22;45,45;0,27;"F02C";"gas-turbine plants; air intakes for jet-propulsion";5,45;0,06
"North Brabant";"Engines, pumps, turbines";31,22;45,45;0,27;"F02D";"controlling combustion engines";6,22;0,19
"North Brabant";"Engines, pumps, turbines";31,22;45,45;0,27;"F02F";"cylinders, pistons, or casings for combustion engi";3,34;0
"North Brabant";"Engines, pumps, turbines";31,22;45,45;0,27;"F02G";"hot-gas or combustion-product positive-displacemen";2,52;0,17
"North Brabant";"Engines, pumps, turbines";31,22;45,45;0,27;"F02K";"jet-propulsion plants";2,63;0,06
"North Brabant";"Engines, pumps, turbines";31,22;45,45;0,27;"F02M";"supplying combustion engines in general with combu";4,19;0,11
"North Brabant";"Engines, pumps, turbines";31,22;45,45;0,27;"F02N";"starting of combustion engines; starting aids for ";9,09;0,26
"North Brabant";"Engines, pumps, turbines";31,22;45,45;0,27;"F02P";"ignition, other than compression ignition, for int";13,08;0
"North Brabant";"Engines, pumps, turbines";31,22;45,45;0,27;"F03B";"machines or engines for liquids";14,43;0
"North Brabant";"Engines, pumps, turbines";31,22;45,45;0,27;"F03C";"positive-displacement engines driven by liquids";8,85;0
"North Brabant";"Engines, pumps, turbines";31,22;45,45;0,27;"F03D";"wind motors";6,78;0,14
"North Brabant";"Engines, pumps, turbines";31,22;45,45;0,27;"F03G";"spring, weight, inertia, or like motors; mechanica";9,42;0,32
"North Brabant";"Engines, pumps, turbines";31,22;45,45;0,27;"F03H";"producing a reactive propulsive thrust, not otherw";14,75;0
"North Brabant";"Engines, pumps, turbines";31,22;45,45;0,27;"F04B";"positive-displacement machines for liquids; pumps ";16,81;0,63
"North Brabant";"Engines, pumps, turbines";31,22;45,45;0,27;"F04C";"rotary-piston, or oscillating-piston, positive-dis";23,43;1,5
"North Brabant";"Engines, pumps, turbines";31,22;45,45;0,27;"F04D";"non-positive-displacement pumps";6,92;0,06
"North Brabant";"Engines, pumps, turbines";31,22;45,45;0,27;"F04F";"pumping of fluid by direct contact of another flui";6,83;0,5
"North Brabant";"Engines, pumps, turbines";31,22;45,45;0,27;"F23R";"generating combustion products of high pressure or";1,14;0,09
"North Brabant";"Engines, pumps, turbines";31,22;45,45;0,27;"G21B";"fusion reactors";1,9;0
"North Brabant";"Engines, pumps, turbines";31,22;45,45;0,27;"G21C";"nuclear reactors ";4,64;0
"North Brabant";"Engines, pumps, turbines";31,22;45,45;0,27;"G21D";"nuclear power plant";5,42;0
"North Brabant";"Engines, pumps, turbines";31,22;45,45;0,27;"G21F";"protection against x-radiation, gamma radiation, c";5,95;0,11
"North Brabant";"Engines, pumps, turbines";31,22;45,45;0,27;"G21G";"conversion of chemical elements; radioactive sourc";29,22;0
"North Brabant";"Engines, pumps, turbines";31,22;45,45;0,27;"G21K";"techniques for handling particles or ionising‘_rad";74,42;7,56
"Zeeland";"Engines, pumps, turbines";19,69;45,45;0,11;"F01B";"machines or engines, in general or of positive-dis";3,86;7,83
"Zeeland";"Engines, pumps, turbines";19,69;45,45;0,11;"F01C";"rotary-piston or oscillating-piston machines or en";4,34;0
"Zeeland";"Engines, pumps, turbines";19,69;45,45;0,11;"F01D";"non-positive-displacement machines or engines, e.g";11,64;0
"Zeeland";"Engines, pumps, turbines";19,69;45,45;0,11;"F01K";"steam engine plants; steam accumulators; engine pl";15,18;0
"Zeeland";"Engines, pumps, turbines";19,69;45,45;0,11;"F01L";"cyclically operating valves for machines or engine";11,04;0
"Zeeland";"Engines, pumps, turbines";19,69;45,45;0,11;"F01M";"lubricating of machines or engines in general; lub";10,27;0
"Zeeland";"Engines, pumps, turbines";19,69;45,45;0,11;"F01P";"cooling of machines or engines in general; cooling";12,67;0
"Zeeland";"Engines, pumps, turbines";19,69;45,45;0,11;"F02B";"internal-combustion piston engines; combustion eng";8,45;0
"Zeeland";"Engines, pumps, turbines";19,69;45,45;0,11;"F02C";"gas-turbine plants; air intakes for jet-propulsion";14;0
"Zeeland";"Engines, pumps, turbines";19,69;45,45;0,11;"F02D";"controlling combustion engines";6,15;0
"Zeeland";"Engines, pumps, turbines";19,69;45,45;0,11;"F02F";"cylinders, pistons, or casings for combustion engi";6,39;0
"Zeeland";"Engines, pumps, turbines";19,69;45,45;0,11;"F02G";"hot-gas or combustion-product positive-displacemen";13,09;0
"Zeeland";"Engines, pumps, turbines";19,69;45,45;0,11;"F02K";"jet-propulsion plants";4,36;2,16
"Zeeland";"Engines, pumps, turbines";19,69;45,45;0,11;"F02M";"supplying combustion engines in general with combu";10,12;0
"Zeeland";"Engines, pumps, turbines";19,69;45,45;0,11;"F02N";"starting of combustion engines; starting aids for ";9,06;0
"Zeeland";"Engines, pumps, turbines";19,69;45,45;0,11;"F02P";"ignition, other than compression ignition, for int";10,42;0
"Zeeland";"Engines, pumps, turbines";19,69;45,45;0,11;"F03B";"machines or engines for liquids";24,38;0
"Zeeland";"Engines, pumps, turbines";19,69;45,45;0,11;"F03C";"positive-displacement engines driven by liquids";21,55;0
"Zeeland";"Engines, pumps, turbines";19,69;45,45;0,11;"F03D";"wind motors";15,18;0
"Zeeland";"Engines, pumps, turbines";19,69;45,45;0,11;"F03G";"spring, weight, inertia, or like motors; mechanica";9,32;3,62
"Zeeland";"Engines, pumps, turbines";19,69;45,45;0,11;"F03H";"producing a reactive propulsive thrust, not otherw";16,21;0
"Zeeland";"Engines, pumps, turbines";19,69;45,45;0,11;"F04B";"positive-displacement machines for liquids; pumps ";16,07;0
"Zeeland";"Engines, pumps, turbines";19,69;45,45;0,11;"F04C";"rotary-piston, or oscillating-piston, positive-dis";7,72;0
"Zeeland";"Engines, pumps, turbines";19,69;45,45;0,11;"F04D";"non-positive-displacement pumps";12,58;0
"Zeeland";"Engines, pumps, turbines";19,69;45,45;0,11;"F04F";"pumping of fluid by direct contact of another flui";27,4;0
"Zeeland";"Engines, pumps, turbines";19,69;45,45;0,11;"F23R";"generating combustion products of high pressure or";22,06;0
"Zeeland";"Engines, pumps, turbines";19,69;45,45;0,11;"G21B";"fusion reactors";5,69;0
"Zeeland";"Engines, pumps, turbines";19,69;45,45;0,11;"G21C";"nuclear reactors ";5,66;0
"Zeeland";"Engines, pumps, turbines";19,69;45,45;0,11;"G21D";"nuclear power plant";7,73;0
"Zeeland";"Engines, pumps, turbines";19,69;45,45;0,11;"G21F";"protection against x-radiation, gamma radiation, c";8,39;0
"Zeeland";"Engines, pumps, turbines";19,69;45,45;0,11;"G21G";"conversion of chemical elements; radioactive sourc";5,49;0
"Zeeland";"Engines, pumps, turbines";19,69;45,45;0,11;"G21K";"techniques for handling particles or ionising‘_rad";27,89;0
"Limburg";"Environmental technology";49,93;39,39;0,57;"A62C";"fire-fighting ";14,48;0
"Limburg";"Environmental technology";49,93;39,39;0,57;"A62D";"chemical means for extinguishing fires; processes ";51,49;0
"Limburg";"Environmental technology";49,93;39,39;0,57;"B09B";"disposal of solid waste";24,55;0
"Limburg";"Environmental technology";49,93;39,39;0,57;"B09C";"reclamation of contaminated soil";26,17;0
"Limburg";"Environmental technology";49,93;39,39;0,57;"B65F";"gathering or removal of domestic or like refuse";17,9;2,24
"Limburg";"Environmental technology";49,93;39,39;0,57;"C02F";"treatment of water, waste water, sewage, or sludge";31,79;0,97
"Limburg";"Environmental technology";49,93;39,39;0,57;"F01N";"gas-flow silencers or exhaust apparatus for machin";23,44;0,43
"Limburg";"Environmental technology";49,93;39,39;0,57;"F23G";"cremation furnaces; consuming waste or low grade f";28,13;0
"Limburg";"Environmental technology";49,93;39,39;0,57;"F23J";"removal or treatment of combustion products or com";26,9;0,77
"Limburg";"Environmental technology";49,93;39,39;0,57;"G01T";"measurement of nuclear or x-radiation";29,39;0
"North Brabant";"Environmental technology";14,58;39,39;1,03;"A62C";"fire-fighting ";14,93;0,07
"North Brabant";"Environmental technology";14,58;39,39;1,03;"A62D";"chemical means for extinguishing fires; processes ";13,36;0
"North Brabant";"Environmental technology";14,58;39,39;1,03;"B09B";"disposal of solid waste";7,09;0,86
"North Brabant";"Environmental technology";14,58;39,39;1,03;"B09C";"reclamation of contaminated soil";7,37;0,36
"North Brabant";"Environmental technology";14,58;39,39;1,03;"B65F";"gathering or removal of domestic or like refuse";12,43;0
"North Brabant";"Environmental technology";14,58;39,39;1,03;"C02F";"treatment of water, waste water, sewage, or sludge";7,89;0,8
"North Brabant";"Environmental technology";14,58;39,39;1,03;"F01N";"gas-flow silencers or exhaust apparatus for machin";6,13;0,12
"North Brabant";"Environmental technology";14,58;39,39;1,03;"F23G";"cremation furnaces; consuming waste or low grade f";3,28;0
"North Brabant";"Environmental technology";14,58;39,39;1,03;"F23J";"removal or treatment of combustion products or com";6,52;0
"North Brabant";"Environmental technology";14,58;39,39;1,03;"G01T";"measurement of nuclear or x-radiation";77,5;8,99
"Zeeland";"Environmental technology";44,92;39,39;0,16;"A62C";"fire-fighting ";29,58;0
"Zeeland";"Environmental technology";44,92;39,39;0,16;"A62D";"chemical means for extinguishing fires; processes ";43,33;0
"Zeeland";"Environmental technology";44,92;39,39;0,16;"B09B";"disposal of solid waste";20,56;0
"Zeeland";"Environmental technology";44,92;39,39;0,16;"B09C";"reclamation of contaminated soil";26,17;0
"Zeeland";"Environmental technology";44,92;39,39;0,16;"B65F";"gathering or removal of domestic or like refuse";33,62;0
"Zeeland";"Environmental technology";44,92;39,39;0,16;"C02F";"treatment of water, waste water, sewage, or sludge";26,05;0,57
"Zeeland";"Environmental technology";44,92;39,39;0,16;"F01N";"gas-flow silencers or exhaust apparatus for machin";20,97;0
"Zeeland";"Environmental technology";44,92;39,39;0,16;"F23G";"cremation furnaces; consuming waste or low grade f";13,97;0
"Zeeland";"Environmental technology";44,92;39,39;0,16;"F23J";"removal or treatment of combustion products or com";37,69;0
"Zeeland";"Environmental technology";44,92;39,39;0,16;"G01T";"measurement of nuclear or x-radiation";7,12;0
"Limburg";"Food chemistry";67,48;66,67;2,51;"A01H";"new plants or processes for obtaining them; plant ";81,86;6,79
"Limburg";"Food chemistry";67,48;66,67;2,51;"A21D";"treatment, e.g. preservation, of flour or dough fo";79,4;5,26
"Limburg";"Food chemistry";67,48;66,67;2,51;"A23B";"preserving, e.g. by canning, meat, fish, eggs, fru";71,19;3,99
"Limburg";"Food chemistry";67,48;66,67;2,51;"A23C";"dairy products, e.g. milk, butter, cheese; milk or";78,75;2,3
"Limburg";"Food chemistry";67,48;66,67;2,51;"A23D";"edible oils or fats, e.g. margarines, shortenings,";71,32;0,45
"Limburg";"Food chemistry";67,48;66,67;2,51;"A23F";"coffee; tea; their substitutes; manufacture, prepa";62,51;0
"Limburg";"Food chemistry";67,48;66,67;2,51;"A23G";"cocoa; cocoa products, e.g. chocolate; substitutes";63,44;1,46
"Limburg";"Food chemistry";67,48;66,67;2,51;"A23J";"protein compositions for foodstuffs; working-up pr";78,27;3,61
"Limburg";"Food chemistry";67,48;66,67;2,51;"A23K";"feeding-stuffs specially adapted for animals; meth";72,06;2,49
"Limburg";"Food chemistry";67,48;66,67;2,51;"A23L";"foods, foodstuffs, or non-alcoholic beverages, not";73,64;2,52
"Limburg";"Food chemistry";67,48;66,67;2,51;"C12C";"brewing of beer";72,92;2,75
"Limburg";"Food chemistry";67,48;66,67;2,51;"C12F";"recovery of by-products of fermented solutions; de";46,08;0
"Limburg";"Food chemistry";67,48;66,67;2,51;"C12G";"wine; other alcoholic beverages; preparation there";79,31;2,53
"Limburg";"Food chemistry";67,48;66,67;2,51;"C12H";"pasteurisation, sterilisation, preservation, purif";81,49;2,59
"Limburg";"Food chemistry";67,48;66,67;2,51;"C13B";"production of sucrose; apparatus specially adapted";76,3;3,27
"Limburg";"Food chemistry";67,48;66,67;2,51;"C13K";"saccharides, other than sucrose, obtained from nat";61,22;1,26
"North Brabant";"Food chemistry";8,2;66,67;1,23;"A01H";"new plants or processes for obtaining them; plant ";31,42;3,91
"North Brabant";"Food chemistry";8,2;66,67;1,23;"A21D";"treatment, e.g. preservation, of flour or dough fo";68,42;0,89
"North Brabant";"Food chemistry";8,2;66,67;1,23;"A23B";"preserving, e.g. by canning, meat, fish, eggs, fru";54,98;1,75
"North Brabant";"Food chemistry";8,2;66,67;1,23;"A23C";"dairy products, e.g. milk, butter, cheese; milk or";48,97;1,57
"North Brabant";"Food chemistry";8,2;66,67;1,23;"A23D";"edible oils or fats, e.g. margarines, shortenings,";31,47;1,11
"North Brabant";"Food chemistry";8,2;66,67;1,23;"A23F";"coffee; tea; their substitutes; manufacture, prepa";60,11;3,12
"North Brabant";"Food chemistry";8,2;66,67;1,23;"A23G";"cocoa; cocoa products, e.g. chocolate; substitutes";58,54;0,39
"North Brabant";"Food chemistry";8,2;66,67;1,23;"A23J";"protein compositions for foodstuffs; working-up pr";48,81;0,9
"North Brabant";"Food chemistry";8,2;66,67;1,23;"A23K";"feeding-stuffs specially adapted for animals; meth";39,4;0,51
"North Brabant";"Food chemistry";8,2;66,67;1,23;"A23L";"foods, foodstuffs, or non-alcoholic beverages, not";42,52;1,17
"North Brabant";"Food chemistry";8,2;66,67;1,23;"C12C";"brewing of beer";46,44;0,95
"North Brabant";"Food chemistry";8,2;66,67;1,23;"C12F";"recovery of by-products of fermented solutions; de";7,32;3,09
"North Brabant";"Food chemistry";8,2;66,67;1,23;"C12G";"wine; other alcoholic beverages; preparation there";32,92;2,09
"North Brabant";"Food chemistry";8,2;66,67;1,23;"C12H";"pasteurisation, sterilisation, preservation, purif";42,28;0
"North Brabant";"Food chemistry";8,2;66,67;1,23;"C13B";"production of sucrose; apparatus specially adapted";21,94;1,35
"North Brabant";"Food chemistry";8,2;66,67;1,23;"C13K";"saccharides, other than sucrose, obtained from nat";37,55;0,52
"Zeeland";"Food chemistry";41,6;66,67;2,54;"A01H";"new plants or processes for obtaining them; plant ";9,55;0
"Zeeland";"Food chemistry";41,6;66,67;2,54;"A21D";"treatment, e.g. preservation, of flour or dough fo";66,66;23,56
"Zeeland";"Food chemistry";41,6;66,67;2,54;"A23B";"preserving, e.g. by canning, meat, fish, eggs, fru";35,8;7,03
"Zeeland";"Food chemistry";41,6;66,67;2,54;"A23C";"dairy products, e.g. milk, butter, cheese; milk or";51,01;0
"Zeeland";"Food chemistry";41,6;66,67;2,54;"A23D";"edible oils or fats, e.g. margarines, shortenings,";72,06;0
"Zeeland";"Food chemistry";41,6;66,67;2,54;"A23F";"coffee; tea; their substitutes; manufacture, prepa";44,89;0
"Zeeland";"Food chemistry";41,6;66,67;2,54;"A23G";"cocoa; cocoa products, e.g. chocolate; substitutes";54,65;1,47
"Zeeland";"Food chemistry";41,6;66,67;2,54;"A23J";"protein compositions for foodstuffs; working-up pr";56,46;5,09
"Zeeland";"Food chemistry";41,6;66,67;2,54;"A23K";"feeding-stuffs specially adapted for animals; meth";50,56;0
"Zeeland";"Food chemistry";41,6;66,67;2,54;"A23L";"foods, foodstuffs, or non-alcoholic beverages, not";48,06;2,86
"Zeeland";"Food chemistry";41,6;66,67;2,54;"C12C";"brewing of beer";25,66;0
"Zeeland";"Food chemistry";41,6;66,67;2,54;"C12F";"recovery of by-products of fermented solutions; de";27,34;0
"Zeeland";"Food chemistry";41,6;66,67;2,54;"C12G";"wine; other alcoholic beverages; preparation there";25,53;0
"Zeeland";"Food chemistry";41,6;66,67;2,54;"C12H";"pasteurisation, sterilisation, preservation, purif";32,64;0
"Zeeland";"Food chemistry";41,6;66,67;2,54;"C13B";"production of sucrose; apparatus specially adapted";23,72;0
"Zeeland";"Food chemistry";41,6;66,67;2,54;"C13K";"saccharides, other than sucrose, obtained from nat";12,96;0
"Limburg";"Furniture, games";37,59;60,61;0,28;"A47B";"tables; desks; office furniture; cabinets; drawers";14,62;0,25
"Limburg";"Furniture, games";37,59;60,61;0,28;"A47C";"chairs";23,68;0,23
"Limburg";"Furniture, games";37,59;60,61;0,28;"A47D";"furniture specially adapted for children";45,26;1,82
"Limburg";"Furniture, games";37,59;60,61;0,28;"A47F";"special furniture, fittings, or accessories for sh";8,21;0,35
"Limburg";"Furniture, games";37,59;60,61;0,28;"A47G";"household or table equipment";13,66;0,74
"Limburg";"Furniture, games";37,59;60,61;0,28;"A47H";"furnishings for windows or doors";12;2,84
"Limburg";"Furniture, games";37,59;60,61;0,28;"A47J";"kitchen equipment; coffee mills; spice mills; appa";34,84;0,13
"Limburg";"Furniture, games";37,59;60,61;0,28;"A47K";"sanitary equipment not otherwise provided for ";25,97;0
"Limburg";"Furniture, games";37,59;60,61;0,28;"A47L";"domestic washing or cleaning ; suction cleaners in";13,12;0,07
"Limburg";"Furniture, games";37,59;60,61;0,28;"A63B";"apparatus for physical training, gymnastics, swimm";14,66;0,43
"Limburg";"Furniture, games";37,59;60,61;0,28;"A63C";"skates; skis; roller skates; design or layout of c";44,34;0
"Limburg";"Furniture, games";37,59;60,61;0,28;"A63F";"card, board or roulette games; indoor games using ";37,8;0
"Limburg";"Furniture, games";37,59;60,61;0,28;"A63G";"merry-go-rounds; swings; rocking-horses; chutes; s";15,42;4,84
"Limburg";"Furniture, games";37,59;60,61;0,28;"A63H";"toys, e.g. tops, dolls, hoops, building blocks";11,21;2,45
"Limburg";"Furniture, games";37,59;60,61;0,28;"A63J";"devices for theatres, circuses, or the like; conju";40;0
