Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Number of Funding Rounds,Funding Status,Lead Investors,Investor Names,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Venture Round - KIP Protocol,https://www.crunchbase.com/funding_round/kip-protocol-series-unknown--4f36cf1e,KIP Protocol,https://www.crunchbase.com/organization/kip-protocol,Venture - Series Unknown,5000000,USD,5000000,2024-08-16,,,,,Yes,"KIP Protocol is a decentralized base layer on which AI models, apps, and data owners can safely transact and monetize in Web3.","Artificial Intelligence (AI), Blockchain, Cryptocurrency, Web3",,"Hong Kong, Hong Kong Island, Hong Kong, Asia",https://kip.pro,,10000000,USD,10000000,2,,"Animoca Ventures, Tribe Capital","Animoca Ventures, Contango, DWF Labs, Fomocraft Ventures, GBV Capital, GD10 Ventures, K300 Ventures, Kyros Ventures, MH Ventures, Morningstar Ventures, NewTribe Capital, Purechain Capital, Tribe Capital, ZBS CAPITAL",14,2,319
Seed Round - Black Forest Labs,https://www.crunchbase.com/funding_round/black-forest-labs-01de-seed--b2580825,Black Forest Labs,https://www.crunchbase.com/organization/black-forest-labs-01de,Seed,28000000,EUR,30202193,2024-08-01,Seed,,,,Yes,"Black Forest Labs develops advanced generative deep learning models for images and videos, emphasizing broad accessibility and transparency.","Artificial Intelligence (AI), Media and Entertainment, Software",,"Freiburg Im Breisgau, Baden-Wurttemberg, Germany, Europe",https://blackforestlabs.ai,,28000000,EUR,30202193,1,Seed,Andreessen Horowitz,"Andreessen Horowitz, Brendan Iribe, Garry Tan, General Catalyst, Michael Ovitz, Mätch VC, Timo Aila, Vladlen Koltun",8,1,328
Seed Round - Synapse Analytics,https://www.crunchbase.com/funding_round/synapse-analytics-seed--94eeb0fb,Synapse Analytics,https://www.crunchbase.com/organization/synapse-analytics,Seed,2000000,USD,2000000,2024-07-31,Seed,,,,Yes,Synapse Analytics is an AI company with a suite of products that help businesses adopt AI into their core operations.,"Analytics, Artificial Intelligence (AI), Information Technology, Machine Learning, Software",,"Cairo, Al Qahirah, Egypt, Africa",https://www.synapse-analytics.io/,$1M to $10M,4000000,USD,4000000,3,Seed,"Hub71, Silicon Badia","Hub71, Silicon Badia",2,1,332
Series B - Actuate,https://www.crunchbase.com/funding_round/aegis-ai-series-b--f208956c,Actuate,https://www.crunchbase.com/organization/aegis-ai,Series B,11500000,USD,11500000,2024-08-14,Early Stage Venture,,,,Yes,Actuate enhances existing surveillance systems through AI camera software that improves efficiency without the need for new hardware.,"Artificial Intelligence (AI), Information Technology, Machine Learning, Security, Software",,"New York, New York, United States, North America",http://www.actuate.ai,$10M to $50M,24765000,USD,24765000,8,Early Stage Venture,Gray Line Partners,"Bling Capital, Gray Line Partners, Tensility Venture Partners, Tribeca Venture Partners, Upside Partnership",5,2,357
Seed Round - BeyondMath,https://www.crunchbase.com/funding_round/beyondmath-seed--f9aae94c,BeyondMath,https://www.crunchbase.com/organization/beyondmath,Seed,8500000,USD,8500000,2024-08-20,Seed,,,,Yes,AI-first approach to simulating the physical world,Artificial Intelligence (AI),,"Cambridge, Cambridgeshire, United Kingdom, Europe",https://beyondmath.com,,10338783,USD,10338783,2,Seed,UP Partners,"InMotion Ventures, Insight Partners, UP Partners",3,3,355
Series B - Guidewheel,https://www.crunchbase.com/funding_round/guidewheel-series-b--adb28e8c,Guidewheel,https://www.crunchbase.com/organization/guidewheel,Series B,31000000,USD,31000000,2024-08-13,Early Stage Venture,,,,Yes,Guidewheel's AI-powered FactoryOps platform empowers manufacturers to drive productivity and net zero at scale.,"Artificial Intelligence (AI), Business Information Systems, Cloud Data Services, Machine Learning, SaaS, Software","Women Founded, Women Led","San Francisco, California, United States, North America",https://guidewheel.com,$1M to $10M,51980000,USD,51980000,5,Early Stage Venture,Decarbonization Partners,"Breakthrough Energy Ventures, Decarbonization Partners, Ecolab, Greycroft, GSBackers, Rethink Impact",6,2,368
Series C - Cowbell,https://www.crunchbase.com/funding_round/cowbell-cyber-inc-series-c--7ff40d8e,Cowbell,https://www.crunchbase.com/organization/cowbell-cyber-inc,Series C,60000000,USD,60000000,2024-07-26,Late Stage Venture,,,,Yes,Cowbell provides adaptive cyber insurance for small and medium-sized enterprises using AI-driven risk assessment.,"Artificial Intelligence (AI), FinTech, Insurance, InsurTech, Risk Management","South Asian Founded, South Asian Led","Pleasanton, California, United States, North America",https://cowbell.insure,$10M to $50M,208300000,USD,208300000,5,Late Stage Venture,Zurich Insurance Group,Zurich Insurance Group,1,,384
Seed Round - FLOWIT,https://www.crunchbase.com/funding_round/flowit-seed--726d17b0,FLOWIT,https://www.crunchbase.com/organization/flowit,Seed,4000000,CHF,4698602,2024-08-22,Seed,,,,Yes,"game changing - simple and intuitive AI-assisted holistic employee development in real-time for all organizations, employees and HR theories","Artificial Intelligence (AI), Business Development, Human Resources, Machine Learning, Personal Development, Software",,"Opfikon, Zurich, Switzerland, Europe",https://www.flowit.ch/,Less than $1M,4000000,CHF,4698602,1,Seed,"Alstin Capital, VI Partners","Alstin Capital, Daniel Gutenberg, VI Partners",3,2,388
Series B - Encord,https://www.crunchbase.com/funding_round/cord-0d3f-series-b--82fa63f7,Encord,https://www.crunchbase.com/organization/cord-0d3f,Series B,30000000,USD,30000000,2024-08-13,Early Stage Venture,,,,Yes,Encord is an AI data development platform for computer vision and multimodal AI teams.,"Artificial Intelligence (AI), Computer Vision, Machine Learning, Software",,"San Francisco, California, United States, North America",https://encord.com,,50000000,USD,50000000,4,Early Stage Venture,Next47,"Crane Venture Partners, CRV, Next47, Y Combinator",4,2,399
Venture Round - Moonshot AI,https://www.crunchbase.com/funding_round/dark-side-of-the-moon-series-unknown--2c0fd7a1,Moonshot AI,https://www.crunchbase.com/organization/dark-side-of-the-moon,Venture - Series Unknown,300000000,USD,300000000,2024-08-05,,3000000000,USD,3000000000,Yes,Moonshot AI seeks solutions in transforming energy into intelligence and generating intelligence with users through its product offerings.,"Artificial Intelligence (AI), Generative AI, Machine Learning, Software",,"Haidian, Beijing, China, Asia",https://www.moonshot.ai,,1574122807,USD,1574122807,4,,,"Alibaba Group, Gaorong Capital, Tencent",3,,405
Seed Round - Goodfire,https://www.crunchbase.com/funding_round/goodfire-b4cb-seed--24f34daf,Goodfire,https://www.crunchbase.com/organization/goodfire-b4cb,Seed,7000000,USD,7000000,2024-08-15,Seed,,,,Yes,Interpretability tooling for safe and reliable generative AI models,Artificial Intelligence (AI),,"San Francisco, California, United States, North America",https://goodfire.ai/,,7000000,USD,7000000,1,Seed,Lightspeed Venture Partners,"Bluebirds Capital, Juniper Ventures, Lightspeed Venture Partners, Menlo Ventures, Mythos Ventures, South Park Commons, Work-Bench",7,3,414
Seed Round - DecoverAI,https://www.crunchbase.com/funding_round/decoverai-seed--7a4e058e,DecoverAI,https://www.crunchbase.com/organization/decoverai,Seed,2000000,USD,2000000,2024-07-30,Seed,,,,Yes,DecoverAI is a generative AI company that delivers AI-driven solutions to enhance the efficiency and effectiveness of legal professionals.,"Artificial Intelligence (AI), Information Technology, Legal Tech, Software",,"Washington, District of Columbia, United States, North America",https://www.decoverhq.com,,2000000,USD,2000000,1,Seed,Leo Capital,Leo Capital,1,1,425
Series B - Zhuoshi Technology,https://www.crunchbase.com/funding_round/zhuoshi-future-series-b--c13cd93a,Zhuoshi Technology,https://www.crunchbase.com/organization/zhuoshi-future,Series B,100000000,CNY,13926025,2024-08-12,Early Stage Venture,,,,Yes,Zhuoshi Technology is an artificial intelligence technology company.,"Artificial Intelligence (AI), EdTech, Education, Metaverse",,"Haidian, Beijing, China, Asia",https://www.maas.com.cn/,,140000000,CNY,19662272,3,Early Stage Venture,Cowin Capital,"Cowin Capital, Qingdao Haifa Group, TusStar",3,,434
Series A - deepc,https://www.crunchbase.com/funding_round/deepc-series-a--bb6b074a,deepc,https://www.crunchbase.com/organization/deepc,Series A,13000000,USD,13000000,2024-07-25,Early Stage Venture,,,,Yes,The AI Operating System for the Future of Radiology,"Artificial Intelligence (AI), Consulting, Health Care, Machine Learning, Medical, Medical Device, Software",,"Munich, Bayern, Germany, Europe",http://www.deepc.ai/,$1M to $10M,26006621,USD,26006621,4,Early Stage Venture,"Bertelsmann Investments, Sofinnova Partners","Bertelsmann Investments, KHP Ventures, Mindset Ventures, Sofinnova Partners, SwissHealth Ventures, Winning Mindset Ventures",6,1,436
Venture Round - Clarium,https://www.crunchbase.com/funding_round/clarium-series-unknown--3ca65bcd,Clarium,https://www.crunchbase.com/organization/clarium,Venture - Series Unknown,10500000,USD,10500000,2024-08-20,,,,,Yes,"Clarium AI software allows hospital departments to automate tasks, increase collaboration, streamline operations and enhance productivity.","Artificial Intelligence (AI), Health Care, Hospital",,"New York, New York, United States, North America",https://www.clariumhealth.com/,,10500000,USD,10500000,2,,General Catalyst,"1984 Ventures, AlleyCorp, Alumni Ventures, General Catalyst, Kaiser Permanente Ventures, TMC Venture Fund, Yale-New Haven Hospital",7,2,444
Series A - SleekFlow,https://www.crunchbase.com/funding_round/sleekflow-series-a--e630ba25,SleekFlow,https://www.crunchbase.com/organization/sleekflow,Series A,7000000,USD,7000000,2024-08-21,Early Stage Venture,,,,Yes,Automate Your Growth. The Omnichannel Conversational AI Suite for 10k+ business users worldwide.,"Artificial Intelligence (AI), Customer Service, E-Commerce, Marketing Automation, SaaS, Sales Automation, Social Media Management, Software",,"Singapore, Central Region, Singapore, Asia",https://sleekflow.io,,15000000,USD,15000000,3,Early Stage Venture,Atinum Partners,"AEF Greater Bay Area Fund, Atinum Partners, Moses Tsang, Transcend Capital Partners",4,1,476
Series A - Ema,https://www.crunchbase.com/funding_round/ema-8724-series-a--2e5b7e67,Ema,https://www.crunchbase.com/organization/ema-8724,Series A,36000000,USD,36000000,2024-07-31,Early Stage Venture,,,,Yes,Ema provides AI solutions that enhance productivity across various enterprise roles.,"Artificial Intelligence (AI), Employee Benefits, Software",,"Mountain View, California, United States, North America",https://www.ema.co,,61000000,USD,61000000,2,Early Stage Venture,"Accel, S32","Accel, Colle Capital Partners, Frontier Ventures, Hitachi Ventures, Microsoft for Startups, Prosus Ventures, S32, SCB 10X, Sozo Ventures, Wipro Ventures",10,3,499
Series A - Aveni,https://www.crunchbase.com/funding_round/aveni-series-a--a9796287,Aveni,https://www.crunchbase.com/organization/aveni,Series A,11000000,GBP,14128031,2024-07-29,Early Stage Venture,,,,Yes,Aveni is a driving automation and insight direct from the voice across regulated industries.,"Artificial Intelligence (AI), Call Center, Financial Services, Information Technology, Machine Learning, Natural Language Processing, Software, Speech Recognition",,"Edinburgh, Edinburgh, City of, United Kingdom, Europe",https://aveni.ai/,,15495000,GBP,19845474,5,Early Stage Venture,Puma Private Equity,"Lloyds Banking Group, NBS Ventures, Par Equity, Puma Private Equity, Scottish Enterprise",5,3,510
Seed Round - Not Diamond,https://www.crunchbase.com/funding_round/not-diamond-seed--0b387e6f,Not Diamond,https://www.crunchbase.com/organization/not-diamond,Seed,2300000,USD,2300000,2024-07-30,Seed,,,,Yes,Not Diamond allows developers to automatically route AI questions to the most appropriate models.,"Information Technology, Internet, Machine Learning",,"San Francisco, California, United States, North America",https://www.notdiamond.ai/,,2300000,USD,2300000,1,Seed,Defy.vc,"640 Oxford, Alex Chung, Aman Khan, Amir Haghighat, Carl Waldekranz, Defy.vc, Eoghan McCabe, Grant Miller, Inovia Capital, Ion Stoica, Jeff Dean, Jeff Weiner, John Kim, Julien Chaumond, Karman Ventures (fka Moving Capital), Nadim Hossain, Scott Belsky, Tom Preston-Werner, vitalstage ventures, Zack Kass",20,,526
Seed Round - TEDU,https://www.crunchbase.com/funding_round/tedu-seed--9a83bbc5,TEDU,https://www.crunchbase.com/organization/tedu,Seed,2000000,USD,2000000,2024-08-08,Seed,,,,Yes,Powering the Future of Live-Learning Support with Data-Driven Infrastructure.,"Artificial Intelligence (AI), Enterprise Software, Generative AI, Higher Education, Information Technology, SaaS, Software, Tutoring, Virtual Workforce",,"Miami, Florida, United States, North America",http://www.tedulearning.com,,5580000,USD,5580000,4,Seed,Cofounders Capital,"Cofounders Capital, Greenwood and Cavalier, Tiberius Holdings",3,1,528
Seed Round - MyAvana,https://www.crunchbase.com/funding_round/myavana-seed--84b514fd,MyAvana,https://www.crunchbase.com/organization/myavana,Seed,5900000,USD,5900000,2024-08-09,Seed,44100000,USD,44100000,Yes,MyAvana provides hair care recommendation system for women of color.,"Apps, Artificial Intelligence (AI), Beauty, Health Care","Women Founded, Women Led","Atlanta, Georgia, United States, North America",http://www.myavana.com,$1M to $10M,5900000,USD,5900000,2,Seed,,"Amazon, BrainTrust, Duo Partners, Hatzimemos / Libby, New Age Capital, NGC Ventures, Prisma Ventures, REFASHIOND Ventures, Reform Ventures, Resilient Ventures",10,2,542
Seed Round - SportAI,https://www.crunchbase.com/funding_round/sport-ai-seed--5838d4c6,SportAI,https://www.crunchbase.com/organization/sport-ai,Seed,1800000,USD,1800000,2024-08-19,Seed,,,,Yes,SportAI is a B2B sports technology company at the forefront of enhancing sports technique analysis insights via API solutions.,"Computer Vision, Information Technology, Machine Learning, Software, Sports",,"Oslo, Oslo, Norway, Europe",https://www.sportai.com/,,2560138,USD,2560138,2,Seed,Skyfall Ventures,"Dekel Valtzer, Magnus Carlsen, MP Pensjon, Skyfall Ventures, Sverre Munck",5,1,553
Series B - Eppo,https://www.crunchbase.com/funding_round/eppo-series-b--139bc14d,Eppo,https://www.crunchbase.com/organization/eppo,Series B,28000000,USD,28000000,2024-08-20,Early Stage Venture,,,,Yes,Eppo provides an AB experimentation and feature management platform to make testing accessible to everyone in any organization.,"A/B Testing, Artificial Intelligence (AI), B2B, Developer Tools, Test and Measurement",,"San Francisco, California, United States, North America",https://www.geteppo.com/,,47500000,USD,47500000,3,Early Stage Venture,Innovation Endeavors,"Amplify Partners, Icon Ventures, Innovation Endeavors, Menlo Ventures",4,3,576
Debt Financing - Caresyntax,https://www.crunchbase.com/funding_round/caresyntax-debt-financing--455131f4,Caresyntax,https://www.crunchbase.com/organization/caresyntax,Debt Financing,100000000,USD,100000000,2024-08-15,,,,,No,Caresyntax is a vendor neutral data-driven surgery platform that makes surgery smarter by reducing variability and improving efficency.,"Analytics, Artificial Intelligence (AI), Data Visualization, Health Care, Medical, Software",,"Boston, Massachusetts, United States, North America",https://caresyntax.com/,$1M to $10M,387500000,USD,387500000,7,Late Stage Venture,,,,,584
Venture Round - uman.ai,https://www.crunchbase.com/funding_round/uman-ai-series-unknown--e812ea07,uman.ai,https://www.crunchbase.com/organization/uman-ai,Venture - Series Unknown,2000000,EUR,2213161,2024-08-19,,,,,Yes,"The power of knowledge, for you and your team",Artificial Intelligence (AI),,"Ghent, Oost-Vlaanderen, Belgium, Europe",http://uman.ai,,2500000,EUR,2754686,3,,Holland Capital,"Holland Capital, imec.istart, Seeder Fund",3,,621
Seed Round - Filmustage,https://www.crunchbase.com/funding_round/filmustage-seed--f0a4f727,Filmustage,https://www.crunchbase.com/organization/filmustage,Seed,1500000,USD,1500000,2024-08-07,Seed,,,,Yes,Automatic movie script breakdown and scheduling service,"Artificial Intelligence (AI), Content Creators, Film, Film Distribution, Film Production, Media and Entertainment, SaaS, Software, Video",,"Santa Monica, California, United States, North America",https://filmustage.com/,,2050000,USD,2050000,4,Seed,Raw Ventures,"Geek Ventures, Raw Ventures",2,2,627
Debt Financing - Wisedocs,https://www.crunchbase.com/funding_round/wisedocs-debt-financing--e7bbd1b1,Wisedocs,https://www.crunchbase.com/organization/wisedocs,Debt Financing,4500000,CAD,3259478,2024-08-01,,,,,No,"Wisedocs provides medical record indexing, review, and AI summaries for various markets.","Artificial Intelligence (AI), Insurance, InsurTech, Machine Learning, SaaS",,"Toronto, Ontario, Canada, North America",https://www.wisedocs.ai,$1M to $10M,24550000,CAD,18418812,6,Early Stage Venture,CIBC Innovation Banking,CIBC Innovation Banking,1,,640
Seed Round - FuseBase (formerly Nimbus),https://www.crunchbase.com/funding_round/nimbus-web-inc-seed--f54f66af,FuseBase (formerly Nimbus),https://www.crunchbase.com/organization/nimbus-web-inc,Seed,700000,USD,700000,2024-08-14,Seed,,,,Yes,AI copilots for Professional Services to streamline operations,"Artificial Intelligence (AI), B2B, Collaboration, Data Collection and Labeling, Digital Media, Document Management, Generative AI, Information Technology, Project Management, Software",,"Cleveland, Ohio, United States, North America",https://nimbusweb.me/,$1M to $10M,1700000,USD,1700000,2,Seed,AltaIR Capital,"AltaIR Capital, I2BF Global Ventures, Smart Partnership Capital., Yellow Rocks!",4,,672
Series B - Apromore,https://www.crunchbase.com/funding_round/apromore-series-b--d8d5de45,Apromore,https://www.crunchbase.com/organization/apromore,Series B,15000000,USD,15000000,2024-08-06,Early Stage Venture,,,,Yes,"Apromore is a SaaS solution for process mining, simulation and AI-driven business process optimization","Analytics, Business Intelligence, Information Technology, Predictive Analytics, Software",,"Melbourne, Victoria, Australia, Oceania",https://apromore.com/,$1M to $10M,30368393,USD,30368393,3,Early Stage Venture,,"Tanarra Capital, Tin Alley Ventures, University of Melbourne",3,1,651
Post-IPO Debt - Core Scientific,https://www.crunchbase.com/funding_round/core-scientific-post-ipo-debt--3379deff,Core Scientific,https://www.crunchbase.com/organization/core-scientific,Post-IPO Debt,400000000,USD,400000000,2024-08-14,,,,,No,Core Scientific operates blockchain data centers and manufactures digital currency mining servers.,"Artificial Intelligence (AI), Blockchain, Software",,"Austin, Texas, United States, North America",https://corescientific.com,$500M to $1B,1007900000,USD,1007900000,10,IPO,,,,,661
Seed Round - Garden,https://www.crunchbase.com/funding_round/garden-01d0-seed--52801eb5,Garden,https://www.crunchbase.com/organization/garden-01d0,Seed,6800000,USD,6800000,2024-08-15,Seed,,,,Yes,Garden assists lawyers and businesses in automating the creation of new patents and analyzing potential infringements.,"Artificial Intelligence (AI), Legal, Legal Tech",,"New York, New York, United States, North America",https://www.gardenintel.com,,6800000,USD,6800000,1,Seed,Spark Capital,"Bill Lee, Chad Byers, Craft Ventures, Enrique Colbert, Howard Morgan, Julius Genachowski, Ken Howery, Mischief, Sky Dayton, Spark Capital, Uncommon Capital",11,4,696
Seed Round - Cosine,https://www.crunchbase.com/funding_round/buildt-seed--d49e5d47,Cosine,https://www.crunchbase.com/organization/buildt,Seed,2500000,USD,2500000,2024-08-12,Seed,,,,Yes,Cosine is an AI knowledge engine that understands your codebase.,"Artificial Intelligence (AI), Developer Platform, Developer Tools, Machine Learning, Natural Language Processing, SaaS",,"San Francisco, California, United States, North America",https://www.cosine.sh,,3000000,USD,3000000,2,Seed,"Soma Capital, UpHonest Capital","Focal, Lakestar, Soma Capital, UpHonest Capital",4,1,683
Series A - Allstacks,https://www.crunchbase.com/funding_round/allstacks-series-a--1743b0fa,Allstacks,https://www.crunchbase.com/organization/allstacks,Series A,10000000,USD,10000000,2024-08-20,Early Stage Venture,,,,Yes,Allstacks develops a software engineering intelligence platform to predict forecasting and risk management.,"Business Intelligence, Machine Learning, Predictive Analytics, Software Engineering",,"Raleigh, North Carolina, United States, North America",http://www.allstacks.com,$1M to $10M,25320000,USD,25320000,8,Early Stage Venture,Quadri Ventures,"Clutch VC, Companyon Ventures, Creative Co Capital, First Rays Venture Partners, Hyperplane, M12 - Microsoft's Venture Fund, Quadri Ventures, Ron Pragides, S3 Ventures, Triangle Tweener Fund",10,6,698
Seed Round - YGO Trips,https://www.crunchbase.com/funding_round/ygo-trips-seed--7c89a074,YGO Trips,https://www.crunchbase.com/organization/ygo-trips,Seed,2500000,EUR,2731050,2024-08-07,Seed,,,,Yes,"YGO Trips is a travel company that allows travellers to book flights, hotels, activities, events & more, conveniently on one platform.","Artificial Intelligence (AI), Tourism, Travel",,"Berlin, Berlin, Germany, Europe",https://ygotrips.com,,2500000,EUR,2731050,2,Seed,GetAway Group,"Expedite Ventures, Felix Jahn, GetAway Group, Jan Seifried, Kiana Mardi, Patrick Andrae, Ralf Usbeck, Wolfgang Heigl",8,,689
Seed Round - BRANDRANK.AI,https://www.crunchbase.com/funding_round/brandrank-ai-seed--9cd4bb3f,BRANDRANK.AI,https://www.crunchbase.com/organization/brandrank-ai,Seed,1200000,USD,1200000,2024-07-30,Seed,,,,Yes,BRANDRANK.AI help Brands continuously monitor and strengthen positioning using generative AI.,"Artificial Intelligence (AI), Marketing, Marketing Automation",,"Cincinnati, Ohio, United States, North America",https://www.brandrank.ai/,,2075000,USD,2075000,2,Seed,,"Ashish Chaterjee, Bill Hildebolt, Dave Balter, Edwin Rigaud, Francie Pepper, Jack Wyant, Jim Lites, John Pepper, Jonathan Carson, Julie Eddleman, Mercury, Mike Nazzaro, Peg Wyant, Sandberg Bernthal Venture Partners",14,,708
Series A - Flower,https://www.crunchbase.com/funding_round/krafthem-series-a--55a9694f,Flower,https://www.crunchbase.com/organization/krafthem,Series A,25000000,SEK,2386822,2024-08-14,Early Stage Venture,,,,Yes,Developing knowledge and AI to efficiently deploy electricity flexibility,"Artificial Intelligence (AI), Energy, Energy Efficiency, Energy Management, Hydroelectric, Power Grid",,"Stockholm, Stockholms Lan, Sweden, Europe",https://www.flowertech.se/,$1M to $10M,11313732,USD,11313732,4,Early Stage Venture,Northzone,"82an Invest, Northzone, Zebkei Invest",3,1,712
Series B - Opkey,https://www.crunchbase.com/funding_round/opkey-series-b--c8fc7af9,Opkey,https://www.crunchbase.com/organization/opkey,Series B,47000000,USD,47000000,2024-08-22,Early Stage Venture,,,,Yes,Opkey is a Continuous Assurance Platform for Enterprise Cloud applications that helps enterprise move their legacy applications to Cloud.,"Artificial Intelligence (AI), Computer, Productivity Tools, Software, Test and Measurement",,"Dublin, California, United States, North America",https://www.opkey.com,,57000000,USD,57000000,4,Early Stage Venture,PeakSpan Capital,"PeakSpan Capital, UST, Vertica Capital Partners, YourNest Venture Capital",4,2,733
Seed Round - Splight,https://www.crunchbase.com/funding_round/splight-seed--3dd9e7cb,Splight,https://www.crunchbase.com/organization/splight,Seed,12000000,USD,12000000,2024-07-24,Seed,,,,Yes,Splight is a technology business that creates artificial energy for digital solutions in existing power infrastructure.,"Artificial Intelligence (AI), Information Services, Information Technology",,"Washington, District of Columbia, United States, North America",https://www.splight-ai.com,,12000000,USD,12000000,2,Seed,noa,"Ascent Energy Ventures, Barn Investments, Draper B1, Draper Cygnus, EDP Ventures, Elewit, Fen Ventures, noa, Reaction, U.C. Berkeley",10,2,750
Seed Round - aviva,https://www.crunchbase.com/funding_round/aviva-b71b-seed--9178df86,aviva,https://www.crunchbase.com/organization/aviva-b71b,Seed,5500000,USD,5500000,2024-08-02,Seed,,,,Yes,Mexico City-based fintech startup building an AI-powered digital bank with a laser focus on the needs of the underbanked in LatAm.,"Computer Vision, FinTech, Machine Learning, Natural Language Processing, Predictive Analytics",,"Mexico City, Distrito Federal, Mexico, North America",https://www.avivacredito.com,$1M to $10M,9030000,USD,9030000,2,Seed,,"500 Global, Carao Ventures, Digital Currency Group, IGNIA, Krealo, Magna, Newtopia VC, Rainforest, Wollef Ventures",9,,765
Series B - CorrosionRADAR,https://www.crunchbase.com/funding_round/corrosionradar-series-b--e1960731,CorrosionRADAR,https://www.crunchbase.com/organization/corrosionradar,Series B,5000000,GBP,6428718,2024-07-30,Early Stage Venture,,,,Yes,Smarter infrastructure using Industrial Internet of Things and Predictive Analytics,"Analytics, Artificial Intelligence (AI), Electronics, Information Technology, Internet of Things, Messaging, Predictive Analytics, Sensor",,"Cambridge, Cambridgeshire, United Kingdom, Europe",http://www.corrosionradar.com/,$1M to $10M,9529000,GBP,12594674,8,Early Stage Venture,"Aramco Ventures, Dow, Kanoo Ventures","Aramco Ventures, Dow, Kanoo Ventures, MEIF Proof-of-Concept & Early Stage Fund",4,3,786
Venture Round - Visit,https://www.crunchbase.com/funding_round/visit-internet-services-series-unknown--5cdeade3,Visit,https://www.crunchbase.com/organization/visit-internet-services,Venture - Series Unknown,2500000000,INR,29790458,2024-08-07,,,,,Yes,AI driven chatbot to provide health advice within minutes. ,"Artificial Intelligence (AI), Chatbot, Health Care, Machine Learning, Wellness",,"New Delhi, Delhi, India, Asia",https://getvisitapp.com,$10M to $50M,37465724,USD,37465724,6,,,,,,793
Seed Round - Unthread,https://www.crunchbase.com/funding_round/unthread-seed--3ad0f1f9,Unthread,https://www.crunchbase.com/organization/unthread,Seed,3000000,USD,3000000,2024-08-09,Seed,,,,Yes,Unthread is an AI-powered customer support platform built into Slack.,"Artificial Intelligence (AI), Customer Service, SaaS, Software",,"New York, New York, United States, North America",https://unthread.io,$1M to $10M,3500000,USD,3500000,2,Seed,"Bling Capital, Moxxie Ventures","Bling Capital, Moxxie Ventures, Y Combinator",3,,807
Seed Round - Nexus Ocean AI,https://www.crunchbase.com/funding_round/nexus-ocean-ai-seed--87f99a64,Nexus Ocean AI,https://www.crunchbase.com/organization/nexus-ocean-ai,Seed,400000,USD,400000,2024-08-15,Seed,,,,Yes,Nexus Ocean AI offers the marine sector generative AI-powered productivity solutions.,"Artificial Intelligence (AI), Generative AI, Internet",,"Bay View, New South Wales, Australia, Oceania",https://nexusocean.ai ,,400000,USD,400000,1,Seed,Tradeworks.vc,Tradeworks.vc,1,1,808
Series D - Scopio Labs,https://www.crunchbase.com/funding_round/scopio-2-series-d--68f48632,Scopio Labs,https://www.crunchbase.com/organization/scopio-2,Series D,42000000,USD,42000000,2024-07-25,Late Stage Venture,,,,Yes,Scopio Labs provides digital cell morphology imaging and AI solutions for hematology microscopy and diagnostics.,"Artificial Intelligence (AI), Health Diagnostics, Image Recognition, Information Technology, Medical Device",,"Tel Aviv, Tel Aviv, Israel, Asia",http://www.scopiolabs.com,$1M to $10M,115085652,USD,115085652,7,Late Stage Venture,Fortissimo Capital,Fortissimo Capital,1,1,853
Series A - ProrataAI,https://www.crunchbase.com/funding_round/prorataai-series-a--3b5580cf,ProrataAI,https://www.crunchbase.com/organization/prorataai,Series A,25000000,USD,25000000,2024-08-06,Early Stage Venture,,,,Yes,ProrataAI builds technology that enables generative AIs.,"Artificial Intelligence (AI), Information Technology, Software",,"Pasadena, California, United States, North America",https://www.prorata.ai/,,25000000,USD,25000000,1,Early Stage Venture,Mayfield Fund,"Idealab NY, Mayfield Fund, Prime Movers Lab, Revolution Ventures",4,,878
Seed Round - Aurascape,https://www.crunchbase.com/funding_round/aurascape-seed--f7a5739b,Aurascape,https://www.crunchbase.com/organization/aurascape,Seed,12800000,USD,12800000,2024-08-06,Seed,,,,Yes,Aurascape is a cybersecurity business that provides generative AI protection solutions against emerging cyber threats.,"Artificial Intelligence (AI), Cyber Security",,"Santa Clara, California, United States, North America",https://aurascape.ai,,12800000,USD,12800000,1,Seed,,"AIspace Ventures, Celesta Capital, Mark McLaughlin, Mayfield Fund, StepStone Group",5,2,886
Seed Round - DIN,https://www.crunchbase.com/funding_round/web3go-seed--b9ab90ca,DIN,https://www.crunchbase.com/organization/web3go,Seed,4000000,USD,4000000,2024-08-20,Seed,,,,Yes,DIN is a blockchain startup that provides data tools powered by artificial intelligence.,"Artificial Intelligence (AI), Blockchain, Web3",,"Singapore, Central Region, Singapore, Asia",https://din.lol,,8000000,USD,8000000,2,Seed,Manta Network,"Ankr, Manta Network, MaxxCapital, Moonbeam Network",4,,904
