Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Organization Website,Diversity Spotlight,Organization Location,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Grant - EthonAI,https://www.crunchbase.com/funding_round/ethonai-grant--6e8f2f49,EthonAI,https://www.crunchbase.com/organization/ethonai,Grant,150000,CHF,165572,2021-08-01,,,,,No,EthonAI is an AI-powered platform that detects and prevents quality defects in manufacturing.,"Artificial Intelligence (AI), Data Collection and Labeling, Industrial Automation, Machine Learning, Machinery Manufacturing",https://ethon.ai/,,"Zürich, Zurich, Switzerland, Europe",Less than $1M,22620000,CHF,24873366,Early Stage Venture,4,ETH Zurich Foundation,ETH Zurich Foundation,1,,"604,509"
Pre Seed Round - Intoto,https://www.crunchbase.com/funding_round/intoto-74fc-pre-seed--833c2f06,Intoto,https://www.crunchbase.com/organization/intoto-74fc,Pre-Seed,1400000,NOK,161695,2021-09-06,Seed,,,,Yes,"Water data startup using AI, IoT, and big data to improve understanding and management of water in a sustainable way","Analytics, Big Data, Electronics, Environmental Engineering, Hydroelectric, Information Technology, Predictive Analytics, Public Safety, Risk Management, Water",https://intoto.io,,"Kvinesdal, Vest-Agder, Norway, Europe",$1M to $10M,22317923,NOK,2374526,Seed,13,,"Nordic Green Capital, Rolf Ahlqvist",2,,"197,032"
Seed Round - Sensegrass Inc,https://www.crunchbase.com/funding_round/sensegrass-inc-seed--499b6859,Sensegrass Inc,https://www.crunchbase.com/organization/sensegrass-inc,Seed,100000,USD,100000,2021-01-11,Seed,,,,Yes,Sensegrass provides a platform for soil intelligence.,"Agriculture, AgTech, Artificial Intelligence (AI), Farming, Internet of Things",http://sensegrass.com/,,"San Mateo, California, United States, North America",,807771,USD,807771,Seed,13,,(ERA) Entrepreneurs Roundtable Accelerator,1,,"197,876"
Pre Seed Round - Perfumeo,https://www.crunchbase.com/funding_round/perfumeo-pre-seed--e83e631a,Perfumeo,https://www.crunchbase.com/organization/perfumeo,Pre-Seed,3000,USD,3000,2021-07-10,Seed,,,,Yes,"Perfumeo offers an intelligent home diffuser that tailors scent based on user mood, employing cutting-edge, patented AI.","Artificial Intelligence (AI), Information and Communications Technology (ICT), Internet of Things, Smart Home",http://perfumeo-ai.com,,"Cupertino, California, United States, North America",,1140000,USD,1140000,Seed,6,Enzo Didi,Enzo Didi,1,1,"199,118"
Pre Seed Round - biobetter,https://www.crunchbase.com/funding_round/biobetter-pre-seed--50c0ad0c,biobetter,https://www.crunchbase.com/organization/biobetter,Pre-Seed,25000,USD,25000,2021-03-05,Seed,,,,Yes,Biobetter is an AI-powered virtual biohacking assistant,"Artificial Intelligence (AI), Health Care, Machine Learning",https://biobetter.io,,"Kiev, Kyyivs'ka Oblast', Ukraine, Europe",,25000,USD,25000,Seed,1,Ukrainian Startup Fund,Ukrainian Startup Fund,1,,"472,473"
Pre Seed Round - FutureMatch,https://www.crunchbase.com/funding_round/scale-up-for-growth-pre-seed--5a6dfaf7,FutureMatch,https://www.crunchbase.com/organization/scale-up-for-growth,Pre-Seed,60000,USD,60000,2021-12-01,Seed,2930000,USD,2930000,Yes,"End to end early careers hiring platform, Predictive Analysis, Big Data, Psychology, Talent Acquisition, HCM, talent insights, AI/ML","Analytics, Artificial Intelligence (AI), Big Data, Business Intelligence, Career Planning, Enterprise Software, Human Resources, Machine Learning, Psychology, Recruiting",https://www.futurematch.tech/,,"Birmingham, Birmingham, United Kingdom, Europe",,430000,USD,430000,Seed,5,Jenny Ervine,Jenny Ervine,1,,"474,640"
Seed Round - Fox Robotics,https://www.crunchbase.com/funding_round/fox-robotics-seed--dfa8c6d8,Fox Robotics,https://www.crunchbase.com/organization/fox-robotics,Seed,150000,GBP,207512,2021-04-01,Seed,2491257,GBP,3446437,Yes,Fox Robotics provides robotics and software solutions.,"AgTech, Artificial Intelligence (AI), Data Center Automation, Machine Learning, Robotics, Sensor, Software",https://www.fox-robotics.com/,,"Farnham, Surrey, United Kingdom, Europe",$1M to $10M,6237402,USD,6237402,,6,Worth Capital,Worth Capital,1,,"475,049"
Grant - HACKLAB SOLUTIONS,https://www.crunchbase.com/funding_round/hacklab-solutions-grant--2cc68b3d,HACKLAB SOLUTIONS,https://www.crunchbase.com/organization/hacklab-solutions,Grant,9300,USD,9300,2021-10-31,,,,,No,Intelligent solutions for safe operations around heavy machinery,"Artificial Intelligence (AI), Computer Vision, Enterprise Software, Industrial Automation, Internet of Things, Machine Learning, Manufacturing",https://www.hacklab.solutions,,"Bangalore, Karnataka, India, Asia",Less than $1M,88300,USD,88300,,3,,,,,"475,157"
Seed Round - SportAI,https://www.crunchbase.com/funding_round/sportai-seed--d96f2a02,SportAI,https://www.crunchbase.com/organization/sportai,Seed,75000,USD,75000,2021-09-27,Seed,,,,Yes,"SportAI develops a mobile app integrated with AI, that is designed to help anyone understand Fantasy Sports.","Artificial Intelligence (AI), Mobile Apps, Sports",https://sportai.io/,,"Birmingham, Alabama, United States, North America",,75000,USD,75000,Seed,2,,,,,"475,174"
Pre Seed Round - DAVID GROUP,https://www.crunchbase.com/funding_round/davidgroup-pre-seed--843d1e9b,DAVID GROUP,https://www.crunchbase.com/organization/davidgroup,Pre-Seed,40000,USD,40000,2021-01-08,Seed,,,,Yes,DAVID GROUP formed as a preventive solution to the urgency of cyberattacks on a global scale. DAVID GROUP is an Indonesian company.,"Artificial Intelligence (AI), Consulting, Cyber Security, Drones, Education, Electronics, Internet, Privacy, Renewable Energy, Software",https://davidgroup.co.id,,"Jakarta, Jakarta Raya, Indonesia, Asia",,1010000,USD,1010000,Seed,8,,,,,"277,869"
Pre Seed Round - Wickks,https://www.crunchbase.com/funding_round/wicks-80e6-pre-seed--2b118d54,Wickks,https://www.crunchbase.com/organization/wicks-80e6,Pre-Seed,50000,EGP,3180,2021-01-23,Seed,50000,EGP,3180,Yes,The augmented reality (AR) platform for furniture and interior design.,"Artificial Intelligence (AI), B2C, E-Commerce, Marketplace, Mobile Apps, Software",https://wickks.com,,"Cairo, Al Qahirah, Egypt, Africa",,50000,EGP,3180,Seed,1,,,,,"215,617"
Pre Seed Round - The Blue Box Biomedical Solutions,https://www.crunchbase.com/funding_round/the-blue-box-biomedical-solutions-pre-seed--1e7dd3c1,The Blue Box Biomedical Solutions,https://www.crunchbase.com/organization/the-blue-box-biomedical-solutions,Pre-Seed,75282,EUR,87324,2021-11-01,Seed,,,,Yes,"Pain-free, low-cost, radiation-free detect breast cancer urine test, with a sensitivity of 83%.","Artificial Intelligence (AI), Health Care, Internet of Things, Medical Device",https://thebluebox.ai/,,"Barcelona, Catalonia, Spain, Europe",,1957458,EUR,2102110,Seed,9,,,,,"515,140"
Pre Seed Round - PesaKit,https://www.crunchbase.com/funding_round/pesakit-pre-seed--d87d13a9,PesaKit,https://www.crunchbase.com/organization/pesakit,Pre-Seed,25000,USD,25000,2021-03-01,Seed,,,,Yes,PesaKit is an Artificial Intelligence (AI) powered virtual assistant for mobile money agents.,"Artificial Intelligence (AI), Financial Services, FinTech, Software",https://www.pesakit.co.ke/,,"Nairobi, Nairobi Area, Kenya, Africa",,105000,USD,105000,Seed,2,DFS Lab,DFS Lab,1,,"216,076"
Series A - Techscrolll,https://www.crunchbase.com/funding_round/techscrolll-series-a--e77b0e71,Techscrolll,https://www.crunchbase.com/organization/techscrolll,Series A,175000,USD,175000,2021-04-15,Early Stage Venture,400000,USD,400000,Yes,TechScroll is a leading software development company specializing in providing innovative and customized solutions,"Artificial Intelligence (AI), Cryptocurrency, Software, Web Design, Web Development",https://techscrolll.com/,,"Anuradhapura, North Central, Sri Lanka, Asia",,175000,USD,175000,Early Stage Venture,1,,,,,"216,506"
Seed Round - Manfing,https://www.crunchbase.com/funding_round/manfing-seed--7d16aa54,Manfing,https://www.crunchbase.com/organization/manfing,Seed,1000000,BRL,192931,2021-09-02,Seed,,,,Yes,Software de previsão de vendas e receita.,"Artificial Intelligence (AI), Business Intelligence, Finance, Machine Learning, Predictive Analytics, Software",https://manfing.com,,"Toledo, Parana, Brazil, South America",Less than $1M,1350000,BRL,279109,Seed,3,META Group,META Group,1,,"216,819"
Grant - Grayscale AI,https://www.crunchbase.com/funding_round/grayscale-ai-grant--a6cc92c3,Grayscale AI,https://www.crunchbase.com/organization/grayscale-ai,Grant,20000,USD,20000,2021-07-05,,,,,No,Enabling fully autonomous drones using neuromorphic AI.,"Aerospace, Artificial Intelligence (AI), Automotive, Autonomous Vehicles, Computer Vision, Logistics, Machine Learning, Military, Robotics, Transportation",https://grayscale.ai,,"San Francisco, California, United States, North America",$1M to $10M,384722,USD,384722,Seed,4,,Catapult,1,,"185,306"
Seed Round - Fat Rabbit,https://www.crunchbase.com/funding_round/fat-rabbit-seed--b303dcf1,Fat Rabbit,https://www.crunchbase.com/organization/fat-rabbit,Seed,,GBP,,2021-08-01,Seed,2500000,GBP,3473998,Yes,"Fat Rabbit is providing the next level of entertainment for kids, with AI generated content, and a focus on a genuinely positive outcome.","Artificial Intelligence (AI), Digital Entertainment, Generative AI, Software",https://fatrabbit.ai/deck,,"London, England, United Kingdom, Europe",,20000,GBP,28312,Seed,2,,,,,"554,381"
Pre Seed Round - Floodlight,https://www.crunchbase.com/funding_round/floodlight-ef76-pre-seed--51d49180,Floodlight,https://www.crunchbase.com/organization/floodlight-ef76,Pre-Seed,120000,USD,120000,2021-01-28,Seed,,,,Yes,"Floodlight is a dynamic data analytics company focused on making Scope 1 & 2 GHG measurement and reporting fast, easy, and defensible.","Artificial Intelligence (AI), Big Data, Data Mining, Geospatial, Predictive Analytics, Risk Management, Software",https://www.floodlightinvest.com/,"South Asian Founded, Women Founded","Los Angeles, California, United States, North America",$1M to $10M,1720000,USD,1720000,Seed,3,Techstars,Techstars,1,1,"420,337"
Equity Crowdfunding - GETCOO,https://www.crunchbase.com/funding_round/getcoo-equity-crowdfunding--56235df4,GETCOO,https://www.crunchbase.com/organization/getcoo,Equity Crowdfunding,108200,EUR,127610,2021-08-15,,3000000,EUR,3538170,Yes,Artificial Intelligence based Computer Vision solutions for industry,"Artificial Intelligence (AI), Computer Vision, Industrial Automation, Machine Learning, Visual Search",https://www.getcoo.com/en,,"Ravenna, Emilia-Romagna, Italy, Europe",Less than $1M,340283,EUR,403473,,3,,,,,"218,411"
Pre Seed Round - Advy.ai,https://www.crunchbase.com/funding_round/advy-ai-9c9a-pre-seed--638a2d5e,Advy.ai,https://www.crunchbase.com/organization/advy-ai-9c9a,Pre-Seed,100000,USD,100000,2021-03-11,Seed,,,,Yes,An automated platform for launching advertising campaigns with hundreds of influencers at a time.,"Advertising, Machine Learning, Social Media Marketing",https://advy.ai,,"Warsaw, Mazowieckie, Poland, Europe",,100000,USD,100000,Seed,1,,,,,"331,070"
Pre Seed Round - Eatnova,https://www.crunchbase.com/funding_round/eatnova-pre-seed--d9faf8d9,Eatnova,https://www.crunchbase.com/organization/eatnova,Pre-Seed,11760,USD,11760,2021-07-19,Seed,,,,Yes,Foodtech - Hyperfoods,"Artificial Intelligence (AI), Food and Beverage, Health Care, Life Science",https://eatnova.cl/,,"Santiago, Region Metropolitana, Chile, South America",,200000,USD,200000,Seed,4,Start-Up Chile,Start-Up Chile,1,,"218,763"
Seed Round - Whether,https://www.crunchbase.com/funding_round/acw-analytics-seed--7e4cd64f,Whether,https://www.crunchbase.com/organization/acw-analytics,Seed,100000,USD,100000,2021-06-28,Seed,,,,Yes,We deliver insights that help asset managers plan for and react to extreme weather events,"Artificial Intelligence (AI), FinTech, Information Technology, InsurTech, Machine Learning, Predictive Analytics, Software",https://www.whether.ai,,"Stamford, Connecticut, United States, North America",,100000,USD,100000,Seed,1,,(ERA) Entrepreneurs Roundtable Accelerator,1,,"332,915"
Seed Round - gigturbo,https://www.crunchbase.com/funding_round/gigturbo-seed--10b33115,gigturbo,https://www.crunchbase.com/organization/gigturbo,Seed,150000,USD,150000,2021-03-01,Seed,,,,Yes,Gigturbo develops a cross-service platform that makes independent work navigable.,"Artificial Intelligence (AI), B2C, Virtual Workforce",https://www.gigturbo.com,,"Los Angeles, California, United States, North America",$1M to $10M,150000,USD,150000,Seed,1,Simplexity Venture Studio Fund,Simplexity Venture Studio Fund,1,,"332,987"
Seed Round - Couch Fashion - The AI Fashion Assistant,https://www.crunchbase.com/funding_round/the-couch-fashion-store-magazine-seed--bf8bb9fc,Couch Fashion - The AI Fashion Assistant,https://www.crunchbase.com/organization/the-couch-fashion-store-magazine,Seed,150000,USD,150000,2021-02-23,Seed,,,,Yes,CouchFashion is an A.I. Fashion Assistant. The answers given by the bot are always personalized to users body type and other preferences.,"Artificial Intelligence (AI), E-Commerce, Fashion",https://deck.couchfashion.com/,,"Delhi, Delhi, India, Asia",,150000,USD,150000,Seed,1,We Founder Circle,"Dholakia Ventures, We Founder Circle",2,1,"352,355"
Pre Seed Round - Inspira AI Corp.,https://www.crunchbase.com/funding_round/inspira-ai-corp-pre-seed--ee096ab3,Inspira AI Corp.,https://www.crunchbase.com/organization/inspira-ai-corp,Pre-Seed,100000,USD,100000,2021-11-10,Seed,100000,USD,100000,Yes,AI Productivity Software services,"Artificial Intelligence (AI), Software",https://inspira.ai,,"Los Angeles, California, United States, North America",$1M to $10M,509650,USD,509650,Seed,3,Benny Traub,"Benjamin Traub, Benny Traub",2,,"404,945"
Pre Seed Round - DingoDot,https://www.crunchbase.com/funding_round/dingodot-pre-seed--9ddc791b,DingoDot,https://www.crunchbase.com/organization/dingodot,Pre-Seed,7000,EUR,8377,2021-02-04,Seed,,,,Yes,Virtual CFO for SMBs: Time is Money. Get Both. Automate payments nad make cash work. #fintech #SaaS #AI #crypto #B2B #openbanking #PSD2,"Accounting, Artificial Intelligence (AI), Banking, Finance, FinTech, Freelance, Machine Learning, Mobile Apps, SaaS, Software",https://www.dingodot.com/,,"Berlin, Berlin, Germany, Europe",Less than $1M,507000,EUR,607432,Seed,2,,"Peter Capkovic, Peter Fusek",2,,"455,868"
Pre Seed Round - INVT Novi Sad,https://www.crunchbase.com/funding_round/invt-novi-sad-pre-seed--e0cac441,INVT Novi Sad,https://www.crunchbase.com/organization/invt-novi-sad,Pre-Seed,43000,EUR,51809,2021-03-01,Seed,,,,Yes,Software development company focused on revolutionizing online data privacy protection for everyone,"Artificial Intelligence (AI), Information Technology, Legal Tech, Privacy, Software",https://prose.biz/,,"Novi Sad, Vojvodina, Serbia, Europe",Less than $1M,43000,EUR,51809,Seed,2,Innovation Fund Serbia,Innovation Fund Serbia,1,,"356,250"
Pre Seed Round - Westcott Multimedia,https://www.crunchbase.com/funding_round/orange-dd9b-pre-seed--5e8e64ca,Westcott Multimedia,https://www.crunchbase.com/organization/orange-dd9b,Pre-Seed,120000,USD,120000,2021-02-16,Seed,,,,Yes,An AI Marketing Assistant that optimizes when to spend marketing dollars for streamed media assets.,"Artificial Intelligence (AI), Big Data, Marketing Automation, Media and Entertainment",https://www.westcottmultimedia.com,"Women Founded, Women Led","Santa Monica, California, United States, North America",,120000,USD,120000,Seed,3,Techstars,Techstars,1,1,"357,117"
Grant - Agrograde,https://www.crunchbase.com/funding_round/Agrograde-grant--24775bab,Agrograde,https://www.crunchbase.com/organization/Agrograde,Grant,2500000,INR,33668,2021-06-17,,,,,No,Agrograde automates the grading and sorting process of fruits and vegetables by using computer vision.,"Agriculture, AgTech, Artificial Intelligence (AI), Industrial Automation, Machine Learning, Software",https://www.agrograde.com,,"Mumbai, Maharashtra, India, Asia",,23500000,INR,325144,Seed,4,,,,,"173,467"
Pre Seed Round - Zetane Systems,https://www.crunchbase.com/funding_round/zetane-systems-inc-pre-seed--272272c7,Zetane Systems,https://www.crunchbase.com/organization/zetane-systems-inc,Pre-Seed,10000,CAD,7959,2021-07-22,Seed,,,,Yes,Zetane Systems is a SaaS company offering an AI development platform for enterprise and industrial applications of machine learning.,"Artificial Intelligence (AI), Big Data, Computer Vision, Data Visualization, Information Technology, Machine Learning, Predictive Analytics, SaaS, Software",https://www.zetane.com,,"Montréal, Quebec, Canada, North America",$1M to $10M,1324748,USD,1324748,Seed,9,Montréal,Montréal,1,,"205,261"
Seed Round - Hank AI,https://www.crunchbase.com/funding_round/hank-ai-inc-seed--6faea87d,Hank AI,https://www.crunchbase.com/organization/hank-ai-inc,Seed,200000,USD,200000,2021-11-03,Seed,,,,Yes,HANK is healthcare AI that builds cutting edge technologies that augment and automate workflows within healthcare.,"Artificial Intelligence (AI), Health Care, Machine Learning, Medical, Natural Language Processing",https://hank.ai,,"Lexington, South Carolina, United States, North America",$1M to $10M,4729996,USD,4729996,Seed,4,"SC Launch, Inc.","SC Launch, Inc.",1,1,"459,404"
Seed Round - Recters Consultancy Services Private Limited,https://www.crunchbase.com/funding_round/recters-consultancy-services-private-limited-seed--b66196f2,Recters Consultancy Services Private Limited,https://www.crunchbase.com/organization/recters-consultancy-services-private-limited,Seed,10000,USD,10000,2021-07-21,Seed,,,,Yes,"Recters - We Bring Your Idea's To Life ! We are specialised in App Development, Web Development , AI Development .","Artificial Intelligence (AI), Drones, Social Media, Software",https://recters.com,,"Bettiah, Bihar, India, Asia",,1510000,USD,1510000,Early Stage Venture,2,,,,,"120,061"
Seed Round - Conte.ai,https://www.crunchbase.com/funding_round/contenive-seed--bf2f95a1,Conte.ai,https://www.crunchbase.com/organization/contenive,Seed,157992,USD,157992,2021-12-15,Seed,,,,Yes,Social media AI autopilot,"Artificial Intelligence (AI), Marketing, Marketing Automation, Social Media",https://conte.ai,,"London, England, United Kingdom, Europe",Less than $1M,2367992,USD,2367992,Seed,6,,YellowRockets,1,,"656,497"
Pre Seed Round - Cedience,https://www.crunchbase.com/funding_round/cedience-pre-seed--274c7425,Cedience,https://www.crunchbase.com/organization/cedience,Pre-Seed,170000,USD,170000,2021-09-13,Seed,,,,Yes,Augmented regulatory intelligence for drug development teams,"Artificial Intelligence (AI), Biopharma, Biotechnology, Life Science",https://www.cedience.com/,,"Toronto, Ontario, Canada, North America",Less than $1M,170000,USD,170000,Seed,3,Techstars,Techstars,1,1,"206,182"
Pre Seed Round - insped,https://www.crunchbase.com/funding_round/insped-c53f-pre-seed--894adc7f,insped,https://www.crunchbase.com/organization/insped-c53f,Pre-Seed,200000,USD,200000,2021-03-08,Seed,,,,Yes,"Data Driven Platform, SaaS, Techfin, Data Science, Machine Learning, Robotic Process Automation, Risk, CRM, Compliance (KYC, KYS, AML, CFT)","Finance, Financial Services, Information Technology, Robotic Process Automation (RPA), Software",https://www.insped.com.br,,"Barueri, Sao Paulo, Brazil, South America",,768000,USD,768000,Seed,2,,"Rodrigo Weigand, Tasso Luiz Pereira da Silva",2,2,"206,635"
Grant - AILIS Breast Cancer Prediction Technology,https://www.crunchbase.com/funding_round/ailis-grant--bb979010,AILIS Breast Cancer Prediction Technology,https://www.crunchbase.com/organization/ailis,Grant,185000,USD,185000,2021-12-20,,,,,No,AILIS is a pioneering technology that detect symptoms of breast cancer and estimate the risk of developing the illness.,"Artificial Intelligence (AI), Health Care, Health Diagnostics, Medical Device",https://ailiscare.com/en/,,"Kraków, Malopolskie, Poland, Europe",,3427000,USD,3427000,Seed,4,,Polish Agency for Enterprise Development,1,,"123,088"
Non Equity Assistance - mtion interactive,https://www.crunchbase.com/funding_round/mtion-non-equity-assistance--1e0b201e,mtion interactive,https://www.crunchbase.com/organization/mtion,Non-equity Assistance,10000,USD,10000,2021-01-16,,,,,No,mtion is building an AI-enabled creation platform to connect online communities through collaborative world building and AI agents.,"Artificial Intelligence (AI), Consumer Applications, Consumer Software, Gaming, Social Media, Software, Video Games, Video Streaming, Virtual Reality, Virtual World",https://www.mtion.xyz,,"Kitchener, Ontario, Canada, North America",,404925,USD,404925,Seed,3,,Startup School,1,,"207,157"
Pre Seed Round - Energsoft,https://www.crunchbase.com/funding_round/energsoft-inc-pre-seed--ad36e214,Energsoft,https://www.crunchbase.com/organization/energsoft-inc,Pre-Seed,150000,USD,150000,2021-01-01,Seed,5000000,USD,5000000,Yes,"Energsoft is software as a service that improves batteries and energy storage,  B2B platform reports, and predicts batteries AI insights.","Analytics, Artificial Intelligence (AI), B2B, Big Data, Data Visualization, Energy Efficiency, Energy Management, Machine Learning, Predictive Analytics, SaaS",http://energsoft.com,,"Seattle, Washington, United States, North America",Less than $1M,400000,USD,400000,Seed,5,"Microsoft for Startups, Slava Agafonov","Microsoft for Startups, Slava Agafonov",2,,"123,548"
Pre Seed Round - Betterteem AI®,https://www.crunchbase.com/funding_round/betterteem-pre-seed--d000353a,Betterteem AI®,https://www.crunchbase.com/organization/betterteem,Pre-Seed,25000,USD,25000,2021-08-05,Seed,200000,USD,200000,Yes,Betterteem AI® is an AI-enabled platform that serves as as early warning tool for unwanted employee resignations.,"Artificial Intelligence (AI), Enterprise Software, Human Resources, Software",https://www.betterteem.com/,,"Taguig, Rizal, Philippines, Asia",Less than $1M,395000,USD,395000,Seed,4,,,,,"208,494"
Pre Seed Round - Quantic Brains Technologies,https://www.crunchbase.com/funding_round/quantic-brains-technologies-pre-seed--6e985956,Quantic Brains Technologies,https://www.crunchbase.com/organization/quantic-brains-technologies,Pre-Seed,133333,EUR,157944,2021-07-01,Seed,,,,Yes,Quantic Brains Technologies is an artificial intelligence firm that generates movies and video games using machine larning.,"Advertising, Animation, Artificial Intelligence (AI), Film Production, Gaming, Media and Entertainment, Video Advertising, Video Games",https://quanticbrains.com/,,"Madrid, Madrid, Spain, Europe",,433333,EUR,488135,Seed,2,,,,,"208,886"
Pre Seed Round - Ambient Systems,https://www.crunchbase.com/funding_round/ambient-systems-pre-seed--0a8ef221,Ambient Systems,https://www.crunchbase.com/organization/ambient-systems,Pre-Seed,30000,CAD,24406,2021-05-01,Seed,,,,Yes,"AI Software for Better Financial Performance: Save Money, Time, and Grow Your Business.","Accounting, Artificial Intelligence (AI), B2B, Enterprise Software, Finance, FinTech, Sustainability",https://www.ambientsystems.ai/,,"Singapore, Central Region, Singapore, Asia",,96455,USD,96455,Seed,2,,,,,"209,668"
Grant - Peazy,https://www.crunchbase.com/funding_round/peazy-grant--19355ffc,Peazy,https://www.crunchbase.com/organization/peazy,Grant,110000,USD,110000,2021-04-09,,,,,No,Peazy is building a no-code development tool for municipalities and universities to aggregate parking data and develop custom AI Dashboards,"Artificial Intelligence (AI), Big Data, Machine Learning, Smart Cities",https://www.peazy.nl/,,"Amsterdam, Noord-Holland, The Netherlands, Europe",,530000,USD,530000,Seed,6,,,,,"210,005"
Pre Seed Round - Wope,https://www.crunchbase.com/funding_round/wope-pre-seed--fbe27e12,Wope,https://www.crunchbase.com/organization/wope,Pre-Seed,50000,USD,50000,2021-01-01,Seed,,,,Yes,"Wope is an AI-based SEO and content marketing platform with automated marketing strategy, market research and SEO performance tracking.","Artificial Intelligence (AI), Content Marketing, Digital Marketing, SEO, Software",https://wope.com,,"Middletown, Delaware, United States, North America",Less than $1M,50000,USD,50000,Seed,2,,,,,"416,805"
Seed Round - PediaMetrix,https://www.crunchbase.com/funding_round/pediametrix-seed--37752dc7,PediaMetrix,https://www.crunchbase.com/organization/pediametrix,Seed,100000,USD,100000,2021-04-12,Seed,,,,Yes,PediaMetrix brings AI and computer vision to pediatric health to lower cost and improve outcome.,"Artificial Intelligence (AI), Health Care, Machine Learning, Medical Device",http://www.pediametrix.com,"Women Founded, Women Led","Rockville, Maryland, United States, North America",$1M to $10M,4344402,USD,4344402,Seed,12,,TEDCO,1,,"432,818"
Grant - DBtune,https://www.crunchbase.com/funding_round/dbtune-grant--221ef703,DBtune,https://www.crunchbase.com/organization/dbtune,Grant,28000,EUR,33156,2021-09-01,,,,,No,DBtune is an AI-powered database tuning service.,"Analytics, Database, Machine Learning",https://www.dbtune.com,,"Lund, Skane Lan, Sweden, Europe",$1M to $10M,2861000,EUR,3184106,Seed,5,,LU Innovation,1,,"417,596"
Grant - InsightFinder,https://www.crunchbase.com/funding_round/insightfinder-inc-grant--de0e2be3,InsightFinder,https://www.crunchbase.com/organization/insightfinder-inc,Grant,75000,USD,75000,2021-09-22,,,,,No,InsightFinder is a software company that provides monitoring and predictive analytics services for IT operations.,"Analytics, Artificial Intelligence (AI), Information Technology, Machine Learning, Predictive Analytics",https://insightfinder.com,"Women Founded, Women Led","Durham, North Carolina, United States, North America",$1M to $10M,19487250,USD,19487250,Early Stage Venture,11,One North Carolina Small Business Program,One North Carolina Small Business Program,1,,"662,894"
Seed Round - Vaionex,https://www.crunchbase.com/funding_round/vaionex-seed--af956a44,Vaionex,https://www.crunchbase.com/organization/vaionex,Seed,125000,USD,125000,2021-02-04,Seed,1250000,USD,1250000,Yes,Empowering innovation and growth with AI and blockchain technology.,"Artificial Intelligence (AI), Bitcoin, Blockchain, Internet",https://www.vaionex.com,,"Newark, Delaware, United States, North America",$1M to $10M,1455000,USD,1455000,Seed,3,Two Hop Ventures,Two Hop Ventures,1,,"418,111"
Pre Seed Round - CrispySmash,https://www.crunchbase.com/funding_round/crispysmash-pre-seed--ef105d08,CrispySmash,https://www.crunchbase.com/organization/crispysmash,Pre-Seed,200000,USD,200000,2021-12-21,Seed,,,,Yes,CrispySmash is an AI-driven company that partners with tiktok creators to monetize content and launch brands.,"Artificial Intelligence (AI), Social Network",https://www.crispysmash.com,,"Pasadena, California, United States, North America",Less than $1M,200000,USD,200000,Seed,1,,,,,"418,734"
Pre Seed Round - Cogs,https://www.crunchbase.com/funding_round/cogs-ai-pre-seed--2e0a5e59,Cogs,https://www.crunchbase.com/organization/cogs-ai,Pre-Seed,55000,GBP,73783,2021-11-12,Seed,,,,Yes,Cogs is building personalised home learning software for neurodiverse children.,"Apps, Artificial Intelligence (AI), E-Learning",https://www.cogs-ai.com/,,"London, England, United Kingdom, Europe",,470000,GBP,602773,Seed,2,,,,,"143,813"
Pre Seed Round - READO,https://www.crunchbase.com/funding_round/read-o-pre-seed--caa776ee,READO,https://www.crunchbase.com/organization/read-o,Pre-Seed,140000,EUR,165150,2021-08-13,Seed,,,,Yes,READO is the app to help readers find their next book.,"Artificial Intelligence (AI), B2C, Big Data, Media and Entertainment, Mobile Apps, Publishing, Social Media",https://reado.app,,"Frankfurt, Hessen, Germany, Europe",,640000,EUR,695420,Seed,2,,,,,"418,911"
Pre Seed Round - OpsLyft,https://www.crunchbase.com/funding_round/opslyft-pre-seed--0ceef050,OpsLyft,https://www.crunchbase.com/organization/opslyft,Pre-Seed,200000,USD,200000,2021-01-20,Seed,,,,Yes,OpsLyft is an IT firm that offers cloud infrastructure management services for online businesses.,"Analytics, Artificial Intelligence (AI), Cloud Infrastructure, Cloud Management, IT Infrastructure, SaaS, Security, Software",https://opslyft.com,,"San Francisco, California, United States, North America",$1M to $10M,1200000,USD,1200000,Seed,2,,"Abhinav Shashank, Adit Parekh, Harsh Pokharna, Kanav Hasija, Rajesh Yabaji, Rohit Agarwal, Sandeep K Gupta, Shailendra Singh",8,,"208,733"
Angel Round - BettrAds,https://www.crunchbase.com/funding_round/bettrads-angel--6fd9d234,BettrAds,https://www.crunchbase.com/organization/bettrads,Angel,450000,BRL,79196,2021-12-14,Seed,15000000,BRL,2639869,Yes,Ads data management optimization and performance platform,"Advertising, Artificial Intelligence (AI), Business Intelligence, Data Integration, Data Management, Marketing, Marketing Automation, Predictive Analytics, Software",https://bettrads.ai,,"São Paulo, Sao Paulo, Brazil, South America",Less than $1M,1650000,BRL,401758,Seed,3,,,,,"449,561"
