Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Announced Date,Organization Description,Diversity Spotlight,Organization Industries,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Pre Seed Round - DataTorch,https://www.crunchbase.com/funding_round/datatorch-pre-seed--b312d64a,DataTorch,https://www.crunchbase.com/organization/datatorch,Pre-Seed,250000,USD,250000,Seed,,,,Yes,2022-06-10,DataTorch is a data annotation platform.,,"Artificial Intelligence (AI), Business Intelligence, Data Integration","Dundas, Ontario, Canada, North America",https://datatorch.io,$1M to $10M,250000,USD,250000,Seed,1,,Newchip Accelerator,1,,"80,437"
Seed Round - DeepGears,https://www.crunchbase.com/funding_round/deepgears-seed--4635970e,DeepGears,https://www.crunchbase.com/organization/deepgears,Seed,250000,USD,250000,Seed,,,,Yes,2022-03-03,Advanced virtual try-ons capabilities for any online apparel retailer,,"Apparel, Computer Vision, E-Commerce, Fashion, Machine Learning, Software","London, England, United Kingdom, Europe",https://deepgears.com,Less than $1M,250000,USD,250000,Seed,2,,Newchip Accelerator,1,,"80,957"
Pre Seed Round - Fresco Labs,https://www.crunchbase.com/funding_round/fresco-labs-pre-seed--1780c079,Fresco Labs,https://www.crunchbase.com/organization/fresco-labs,Pre-Seed,250000,USD,250000,Seed,,,,Yes,2022-01-26,A predictive software company on the mission to eliminate food waste.,,"Artificial Intelligence (AI), E-Commerce, Information Services, Information Technology, Software, Supply Chain Management","Curitiba, Parana, Brazil, South America",https://frescolabs.com.br/,,250000,USD,250000,Seed,1,,Newchip Accelerator,1,,"81,188"
Pre Seed Round - Niyis,https://www.crunchbase.com/funding_round/niyis-pre-seed--e58e434b,Niyis,https://www.crunchbase.com/organization/niyis,Pre-Seed,250000,USD,250000,Seed,,,,Yes,2022-01-29,Niyis is first unique and all in one online grocery retail for ethnic groceries,,"Beauty, E-Commerce, E-Commerce Platforms, Grocery, Machine Learning, Retail Technology","Reading, Reading, United Kingdom, Europe",https://www.niyis.co.uk,,250000,USD,250000,Seed,1,,Newchip Accelerator,1,,"81,269"
Pre Seed Round - Crigloo,https://www.crunchbase.com/funding_round/crigloo-pre-seed--4042001a,Crigloo,https://www.crunchbase.com/organization/crigloo,Pre-Seed,250000,USD,250000,Seed,,,,Yes,2022-02-09,Crigloo is a unified AI-based omni channel advertising platform that enables companies to optimize and execute their ad campaigns.,,"Advertising, Artificial Intelligence (AI), Marketing, Software","Issaquah, Washington, United States, North America",https://www.crigloo.com/,$1M to $10M,250000,USD,250000,Seed,1,,Newchip Accelerator,1,,"81,137"
Pre Seed Round - AccuLine,https://www.crunchbase.com/funding_round/acculine-pre-seed--043c1399,AccuLine,https://www.crunchbase.com/organization/acculine,Pre-Seed,400000,USD,400000,Seed,,,,Yes,2022-03-01,Preventing the next heart attack,,"Artificial Intelligence (AI), Health Care, Health Diagnostics, Machine Learning, Medical Device","Petah Tiqva, HaMerkaz, Israel, Asia",https://acculine-medical.com,,5750000,USD,5750000,Seed,6,eHealth Ventures,"eHealth Ventures, Maccabi Fund",2,,"80,880"
Seed Round - Macondo Vision,https://www.crunchbase.com/funding_round/macondo-ventures-seed--227d47b6,Macondo Vision,https://www.crunchbase.com/organization/macondo-ventures,Seed,250000,USD,250000,Seed,,,,Yes,2022-01-25,Macondo Vision uses artificial intelligence and machine learning to optimize operational performance in industrial environments.,Women Founded,"Artificial Intelligence (AI), Computer Vision, Industrial, Information Technology, Machine Learning, Retail, SaaS, Software, Supply Chain Management","Atlanta, Georgia, United States, North America",https://macondovision.com/,$1M to $10M,2310000,USD,2310000,,4,,Newchip Accelerator,1,,"82,501"
Pre Seed Round - Pyoneer.io,https://www.crunchbase.com/funding_round/pyoneer-io-pre-seed--b94d8118,Pyoneer.io,https://www.crunchbase.com/organization/pyoneer-io,Pre-Seed,250000,USD,250000,Seed,,,,Yes,2022-02-25,Pyoneer adds AI powered text analytics to any customer channel with NoCode to deliver better products and services.,,"Analytics, Artificial Intelligence (AI), CRM, Product Management, SaaS","Munich, Bayern, Germany, Europe",https://pyoneer.io/,,250000,USD,250000,Seed,2,,Newchip Accelerator,1,,"81,306"
Pre Seed Round - SizeWize,https://www.crunchbase.com/funding_round/sizewize-pre-seed--8552c6b5,SizeWize,https://www.crunchbase.com/organization/sizewize,Pre-Seed,250000,USD,250000,Seed,,,,Yes,2022-01-07,SizeWize helps online buyers to shop perfect fit clothing through its AI recommendation.,,"Artificial Intelligence (AI), E-Commerce, Shopping","Toronto, Ontario, Canada, North America",https://sizewize.ca/,,250000,USD,250000,Seed,1,,Newchip Accelerator,1,,"81,299"
Seed Round - Drisit,https://www.crunchbase.com/funding_round/drisit-seed--8302dbf9,Drisit,https://www.crunchbase.com/organization/drisit,Seed,250000,USD,250000,Seed,,,,Yes,2022-01-07,Drisit is an online platform helps to control drones remotely from any mobile or computer.,,"Artificial Intelligence (AI), Drone Management, Drones, Internet of Things","Beverly Hills, California, United States, North America",https://www.drisit.com/,,250000,USD,250000,Seed,1,,Newchip Accelerator,1,,"81,370"
"Pre Seed Round - Edtera, Inc.",https://www.crunchbase.com/funding_round/edtera-inc-pre-seed--68b172ff,"Edtera, Inc.",https://www.crunchbase.com/organization/edtera-inc,Pre-Seed,250000,USD,250000,Seed,,,,Yes,2022-01-27,Student engagement system provider,,"Artificial Intelligence (AI), EdTech, Education, Primary Education, Secondary Education","San Diego, California, United States, North America",https://www.edtera.com,,250000,USD,250000,Seed,1,,Newchip Accelerator,1,,"81,251"
Pre Seed Round - Autonomi,https://www.crunchbase.com/funding_round/autonomi-pre-seed--1e34d15f,Autonomi,https://www.crunchbase.com/organization/autonomi,Pre-Seed,250000,USD,250000,Seed,,,,Yes,2022-07-22,How much could you acoplish if you focused on only tasks tht propel you forward?,,"Artificial Intelligence (AI), Industrial Automation, Robotic Process Automation (RPA), Robotics","Miami, Florida, United States, North America",https://getautonomi.com/,,250000,USD,250000,Seed,1,,Newchip Accelerator,1,,"81,288"
Pre Seed Round - myBiros,https://www.crunchbase.com/funding_round/mybiros-pre-seed--cc64a594,myBiros,https://www.crunchbase.com/organization/mybiros,Pre-Seed,360000,EUR,385399,Seed,,,,Yes,2023-01-01,myBiros redefines the future of Intelligent Document Processing by offering a platform capable of automatically handling every document type,,"Artificial Intelligence (AI), Business Process Automation (BPA), Machine Learning, Natural Language Processing, SaaS, Software","Rome, Lazio, Italy, Europe",https://www.mybiros.com/,,360000,EUR,385399,Seed,1,,,,,"82,742"
Grant - Biel Glasses,https://www.crunchbase.com/funding_round/biel-glasses-grant--43cd7ab9,Biel Glasses,https://www.crunchbase.com/organization/biel-glasses,Grant,435937,EUR,465015,,,,,No,2022-12-23,Biel Glasses develops smart glasses to improve mobility and personal autonomy of people with low vision.,,"Artificial Intelligence (AI), Assistive Technology, Health Care, Medical Device","Barcelona, Catalonia, Spain, Europe",http://www.bielglasses.com,$1M to $10M,4004206,EUR,4437757,Seed,17,,Centre for the Development of Industrial Technology (CDTI),1,,"82,845"
Equity Crowdfunding - Drone Ag,https://www.crunchbase.com/funding_round/drone-ag-equity-crowdfunding--20d17907,Drone Ag,https://www.crunchbase.com/organization/drone-ag,Equity Crowdfunding,549150,GBP,682895,,,,,Yes,2023-04-21,"Practical, hassle-free drone automation and AI for Agriculture",,"Agriculture, Artificial Intelligence (AI), Education, Information Technology, Software","Alnwick, Northumberland, United Kingdom, Europe",https://droneag.farm,,1496993,GBP,1923700,,6,,Crowdcube,1,,"81,674"
Seed Round - Highfive Electronics,https://www.crunchbase.com/funding_round/highfive-electronics-seed--6047e794,Highfive Electronics,https://www.crunchbase.com/organization/highfive-electronics,Seed,600000,USD,600000,Seed,20000000,USD,20000000,Yes,2022-02-18,"Healthcare, Agetech, Homecare, AI, Safety, Security, Preventive, AIoT/4G/WIFI/BLE/ZigBee/mmWaveRadar, Sensor/Monitor/Detector/Alarm.",,"Artificial Intelligence (AI), Consulting, Home Health Care, Information Technology, Manufacturing, Medical, Professional Services, Renewable Energy, Smart Home, Software","Shenzhen, Guangdong, China, Asia",https://www.hiedesign.com,,600000,USD,600000,Seed,1,,,,,"81,764"
Series A - Grydd,https://www.crunchbase.com/funding_round/grydd-series-a--06e4508d,Grydd,https://www.crunchbase.com/organization/grydd,Series A,250000,USD,250000,Early Stage Venture,,,,Yes,2022-02-15,Grydd is a software development company for document management and supply chain technology transformation.,,"Artificial Intelligence (AI), Document Management, Machine Learning, Software, Supply Chain Management","Bellevue, Washington, United States, North America",https://grydd.com/,Less than $1M,919990,USD,919990,Early Stage Venture,3,,Newchip Accelerator,1,,"82,249"
Series A - DATATEGY,https://www.crunchbase.com/funding_round/datategy-series-a--75dad60c,DATATEGY,https://www.crunchbase.com/organization/datategy,Series A,250000,USD,250000,Early Stage Venture,,,,Yes,2023-01-31,Next Gen Enterprise AI platform,,"Artificial Intelligence (AI), Big Data, Information Technology","Neuilly-sur-seine, Ile-de-France, France, Europe",http://www.datategy.net,$1M to $10M,3597848,USD,3597848,Early Stage Venture,2,,Newchip Accelerator,1,,"82,533"
Pre Seed Round - AdsGency AI,https://www.crunchbase.com/funding_round/adsgency-ai-pre-seed--d008c936,AdsGency AI,https://www.crunchbase.com/organization/adsgency-ai,Pre-Seed,260000,USD,260000,Seed,,,,Yes,2023-03-08,Agent based advertisement system for retail brands,,"Advertising Platforms, Artificial Intelligence (AI), Software","San Francisco, California, United States, North America",https://adsgency.ai,,380000,USD,380000,Seed,2,,UpHonest Capital,1,1,"82,909"
Seed Round - March Health,https://www.crunchbase.com/funding_round/captain-group-seed--499e825c,March Health,https://www.crunchbase.com/organization/captain-group,Seed,500000,USD,500000,Seed,,,,Yes,2022-08-17,March Health is an innovative platform providing AI-powered pelvic and endometriosis care for women at every stage.,Women Founded,"Artificial Intelligence (AI), Health Care, Health Diagnostics, mHealth, Women's","San Francisco, California, United States, North America",https://march.health,,1150000,USD,1150000,Seed,3,,,,,"83,736"
Grant - Sentispec,https://www.crunchbase.com/funding_round/sentispec-grant--3229d536,Sentispec,https://www.crunchbase.com/organization/sentispec,Grant,500000,USD,500000,,,,,No,2023-01-05,Intelligent computer vision for business automation.,,"Artificial Intelligence (AI), Computer Vision, Logistics","Vejle, Syddanmark, Denmark, Europe",https://www.sentispec.com,$1M to $10M,5594445,USD,5594445,Seed,3,,,,,"84,050"
Seed Round - DevAccuracy,https://www.crunchbase.com/funding_round/devaccuracy-seed--2a694624,DevAccuracy,https://www.crunchbase.com/organization/devaccuracy,Seed,428000,USD,428000,Seed,213000,USD,213000,Yes,2023-02-23,DevAccuracy introduces AI Test Coder: A Solution for Generating Accurate Test Code Using Contextual Insights and Intelligent Coding.,,"Artificial Intelligence (AI), Generative AI, Software","San Francisco, California, United States, North America",https://devaccuracy.com/,,604000,USD,604000,Seed,2,,8VC,1,,"85,199"
Pre Seed Round - Calice,https://www.crunchbase.com/funding_round/calice-ai-pre-seed--619979d5,Calice,https://www.crunchbase.com/organization/calice-ai,Pre-Seed,750000,USD,750000,Seed,5000000,USD,5000000,Yes,2022-12-01,Empowering agribusinesses with AI and data science.,,"AgTech, Artificial Intelligence (AI), Information Technology","San Martin, Buenos Aires, Argentina, South America",https://calice.ai/,,750000,USD,750000,Seed,1,,,,,"86,033"
Seed Round - SoMin.ai,https://www.crunchbase.com/funding_round/somin-ai-seed--1fcaa062,SoMin.ai,https://www.crunchbase.com/organization/somin-ai,Seed,500000,USD,500000,Seed,,,,Yes,2022-01-01,DeepTech SaaS That Makes Your Ads 40% More Cost-Efficient in 40% Less Time,,"Artificial Intelligence (AI), Content Marketing, Machine Learning, Marketing Automation, Natural Language Processing, Predictive Analytics, SaaS, SEM, Social Media Marketing","Singapore, Central Region, Singapore, Asia",http://somin.ai,$1M to $10M,1774610,USD,1774610,Seed,7,Investible,Investible,1,,"85,498"
Seed Round - Captiv Techno Solutions,https://www.crunchbase.com/funding_round/captiv-seed--8fd792ca,Captiv Techno Solutions,https://www.crunchbase.com/organization/captiv,Seed,500000,USD,500000,Seed,,,,Yes,2022-08-26,"Captiv is a digital transformation company with a specialized focus on Cloud, Analytics, Automation and Systems Integration",,"Artificial Intelligence (AI), Cloud Data Services, Cyber Security, Software, Web Development","Chennai, Tamil Nadu, India, Asia",https://www.captiv.in,$1M to $10M,500000,USD,500000,Seed,1,Saravanan Krishnamoorthy,Saravanan Krishnamoorthy,1,,"86,440"
Seed Round - SpeedSize,https://www.crunchbase.com/funding_round/speedsize-seed--2aa0cacc,SpeedSize,https://www.crunchbase.com/organization/speedsize,Seed,600000,USD,600000,Seed,,,,Yes,2022-09-30,AI-powered SaaS for Media Optimization for Websites,,"Artificial Intelligence (AI), Content Delivery Network, Digital Media, E-Commerce, E-Commerce Platforms, Image Recognition, Internet, SaaS","Netanya, HaMerkaz, Israel, Asia",http://speedsize.com/,$1M to $10M,4600000,USD,4600000,Seed,7,,u.ventures,1,,"84,550"
Pre Seed Round - Ewing Tools,https://www.crunchbase.com/funding_round/ewing-tools-pre-seed--8920f252,Ewing Tools,https://www.crunchbase.com/organization/ewing-tools,Pre-Seed,400000,USD,400000,Seed,,,,Yes,2022-11-01,Ewing Tools is the non-intrusive damage prevention automation platform powering the world’s smartest properties.,,"Artificial Intelligence (AI), Machine Learning, Marketplace, PaaS, Property Management, PropTech, SaaS","Dallas, Texas, United States, North America",https://www.ewingtools.com/?utm_source=crunchbase&utm_medium=about-website,,500000,USD,500000,Seed,2,,,,,"85,365"
Seed Round - Eduworks,https://www.crunchbase.com/funding_round/eduworks-seed--737af6b0,Eduworks,https://www.crunchbase.com/organization/eduworks,Seed,250000,USD,250000,Seed,30000000,USD,30000000,Yes,2023-05-10,Eduworks is an IT company providing AI and text mining solutions for process improvement.,,"Artificial Intelligence (AI), Computer, Government, Information Services, Information Technology, Manufacturing, Non Profit, Software","Corvallis, Oregon, United States, North America",https://eduworks.com,$1M to $10M,1250000,USD,1250000,Seed,2,,Sum Ventures,1,,"86,972"
Seed Round - RED Atlas,https://www.crunchbase.com/funding_round/red-atlas-seed--144e7ae7,RED Atlas,https://www.crunchbase.com/organization/red-atlas,Seed,500000,USD,500000,Seed,,,,Yes,2022-06-29,"Real Estate Data, News, and Insight",,"Analytics, Artificial Intelligence (AI), Business Information Systems, Business Intelligence, Information Services, Information Technology, Machine Learning, News, Real Estate","San Juan, NA - Puerto Rico, Puerto Rico, North America",https://www.atlas.red,,1200000,USD,1200000,Seed,4,,Frontures,1,,"85,598"
Seed Round - Heygent AI,https://www.crunchbase.com/funding_round/heygent-ai-seed--4c8e972b,Heygent AI,https://www.crunchbase.com/organization/heygent-ai,Seed,350000,USD,350000,Seed,,,,Yes,2022-05-10,"Dental AI-powered patient engagement software to respond to patient missed calls, automate appointment booking, and enable AI follow-ups",,"Artificial Intelligence (AI), Generative AI, SaaS, Software","San Jose, California, United States, North America",http://www.heygent.ai,,500000,USD,500000,Seed,2,,,,,"85,610"
Angel Round - SkinScreener,https://www.crunchbase.com/funding_round/skinscreener-angel--d463f6f4,SkinScreener,https://www.crunchbase.com/organization/skinscreener,Angel,250000,EUR,271687,Seed,6000000,EUR,6520499,Yes,2023-04-01,"SkinScreener is the first app to provide full visual AI-based assessment of the risk of skin cancer, with a teledermatological option.",,"Apps, Artificial Intelligence (AI), Generative AI, Health Care, Health Diagnostics, Health Insurance, Medical Device, Mobile Apps, Personal Health, SaaS","Graz, Steiermark, Austria, Europe",https://skinscreener.com,,250000,EUR,271687,Seed,1,,,,,"86,312"
Pre Seed Round - Elaitra,https://www.crunchbase.com/funding_round/elaitra-pre-seed--e6752921,Elaitra,https://www.crunchbase.com/organization/elaitra,Pre-Seed,200000,GBP,271904,Seed,,,,Yes,2022-02-21,LLM BreastGPT; px engagement. ViewFinder; unique helping doctors read 3D X-Rays to diagnose breast cancer. USA & UK. FDA approved.,,"Artificial Intelligence (AI), Health Care, Medical Device","San Francisco, California, United States, North America",https://elaitra.net,,800000,GBP,1032721,Seed,2,,"KCP Capital, SFC Capital",2,,"86,564"
Seed Round - BluLogix,https://www.crunchbase.com/funding_round/blulogix-llc-seed--53714c13,BluLogix,https://www.crunchbase.com/organization/blulogix-llc,Seed,300000,USD,300000,Seed,,,,Yes,2022-01-31,The Intelligent Subscription Billing & Monetization Platform that Automates and Simplifies Complex Recurring Revenue Management,,"Artificial Intelligence (AI), B2B, Cloud Data Services, Information Services, Information Technology, SaaS, Software, Unified Communications, VoIP","Mclean, Virginia, United States, North America",http://www.blulogix.com/,$1M to $10M,300000,USD,300000,Seed,1,,Blue Heron Ventures,1,,"87,603"
Pre Seed Round - Up,https://www.crunchbase.com/funding_round/react-labs-pvt-ltd-pre-seed--af7bc31a,Up,https://www.crunchbase.com/organization/react-labs-pvt-ltd,Pre-Seed,500000,USD,500000,Seed,,,,Yes,2022-11-09,"Up is a D2C, smart home appliance brand at the forefront of transforming modern Indian households.",,"Artificial Intelligence (AI), Consumer Applications, Consumer Electronics, Hardware, Home Appliances, Internet of Things, Smart Home","Bengaluru, Karnataka, India, Asia",https://www.upliance.ai,$10M to $50M,5397237,USD,5397237,Seed,3,Rainmatter Capital,"Gaurav Munjal, Rainmatter Capital, Roman Saini, Stanford Angels and Entrepreneurs India, Swapnil Jain, Tarun Mehta, Tim Draper",7,1,"87,635"
Seed Round - ServiceBots,https://www.crunchbase.com/funding_round/servicebots-seed--d29c8c47,ServiceBots,https://www.crunchbase.com/organization/servicebots,Seed,500000,USD,500000,Seed,,,,Yes,2022-01-22,"ServiceBots is the leading Conversational AI Company. Servicebots Servicebots's offers Voicebots, Speech Analytics and Intelligent Co-pilots",,"Artificial Intelligence (AI), Information Services, Information Technology","Bogotá, Distrito Especial, Colombia, South America",https://www.servicebots.ai/,,2000000,USD,2000000,Seed,3,,Penagos,1,,"88,071"
Grant - Deemea,https://www.crunchbase.com/funding_round/deemea-grant--db153206,Deemea,https://www.crunchbase.com/organization/deemea,Grant,440000,EUR,480683,,,,,No,2023-04-17,Re-imaging biomedical research,,"Artificial Intelligence (AI), Database, Health Care, Software","Paris, Ile-de-France, France, Europe",https://deemea.com,,5762000,EUR,6395967,Seed,5,Bpifrance,Bpifrance,1,,"87,782"
Seed Round - Intoto,https://www.crunchbase.com/funding_round/intoto-74fc-seed--f4d1c8da,Intoto,https://www.crunchbase.com/organization/intoto-74fc,Seed,2642405,NOK,267221,Seed,41000000,NOK,4146239,Yes,2023-02-01,"Water data startup using AI, IoT, and big data to improve understanding and management of water in a sustainable way",,"Analytics, Big Data, Electronics, Environmental Engineering, Hydroelectric, Information Technology, Predictive Analytics, Public Safety, Risk Management, Water","Kvinesdal, Vest-Agder, Norway, Europe",https://intoto.io,$1M to $10M,22317923,NOK,2374526,Seed,13,,,,,"87,895"
Seed Round - ServiceBots,https://www.crunchbase.com/funding_round/servicebots-seed--7ca89aa9,ServiceBots,https://www.crunchbase.com/organization/servicebots,Seed,500000,USD,500000,Seed,,,,Yes,2023-05-15,"ServiceBots is the leading Conversational AI Company. Servicebots Servicebots's offers Voicebots, Speech Analytics and Intelligent Co-pilots",,"Artificial Intelligence (AI), Information Services, Information Technology","Bogotá, Distrito Especial, Colombia, South America",https://www.servicebots.ai/,,2000000,USD,2000000,Seed,3,,Adcomm MDU,1,,"88,078"
Pre Seed Round - Rivet,https://www.crunchbase.com/funding_round/rivet-ae54-pre-seed--397f6fad,Rivet,https://www.crunchbase.com/organization/rivet-ae54,Pre-Seed,500000,USD,500000,Seed,,,,Yes,2023-02-27,"Rivet is a fan management service platform provider, providing creators with fan management AI assistant.",,"Artificial Intelligence (AI), Content Creators, Digital Entertainment, Media and Entertainment, Music","Boston, Massachusetts, United States, North America",https://www.rivet.app,,1120000,USD,1120000,Seed,3,Drive Capital,"Drive Capital, Hustle Fund, Visible Hands",3,,"88,765"
Pre Seed Round - Cyvl.ai,https://www.crunchbase.com/funding_round/cyvl-ai-pre-seed--89a9d206,Cyvl.ai,https://www.crunchbase.com/organization/cyvl-ai,Pre-Seed,500000,USD,500000,Seed,,,,Yes,2022-01-01,Cyvl develops an infrastructure technology platform that enables civil engineers and governments to manage physical infrastructure assets.,,"Artificial Intelligence (AI), Asset Management, Civil Engineering, GovTech","Somerville, Massachusetts, United States, North America",https://cyvl.ai/,$1M to $10M,9218536,USD,9218536,Seed,3,,"Bantam Group, LaunchPad Venture",2,,"89,741"
Pre Seed Round - Skills.tech,https://www.crunchbase.com/funding_round/skills-f7ca-pre-seed--77a6024d,Skills.tech,https://www.crunchbase.com/organization/skills-f7ca,Pre-Seed,575000,USD,575000,Seed,4425000,USD,4425000,Yes,2022-03-05,Skills.tech is an AI-as-a-Service that empowers organizations to provide hyper-personalized learning experiences.,,"Artificial Intelligence (AI), EdTech, Education","Berkeley, California, United States, North America",https://www.skills.tech/,,575000,USD,575000,Seed,1,SkyDeck Berkeley,SkyDeck Berkeley,1,,"89,766"
Pre Seed Round - Defog,https://www.crunchbase.com/funding_round/defog-pre-seed--a4f0171d,Defog,https://www.crunchbase.com/organization/defog,Pre-Seed,500000,USD,500000,Seed,,,,Yes,2023-04-05,Defog is a natural language data query platform that allows users to ask free-form data questions through large language models.,Women Founded,"Artificial Intelligence (AI), Developer Tools, Information Technology, Machine Learning","San Francisco, California, United States, North America",https://defog.ai,,2700000,USD,2700000,Seed,2,Y Combinator,"Davidovs Venture Collective, Y Combinator",2,,"89,553"
Pre Seed Round - Atacama Biomaterials,https://www.crunchbase.com/funding_round/atacama-biomaterials-pre-seed--bebcdabc,Atacama Biomaterials,https://www.crunchbase.com/organization/atacama-biomaterials,Pre-Seed,500000,USD,500000,Seed,,,,Yes,2023-03-01,AI platform producing compostable and biodegradable plastic alternatives,Women Founded,"Advanced Materials, Artificial Intelligence (AI), CleanTech, Machine Learning, Packaging Services","Cambridge, Massachusetts, United States, North America",https://www.atacamabiomaterials.com/,,590000,USD,590000,Seed,4,Front Row Fund,Front Row Fund,1,,"90,031"
Seed Round - CleverX,https://www.crunchbase.com/funding_round/blumatter-seed--5dde3e82,CleverX,https://www.crunchbase.com/organization/blumatter,Seed,250000,USD,250000,Seed,15000000,USD,15000000,Yes,2022-06-15,AI powered platform to find the most hard-to-reach business professionals for conducting market research at scale.,,"Artificial Intelligence (AI), Communities, Internet, Market Research, Product Research, Professional Networking, Software","San Francisco, California, United States, North America",https://cleverx.com/,$1M to $10M,800000,USD,800000,Seed,3,,,,,"91,728"
Seed Round - Ekkobar,https://www.crunchbase.com/funding_round/ekkobar-seed--796f1064,Ekkobar,https://www.crunchbase.com/organization/ekkobar,Seed,400000,USD,400000,Seed,,,,Yes,2023-05-01,"The AI platform that Cracked the Social Media Code - Know More, Risk Less!","LGBTQ+ Founded, LGBTQ+ Led, Women Founded","Artificial Intelligence (AI), Financial Services, Information Technology, Media and Entertainment, Politics, SaaS, Sports","Boston, Massachusetts, United States, North America",http://ekkobar.ai/,,650000,USD,650000,Seed,3,,,,,"90,244"
Pre Seed Round - Muffin Data,https://www.crunchbase.com/funding_round/muffin-data-pre-seed--2368d550,Muffin Data,https://www.crunchbase.com/organization/muffin-data,Pre-Seed,500000,USD,500000,Seed,,,,Yes,2023-04-05,Muffin Data is a data analytics platform and reporting solution for consumer packaged goods brands.,,"Analytics, Artificial Intelligence (AI), Information Technology","Bengaluru, Karnataka, India, Asia",https://www.muffindata.com,Less than $1M,500000,USD,500000,Seed,1,Y Combinator,Y Combinator,1,,"92,156"
Funding Round - DRIFTERS TECH INC,https://www.crunchbase.com/funding_round/drifter-inc-undisclosed--4fa98fd8,DRIFTERS TECH INC,https://www.crunchbase.com/organization/drifter-inc,Funding Round,500000,USD,500000,,,,,Yes,2023-05-04,We're a technology company dedicated to transforming user experiences across diverse sectors with our innovative software and applications.,,"Artificial Intelligence (AI), Enterprise Applications, Information Technology, Machine Learning, Mobile Apps, Social Network, Software, Travel, Wellness","New York, New York, United States, North America",https://www.drifterstech.com,,3150000,USD,3150000,Seed,6,,,,,"90,723"
Seed Round - LIBRODEPASES,https://www.crunchbase.com/funding_round/librodepases-seed--0172d2c0,LIBRODEPASES,https://www.crunchbase.com/organization/librodepases,Seed,645000,USD,645000,Seed,,,,Yes,2022-01-03,"AI-powered scouting platform allowing soccer players, agents and clubs around the world to efficiently connect based on data and AI",,"Artificial Intelligence (AI), B2B, Enterprise Software, Generative AI, Information Technology, SaaS, Soccer, Software, Sports","Buenos Aires, Distrito Federal, Argentina, South America",https://www.librodepases.com,Less than $1M,845000,USD,845000,Seed,2,HacelaRodar,HacelaRodar,1,,"90,701"
Non Equity Assistance - metaBIX Biotech,https://www.crunchbase.com/funding_round/metabix-biotech-non-equity-assistance--dddbcf42,metaBIX Biotech,https://www.crunchbase.com/organization/metabix-biotech,Non-equity Assistance,332000,USD,332000,,,,,No,2022-10-03,"Global game changer in predicting diseases caused by viruses and bacteria affecting plants, animals and humans.",,"Artificial Intelligence (AI), Bioinformatics, Biotechnology","Montevideo, NA - Uruguay, Uruguay, South America",https://metabixbiotech.com,,517000,USD,517000,Seed,3,,,,,"92,715"
Pre Seed Round - Toqua,https://www.crunchbase.com/funding_round/toqua-pre-seed--10e3b633,Toqua,https://www.crunchbase.com/organization/toqua,Pre-Seed,300000,EUR,338200,Seed,,,,Yes,2022-02-01,Toqua is a maritime cleantech startup decarbonizing the shipping industry by harnessing the full potential of big data & AI in maritime.,,"Artificial Intelligence (AI), Machine Learning, Marine Technology, Software, Software Engineering, Sustainability","Ghent, Oost-Vlaanderen, Belgium, Europe",http://www.toqua.ai/,,300000,EUR,338200,Seed,1,,,,,"92,789"
Pre Seed Round - MetaCRM Inc.,https://www.crunchbase.com/funding_round/metacrm-pre-seed--4a30fe0e,MetaCRM Inc.,https://www.crunchbase.com/organization/metacrm,Pre-Seed,500000,USD,500000,Seed,,,,Yes,2022-05-01,Blockchain Ads & Web3 CRM SaaS Solution for Business,,"Ad Targeting, Artificial Intelligence (AI), Blockchain, CRM, Generative AI, Web3","Taipei, T'ai-pei, Taiwan, Asia",https://metacrm.inc/#/,,2500000,USD,2500000,Seed,2,,,,,"92,135"
Equity Crowdfunding - Danelfin,https://www.crunchbase.com/funding_round/danelfin-equity-crowdfunding--9f2874f3,Danelfin,https://www.crunchbase.com/organization/danelfin,Equity Crowdfunding,295019,EUR,309878,,7845895,EUR,8241054,Yes,2022-04-28,Danelfin operates as an AI-enhanced stock analytics platform.,,"Analytics, Artificial Intelligence (AI)","Barcelona, Catalonia, Spain, Europe",https://danelfin.com/,,2295019,EUR,2458320,,2,,Crowdcube,1,,"93,954"
Series B - NimbusCloud,https://www.crunchbase.com/funding_round/kedasc-series-b--fc9ccffe,NimbusCloud,https://www.crunchbase.com/organization/kedasc,Series B,500000,USD,500000,Early Stage Venture,500000,USD,500000,Yes,2022-03-25,"NimbusCloud is Innovating the Artificial Intelligence Market, capable of generating Images, Presentations and Texts. Discover Horizon IA now",,Artificial Intelligence (AI),"São Paulo, Sao Paulo, Brazil, South America",https://NimbusCloud.startboost.tech,,700000,USD,700000,Early Stage Venture,2,,,,,"92,480"
Seed Round - Getfloorplan,https://www.crunchbase.com/funding_round/getfloorplan-seed--7020239f,Getfloorplan,https://www.crunchbase.com/organization/getfloorplan,Seed,500000,USD,500000,Seed,,,,Yes,2022-01-01,AI-based online service for automatic interior design project generation,,"Artificial Intelligence (AI), Information Technology, Interior Design","Boca Raton, Florida, United States, North America",http://getfloorplan.com/,,500000,USD,500000,Seed,1,,Rafael Mukhtarov,1,1,"94,438"
