Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,CB Rank (Funding Round),Lead Investors,Number of Investors,Investor Names,Number of Partner Investors
Seed Round - Kepler Vision Technologies,https://www.crunchbase.com/funding_round/kepler-vision-technologies-seed--fd21a989,Kepler Vision Technologies,https://www.crunchbase.com/organization/kepler-vision-technologies,Seed,1700000,EUR,2088914,2018-04-06,Seed,,,,Yes,Kepler Vision Technologies develops an AI that looks after the well-being of humans.,"Artificial Intelligence (AI), Computer Vision, Machine Learning, Software",,"Amsterdam, Noord-Holland, The Netherlands, Europe",https://www.keplervision.eu,$1M to $10M,5400000,EUR,6155517,,5,"456,805",,1,UvA Ventures Holding,
Seed Round - Mcfly,https://www.crunchbase.com/funding_round/maifei-technology-seed--0e7350db,Mcfly,https://www.crunchbase.com/organization/maifei-technology,Seed,25000000,CNY,3926681,2018-05-22,Seed,,,,Yes,"Mcfly is an AI big data company with international technology background, Internet genes.","Artificial Intelligence (AI), Big Data, Internet",,"Beijing, Beijing, China, Asia",http://www.mcfly.com.cn/,,125000000,CNY,18791928,Early Stage Venture,2,"457,314",Baidu Ventures,2,"Baidu Ventures, Frees Fund",
Venture Round - Doctis,https://www.crunchbase.com/funding_round/doctis-series-unknown--47da37ec,Doctis,https://www.crunchbase.com/organization/doctis,Venture - Series Unknown,4000000,USD,4000000,2018-03-30,,,,,Yes,Doctis is developing a universal telemedicine platform using predictive medical technologies and artificial intelligence.,"Artificial Intelligence (AI), Health Care, Home Health Care, Software, Telehealth",,"Moscow, Moscow City, Russian Federation, Europe",https://www.doctis.ru/,$10M to $50M,4000000,USD,4000000,,1,"459,224",Russian Direct Investment Fund,2,"Russia-Japan Investment Fund, Russian Direct Investment Fund",
Seed Round - Digital Agriculture Services,https://www.crunchbase.com/funding_round/digital-agriculture-services-seed--317234df,Digital Agriculture Services,https://www.crunchbase.com/organization/digital-agriculture-services,Seed,2000000,AUD,1479728,2018-07-01,Seed,,,,Yes,Digital Agriculture Services is an AI company that provides rural intelligence platform for businesses and governments.,"Agriculture, AgTech, Artificial Intelligence (AI), Information Technology, Machine Learning",,"Melbourne, Victoria, Australia, Oceania",http://www.digitalagricultureservice.com,$1M to $10M,9575000,AUD,6721853,,6,"424,596",,1,Nutrien Ag Solutions,
Seed Round - CoLane,https://www.crunchbase.com/funding_round/colane-seed--a89027de,CoLane,https://www.crunchbase.com/organization/colane,Seed,1200000,USD,1200000,2018-02-01,Seed,,,,Yes,"CoLane (formerly Fraight AI) is a virtual truckload carrier. We deliver Quality, Consistency, and Transparency for Enterprise Shippers.","Artificial Intelligence (AI), Freight Service, Logistics, Transportation",,"Chicago, Illinois, United States, North America",https://www.shipcolane.com,$1M to $10M,4650000,USD,4650000,Seed,3,"424,846",,,,
Seed Round - AstrumU,https://www.crunchbase.com/funding_round/astrumu-inc-seed--44b2acf7,AstrumU,https://www.crunchbase.com/organization/astrumu-inc,Seed,2300000,USD,2300000,2018-02-07,Seed,,,,Yes,AstrumU is a translating educational experiences into economic opportunity!,"Artificial Intelligence (AI), Higher Education, Human Resources",,"Kirkland, Washington, United States, North America",http://www.astrumu.com,$1M to $10M,13175000,USD,13175000,Early Stage Venture,4,"358,671",Ignition Partners,4,"ASU ScaleU, Correlation Ventures, Ignition Partners, University of Kansas",2
Seed Round - L2P LIMITED,https://www.crunchbase.com/funding_round/l2p-limited-seed--af17d865,L2P LIMITED,https://www.crunchbase.com/organization/l2p-limited,Seed,1100000,USD,1100000,2018-04-23,Seed,,,,Yes,International esports EdTech company,"Artificial Intelligence (AI), E-Learning, eSports, Machine Learning, Marketing, MMO Games, Online Games",,"Limassol, Limassol, Cyprus, Europe",http://l2p.game,$1M to $10M,4620000,USD,4620000,Seed,9,"398,009",Flashpoint,3,"DLA Piper, Flashpoint, RTP Global",1
Seed Round - Findo,https://www.crunchbase.com/funding_round/findo-io-seed--4b8b18a3,Findo,https://www.crunchbase.com/organization/findo-io,Seed,2500000,USD,2500000,2018-10-09,Seed,,,,Yes,"Findo is a smart search assistant across all personal cloud, emails, files, and contacts.","Artificial Intelligence (AI), Email, Internet, Semantic Search",,"Menlo Park, California, United States, North America",http://www.findo.com,$1M to $10M,6500000,USD,6500000,Seed,3,"426,121",,,,
Venture Round - Lirio,https://www.crunchbase.com/funding_round/lirio-series-unknown--3a571b74,Lirio,https://www.crunchbase.com/organization/lirio,Venture - Series Unknown,2250000,USD,2250000,2018-04-20,,,,,Yes,Lirio is a behavior change AI platform that delivers behavioral engagement solutions for organizations.,"Artificial Intelligence (AI), Health Care, Information Technology, Machine Learning",,"Knoxville, Tennessee, United States, North America",https://lirio.com,$1M to $10M,64998708,USD,64998708,,9,"399,150",,2,"Founding Members, Ultra HNWI",
Venture Round - Analyttica Datalab Inc.,https://www.crunchbase.com/funding_round/analyttica-series-unknown--25b29325,Analyttica Datalab Inc.,https://www.crunchbase.com/organization/analyttica,Venture - Series Unknown,1500000,USD,1500000,2018-08-07,,,,,Yes,Analyttica Datalab is an analytics and AI platform solutions company offering technology-based experiential data analytics training.,"Analytics, Artificial Intelligence (AI), B2B, Data Visualization, Machine Learning",,"Wilmington, Delaware, United States, North America",https://www.analyttica.com/,$1M to $10M,9600046,USD,9600046,,6,"360,602",,,,
Seed Round - Doxper,https://www.crunchbase.com/funding_round/doxper-seed--3c3f3631,Doxper,https://www.crunchbase.com/organization/doxper,Seed,72000000,INR,1104801,2018-03-22,Seed,,,,Yes,"Doxper is an AI powered digital pen solution for physicians, healthcare workers and nurses.","Artificial Intelligence (AI), Electronic Health Record (EHR), Health Care, Hospital",,"Mumbai, Maharashtra, India, Asia",https://doxper.com,$1M to $10M,5854801,USD,5854801,M&A,3,"310,023",Vidal Healthcare,4,"Capier Investments, Globevestor, growX ventures, Vidal Healthcare",2
Series A - Signzy,https://www.crunchbase.com/funding_round/signzy-series-a--c4aae017,Signzy,https://www.crunchbase.com/organization/signzy,Series A,3600000,USD,3600000,2018-11-20,Early Stage Venture,,,,Yes,"Signzy is an AI-powered FinTech company offering a digital onboarding solution for banks, NBFCs, and other financial institutions.","Artificial Intelligence (AI), Compliance, Financial Services, FinTech, InsurTech, Risk Management",,"Bengaluru, Karnataka, India, Asia",https://www.signzy.com,$10M to $50M,38330249,USD,38330249,Early Stage Venture,8,"253,432","Kalaari Capital, Stellaris Venture Partners",5,"Amrish Rau, Dilipkumar Khandelwal, Kalaari Capital, Rajan Anandan, Stellaris Venture Partners",
Seed Round - Phenomic AI,https://www.crunchbase.com/funding_round/phenomic-ai-seed--2f1ba9e4,Phenomic AI,https://www.crunchbase.com/organization/phenomic-ai,Seed,2000000,USD,2000000,2018-06-18,Seed,,,,Yes,Phenomic AI is a developer of a drug discovery platform designed to discovery and optimize therapeutics directly against phenotypic assays.,"Artificial Intelligence (AI), Biotechnology, Genetics, Information Technology, Life Science, Machine Learning, Therapeutics",,"Waltham, Massachusetts, United States, North America",https://phenomic.ai/,$1M to $10M,11391214,USD,11391214,Seed,6,"310,928",,6,"Cantos, CTI Life Sciences Fund, Hike Ventures, Inovia Capital, Radical Ventures, Ramen Ventures",2
Corporate Round - Idein,https://www.crunchbase.com/funding_round/idein-corporate-round--65e66aa4,Idein,https://www.crunchbase.com/organization/idein,Corporate Round,243810000,JPY,2289468,2018-03-29,,,,,Yes,Idein seeks to enable all real-world events to be handled by software.,"Artificial Intelligence (AI), Computer Vision, Developer Platform, Internet of Things, Machine Learning, Software",,"Tokyo, Tokyo, Japan, Asia",https://idein.jp/,,30853190,USD,30853190,,5,"311,018",AISIN CORPORATION,1,AISIN CORPORATION,
Seed Round - nPlan,https://www.crunchbase.com/funding_round/nplan-seed--a9a0352a,nPlan,https://www.crunchbase.com/organization/nplan,Seed,3000000,GBP,3940695,2018-07-30,Seed,,,,Yes,"Artificial Intelligence to provide schedule certainty for projects, by highlighting risk and suggesting optimal execution paths.","Artificial Intelligence (AI), Construction, Machine Learning, Project Management, Scheduling",,"London, England, United Kingdom, Europe",http://www.nplan.io,$1M to $10M,16430000,GBP,22381126,Early Stage Venture,4,"324,851","LocalGlobe, Pentech Ventures",9,"Charlie Songhurst, Creative Destruction Lab (CDL), Demis Hassabis, Entrepreneur First, Founder Collective, LocalGlobe, Pentech Ventures, Tim Davey, Wendy Tan White",1
Seed Round - Codec,https://www.crunchbase.com/funding_round/codec-london-seed--6a840d91,Codec,https://www.crunchbase.com/organization/codec-london,Seed,2000000,GBP,2721788,2018-05-01,Seed,,,,Yes,We help brands to discover and tap in to the pockets of culture that drive growth. Powered by award-winning AI.,"Artificial Intelligence (AI), Creative Agency, Machine Learning, Marketing, SaaS, Social Media, Social Media Advertising, Social Media Marketing",,"London, England, United Kingdom, Europe",http://www.codec.ai,$1M to $10M,6700000,GBP,8697180,,4,"314,866",,,,
Series A - Gupy,https://www.crunchbase.com/funding_round/gupy-series-a--13ef79e8,Gupy,https://www.crunchbase.com/organization/gupy,Series A,3500000,USD,3500000,2018-04-12,Early Stage Venture,,,,Yes,"Gupy is a technology company that offers recruitment, selection, and admission solutions for HR.","Artificial Intelligence (AI), Human Resources, Machine Learning, Recruiting, Software",,"São Paulo, Sao Paulo, Brazil, South America",http://gupy.io,$50M to $100M,104557814,USD,104557814,Early Stage Venture,6,"315,224",Valor Capital Group,3,"Canary, MAYA Capital, Valor Capital Group",
Series A - Kavenir,https://www.crunchbase.com/funding_round/kavenir-series-a--7bfd548c,Kavenir,https://www.crunchbase.com/organization/kavenir,Series A,2908499,USD,2908499,2018-09-27,Early Stage Venture,,,,Yes,Kavenir is an AI & Robotics company.,"Artificial Intelligence (AI), Robotics",,"Suzhou, Jiangsu, China, Asia",,,2908499,USD,2908499,Early Stage Venture,1,"398,586",,,,
Seed Round - Nfinite,https://www.crunchbase.com/funding_round/hubstairs-seed--3e3fdd24,Nfinite,https://www.crunchbase.com/organization/hubstairs,Seed,2000000,EUR,2340304,2018-06-29,Seed,,,,Yes,Nfinite boosts sales with AI-driven CGI. Now offering AI training and fine-tuning with tailored synthetic data for better model performance.,"3D Technology, Artificial Intelligence (AI), E-Commerce, Generative AI, Retail Technology, SaaS, Software",,"New York, New York, United States, North America",https://www.nfinite.app,,122240558,USD,122240558,Early Stage Venture,5,"440,078",Investisseurs privés,2,"Investisseurs privés, Pioneer Fund",
Series A - Hangzhou Knowing Technology,https://www.crunchbase.com/funding_round/hangzhou-knowing-technology-series-a--34715c4f,Hangzhou Knowing Technology,https://www.crunchbase.com/organization/hangzhou-knowing-technology,Series A,9200000,CNY,1449983,2018-05-01,Early Stage Venture,,,,Yes,Hangzhou Knowing Technology is a Fully automatic marketing solution.,"Artificial Intelligence (AI), Marketing, Marketing Automation",,,,,10000000,CNY,1566287,Early Stage Venture,2,"272,683",GSR United Capital,1,GSR United Capital,
Pre Seed Round - Whizzco,https://www.crunchbase.com/funding_round/whizzco-pre-seed--4f35c439,Whizzco,https://www.crunchbase.com/organization/whizzco,Pre-Seed,1500000,USD,1500000,2018-05-01,Seed,,,,Yes,Yield Management Tool for Content Recommendation  ,"Artificial Intelligence (AI), Big Data, Content, Digital Media, Internet, Software",,"Tel Aviv, Tel Aviv, Israel, Asia",https://whizzco.com/,$1M to $10M,1500000,USD,1500000,Seed,2,"440,534",,,,
Venture Round - Motista,https://www.crunchbase.com/funding_round/motista-series-unknown--ef24495e,Motista,https://www.crunchbase.com/organization/motista,Venture - Series Unknown,3250062,USD,3250062,2018-04-27,,,,,Yes,"Predictive Intelligence on Emotions helps you grow existing customers, and acquire valuable new ones.","Analytics, Brand Marketing, Business Intelligence, Information Technology, Management Consulting, Predictive Analytics",,"Frisco, Texas, United States, North America",http://www.motista.com,$1M to $10M,26130062,USD,26130062,,4,"549,482",,,,
Seed Round - Fiskl,https://www.crunchbase.com/funding_round/fiskl-limited-seed--d06c58a7,Fiskl,https://www.crunchbase.com/organization/fiskl-limited,Seed,2000000,USD,2000000,2018-03-02,Seed,,,,Yes,AI-powered global financial management and accounting platform - reinventing the financial stack for small businesses,"Accounting, Artificial Intelligence (AI), B2B, Finance, Mobile, SaaS, Small and Medium Businesses",,"London, England, United Kingdom, Europe",https://fiskl.com,$1M to $10M,3450000,USD,3450000,Seed,4,"444,355",,1,Angel Academe,
Series A - Bisheng Zhineng,https://www.crunchbase.com/funding_round/bisheng-zhineng-series-a--4671207e,Bisheng Zhineng,https://www.crunchbase.com/organization/bisheng-zhineng,Series A,10000000,CNY,1508152,2018-07-10,Early Stage Venture,,,,Yes,Bisheng Zhineng is an online education platform that provides intelligent handwriting recognition technology for educational institutions.,"Artificial Intelligence (AI), Big Data, Information Technology",,"Yuhang, Zhejiang, China, Asia",http://www.abcpen.com,,35000000,CNY,5438551,Early Stage Venture,3,"445,056",Wanpeng.com,1,Wanpeng.com,
Seed Round - Satisfi Labs,https://www.crunchbase.com/funding_round/satisfi-seed--42c17437,Satisfi Labs,https://www.crunchbase.com/organization/satisfi,Seed,1400000,USD,1400000,2018-05-29,Seed,,,,Yes,Satisfi Labs is an AI platform that provides digital workforces in industries.,"Analytics, Artificial Intelligence (AI), Machine Learning, SaaS, Software",,"Tampa, Florida, United States, North America",http://www.satisfilabs.com,$1M to $10M,10000000,USD,10000000,Early Stage Venture,10,"214,152",,2,"Red Light Management, Techstars",
Seed Round - Fritz AI,https://www.crunchbase.com/funding_round/fritz-seed--dae9313e,Fritz AI,https://www.crunchbase.com/organization/fritz,Seed,2000000,USD,2000000,2018-01-11,Seed,,,,Yes,Fritz AI is a machine learning platform for iOS and Android developers.,"Artificial Intelligence (AI), Developer Platform, Developer Tools, Machine Learning, Mobile Apps",,"Boston, Massachusetts, United States, North America",https://www.fritz.ai,$50M to $100M,7000000,USD,7000000,Seed,2,"373,519",Eniac Ventures,3,"Eniac Ventures, Hack VC, Uncork Capital",6
Series A - DeepSense,https://www.crunchbase.com/funding_round/deepsense-37f8-series-a--d96071c9,DeepSense,https://www.crunchbase.com/organization/deepsense-37f8,Series A,10000000,CNY,1580545,2018-04-25,Early Stage Venture,,,,Yes,DeepSense is a deep learning algorithms developer company for images and videos.,"Artificial Intelligence (AI), Facial Recognition, Information Technology",,"Haidian, Beijing, China, Asia",http://deepsense.cn,,13000000,CNY,2022852,Early Stage Venture,2,"373,633",Reconova Technologies,1,Reconova Technologies,
Venture Round - Akridata,https://www.crunchbase.com/funding_round/akridata-series-unknown--77428802,Akridata,https://www.crunchbase.com/organization/akridata,Venture - Series Unknown,1120000,USD,1120000,2018-04-27,,,,,Yes,Akridata is a software company built for the Autonomous world,"Artificial Intelligence (AI), Computer, Software",,"Los Altos, California, United States, North America",https://akridata.com,$1M to $10M,16120000,USD,16120000,Early Stage Venture,3,"215,558","Cervin Ventures, Exfinity Venture Partners",2,"Cervin Ventures, Exfinity Venture Partners",
Seed Round - ImpactVision,https://www.crunchbase.com/funding_round/impactvision-seed--408c842c,ImpactVision,https://www.crunchbase.com/organization/impactvision,Seed,1300000,USD,1300000,2018-12-12,Seed,,,,Yes,"ImpactVision is an information technology company that specializes in machine learning, food technology, and sensors.","AgTech, Food Processing, Information Technology, Machine Learning, Sensor","Women Founded, Women Led","San Francisco, California, United States, North America",http://www.impactvi.com/,Less than $1M,2781868,USD,2781868,M&A,5,"215,898",Maersk Growth,5,"Acre Venture Partners, AgFunder, Maersk Growth, The Yield Lab Europe, Xandex Ventures",2
Venture Round - Match2One,https://www.crunchbase.com/funding_round/match2one-2-series-unknown--c634701a,Match2One,https://www.crunchbase.com/organization/match2one-2,Venture - Series Unknown,11000000,SEK,1353718,2018-01-11,,,,,Yes,Match2One is a programmatic advertising platform.,"Advertising, Advertising Platforms, Digital Media, Machine Learning, Service Industry",,"Stockholm, Stockholms Lan, Sweden, Europe",http://www.match2one.com/,$1M to $10M,6405510,USD,6405510,M&A,7,"217,624",,8,"Alfred Ruth, Bo Mattsson, Carl Palmstierna, Fredrik Berglund, Fredrik Mansson, Lars Lindgren, Niklas Midby, Staffan Ingeborn",
Series A - Stafory (Robot Vera),https://www.crunchbase.com/funding_round/stafory-series-a--fc845f94,Stafory (Robot Vera),https://www.crunchbase.com/organization/stafory,Series A,226000000,RUB,3370262,2018-12-01,Early Stage Venture,,,,Yes,Stafory is a service to simplify the process of recruiting. Stafory has created Robot Vera.,"Artificial Intelligence (AI), Human Resources, Natural Language Processing, Online Portals, Professional Services, Recruiting, Robotics, Speech Recognition",,"San Francisco, California, United States, North America",https://hr.robotvera.ru,$1M to $10M,293100000,RUB,4462059,Early Stage Venture,6,"217,870",Internet Initiatives Development Fund (IIDF),1,Internet Initiatives Development Fund (IIDF),
Seed Round - Bunch AI,https://www.crunchbase.com/funding_round/bunch-ai-seed--f3241f28,Bunch AI,https://www.crunchbase.com/organization/bunch-ai,Seed,1120000,EUR,1370589,2018-04-24,Seed,,,,Yes,Bunch AI is an artificial intelligence company that provides leadership coaching services.,"Artificial Intelligence (AI), Information Technology, Machine Learning, Mobile Apps, Personal Development, Software","Women Founded, Women Led","New York, New York, United States, North America",http://bunch.ai,$1M to $10M,6598139,USD,6598139,M&A,4,"435,369",HTGF | High-Tech Gruenderfonds,5,"Atlantic Labs, Friedrich A. Neuman, HTGF | High-Tech Gruenderfonds, Marius Schulze, Unifier Ventures",3
Angel Round - Wisedocs,https://www.crunchbase.com/funding_round/wisedocs-angel--0c65f7bd,Wisedocs,https://www.crunchbase.com/organization/wisedocs,Angel,1400000,CAD,1079617,2018-06-01,Seed,,,,Yes,Wisedocs provides artificial intelligence solutions for processing insurance claims and legal medical records.,"Artificial Intelligence (AI), Insurance, InsurTech, Software",,"Toronto, Ontario, Canada, North America",https://www.wisedocs.ai,$1M to $10M,24550000,CAD,18418812,Private Equity,6,"218,923",,,,
Venture Round - AI inside,https://www.crunchbase.com/funding_round/ai-inside-series-unknown--b94d4c94,AI inside,https://www.crunchbase.com/organization/ai-inside,Venture - Series Unknown,120000000,JPY,1083057,2018-01-19,,,,,Yes,AI inside specializes in software development and artificial intelligence business.,"Artificial Intelligence (AI), Information Technology, Software",,"Tokyo, Tokyo, Japan, Asia",https://inside.ai/,$10M to $50M,1379500000,JPY,12351212,IPO,8,"226,966",Dai Nippon Printing,1,Dai Nippon Printing,
Seed Round - Moka,https://www.crunchbase.com/funding_round/moka-financial-technologies-seed--b461ac42,Moka,https://www.crunchbase.com/organization/moka-financial-technologies,Seed,2500000,CAD,2004120,2018-01-09,Seed,,,,Yes,Moka (previously Mylo) is Canada’s #1 saving and investing app.,"Artificial Intelligence (AI), Banking, Finance, Financial Services, FinTech",,"Montréal, Quebec, Canada, North America",https://moka.ai,$1M to $10M,13750000,CAD,10537549,M&A,5,"227,165",Desjardins Venture Capital,3,"Desjardins Venture Capital, Ferst Capital Partners - FCP, Robert Raich",1
Venture Round - Trust Science,https://www.crunchbase.com/funding_round/trust-science-series-unknown--5abc3604,Trust Science,https://www.crunchbase.com/organization/trust-science,Venture - Series Unknown,4000000,USD,4000000,2018-01-17,,,,,Yes,Trust Science is a provider of AI-powered alternative credit scoring solutions.,"Big Data, Credit Bureau, FinTech, Information and Communications Technology (ICT), Information Services, Intelligent Systems, Predictive Analytics, SaaS",,"Edmonton, Alberta, Canada, North America",https://www.trustscience.com,Less than $1M,20300000,USD,20300000,Early Stage Venture,5,"227,995",,,,
Debt Financing - Ziva Dynamics,https://www.crunchbase.com/funding_round/ziva-dynamics-debt-financing--d3adac16,Ziva Dynamics,https://www.crunchbase.com/organization/ziva-dynamics,Debt Financing,2000000,USD,2000000,2018-08-13,,,,,No,Ziva Dynamics is a software company that specializes in character creation and human simulation.,"3D Technology, Animation, Gaming, Machine Learning, Simulation, Software, Video Games, Virtual Reality, Virtual World",,"Vancouver, British Columbia, Canada, North America",http://zivadynamics.com/,$1M to $10M,10391552,USD,10391552,M&A,4,"553,234",TIMIA Capital,1,TIMIA Capital,1
Seed Round - Ortron,https://www.crunchbase.com/funding_round/ortron-seed--a97ee642,Ortron,https://www.crunchbase.com/organization/ortron,Seed,1450000,USD,1450000,2018-12-18,Seed,,,,Yes,Ortron is a Chinese semantic analysis technology firm.,"Artificial Intelligence (AI), Machine Learning, Robotics",,"Jiaxing, Zhejiang, China, Asia",http://www.ortron.cn/,,1450000,USD,1450000,Seed,1,"275,367",,2,"Artree Floor, Hongxiang Construction Group",
Seed Round - Placer.ai,https://www.crunchbase.com/funding_round/placer-seed--1268a626,Placer.ai,https://www.crunchbase.com/organization/placer,Seed,4000000,USD,4000000,2018-06-22,Seed,,,,Yes,Placer.ai offers a traffic analytics platform that allows anyone to generate insights into any property.,"Analytics, Artificial Intelligence (AI), Consumer, Geospatial, Software",,"Los Altos, California, United States, North America",https://www.placer.ai,$100M to $500M,247505828,USD,247505828,,11,"275,466",,7,"Array Ventures, Craig J. Abrahams, Itamar Mula, Ran Makavy, Stage Venture Partners, Stefan Martinovic, VITALIZE Venture Capital",3
Grant - Restb.ai,https://www.crunchbase.com/funding_round/restb-ai-grant--a4c7a5e4,Restb.ai,https://www.crunchbase.com/organization/restb-ai,Grant,1700000,EUR,1983641,2018-06-01,,,,,No,Restb.ai is the leading computer vision solution for real estate.,"Artificial Intelligence (AI), B2B, Computer Vision, Developer APIs, Image Recognition, Machine Learning, Visual Search",,"Barcelona, Catalonia, Spain, Europe",https://restb.ai,$1M to $10M,2900000,EUR,3301254,Seed,2,"229,790",Horizon 2020,1,Horizon 2020,
Series A - GliaCloud,https://www.crunchbase.com/funding_round/gliacloud-series-a--96cef4f4,GliaCloud,https://www.crunchbase.com/organization/gliacloud,Series A,1750000,USD,1750000,2018-09-30,Early Stage Venture,,,,Yes,GliaStudio is an AI-powered video creation platform for content automation.,"Artificial Intelligence (AI), Digital Media, Marketing, Software, Video, Video Editing",,"Taipei, T'ai-pei, Taiwan, Asia",http://gliacloud.com/,$1M to $10M,2490000,USD,2490000,Early Stage Venture,5,"229,978",,1,Headline Asia (formerly Infinity Ventures),
Seed Round - Reply.ai,https://www.crunchbase.com/funding_round/reply-ai-seed--dc286833,Reply.ai,https://www.crunchbase.com/organization/reply-ai,Seed,2300000,USD,2300000,2018-09-01,Seed,,,,Yes,We make customer service smarter and faster. Acquired by Kustomer,"Artificial Intelligence (AI), Customer Service, Enterprise Software, SaaS, Software",Women Founded,"New York, New York, United States, North America",http://reply.ai,$1M to $10M,3700000,USD,3700000,M&A,4,"609,911",JME Ventures,6,"Aflac Global Ventures, All Iron Ventures, Bull Partners, Everywhere Ventures (The Fund), JME Ventures, Seedcamp",4
Venture Round - Fusemachines,https://www.crunchbase.com/funding_round/fusemachines-series-unknown--45d4e751,Fusemachines,https://www.crunchbase.com/organization/fusemachines,Venture - Series Unknown,3000000,USD,3000000,2018-12-28,,,,,Yes,"Fusemachines is an enterprise AI services and solutions provider that brings AI education, products, and jobs to underserved communities.","Artificial Intelligence (AI), Big Data, Machine Learning, Software",,"New York, New York, United States, North America",http://fusemachines.com/,$50M to $100M,8875000,USD,8875000,IPO,4,"230,621",,,,
Series A - Smartbreeder,https://www.crunchbase.com/funding_round/smartbreeder-series-a--f89cca67,Smartbreeder,https://www.crunchbase.com/organization/smartbreeder,Series A,5000000,BRL,1521838,2018-03-19,Early Stage Venture,,,,Yes,Smartbreeder is a digital agronomic intelligence company that promotes sustainable agriculture.,"Agriculture, AgTech, Artificial Intelligence (AI), Farming, Predictive Analytics, Sustainability",,"Piracicaba, Sao Paulo, Brazil, South America",http://www.smartbreeder.com.br,Less than $1M,20000000,BRL,4408730,,2,"230,644","Inseed Investimentos, KPTL",2,"Inseed Investimentos, KPTL",
Series B - funding move,https://www.crunchbase.com/funding_round/move-0f80-series-b--f0bea451,funding move,https://www.crunchbase.com/organization/move-0f80,Series B,2936125,USD,2936125,2018-08-27,Early Stage Venture,,,,Yes,https://fundingmove.com/,"Artificial Intelligence (AI), Cloud Computing, Financial Services, Sports",,"London, England, United Kingdom, Europe",https://fundingmove.com/,$100M to $500M,2936125,USD,2936125,Early Stage Venture,1,"161,990",,2,"Binfu Capital, Ivy Capital",
Grant - Morpheus Space,https://www.crunchbase.com/funding_round/morpheus-space-grant--0fd7ecaa,Morpheus Space,https://www.crunchbase.com/organization/morpheus-space,Grant,1500000,USD,1500000,2018-04-01,,,,,No,"Morpheus Space sells satellite mobility solutions through electric propulsion systems, an autopilot, and mission analysis and design tools.","Aerospace, Artificial Intelligence (AI), Hardware, SaaS, Satellite Communication, Simulation, Software",,"El Segundo, California, United States, North America",http://www.morpheus-space.com,$10M to $50M,29590000,USD,29590000,Early Stage Venture,6,"431,393",,,,
Venture Round - Headwaters Japan,https://www.crunchbase.com/funding_round/headwaters-japan-series-unknown--b3c8053c,Headwaters Japan,https://www.crunchbase.com/organization/headwaters-japan,Venture - Series Unknown,200000000,JPY,1811630,2018-01-16,,,,,Yes,Headwaters is a platform that helps to provide optimal customer service.,"Artificial Intelligence (AI), Food and Beverage, Machine Learning",,"Tokyo, Tokyo, Japan, Asia",http://www.headwaters.co.jp/,,390000000,JPY,3664923,,2,"277,387",,4,"AirTrip, Evolable Asia Japan, IBJ Japan, Triple One",
Seed Round - Forecast,https://www.crunchbase.com/funding_round/forecasthq-seed--d6035520,Forecast,https://www.crunchbase.com/organization/forecasthq,Seed,3300000,USD,3300000,2018-03-15,Seed,,,,Yes,"Forecast is an AI-Native Platform for Financial, Resource & Project Management","Artificial Intelligence (AI), Finance, Human Resources, Machine Learning, Project Management, Scheduling, Software",,"London, England, United Kingdom, Europe",https://www.forecast.app,Less than $1M,29050000,USD,29050000,Early Stage Venture,6,"429,123",Heartcore Capital,4,"Heartcore Capital, PSV, Rasmus Aaen Madsen, Seed Capital",
Seed Round - Hypersonix,https://www.crunchbase.com/funding_round/hypersonix-inc-seed--db3d2cf7,Hypersonix,https://www.crunchbase.com/organization/hypersonix-inc,Seed,3600000,USD,3600000,2018-10-01,Seed,,,,Yes,Hypersonix helps ecommerce companies drive profitable revenue growth by providing a system of actionable intelligence.,"Artificial Intelligence (AI), B2B, E-Commerce, Machine Learning, SaaS, Sales Automation",Women Founded,"San Jose, California, United States, North America",http://www.hypersonix.ai,$1M to $10M,50100000,USD,50100000,Early Stage Venture,3,"433,084",Happiness Ventures,8,"Ajay Ramachandran, Anand Swaminathan, Firebolt Ventures, Gokul Rajaram, Happiness Ventures, Rami Habal, Sherpalo Ventures, Taher Haveliwala",2
Seed Round - ZEDEDA,https://www.crunchbase.com/funding_round/zededa-seed--19c291b1,ZEDEDA,https://www.crunchbase.com/organization/zededa,Seed,3060000,USD,3060000,2018-02-26,Seed,,,,Yes,ZEDEDA is a provider of distributed orchestration and virtualization software for Edge AI Compute.,"Artificial Intelligence (AI), Cloud Computing, Cloud Data Services, Open Source, Software",,"San Jose, California, United States, North America",https://www.zededa.com,$1M to $10M,129484000,USD,129484000,Late Stage Venture,5,"295,051","Almaz Capital, Wild West Capital",5,"Almaz Capital, Barton Capital, Energize Capital, Lux Capital, Wild West Capital",2
