Organization Name,Postal Code,Diversity Spotlight,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Number of Founders,Founders,Number of Employees,Number of Lead Investors,Number of Investors,Organization Name URL,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Company Type,Website,Twitter,Facebook,LinkedIn,Contact Email,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Duration (in weeks),Accelerator Application Deadline,Industry Groups,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors
Diligo,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/diligo,,"Logistics, Supply Chain Management, Transportation","Paris, Ile-de-France, France",Diligo operates as a Parisian transport solution by cargo bike. Diligo delivers their goods by cargo bike.,"538,997","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://www.diligo-solutions.com/,https://twitter.com/diligosolutions,https://www.facebook.com/diligo.solutions/,https://www.linkedin.com/company/diligo-solutions/,contact@diligo-solutions.com,,,,,,,,,,,,Transportation,,,,,,,,,,,,,,,,,,
Doctoclass,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/doctoclass,,"E-Learning, Health Care, Training","Paris, Ile-de-France, France",Doctoclass is an e-learning platform that provides training and education services for healthcare professionals.,"1,362,730","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://www.doctoclass.com,,https://www.facebook.com/DoctoClass.ToujoursMieuxSoigner,https://www.linkedin.com/company/doctoclass,hello@doctoclass.com,,,,,,,,,,,,"Education, Health Care, Software",,,,,,,,,,,,,,,,,,
Dokit,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/dokit-8ecb,,"DIY, Guides, Industrial, Industrial Automation, Industrial Engineering, Industrial Manufacturing, Machinery Manufacturing, SaaS, Software","Paris, Ile-de-France, France",Dokit step-by-step instructions software makes it easy to create user guides and product manuals that fit any screen and device.,"495,064","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://dokit.io,https://twitter.com/dokit_io,https://www.facebook.com/dokit/,https://www.linkedin.com/company/dokit.io/,contact@dokit.io,,,,,,,,,,,,"Consumer Goods, Manufacturing, Media and Entertainment, Science and Engineering, Software",,,,,,,,,,,,,,,,,,
Dropcontact,,,,Active,1/1/2016,day,,,,,1,Denis Cohen,10-Jan,,,https://www.crunchbase.com/organization/dropcontact,,"CRM, Email, Software","Paris, Ile-de-France, France","Dropcontact is a CRM solution providing firm that offers services for e-mail duplicates, correction of names, website and e-mail addresses.","253,621","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://www.dropcontact.com/,https://twitter.com/dropcontact_io,https://facebook.com/dropcontact,https://www.linkedin.com/company/dropcontact.io,,,,,,,,,,,,,"Information Technology, Internet Services, Messaging and Telecommunications, Sales and Marketing, Software",,,,,,,,,,,,,,,,,,
Dsflow,75008,,$1B to $10B,Active,12/1/2020,day,12/11/2023,day,,,1,Alexis de Choulot,Nov-50,,,https://www.crunchbase.com/organization/dsflow,,"Energy Management, Enterprise Resource Planning (ERP), Enterprise Software, SaaS, Software","Paris, Ile-de-France, France",Energy Portfolio Management SaaS,"317,461","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://www.dsflow.io,,,https://www.linkedin.com/company/dsflow/,hello@dsflow.io,,,,,,,,,,,,"Energy, Software",,M&A,,,,,,,,,,,,,,,,
ENAKL,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/enakl,,"Public Transportation, Ride Sharing, Transportation","Paris, Ile-de-France, France",Enakl is a mobility company providing bus-sharing solutions for commute rides in MEA region.,"12,199","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://www.enakl.com,,https://www.facebook.com/profile.php?id=100089371636529,https://www.linkedin.com/company/enakl/,charles@enakl.com,,,,,,,,,,,,Transportation,2,Seed,12/3/2024,1400000,USD,1400000,Pre-Seed,1400000,USD,1400000,Pre-Seed,1400000,USD,1400000,1400000,USD,1400000,"Renew Capital, Catalyst Fund, Digital Africa, STATION F"
Echoliv,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/echoliv,,"Artificial Intelligence (AI), Biotechnology, Health Care, Software","Paris, Ile-de-France, France",Echoliv develops AI medical-grade in liver ultrasound to assist radiologists and hepatologists.,"143,473","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://echoliv.ai,,,https://www.linkedin.com/company/echoliv/,,,,,,,,,,,,,"Artificial Intelligence (AI), Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software",3,Seed,7/7/2022,60000,EUR,61017,Pre-Seed,60000,EUR,61017,Pre-Seed,120000,EUR,124138,210000,EUR,230378,"Bpifrance, WILCO, IMT Starter"
Edusign,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/edusign,,"Corporate Training, Education, Internet, SaaS, Software, Training","Paris, Ile-de-France, France","Edusign is a SaaS provider for digital attendance sheets, signatures and documents.","56,992","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://www.edusign.fr,https://twitter.com/Edusignfr,https://www.facebook.com/edusignfr,https://www.linkedin.com/company/edusign/,hello@edusign.fr,,,,,,,,,,,,"Education, Internet Services, Software",1,Seed,11/12/2021,1000000,EUR,1144385,Seed,1000000,EUR,1144385,Seed,1000000,EUR,1144385,1000000,EUR,1144385,Shapr Ventures
Effency,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/effency,,"Consulting, Education, Training","Paris, Ile-de-France, France",Effency is a digital coach that enhances team effectiveness and soft skills using cognitive sciences.,"1,243,258","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://www.effency.fr,https://x.com/effency_,,https://www.linkedin.com/company/effency,team@effency.fr,,,,,,,,,,,,"Education, Professional Services",,,,,,,,,,,,,,,,,,
Ekie,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/ekie,,Legal,"Paris, Ile-de-France, France","Ekie offers legal care application that provide tools to manage all legal, administrative, and tax issues.","302,193","European Union (EU), Europe, Middle East, and Africa (EMEA)",,https://www.ekie.co,,,https://www.linkedin.com/company/getekie,hello@ekie.co,,,,,,,,,,,,Professional Services,,,,,,,,,,,,,,,,,,
Elevo,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/elevo,,"Human Resources, Software","Paris, Ile-de-France, France",Elevo is a Paris-based performance management platform.,"53,021","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,http://www.elevo.fr,https://twitter.com/_elevo,,https://www.linkedin.com/company/elevo./,hello@elevo.fr,,,,,,,,,,,,"Administrative Services, Software",3,Early Stage Venture,10/7/2021,6000000,EUR,6935703,Series A,6000000,EUR,6935703,Series A,7000000,EUR,8050875,7000000,EUR,8050875,"Seed4Soft, Elaia, Julien Codorniou, Chausson Finance, Investisseurs privÃ©s"
Eliosor,75001,,,Active,,,,,,,,,10-Jan,,,https://www.crunchbase.com/organization/eliosor,,,"Paris, Ile-de-France, France",Eliosor is a company to create new way to own real estate.,"3,251,861","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://www.eliosor.com/,,,https://www.linkedin.com/company/eliosor/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elyn,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/elyn,,"E-Commerce, Vertical Search","Paris, Ile-de-France, France",Elyn helps merchants convert more online visitors into actual cutosmers and customer returns into more revenues,"34,701","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://elyn.io,,,https://www.linkedin.com/company/elyn,,,,,,,,,,,,,"Commerce and Shopping, Internet Services",1,Seed,3/7/2023,2500000,EUR,2637198,Pre-Seed,2500000,EUR,2637198,Pre-Seed,2500000,EUR,2637198,2500000,EUR,2637198,"Sequoia Capital, Headline, Motier Ventures, Marc Menase, Financiere Saint James"
Emobot,75001,,,Active,1/1/2022,year,,,,,2,"Renaud Seguier, Tanel Petelot",10-Jan,,,https://www.crunchbase.com/organization/emobot,,"Artificial Intelligence (AI), Medical Device, Software","Paris, Ile-de-France, France",Emobot develops medical devices to monitor and detect mood disorders like depression.,"278,569","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://www.emobot.fr,https://twitter.com/EmobotRobot,https://www.facebook.com/emobot.robot,https://www.linkedin.com/company/emobot,contact@emobot.fr,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",,,,,,,,,,,,,,,,,,
Enchanted Tools,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/enchanted-tools,,"Artificial Intelligence (AI), Robotics, Software","Paris, Ile-de-France, France",Enchanted Tools is an AI robot development company.,"2,543","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://www.enchanted.tools/,https://twitter.com/EnchantedTools,https://www.facebook.com/enchantedtools,https://www.linkedin.com/company/enchantedtools,contact@enchanted.tools,,,1,1,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software",1,Seed,2/2/2022,15000000,EUR,16949670,Seed,15000000,EUR,16949670,Seed,15000000,EUR,16949670,15000000,EUR,16949670,
Endeer,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/endeer,,"3D Printing, 3D Technology, Lingerie, Manufacturing, Textiles","Paris, Ile-de-France, France",Endeer is a textiles company that manufactures 3D printed and size-free lingerie.,"1,137,094","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://www.endeer.fr/,https://twitter.com/endeer_lingerie,https://www.facebook.com/endeer.paris,https://www.linkedin.com/company/endeer,,,,,,,,,,,,,"Clothing and Apparel, Consumer Goods, Hardware, Manufacturing, Software",1,Seed,1/1/2017,,,,Seed,,,,Seed,,,,,,,The Next Women
Epigene Labs,,,$1M to $10M,Active,1/1/2019,year,,,,,2,"Akpeli Nordor, Arthur de Garidel",Nov-50,2,4,https://www.crunchbase.com/organization/epigene-labs,,"Biopharma, Biotechnology, Oncology","Paris, Ile-de-France, France",Epigene Labs designs genomics-driven drug for precision oncology.,"32,432","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,http://www.epigenelabs.com/,https://twitter.com/epigenelabs,,https://www.linkedin.com/company/epigene-labs/,contact@epigenelabs.com,,,,,,,,,,,,"Biotechnology, Health Care, Science and Engineering",4,Seed,9/29/2023,1500000,EUR,1587050,Convertible Note,1400000,EUR,1544032,Seed,1400000,EUR,1544032,5395789,EUR,6014720,"European Innovation Council, AGORANOV, Daphni, Majycc eSantÃ© Invest"
Episto,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/episto,,"Advertising, Information Technology, Internet","Paris, Ile-de-France, France",Episto creates technologies to collect authentic opinions from a wide range of targets.,"79,386","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://en.episto.fr,https://twitter.com/helloepisto?lang=en,https://www.facebook.com/epistofr/,https://www.linkedin.com/company/episto,hello@episto.fr,,,,,,,,,,,,"Advertising, Information Technology, Internet Services, Sales and Marketing",2,,9/27/2023,2500000,EUR,2626326,Venture - Series Unknown,2500000,EUR,2626326,Venture - Series Unknown,4100000,EUR,4480790,4100000,EUR,4480790,"Bpifrance, GO CAPITAL, Charles Gorintin, Romain Niccoli, Takara Capital"
Escapad,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/escapad,,"Mobile Apps, Museums and Historical Sites, Tourism, Travel","Paris, Ile-de-France, France","Digital Guides published by professionals to discover cities and their monuments, museums and their exhibits around the world.","2,838,072","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://www.escapad.io,,https://www.facebook.com/escapad,https://www.linkedin.com/company/escapad,contact@escapad.io,,,,,,,,,,,,"Apps, Mobile, Software, Travel and Tourism",,,,,,,,,,,,,,,,,,
Estuaire,75116,,,Active,12/2/2022,day,,,,,2,"Maxime Meijers, Nicolas Meijers",10-Jan,1,4,https://www.crunchbase.com/organization/estuaire,,"Aerospace, GreenTech","Paris, Ile-de-France, France",Estuaire aims to empower the aviation industry by reducing its environmental impact.,"47,859","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://estuaire.dev,,,https://www.linkedin.com/company/estuaire-company/,contact@estuaire.dev,,,,,,,,,,,,"Science and Engineering, Sustainability",2,Seed,6/25/2024,2200000,EUR,2356061,Seed,2200000,EUR,2356061,Seed,2200000,EUR,2356061,2230000,EUR,2388217,"XAnge, AFI Ventures, Satgana, Safran Corporate Ventures"
EthicAdvisor,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/ethicadvisor,,"Apps, Internet, Marketplace, Non Profit","Paris, Ile-de-France, France",EthicAdvisor provide solutions to discover or rediscover responsible consumption.,"2,166,387","European Union (EU), Europe, Middle East, and Africa (EMEA)",Non-profit,https://www.ethicadvisor.org/,https://twitter.com/EthicAdvisor,https://www.facebook.com/EthicAdvisor,https://www.linkedin.com/company/ethicadvisor,,,,,,,,,,,,,"Apps, Commerce and Shopping, Internet Services, Other, Social Impact, Software",,,,,,,,,,,,,,,,,,
Evalmee,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/evalmee,,"Education, Online Portals, Skill Assessment, Training","Paris, Ile-de-France, France","Evalmee is an online platform that offers remote scheduling, holding, monitoring, assessing, and analyzing services for online examinations.","446,232","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://www.evalmee.com,https://twitter.com/evalmeehq,,https://www.linkedin.com/company/evalmee,contact@technology.com,,,,,,,,,,,,"Education, Internet Services",,,,,,,,,,,,,,,,,,
Everimpact,,,$1M to $10M,Active,1/1/2015,year,,,,,3,"Alain RetiÃ¨re, Jan Mattsson, Mathieu Carlier",10-Jan,2,11,https://www.crunchbase.com/organization/everimpact,,Internet,"Paris, Ile-de-France, France","Carbon Tracking system for Cities, Ships, Ports, and industrial sites","28,297","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://www.everimpact.com,,,https://www.linkedin.com/company/everimpact,,,,,,,,,,,,,Internet Services,3,Seed,12/14/2022,1711000,EUR,1826680,Seed,1711000,EUR,1826680,Seed,2031000,EUR,2199217,2031000,EUR,2199217,"EIT Urban Mobility, MOL PLUS, ADB Ventures, Motion Ventures, Climate-KIC"
EyePick,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/eyepick,,Robotics,"Paris, Ile-de-France, France",EyePick is a provider of automation solutions for manual tasks using vision guided robots.,"277,797","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://eyepick.com,,,https://www.linkedin.com/company/14824975,contact@eyepick.com,,,,,,,,,,,,"Hardware, Science and Engineering, Software",2,Seed,11/1/2021,,,,Seed,,,,Seed,,,,,,,"Entrepreneur First, Elaia"
FINGREEN AI,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/fingreen-ai,,"Artificial Intelligence (AI), FinTech, Software, Sustainability","Paris, Ile-de-France, France",FINGREEN AI provides an AI-powered SaaS solution for ESG data analytics and reporting on private assets,"46,082","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://www.fingreen.ai/,,,https://www.linkedin.com/company/fingreen-ai,louis.frank@fingreen.ai,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Science and Engineering, Software, Sustainability",2,Seed,10/4/2023,1000000,EUR,1050776,Pre-Seed,1000000,EUR,1050776,Pre-Seed,1000000,EUR,1050776,1000000,EUR,1050776,"Plug and Play, BlackWood Ventures, Habert Dassault Finance"
FRINGUANT,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/fringuant,,"Consumer Software, Fashion, Mobile Apps, Personalization","Paris, Ile-de-France, France",FRINGUANT is a body scanning technology for online fashion brands that allows users to find the right garment size in less than 10 seconds.,"303,765","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://www.fringuant.com,,,,,,,,,,,,,,,,"Apps, Clothing and Apparel, Commerce and Shopping, Design, Mobile, Software",1,Seed,10/1/2022,,,,Pre-Seed,,,,Pre-Seed,,,,,,,Sharpstone Capital
Fabriq,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/fabriq-4e3e,,"Manufacturing, SaaS, Software","Paris, Ile-de-France, France","Collaborative Saas built for manufacturing teams, driving improved operational performance.","26,133","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://www.fabriq.tech/,https://twitter.com/usefabriq,https://www.facebook.com/usefabriq/,https://www.linkedin.com/company/fabriq-team,hello@usefabriq.com,,,,,,,,,,,,"Manufacturing, Software",2,Early Stage Venture,6/3/2022,4000000,EUR,4288059,Series A,4000000,EUR,4288059,Series A,4828059,USD,4828059,4828059,USD,4828059,"OSS Ventures, Thibaud Elziere, Alexis Bonillo, Gabriel Caillaux, Amirhossein Malekzadeh"
Factio,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/factio,,"Association, CivicTech, Politics, Social Entrepreneurship, Social Network","Paris, Ile-de-France, France",Making citizen engagement easy,"885,353","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,http://www.factio.org,https://twitter.com/Factio_org,https://www.facebook.com/Factio.org/,http://www.linkedin.com/company/factio-tech,contact@factio.org,,,,,,,,,,,,"Community and Lifestyle, Government and Military, Information Technology, Internet Services, Other, Social Impact",,,,,,,,,,,,,,,,,,
Factomos,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/factomos,,"Accounting, Payments, SaaS, Software","Paris, Ile-de-France, France","Factomos is a financial software that offers customers billing, invoicing, and other solutions.","342,441","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,http://www.factomos.com,http://twitter.com/factomos,https://www.facebook.com/factomos,https://www.linkedin.com/company/factomos---logiciel-de-facturation-en-ligne/,contact@factomos.com,,,,,,,,,,,,"Financial Services, Payments, Professional Services, Software",,M&A,,,,,,,,,,,,,,,,
Faircraft,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/faircraft,,"Advanced Materials, Biotechnology, Fashion, GreenTech","Paris, Ile-de-France, France",Faircraft is leveraging advanced synthetic biology and material science techniques to develop a lab-grown alternative to animal leather.,"8,981","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://www.faircraft.bio,,,https://www.linkedin.com/company/faircraft/,contact@faircraft.bio,,,,,,,,,,,,"Biotechnology, Clothing and Apparel, Design, Manufacturing, Science and Engineering, Sustainability",3,Early Stage Venture,11/21/2024,15000000,EUR,15703649,Series A,15000000,EUR,15703649,Series A,18203649,USD,18203649,18203649,USD,18203649,"Entrepreneur First, Bpifrance, Joyance Partners, Blue Wire Capital, Kindred Ventures"
Fairjungle,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/fairjungle,,"Travel, Travel Agency","Paris, Ile-de-France, France","Fairjungle helps you to Book, manage, and control business travel.","77,459","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://www.fairjungle.com/,https://twitter.com/fairjungle/,https://www.facebook.com/fairjungle/,https://www.linkedin.com/company/slimvalley/,contact@fairjungle.com,,,,,,,,,,,,Travel and Tourism,1,Seed,6/26/2019,1800000,EUR,2047258,Seed,1800000,EUR,2047258,Seed,1800000,EUR,2047258,1800000,EUR,2047258,"Alexandre GRUX, Eduardo Ronzano, Whitestones Ventures, Bertrand Mabille"
Fairly Made,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/fairly-made,,"B2B, Environmental Consulting, Fashion, Sustainability","Paris, Ile-de-France, France",Fairly Made is an environmentally friendly fashion provider dedicated to helping brands create a transparent procurement model.,"31,456","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://www.fairlymade.com/,,,https://www.linkedin.com/company/fairly-made/?originalSubdomain=fr,,,,,,,,,,,,,"Clothing and Apparel, Design, Other, Professional Services, Sustainability",1,Seed,10/18/2022,5000000,EUR,4931326,Seed,5000000,EUR,4931326,Seed,5000000,EUR,4931326,5000000,EUR,4931326,"Frenchfounders, LeFonds by FrenchFounders, ETF Group"
Favikon,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/favikon,,"Advertising, Artificial Intelligence (AI), Digital Marketing, SaaS","Paris, Ile-de-France, France","Favikon is an AI-powered Influencer Marketing Platform to find, analyze & manage creators & influencers.","51,124","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://www.favikon.com/,https://twitter.com/fav_ikon?lang=en,,https://www.linkedin.com/company/favikon,admin@favikon.com,,,,,,,,,,,,"Advertising, Artificial Intelligence (AI), Data and Analytics, Sales and Marketing, Science and Engineering, Software",1,Seed,12/9/2020,500000,EUR,603922,Seed,500000,EUR,603922,Seed,500000,EUR,603922,500000,EUR,603922,"Provence Business Angels, INSEAD Business Angels Alumni France, Polymatter Ventures"
Feachy,,,,Active,1/1/2020,year,,,,,1,CÃ©lim Starck,10-Jan,,,https://www.crunchbase.com/organization/feachy,,Information Services,"Paris, Ile-de-France, France",Feachy câ€™est la solution efficace contre la fraude.,"3,355,610","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://www.feachy.com,,,https://www.linkedin.com/company/feachy,,,,,,,,,,,,,Information Technology,,,,,,,,,,,,,,,,,,
Feels,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/feels-8db3,,"Content Creators, Dating, Mobile Apps, Social Media, Social Network","Paris, Ile-de-France, France",Feels is a social discovery network that allows users to find and meet new people.,"17,828","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://www.feels-app.com,https://twitter.com/feels_the_app,https://www.facebook.com/feelstheapp,https://www.linkedin.com/company/feels-app,daniel@feels-app.com,,,,,,,,,,,,"Apps, Community and Lifestyle, Internet Services, Media and Entertainment, Mobile, Software",2,Seed,1/8/2022,2500000,EUR,2840251,Seed,2500000,EUR,2840251,Seed,3600000,EUR,4176825,3600000,EUR,4176825,"Creator Ventures, Secocha Ventures, Alexandre Yazdi, Adrien Miniatti, Diaspora Ventures"
Ferpection,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/ferpection,,"A/B Testing, Mobile, Online Portals","Paris, Ile-de-France, France",Ferpection helps companies optimise their websites and mobile apps with a community of testers.,"279,829","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://ferpection.com,https://twitter.com/ferpection,https://facebook.com/ferpectio,https://www.linkedin.com/company/5325418,,,,,,,,,,,,,"Data and Analytics, Internet Services, Mobile",,,,,,,,,,,,,,,,,,
Fidcar,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/fidcar,,"Analytics, Automotive, Information Services, Internet","Paris, Ile-de-France, France",Fidcar is an innovative solution provider for automotive retail-based in France.,"703,307","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://www.fidcar.com/en,https://twitter.com/FIDCAR_solution,https://www.facebook.com/FIDCAR.Solution/,https://www.linkedin.com/company/fidcar,,,,,,,,,,,,,"Data and Analytics, Information Technology, Internet Services, Transportation",,M&A,,,,,,,,,,,,,,,,
Fidensio,,,,Active,,,,,,,,,10-Jan,,,https://www.crunchbase.com/organization/fidensio,,"Mobile Apps, Service Industry, Small and Medium Businesses","Paris, Ile-de-France, France",Fidensio is a provider of concierge services.,"1,105,406","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://www.fidensio.com,https://twitter.com/fidensiofr,https://www.facebook.com/FidensioFR,https://www.linkedin.com/company/fidensio,,,,,,,,,,,,,"Apps, Mobile, Other, Software",,,,,,,,,,,,,,,,,,
Fincome,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/fincome,,"Business Intelligence, Enterprise Software, Predictive Analytics","Paris, Ile-de-France, France",Fincome provides managers with a real-time view of their company's performance.,"92,508","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://www.fincome.co/,,,https://www.linkedin.com/company/fincome-tech/,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Software",1,Seed,10/17/2022,1000000,EUR,984385,Seed,1000000,EUR,984385,Seed,1000000,EUR,984385,1000000,EUR,984385,Accel
Fintecture,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/fintecture,,"Computer, FinTech","Paris, Ile-de-France, France",Pioneering next-gen B2B payment platform. Fintecture is a licensed payment institution (ACPR-17248),"19,084","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://www.fintecture.com/,https://twitter.com/fintecture,,https://www.linkedin.com/company/fintecture/,contact@fintecture.com,,,,,,,,,,,,"Consumer Electronics, Financial Services, Hardware",3,Early Stage Venture,11/3/2022,26000000,EUR,25348394,Series A,26000000,EUR,25348394,Series A,32000000,EUR,32557281,32000000,EUR,32557281,"Societe Generale, RTP Global, Eurazeo, Target Global, Samaipata"
Firenoon,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/firenoon,,"Apps, Communities, Fashion, Internet","Paris, Ile-de-France, France",Firenoon is a personalized social application developed for people to engage and share opinions and reviews about the latest fashion.,"1,804,748","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://www.firenoon.com/,https://twitter.com/firenoon,,https://www.linkedin.com/company/firenoon,hello@firenoon.com,,,,,,,,,,,,"Apps, Clothing and Apparel, Community and Lifestyle, Design, Internet Services, Software",,,,,,,,,,,,,,,,,,
FishFriender,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/fishfriender,,Social Network,"Paris, Ile-de-France, France",The Global Fishing Platform,"646,576","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://www.fishfriender.com/,https://twitter.com/fish_friender,https://www.facebook.com/fishfriender,https://www.linkedin.com/company/fishfriender,contact@fishfriender.com,,,,,,,,,,,,Internet Services,,,,,,,,,,,,,,,,,,
Fitle,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/fitle,,"Apps, Big Data, E-Commerce, Fashion, Shopping","Paris, Ile-de-France, France","Fitle develops algorithms to predict the right size of garments or shoes to buy online, embedded in a simple and intuitive plugin on e-shops","239,501","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,http://www.fitle.com/,http://twitter.com/WeAreFitle,http://www.facebook.com/wearefitle,https://www.linkedin.com/company/fitle,charles@fitle.com,,,,,,,,,,,,"Apps, Clothing and Apparel, Commerce and Shopping, Data and Analytics, Design, Software",,,,,,,,,,,,,,,,,,
Flakon Paris,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/flakon,,Wine And Spirits,"Paris, Ile-de-France, France","DNVB, Bringing the Tasting Room to Your Living Room","1,419,965","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://www.flakon.fr/,,,https://www.linkedin.com/showcase/flakonparis/about,hello@flakon.fr,,,,,,,,,,,,Food and Beverage,,,,,,,,,,,,,,,,,,
Flowlity,75013,,$1M to $10M,Active,1/28/2019,day,,,,,2,"Jean-Baptiste Clouard, Karim Benchaaboun",Nov-50,4,7,https://www.crunchbase.com/organization/flowlity,,"Artificial Intelligence (AI), Information Technology, Machine Learning, SaaS, Software, Supply Chain Management","Paris, Ile-de-France, France","SaaS using AI to build resilient supply chain, predict sales and consumptions and optimize inventories","29,457","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,http://www.flowlity.com,https://twitter.com/flowlity,,https://www.linkedin.com/company/18919006,jbc@flowlity.com,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software, Transportation",3,Seed,3/10/2022,5000000,EUR,5506681,Seed,5000000,EUR,5506681,Seed,6626681,USD,6626681,6626681,USD,6626681,"Entrepreneur First, Bpifrance, AGORANOV, OSS Ventures, 42CAP"
