priority;cpc;description;relevant
Automotive ECUs;B60R16/023;Arrangement of elements of electric or fluid circuits specially adapted for vehicles and not otherwise provided for electric constitutive elements for transmission of signals between vehicle parts or subsystems;yes
Automotive ECUs;B60R2021/01068;{between different sensors and airbag control unit};yes
Automotive ECUs;B60R2021/01075;{between the airbag control unit and pyrotechnic fuses or equivalent actuators};yes
Automotive ECUs;B60R2021/01286;{Electronic control units};yes
Automotive ECUs;B60R2300;Details of viewing arrangements using cameras and displays, specially adapted for use in a vehicle;yes
Automotive ECUs;B60W1;Conjoint control of vehicle sub-units of different type or different function (for propulsion of purely electrically-propelled vehicles with power supplied within the vehicle B60L50/00 - B60L58/00);yes
Automotive ECUs;B60W2;"Control systems specially adapted for hybrid vehicles {(hybrid vehicle design, B60K6/00; electric vehicles B60L)}";yes
Automotive ECUs;B60W3;Purposes of road vehicle drive control systems not related to the control of a particular sub-unit, e.g. of systems using conjoint control of vehicle sub-units {, or advanced driver assistance systems for ensuring comfort, stability and safety or drive control systems for propelling or retarding the vehicle (anti-lock brake systems [ABS] B60T8/00)};yes
Automotive ECUs;B60W4;Estimation or calculation of {non-directly measurable} driving parameters for road vehicle drive control systems not related to the control of a particular sub unit, {e.g. by using mathematical models};yes
Automotive ECUs;B60W5;Details of control systems for road vehicle drive control not related to the control of a particular sub-unit {, e.g. process diagnostic or vehicle driver interfaces};yes
Automotive ECUs;B60W6;Drive control systems specially adapted for autonomous road vehicles;yes
Automotive ECUs;F16H61/0006;{Electronic control units for transmission control, e.g. connectors, casings or circuit boards};yes
Automotive ECUs;G05B2219/2637;Vehicle, car, auto, wheelchair;yes
Automotive ECUs;H05K5/0026;{provided with connectors and printed circuit boards [PCB], e.g. automotive electronic control units};yes
