"reg","tech","year","count","share"
"IT","Artificial Intelligence",2012,7,0.907
"IT","Artificial Intelligence",2013,10,1.015
"IT","Artificial Intelligence",2014,7,0.496
"IT","Artificial Intelligence",2015,8,0.519
"IT","Artificial Intelligence",2016,10,0.577
"IT","Artificial Intelligence",2017,21,0.752
"IT","Artificial Intelligence",2018,25,0.571
"IT","Artificial Intelligence",2019,48,0.643
"IT","Artificial Intelligence",2020,43,0.405
"IT","Artificial Intelligence",2021,42,0.339
"IT","Artificial Intelligence",2022,75,0.624
"IT","Artificial Intelligence",2023,33,0.54
"JO","Artificial Intelligence",2019,1,0.013
"JO","Artificial Intelligence",2021,1,0.008
"JO","Artificial Intelligence",2022,1,0.008
"JP","Artificial Intelligence",1982,3,75
"JP","Artificial Intelligence",1987,2,20
"JP","Artificial Intelligence",1989,3,17.647
"JP","Artificial Intelligence",1990,12,29.268
"JP","Artificial Intelligence",1991,7,13.462
"JP","Artificial Intelligence",1992,9,14.516
"JP","Artificial Intelligence",1993,8,12.308
"JP","Artificial Intelligence",1994,6,10.714
"JP","Artificial Intelligence",1995,8,7.273
"JP","Artificial Intelligence",1996,2,2.41
"JP","Artificial Intelligence",1997,5,4.63
"JP","Artificial Intelligence",1998,6,4.511
"JP","Artificial Intelligence",1999,10,6.667
"JP","Artificial Intelligence",2000,7,3.084
"JP","Artificial Intelligence",2001,14,3.784
"JP","Artificial Intelligence",2002,30,6.329
"JP","Artificial Intelligence",2003,22,5.962
"JP","Artificial Intelligence",2004,29,7.88
"JP","Artificial Intelligence",2005,38,7.851
"JP","Artificial Intelligence",2006,51,9.641
"JP","Artificial Intelligence",2007,52,8.859
"JP","Artificial Intelligence",2008,61,9.871
"JP","Artificial Intelligence",2009,62,11.052
"JP","Artificial Intelligence",2010,67,10.601
"JP","Artificial Intelligence",2011,91,12.908
"JP","Artificial Intelligence",2012,92,11.917
"JP","Artificial Intelligence",2013,115,11.675
"JP","Artificial Intelligence",2014,146,10.355
"JP","Artificial Intelligence",2015,157,10.188
"JP","Artificial Intelligence",2016,202,11.663
"JP","Artificial Intelligence",2017,303,10.849
"JP","Artificial Intelligence",2018,544,12.426
"JP","Artificial Intelligence",2019,911,12.2
"JP","Artificial Intelligence",2020,1426,13.445
"JP","Artificial Intelligence",2021,1376,11.116
"JP","Artificial Intelligence",2022,909,7.566
"JP","Artificial Intelligence",2023,359,5.871
"KE","Artificial Intelligence",2020,1,0.009
"KE","Artificial Intelligence",2021,1,0.008
"KR","Artificial Intelligence",2001,4,1.081
"KR","Artificial Intelligence",2002,3,0.633
"KR","Artificial Intelligence",2003,5,1.355
"KR","Artificial Intelligence",2004,2,0.543
"KR","Artificial Intelligence",2005,9,1.86
"KR","Artificial Intelligence",2006,8,1.512
"KR","Artificial Intelligence",2007,9,1.533
"KR","Artificial Intelligence",2008,10,1.618
"KR","Artificial Intelligence",2009,12,2.139
"KR","Artificial Intelligence",2010,20,3.165
"KR","Artificial Intelligence",2011,20,2.837
"KR","Artificial Intelligence",2012,25,3.238
"KR","Artificial Intelligence",2013,26,2.64
"KR","Artificial Intelligence",2014,30,2.128
"KR","Artificial Intelligence",2015,39,2.531
"KR","Artificial Intelligence",2016,46,2.656
"KR","Artificial Intelligence",2017,81,2.9
"KR","Artificial Intelligence",2018,199,4.545
"KR","Artificial Intelligence",2019,469,6.281
"KR","Artificial Intelligence",2020,801,7.552
"KR","Artificial Intelligence",2021,899,7.262
"KR","Artificial Intelligence",2022,1199,9.979
"KR","Artificial Intelligence",2023,775,12.674
"KY","Artificial Intelligence",1997,1,0.926
"KY","Artificial Intelligence",2014,1,0.071
"KY","Artificial Intelligence",2019,1,0.013
"KY","Artificial Intelligence",2020,1,0.009
"LB","Artificial Intelligence",2008,1,0.162
"LB","Artificial Intelligence",2012,1,0.13
"LB","Artificial Intelligence",2019,1,0.013
"LB","Artificial Intelligence",2022,1,0.008
"LB","Artificial Intelligence",2023,1,0.016
"LI","Artificial Intelligence",2019,1,0.013
"LI","Artificial Intelligence",2021,1,0.008
"LK","Artificial Intelligence",2015,1,0.065
"LK","Artificial Intelligence",2020,1,0.009
"LT","Artificial Intelligence",2014,1,0.071
"LT","Artificial Intelligence",2018,2,0.046
"LT","Artificial Intelligence",2019,1,0.013
"LT","Artificial Intelligence",2020,2,0.019
"LT","Artificial Intelligence",2021,1,0.008
"LT","Artificial Intelligence",2023,1,0.016
"LU","Artificial Intelligence",2010,1,0.158
"LU","Artificial Intelligence",2013,1,0.102
"LU","Artificial Intelligence",2014,1,0.071
"LU","Artificial Intelligence",2016,1,0.058
"LU","Artificial Intelligence",2017,1,0.036
"LU","Artificial Intelligence",2018,1,0.023
"LU","Artificial Intelligence",2019,1,0.013
"LU","Artificial Intelligence",2020,6,0.057
"LU","Artificial Intelligence",2021,1,0.008
"LU","Artificial Intelligence",2022,3,0.025
"LU","Artificial Intelligence",2023,1,0.016
"LV","Artificial Intelligence",2021,2,0.016
"MA","Artificial Intelligence",2014,1,0.071
"MA","Artificial Intelligence",2022,2,0.017
"MC","Artificial Intelligence",2016,1,0.058
"MC","Artificial Intelligence",2020,2,0.019
"MC","Artificial Intelligence",2021,4,0.032
"ME","Artificial Intelligence",2008,1,0.162
"ME","Artificial Intelligence",2013,1,0.102
"ME","Artificial Intelligence",2014,1,0.071
"ME","Artificial Intelligence",2015,1,0.065
"ME","Artificial Intelligence",2017,3,0.107
"ME","Artificial Intelligence",2019,8,0.107
"ME","Artificial Intelligence",2020,6,0.057
"ME","Artificial Intelligence",2021,9,0.073
"ME","Artificial Intelligence",2022,5,0.042
"ME","Artificial Intelligence",2023,2,0.033
"MK","Artificial Intelligence",2019,1,0.013
"MK","Artificial Intelligence",2022,1,0.008
"MT","Artificial Intelligence",2006,1,0.189
"MT","Artificial Intelligence",2019,1,0.013
"MT","Artificial Intelligence",2020,1,0.009
"MT","Artificial Intelligence",2021,8,0.065
"MT","Artificial Intelligence",2022,3,0.025
"MY","Artificial Intelligence",2004,1,0.272
"MY","Artificial Intelligence",2009,3,0.535
"MY","Artificial Intelligence",2010,3,0.475
"MY","Artificial Intelligence",2011,5,0.709
"MY","Artificial Intelligence",2012,1,0.13
"MY","Artificial Intelligence",2013,2,0.203
"MY","Artificial Intelligence",2014,2,0.142
"MY","Artificial Intelligence",2015,11,0.714
"MY","Artificial Intelligence",2016,2,0.115
"MY","Artificial Intelligence",2017,1,0.036
"MY","Artificial Intelligence",2018,1,0.023
"MY","Artificial Intelligence",2019,3,0.04
"MY","Artificial Intelligence",2020,6,0.057
"MY","Artificial Intelligence",2021,14,0.113
"MY","Artificial Intelligence",2022,12,0.1
"MY","Artificial Intelligence",2023,3,0.049
"NC","Artificial Intelligence",2020,2,0.019
"NC","Artificial Intelligence",2021,4,0.032
"NL","Artificial Intelligence",1990,2,4.878
"NL","Artificial Intelligence",1993,2,3.077
"NL","Artificial Intelligence",1994,2,3.571
"NL","Artificial Intelligence",1995,2,1.818
"NL","Artificial Intelligence",1996,2,2.41
"NL","Artificial Intelligence",1997,2,1.852
"NL","Artificial Intelligence",1998,5,3.759
"NL","Artificial Intelligence",1999,1,0.667
"NL","Artificial Intelligence",2000,6,2.643
"NL","Artificial Intelligence",2001,10,2.703
"NL","Artificial Intelligence",2002,9,1.899
"NL","Artificial Intelligence",2003,12,3.252
"NL","Artificial Intelligence",2004,2,0.543
"NL","Artificial Intelligence",2005,6,1.24
"NL","Artificial Intelligence",2006,8,1.512
"NL","Artificial Intelligence",2007,11,1.874
"NL","Artificial Intelligence",2008,13,2.104
"NL","Artificial Intelligence",2009,11,1.961
"NL","Artificial Intelligence",2010,15,2.373
"NL","Artificial Intelligence",2011,7,0.993
"NL","Artificial Intelligence",2012,14,1.813
"NL","Artificial Intelligence",2013,14,1.421
"NL","Artificial Intelligence",2014,24,1.702
"NL","Artificial Intelligence",2015,26,1.687
"NL","Artificial Intelligence",2016,38,2.194
"NL","Artificial Intelligence",2017,53,1.898
"NL","Artificial Intelligence",2018,79,1.804
"NL","Artificial Intelligence",2019,159,2.129
"NL","Artificial Intelligence",2020,168,1.584
"NL","Artificial Intelligence",2021,167,1.349
"NL","Artificial Intelligence",2022,130,1.082
"NL","Artificial Intelligence",2023,79,1.292
"NO","Artificial Intelligence",1999,2,1.333
"NO","Artificial Intelligence",2000,1,0.441
"NO","Artificial Intelligence",2001,3,0.811
"NO","Artificial Intelligence",2004,1,0.272
"NO","Artificial Intelligence",2006,2,0.378
"NO","Artificial Intelligence",2007,3,0.511
"NO","Artificial Intelligence",2008,1,0.162
"NO","Artificial Intelligence",2009,6,1.07
"NO","Artificial Intelligence",2010,2,0.316
"NO","Artificial Intelligence",2013,2,0.203
"NO","Artificial Intelligence",2015,4,0.26
"NO","Artificial Intelligence",2016,5,0.289
"NO","Artificial Intelligence",2017,3,0.107
"NO","Artificial Intelligence",2018,8,0.183
"NO","Artificial Intelligence",2019,14,0.187
"NO","Artificial Intelligence",2020,18,0.17
"NO","Artificial Intelligence",2021,15,0.121
"NO","Artificial Intelligence",2022,15,0.125
"NO","Artificial Intelligence",2023,5,0.082
"NZ","Artificial Intelligence",2001,1,0.27
"NZ","Artificial Intelligence",2003,1,0.271
"NZ","Artificial Intelligence",2004,2,0.543
"NZ","Artificial Intelligence",2005,3,0.62
"NZ","Artificial Intelligence",2006,1,0.189
"NZ","Artificial Intelligence",2008,1,0.162
"NZ","Artificial Intelligence",2009,1,0.178
"NZ","Artificial Intelligence",2010,2,0.316
"NZ","Artificial Intelligence",2011,5,0.709
"NZ","Artificial Intelligence",2012,2,0.259
"NZ","Artificial Intelligence",2013,1,0.102
"NZ","Artificial Intelligence",2014,1,0.071
"NZ","Artificial Intelligence",2015,2,0.13
"NZ","Artificial Intelligence",2016,1,0.058
"NZ","Artificial Intelligence",2017,2,0.072
"NZ","Artificial Intelligence",2018,4,0.091
"NZ","Artificial Intelligence",2019,4,0.054
"NZ","Artificial Intelligence",2020,12,0.113
"NZ","Artificial Intelligence",2021,18,0.145
"NZ","Artificial Intelligence",2022,31,0.258
"NZ","Artificial Intelligence",2023,14,0.229
"OM","Artificial Intelligence",2018,1,0.023
"OM","Artificial Intelligence",2021,1,0.008
"PA","Artificial Intelligence",2023,1,0.016
"PE","Artificial Intelligence",2023,1,0.016
"PF","Artificial Intelligence",2016,1,0.058
"PF","Artificial Intelligence",2020,2,0.019
"PF","Artificial Intelligence",2021,4,0.032
"PH","Artificial Intelligence",2005,6,1.24
"PH","Artificial Intelligence",2015,1,0.065
"PH","Artificial Intelligence",2018,1,0.023
"PH","Artificial Intelligence",2021,2,0.016
"PK","Artificial Intelligence",2021,1,0.008
"PK","Artificial Intelligence",2023,2,0.033
"PL","Artificial Intelligence",2000,1,0.441
"PL","Artificial Intelligence",2001,1,0.27
"PL","Artificial Intelligence",2004,2,0.543
"PL","Artificial Intelligence",2006,1,0.189
"PL","Artificial Intelligence",2007,1,0.17
"PL","Artificial Intelligence",2008,3,0.485
"PL","Artificial Intelligence",2009,1,0.178
"PL","Artificial Intelligence",2011,3,0.426
"PL","Artificial Intelligence",2012,2,0.259
"PL","Artificial Intelligence",2013,3,0.305
"PL","Artificial Intelligence",2014,1,0.071
"PL","Artificial Intelligence",2015,7,0.454
"PL","Artificial Intelligence",2016,2,0.115
"PL","Artificial Intelligence",2017,4,0.143
"PL","Artificial Intelligence",2018,5,0.114
"PL","Artificial Intelligence",2019,7,0.094
"PL","Artificial Intelligence",2020,8,0.075
"PL","Artificial Intelligence",2021,13,0.105
"PL","Artificial Intelligence",2022,26,0.216
"PL","Artificial Intelligence",2023,12,0.196
"PR","Artificial Intelligence",2017,1,0.036
"PR","Artificial Intelligence",2019,1,0.013
"PR","Artificial Intelligence",2021,1,0.008
"PR","Artificial Intelligence",2022,1,0.008
"PT","Artificial Intelligence",2001,2,0.541
"PT","Artificial Intelligence",2006,1,0.189
"PT","Artificial Intelligence",2012,1,0.13
"PT","Artificial Intelligence",2013,1,0.102
"PT","Artificial Intelligence",2014,1,0.071
"PT","Artificial Intelligence",2015,1,0.065
"PT","Artificial Intelligence",2016,2,0.115
"PT","Artificial Intelligence",2017,4,0.143
"PT","Artificial Intelligence",2018,7,0.16
"PT","Artificial Intelligence",2019,5,0.067
"PT","Artificial Intelligence",2020,8,0.075
"PT","Artificial Intelligence",2021,11,0.089
"PT","Artificial Intelligence",2022,18,0.15
"PT","Artificial Intelligence",2023,5,0.082
"PY","Artificial Intelligence",2011,1,0.142
"QA","Artificial Intelligence",2013,7,0.711
"QA","Artificial Intelligence",2014,1,0.071
"QA","Artificial Intelligence",2015,1,0.065
"QA","Artificial Intelligence",2016,1,0.058
"QA","Artificial Intelligence",2017,1,0.036
"QA","Artificial Intelligence",2018,2,0.046
"QA","Artificial Intelligence",2020,1,0.009
"QA","Artificial Intelligence",2021,1,0.008
"RO","Artificial Intelligence",1999,1,0.667
"RO","Artificial Intelligence",2000,1,0.441
"RO","Artificial Intelligence",2009,1,0.178
"RO","Artificial Intelligence",2010,1,0.158
"RO","Artificial Intelligence",2012,1,0.13
"RO","Artificial Intelligence",2013,2,0.203
"RO","Artificial Intelligence",2016,3,0.173
"RO","Artificial Intelligence",2017,4,0.143
"RO","Artificial Intelligence",2018,1,0.023
"RO","Artificial Intelligence",2019,4,0.054
"RO","Artificial Intelligence",2020,7,0.066
"RO","Artificial Intelligence",2021,10,0.081
"RO","Artificial Intelligence",2022,4,0.033
"RO","Artificial Intelligence",2023,2,0.033
"RS","Artificial Intelligence",2018,1,0.023
"RS","Artificial Intelligence",2020,2,0.019
"RS","Artificial Intelligence",2022,1,0.008
"RS","Artificial Intelligence",2023,1,0.016
"RU","Artificial Intelligence",1997,1,0.926
"RU","Artificial Intelligence",1999,1,0.667
"RU","Artificial Intelligence",2000,1,0.441
"RU","Artificial Intelligence",2002,2,0.422
"RU","Artificial Intelligence",2003,3,0.813
"RU","Artificial Intelligence",2004,1,0.272
"RU","Artificial Intelligence",2005,1,0.207
"RU","Artificial Intelligence",2006,3,0.567
"RU","Artificial Intelligence",2007,5,0.852
"RU","Artificial Intelligence",2008,3,0.485
"RU","Artificial Intelligence",2009,2,0.357
"RU","Artificial Intelligence",2010,1,0.158
"RU","Artificial Intelligence",2011,2,0.284
"RU","Artificial Intelligence",2012,9,1.166
"RU","Artificial Intelligence",2013,5,0.508
"RU","Artificial Intelligence",2014,11,0.78
"RU","Artificial Intelligence",2015,11,0.714
"RU","Artificial Intelligence",2016,24,1.386
"RU","Artificial Intelligence",2017,14,0.501
"RU","Artificial Intelligence",2018,25,0.571
"RU","Artificial Intelligence",2019,30,0.402
"RU","Artificial Intelligence",2020,59,0.556
"RU","Artificial Intelligence",2021,55,0.444
"RU","Artificial Intelligence",2022,44,0.366
"RU","Artificial Intelligence",2023,24,0.392
"SA","Artificial Intelligence",2005,1,0.207
"SA","Artificial Intelligence",2007,1,0.17
"SA","Artificial Intelligence",2009,1,0.178
"SA","Artificial Intelligence",2010,1,0.158
"SA","Artificial Intelligence",2011,1,0.142
"SA","Artificial Intelligence",2012,1,0.13
"SA","Artificial Intelligence",2013,1,0.102
"SA","Artificial Intelligence",2014,1,0.071
"SA","Artificial Intelligence",2015,2,0.13
"SA","Artificial Intelligence",2016,7,0.404
"SA","Artificial Intelligence",2017,5,0.179
"SA","Artificial Intelligence",2018,1,0.023
"SA","Artificial Intelligence",2019,13,0.174
"SA","Artificial Intelligence",2020,21,0.198
"SA","Artificial Intelligence",2021,68,0.549
"SA","Artificial Intelligence",2022,46,0.383
"SA","Artificial Intelligence",2023,15,0.245
"SE","Artificial Intelligence",1990,1,2.439
"SE","Artificial Intelligence",1995,1,0.909
"SE","Artificial Intelligence",1998,4,3.008
"SE","Artificial Intelligence",1999,2,1.333
"SE","Artificial Intelligence",2000,1,0.441
"SE","Artificial Intelligence",2001,5,1.351
"SE","Artificial Intelligence",2002,8,1.688
"SE","Artificial Intelligence",2003,8,2.168
"SE","Artificial Intelligence",2004,7,1.902
"SE","Artificial Intelligence",2005,4,0.826
"SE","Artificial Intelligence",2006,7,1.323
"SE","Artificial Intelligence",2007,9,1.533
"SE","Artificial Intelligence",2008,4,0.647
"SE","Artificial Intelligence",2009,4,0.713
"SE","Artificial Intelligence",2010,1,0.158
"SE","Artificial Intelligence",2011,5,0.709
"SE","Artificial Intelligence",2012,14,1.813
"SE","Artificial Intelligence",2013,19,1.929
"SE","Artificial Intelligence",2014,17,1.206
"SE","Artificial Intelligence",2015,17,1.103
"SE","Artificial Intelligence",2016,6,0.346
"SE","Artificial Intelligence",2017,29,1.038
"SE","Artificial Intelligence",2018,29,0.662
"SE","Artificial Intelligence",2019,44,0.589
"SE","Artificial Intelligence",2020,101,0.952
"SE","Artificial Intelligence",2021,122,0.986
"SE","Artificial Intelligence",2022,160,1.332
"SE","Artificial Intelligence",2023,71,1.161
"SG","Artificial Intelligence",1999,1,0.667
"SG","Artificial Intelligence",2000,1,0.441
"SG","Artificial Intelligence",2001,2,0.541
"SG","Artificial Intelligence",2002,2,0.422
"SG","Artificial Intelligence",2003,1,0.271
"SG","Artificial Intelligence",2004,1,0.272
"SG","Artificial Intelligence",2005,2,0.413
"SG","Artificial Intelligence",2006,2,0.378
"SG","Artificial Intelligence",2007,2,0.341
"SG","Artificial Intelligence",2008,6,0.971
"SG","Artificial Intelligence",2009,7,1.248
"SG","Artificial Intelligence",2010,5,0.791
"SG","Artificial Intelligence",2011,6,0.851
"SG","Artificial Intelligence",2012,4,0.518
"SG","Artificial Intelligence",2013,3,0.305
"SG","Artificial Intelligence",2014,8,0.567
"SG","Artificial Intelligence",2015,7,0.454
"SG","Artificial Intelligence",2016,17,0.982
"SG","Artificial Intelligence",2017,12,0.43
"SG","Artificial Intelligence",2018,26,0.594
"SG","Artificial Intelligence",2019,35,0.469
"SG","Artificial Intelligence",2020,59,0.556
"SG","Artificial Intelligence",2021,68,0.549
"SG","Artificial Intelligence",2022,94,0.782
"SG","Artificial Intelligence",2023,42,0.687
"SI","Artificial Intelligence",2004,1,0.272
"SI","Artificial Intelligence",2011,1,0.142
"SI","Artificial Intelligence",2020,2,0.019
"SI","Artificial Intelligence",2021,3,0.024
"SI","Artificial Intelligence",2023,1,0.016
"SK","Artificial Intelligence",2014,1,0.071
"SK","Artificial Intelligence",2016,1,0.058
"SK","Artificial Intelligence",2017,1,0.036
"SK","Artificial Intelligence",2018,1,0.023
"SK","Artificial Intelligence",2019,3,0.04
"SK","Artificial Intelligence",2020,2,0.019
"SK","Artificial Intelligence",2021,6,0.048
"SK","Artificial Intelligence",2022,2,0.017
"SM","Artificial Intelligence",2023,1,0.016
"TH","Artificial Intelligence",2013,1,0.102
"TH","Artificial Intelligence",2014,1,0.071
"TH","Artificial Intelligence",2019,1,0.013
"TH","Artificial Intelligence",2020,2,0.019
"TH","Artificial Intelligence",2021,2,0.016
"TH","Artificial Intelligence",2022,5,0.042
"TH","Artificial Intelligence",2023,3,0.049
"TN","Artificial Intelligence",2016,1,0.058
"TN","Artificial Intelligence",2020,2,0.019
"TN","Artificial Intelligence",2021,1,0.008
"TR","Artificial Intelligence",2003,1,0.271
"TR","Artificial Intelligence",2006,2,0.378
"TR","Artificial Intelligence",2007,1,0.17
"TR","Artificial Intelligence",2013,1,0.102
"TR","Artificial Intelligence",2014,6,0.426
"TR","Artificial Intelligence",2015,2,0.13
"TR","Artificial Intelligence",2017,3,0.107
"TR","Artificial Intelligence",2018,5,0.114
"TR","Artificial Intelligence",2019,8,0.107
"TR","Artificial Intelligence",2020,19,0.179
"TR","Artificial Intelligence",2021,21,0.17
"TR","Artificial Intelligence",2022,48,0.4
"TR","Artificial Intelligence",2023,28,0.458
"TW","Artificial Intelligence",1998,1,0.752
"TW","Artificial Intelligence",2007,3,0.511
"TW","Artificial Intelligence",2011,3,0.426
"TW","Artificial Intelligence",2014,1,0.071
"TW","Artificial Intelligence",2015,2,0.13
"TW","Artificial Intelligence",2016,4,0.231
"TW","Artificial Intelligence",2017,6,0.215
"TW","Artificial Intelligence",2018,6,0.137
"TW","Artificial Intelligence",2019,13,0.174
"TW","Artificial Intelligence",2020,16,0.151
"TW","Artificial Intelligence",2021,17,0.137
"TW","Artificial Intelligence",2022,9,0.075
"TW","Artificial Intelligence",2023,6,0.098
"UA","Artificial Intelligence",2008,4,0.647
"UA","Artificial Intelligence",2009,1,0.178
"UA","Artificial Intelligence",2016,2,0.115
"UA","Artificial Intelligence",2017,2,0.072
"UA","Artificial Intelligence",2018,3,0.069
"UA","Artificial Intelligence",2020,6,0.057
"UA","Artificial Intelligence",2021,6,0.048
"UA","Artificial Intelligence",2022,6,0.05
"UK","Artificial Intelligence",1988,1,5.556
"UK","Artificial Intelligence",1989,2,11.765
"UK","Artificial Intelligence",1990,2,4.878
"UK","Artificial Intelligence",1991,6,11.538
"UK","Artificial Intelligence",1992,7,11.29
"UK","Artificial Intelligence",1993,9,13.846
"UK","Artificial Intelligence",1994,8,14.286
"UK","Artificial Intelligence",1995,3,2.727
"UK","Artificial Intelligence",1996,6,7.229
"UK","Artificial Intelligence",1997,9,8.333
"UK","Artificial Intelligence",1998,10,7.519
"UK","Artificial Intelligence",1999,10,6.667
"UK","Artificial Intelligence",2000,21,9.251
"UK","Artificial Intelligence",2001,32,8.649
"UK","Artificial Intelligence",2002,52,10.97
"UK","Artificial Intelligence",2003,24,6.504
"UK","Artificial Intelligence",2004,24,6.522
"UK","Artificial Intelligence",2005,51,10.537
"UK","Artificial Intelligence",2006,34,6.427
"UK","Artificial Intelligence",2007,30,5.111
"UK","Artificial Intelligence",2008,28,4.531
"UK","Artificial Intelligence",2009,35,6.239
"UK","Artificial Intelligence",2010,32,5.063
"UK","Artificial Intelligence",2011,36,5.106
"UK","Artificial Intelligence",2012,33,4.275
"UK","Artificial Intelligence",2013,41,4.162
"UK","Artificial Intelligence",2014,62,4.397
"UK","Artificial Intelligence",2015,54,3.504
"UK","Artificial Intelligence",2016,80,4.619
"UK","Artificial Intelligence",2017,126,4.511
"UK","Artificial Intelligence",2018,166,3.792
"UK","Artificial Intelligence",2019,287,3.844
"UK","Artificial Intelligence",2020,298,2.81
"UK","Artificial Intelligence",2021,338,2.73
"UK","Artificial Intelligence",2022,266,2.214
"UK","Artificial Intelligence",2023,112,1.832
"US","Artificial Intelligence",1981,1,100
"US","Artificial Intelligence",1983,1,100
"US","Artificial Intelligence",1985,2,100
"US","Artificial Intelligence",1986,1,100
"US","Artificial Intelligence",1987,8,80
"US","Artificial Intelligence",1988,16,88.889
"US","Artificial Intelligence",1989,8,47.059
"US","Artificial Intelligence",1990,21,51.22
"US","Artificial Intelligence",1991,35,67.308
"US","Artificial Intelligence",1992,33,53.226
"US","Artificial Intelligence",1993,33,50.769
"US","Artificial Intelligence",1994,24,42.857
"US","Artificial Intelligence",1995,54,49.091
"US","Artificial Intelligence",1996,48,57.831
"US","Artificial Intelligence",1997,56,51.852
"US","Artificial Intelligence",1998,65,48.872
"US","Artificial Intelligence",1999,71,47.333
"US","Artificial Intelligence",2000,125,55.066
"US","Artificial Intelligence",2001,194,52.432
"US","Artificial Intelligence",2002,242,51.055
"US","Artificial Intelligence",2003,181,49.051
"US","Artificial Intelligence",2004,189,51.359
"US","Artificial Intelligence",2005,253,52.273
"US","Artificial Intelligence",2006,286,54.064
"US","Artificial Intelligence",2007,337,57.411
"US","Artificial Intelligence",2008,317,51.294
"US","Artificial Intelligence",2009,262,46.702
"US","Artificial Intelligence",2010,266,42.089
"US","Artificial Intelligence",2011,295,41.844
"US","Artificial Intelligence",2012,339,43.912
"US","Artificial Intelligence",2013,420,42.64
"US","Artificial Intelligence",2014,691,49.007
"US","Artificial Intelligence",2015,725,47.047
"US","Artificial Intelligence",2016,795,45.901
"US","Artificial Intelligence",2017,1188,42.535
"US","Artificial Intelligence",2018,1894,43.262
"US","Artificial Intelligence",2019,2816,37.713
"US","Artificial Intelligence",2020,3636,34.282
"US","Artificial Intelligence",2021,3984,32.184
"US","Artificial Intelligence",2022,3920,32.626
"US","Artificial Intelligence",2023,1821,29.779
"UY","Artificial Intelligence",2005,1,0.207
"UY","Artificial Intelligence",2018,1,0.023
"UY","Artificial Intelligence",2020,1,0.009
"UY","Artificial Intelligence",2021,1,0.008
"UZ","Artificial Intelligence",2017,1,0.036
"VE","Artificial Intelligence",2013,1,0.102
"VG","Artificial Intelligence",2020,4,0.038
"VN","Artificial Intelligence",2007,1,0.17
"VN","Artificial Intelligence",2014,1,0.071
"VN","Artificial Intelligence",2019,2,0.027
"VN","Artificial Intelligence",2020,4,0.038
"VN","Artificial Intelligence",2021,1,0.008
"VN","Artificial Intelligence",2022,3,0.025
"VN","Artificial Intelligence",2023,2,0.033
"ZA","Artificial Intelligence",2003,2,0.542
"ZA","Artificial Intelligence",2008,1,0.162
"ZA","Artificial Intelligence",2010,3,0.475
"ZA","Artificial Intelligence",2011,1,0.142
"ZA","Artificial Intelligence",2012,2,0.259
"ZA","Artificial Intelligence",2016,2,0.115
"ZA","Artificial Intelligence",2017,3,0.107
"ZA","Artificial Intelligence",2018,4,0.091
"ZA","Artificial Intelligence",2019,3,0.04
"ZA","Artificial Intelligence",2020,7,0.066
"ZA","Artificial Intelligence",2021,7,0.057
"ZA","Artificial Intelligence",2022,3,0.025
"ZA","Artificial Intelligence",2023,1,0.016
"ZW","Artificial Intelligence",2021,1,0.008
